,700116778c,700038072c,700171190,700112812c,700110155,700172813,700161219,700117766
700116778c,0.0037729263894773772,0.020593412283337657,0.021641931608163224,0.008965777105968348,0.007648903889185469,0.009599696885756959,0.02049679413120349,0.019117883228004888
700038072c,0.021335277966905302,0.002599324122257584,0.0032756910301099786,0.020464583029614014,0.018704207829451255,0.02143428330891677,0.005778117144320402,0.006567281185448226
700171190,0.023172874248922875,0.0033759037372459795,0.0023988828372676772,0.02246613497904004,0.020817075273707013,0.02333850293815176,0.005739041454312029,0.006383894911884662
700112812c,0.008621858542622525,0.019006797992417723,0.020203022078322558,0.0034494761020627657,0.004580461701702747,0.007314478129188399,0.01935702675456154,0.017453498588366582
700110155,0.007748169369275469,0.018319771559623832,0.019727453750416703,0.004813892632072247,0.0006449466466500255,0.006250992862166978,0.018381561607999083,0.01667586068840836
700172813,0.009206522067642784,0.019854548008526398,0.02092982843198551,0.0073093462344010676,0.005927230316812825,0.004262088587917178,0.020240994551458717,0.01853062805283438
700161219,0.021045613227140905,0.0057156095004112315,0.0055110216565938935,0.020654097833352876,0.018624594502708317,0.02164414717069944,0.001965811815379681,0.004972948433405322
700117766,0.01813316663715804,0.005965443836460721,0.0056328739226700454,0.01724153537928854,0.015637537665529822,0.018337140721188718,0.004561712665636683,0.002746306998650813
