,700013715,700015702,700016716c,700021261,700021306c,700021361,700023113,700023390,700023720c,700023872c,700024086c,700024449c,700032222c,700034254,700037042c,700037123c,700037539c,700038072c,700038702,700038806c,700095647,700098267,700100022,700102432,700103652c,700105049,700107398c,700108095c,700109383,700111296c,700114125,700116568c,700116778c,700117000,700117755,700117766,700117828c,700119042c,700123562,700161219,700161945,700163699,700163868c,700164611,700164735,700165148,700165263c,700165634,700171679,700171727c,700171859,700171916c,700172346,700172393,700172498c,700172813,700172870,700175181
700024086c,0.008780450581766413,0.00938108018184883,0.01028370767886161,0.009111610018434104,0.011275324398056594,0.011821002452702985,0.012057992066926933,0.01055004996904894,0.013420754902620693,0.008773117643765245,0.0065982681278834105,0.009598636644491758,0.008253705577836223,0.007688084567224646,0.009477980092625007,0.010058952900186904,0.009798124142678888,0.008172685882080758,0.010625848745120502,0.015447391182897815,0.010962121910680984,0.00965708263102173,0.01021867491813737,0.007447567502215287,0.007940284158647733,0.010450866786462716,0.008872414836923545,0.008446668801457146,0.006718533037484183,0.01595862957332151,0.011999328603015875,0.0110727841030671,0.009289821281631049,0.013274330435774709,0.009946794056331299,0.008168545000267462,0.007889927126325308,0.008441821588323144,0.010506618857593136,0.00934771366735897,0.01301830691083993,0.01203926697203279,0.010699348823043395,0.010048910742007497,0.009587076401717153,0.008573340407796065,0.008693116947996552,0.010010565932371126,0.0096490887785567,0.009981785685148946,0.011695681664379752,0.01153482237693774,0.007948576330069075,0.009472508650294705,0.00920755180652184,0.009403008954104309,0.008234897051923503,0.008970830034355108
700024449c,0.007049086688680685,0.008904529928515714,0.009419510716411087,0.007566548366171241,0.009868680395091643,0.009718502468307397,0.009412794888659155,0.010181684837695349,0.009847647218384645,0.007899961936012983,0.009608805773841753,0.00676313737580214,0.008143166125277226,0.007904251231806188,0.008985669910122776,0.009633997390879593,0.012852541483496138,0.007966013086360845,0.009012027982545207,0.012475800751498217,0.008620222345857489,0.007899325225868439,0.008908350363508044,0.00795777631408139,0.007810930064399014,0.008999679212569516,0.008705474936945673,0.008946343905847498,0.007307369005840318,0.010927101561020884,0.008693822372263862,0.009397589689015275,0.008629896553506234,0.009964875603684984,0.008303971170738729,0.00844906326534247,0.006861537426880079,0.008521184218584887,0.009345275688206098,0.00797655344907417,0.008816242094807166,0.009894422777931275,0.008462388400998609,0.007928910275543339,0.009424541923542352,0.008066296264961416,0.0077511072250483586,0.008733366427347594,0.009835176908840249,0.009484374410190375,0.008737382503083937,0.008784856459090442,0.007936640534469177,0.009115549389514286,0.00851633538475531,0.008732360662966138,0.007496917198696566,0.009241538207404507
700032222c,0.007090725219276546,0.00815220421408997,0.00877032885712887,0.007403637752993369,0.009141386333443982,0.008775061125671774,0.008972193667012785,0.01000012174432941,0.009454912993056598,0.007923343804157207,0.00897292820798494,0.008943411917560685,0.005598071361334352,0.007286414371552603,0.00865585731109395,0.009001371525480235,0.012901139263395827,0.008029003788616686,0.008993659186276709,0.012929617869383412,0.008434797189542249,0.00741458376661931,0.008374306427299437,0.007299882818130535,0.007595651972521696,0.009151475994581607,0.006332340904253377,0.008128194927702231,0.0067786040373549,0.011264689831523133,0.008598452136748888,0.008557271922594069,0.007781764905325209,0.009632110985854758,0.0076822107452732165,0.007941085595224575,0.006992682881473337,0.006898186497576629,0.008462317581882109,0.007569503797292866,0.008551997726222303,0.008913075811397218,0.008443648497382241,0.0078156180682053,0.0084007693398198,0.00740837963862693,0.007814926637383196,0.00832819187656337,0.008901520328036117,0.008764077006385155,0.009397839077685833,0.008286601242054475,0.007343468249024159,0.008788580978308974,0.008088249228424474,0.008265899146547535,0.007156283628345603,0.008678842746009356
700034254,0.007031923804271337,0.007905698210035624,0.008361254687056565,0.007112104167048984,0.008597903110122804,0.008736164252084578,0.008105045797581128,0.009600547569375666,0.008597762874400044,0.007722156908801852,0.008431794034279325,0.008804682637641939,0.007444603399409764,0.0034580567263558875,0.008654118163863533,0.008700303829927902,0.013887574365055229,0.007850038109350936,0.00891629470916835,0.012906607698053595,0.007546719587751797,0.007199908575293331,0.007797263178804867,0.006922240989538306,0.00751374370835629,0.009057041118362088,0.0076736704050778615,0.003995411513176635,0.006492542899166898,0.009971323271192394,0.007828191366275607,0.007799014212896251,0.007887197284467042,0.009385885948088337,0.0072721351640100355,0.008034014656772061,0.007060663760632985,0.007577363457240987,0.004592295592834992,0.007523915784127975,0.007854786802300208,0.008662104518573572,0.008273469705653192,0.007524952910117048,0.007983337903279366,0.006924521019181062,0.007515283890637797,0.007909126593536256,0.008890984470967665,0.008376017793584704,0.009131802924987572,0.007683518574069726,0.00696138635888061,0.008797732735151702,0.007565815967834683,0.008364644421101877,0.007338637665878927,0.008297373945656208
700037042c,0.004656117560551752,0.008744338011115122,0.009372319763827054,0.00760089327844198,0.009765621636679532,0.0094641097847427,0.009116488576657648,0.008886148809698395,0.009492579035275374,0.006450776550467831,0.009576086468170665,0.008958573794414894,0.007849839833546276,0.007706962577117557,0.005486697417761735,0.00930070620522644,0.012616347615374474,0.005599888902931719,0.008406414766916536,0.01034431023264501,0.007848586864175574,0.005655990697847545,0.008959006705837602,0.008139108598114815,0.005387606402491081,0.006890770659016234,0.008520928712476606,0.008613680623572857,0.007252842245256971,0.01103184360117025,0.008733148512655662,0.009195352784782323,0.008220897433746899,0.006709775674343004,0.00839784535200043,0.005458014894311826,0.003468675172533821,0.008348209796647396,0.009085061913378236,0.00833253771655881,0.008770097012892775,0.009617722519607541,0.0060708687037883055,0.00637249213420058,0.00951517870905921,0.00801972690084497,0.006487041353051179,0.008223692725497432,0.009121963337738325,0.009621390085767987,0.00913056127011315,0.008530058898923082,0.008030974044615816,0.007286858690445613,0.008201520433524005,0.007785108148176652,0.004939786963841123,0.009456745228433419
700037123c,0.007166672051516165,0.008968460523715948,0.010002307878554498,0.008028969565754707,0.010556880955906109,0.010266259488430607,0.010074902809838273,0.01053149422099483,0.010661866674174732,0.008142012877942067,0.009961841265829956,0.00959660018372476,0.00817976807312731,0.007762488518950741,0.009244810614810962,0.00673911168776634,0.013111257898597689,0.007794952630703304,0.009780530681906955,0.015199612557256787,0.009628639166290563,0.007974142111475433,0.009161639788508785,0.007610674211156523,0.008007600212373369,0.009305419470907858,0.008653273530713539,0.008814636383279876,0.007200600322293919,0.013249565519649734,0.009482872517805866,0.009411892160608313,0.008956026649139937,0.010936530171155078,0.009050714053109294,0.007987650091583677,0.007148249819634403,0.00849186449734025,0.009354444786203056,0.00888748444250442,0.01055917456264781,0.010634331962497098,0.008879553680473272,0.008920112965072429,0.00946587956757745,0.008268307766308623,0.008056730462588379,0.008876441405927065,0.00987181235791372,0.009472444756694313,0.010394895365906247,0.009990762379714666,0.007901916092993077,0.009026785835949642,0.008567197587089213,0.00914968853178847,0.007568256136330891,0.009425546437742316
700037539c,0.014739120888391874,0.01630440718373568,0.016116682304362702,0.020919572866871336,0.01613076606770076,0.01825339142436136,0.018320205866597612,0.015284466182420546,0.01934264182882318,0.014359068394718375,0.00977823505476581,0.013283006568520632,0.012841270573950729,0.013914196687600152,0.012784912035328643,0.013565095697896485,0.0084708799144833,0.014091657185175488,0.017027271754140438,0.01656651074709364,0.018434583641183923,0.015642024622653013,0.0188110919956122,0.010404232849747806,0.010940962188410428,0.01564654866017231,0.013450683168934508,0.013371516852036785,0.009710027965873948,0.01847635670092723,0.016482351002472886,0.017215380627623254,0.014215469931875545,0.017778226673938267,0.012778635923230905,0.008867141751533815,0.015522173065858371,0.012800596032297572,0.01733208721777782,0.015588720112000253,0.0169660395139365,0.016562346810574675,0.01613249058211028,0.014959964968560158,0.01351567588252699,0.013702338876872906,0.013478458906654016,0.014166188336816979,0.014031617772072352,0.01573276591480479,0.01888331626554045,0.015539971601331044,0.013795547359079454,0.014050256008484042,0.015198066199257187,0.01694670333696333,0.012872944068761381,0.0131629572970918
700038072c,0.00468415337323713,0.008891841970403916,0.00911376067830782,0.008030967982246458,0.009402149094792032,0.009369547366942588,0.00889462222763322,0.008328515447354851,0.00927639568552128,0.006633387170541397,0.009099764338090201,0.008898212027337524,0.00827703120675763,0.00789990591036469,0.00629981081445351,0.008781704015345018,0.01427882485000815,0.0037736752957372817,0.008239422887441783,0.012375132219429996,0.007229126790307108,0.004027775687599677,0.00888762429450778,0.007622496591867955,0.0051846649950634755,0.006788265296387963,0.008551413780187464,0.00873486758835523,0.007232275296803671,0.009431367184670997,0.008054763661907736,0.00905575166538705,0.007747690671006528,0.006761509905905303,0.008060789935712333,0.005215968728147056,0.004604239751923008,0.008530371069731072,0.009026717840171483,0.00814190742563319,0.008482729969375026,0.009306084496230561,0.005815335344779876,0.0061624722690738635,0.009102708982907692,0.007726695158871046,0.006171857424115814,0.007900825601826028,0.008863155588732562,0.00917226580400415,0.009039992796885324,0.008305110359116871,0.007854362996082612,0.006177588302409581,0.00841550761480804,0.008312123859008527,0.004534723914993557,0.009414071063673632
700038702,0.006701580909524476,0.00916595573823584,0.009738482606434189,0.007967374756910357,0.010502725680322466,0.010124815909032152,0.010283099515472889,0.010158311449438092,0.010743138262717816,0.007847879725981341,0.010754418709081956,0.009115990921124145,0.008331319415963533,0.008075333565915657,0.00854121123945013,0.009979029942297024,0.016694056798115062,0.0074270216636101545,0.007621962945608197,0.015253690689291038,0.00909893327454046,0.007590235624268607,0.009357001938125886,0.008193869530846979,0.007475154213665417,0.008723133344579928,0.008996305547346019,0.009024576499376803,0.007459932614724685,0.012823809549644042,0.009620130738747937,0.009740123766607505,0.008619387318950905,0.010369488208507685,0.008921145903197392,0.007621694464133298,0.006345740485570181,0.008778561433898538,0.009541427362950834,0.008535904523013562,0.01050426398424076,0.010310740500569881,0.008176942210247227,0.007990443069520774,0.009774656917359242,0.00854662875606479,0.00767042883131188,0.0090676939050516,0.009835739403282494,0.009610535785966086,0.009169393393353674,0.009834016073339048,0.008468682715025051,0.008843665008466428,0.008802583629973982,0.008807534284826462,0.006977746681062334,0.009789592388447597
700038806c,0.01285556228946662,0.013295563256419472,0.015777595387593144,0.015122457805328149,0.014808689665891994,0.014607942195612966,0.01602897774920901,0.013716539722499019,0.016968124684448457,0.013269485912337694,0.015107752709089565,0.01276394588670717,0.012496244789792537,0.0124674912089363,0.010405067039646209,0.015338964365495329,0.016195718405439895,0.011916291109931683,0.015252010571154656,0.0072967842407493915,0.016174835287733773,0.013903578395208815,0.014796463995340618,0.008559474173416364,0.009407848488740624,0.01311844946178914,0.012406787169136714,0.012493455510770921,0.008398279035519235,0.01731531566257455,0.014270467166341462,0.01391158194371769,0.012411129592434763,0.01644556964007389,0.012199159146152895,0.008061817330865424,0.013173273673520043,0.011398388763557178,0.013529858506780323,0.0117123038947027,0.014448273223043158,0.01513427353863696,0.014965792398866083,0.012953582002643628,0.012093891176086708,0.011326648013859535,0.013433499584470595,0.01300934630011497,0.011014406384831293,0.012632534275639106,0.01632645922486212,0.009390354731582968,0.012450135232718438,0.011785706865803379,0.013733184099607307,0.01589856400426186,0.010746024698085478,0.012284099429913493
