,700171066,700116778c,700173546,700023919c,700165263c,700023872c,700038072c,700117828c,700116730,700106504,700171190,700171324,700024449c,700099512,700172813,700106333,700172498c,700023720c,700106065,700024789,700034254,700173023,700015702,700117239,700163981,700173176,700164870,700119042c,700016716c,700117766
700171190,0.011006343895751758,0.012397909241451777,0.012755962423393408,0.012099038442074909,0.011785153479133734,0.011758096052881502,0.01167773848755512,0.01189979958695797,0.012782203311292206,0.012144908758814242,0.0067114304219161106,0.010462851410266084,0.011848679556143065,0.011046028646307923,0.012612294222045095,0.01312586794559267,0.011792145923559977,0.012218467115335084,0.011001403370306851,0.012888523306351596,0.011061456863717482,0.011752557405121673,0.012586789327993715,0.011609650386939356,0.012088773799529426,0.013008834401083906,0.015704115484054388,0.010843537050852288,0.015105233860736991,0.011755038883077407
700171324,0.008191171913838814,0.009530783120583893,0.009274587379010235,0.008810402424489909,0.007518721551884619,0.009655209568290885,0.005388578729160113,0.007533132442974981,0.009877054553074078,0.007253094762107752,0.010387564073593732,0.003032937175364172,0.008652448312891298,0.007671589602959041,0.0077833368846046014,0.007925371794719924,0.010476287194559843,0.008604528980392418,0.007124753075707563,0.007982360360857893,0.006456076573350115,0.007778153046424966,0.007727705972313553,0.00885490012725205,0.008660147348737301,0.008488092296289013,0.006728364540359321,0.007156906273433092,0.013689865291166914,0.007330811566155749
700024449c,0.009857046257220435,0.010784453526276496,0.011329965730422522,0.010625152987099346,0.009783595550845882,0.009520609914550721,0.00917453760664277,0.009620980594541608,0.011349353902609568,0.01047243795634186,0.011257917960296269,0.008257520877128879,0.0055070829635727936,0.009530943585586595,0.010582486195690079,0.010768244776116069,0.012238730405506715,0.010007348973661548,0.00948210382439043,0.010223823215064293,0.008938415499410546,0.010104161623227423,0.010298757262023136,0.010343684232134116,0.010781016775620884,0.011167631496814058,0.010905332678518594,0.0068587208985912505,0.014760665803409219,0.009395839805247412
700099512,0.007280673695316927,0.009420107028130308,0.009731679856782574,0.008363004325229519,0.008423911437788272,0.008868233651651593,0.008353719131421359,0.008568543507750555,0.009158967330920791,0.009029448240779387,0.01058672198797255,0.007349442178451697,0.00963908729738879,0.0015524652318805766,0.008947879893394446,0.009938510513256359,0.010251156086689276,0.009664440832581106,0.007813496030333931,0.0096588034879119,0.007839705332158838,0.008329449188738099,0.008754080082593586,0.008470154199628724,0.008804039432026983,0.00943918051718466,0.011869231535596148,0.008286670922768342,0.012780321994741448,0.00849443535477265
700172813,0.010387398004833926,0.01128380583380012,0.011193485636018435,0.011689246585319805,0.009671916349726592,0.011896994806236036,0.009858498485068423,0.009742265500600769,0.012203266854636298,0.01026861381794288,0.012990826988666205,0.008042441080157905,0.011380128492098613,0.009561533277992156,0.0075314265674021,0.01173140753451072,0.013024165991839448,0.011368842495773598,0.009494365481715415,0.010649841029461343,0.009068175676222891,0.010682824970604913,0.008475965202309126,0.01134325275404737,0.0096145492426966,0.010758216011240456,0.011026975482042236,0.00977368099852195,0.01629095593729236,0.009331939167763523
700106333,0.011668369442831549,0.012776969712921677,0.012509023078759288,0.012659358890331287,0.011200044484116543,0.011348053866544972,0.010249151991510358,0.011426969032983944,0.012756759771917058,0.011106840091726416,0.013858017677782108,0.008400966304180748,0.011926696819331156,0.01087354685866783,0.012024083381009543,0.008002853886364633,0.013652415046336396,0.012034161456943157,0.010495546211805195,0.011801117293940865,0.010424919892702916,0.011947418329551322,0.01204166610292429,0.01204096769576933,0.011898188636323258,0.012386977611071154,0.017157918884362324,0.010833848260489649,0.015522454508885281,0.0111538687566353
700172498c,0.010748846962367584,0.011434772788039844,0.012252054503870523,0.011551802111081023,0.011477899033415844,0.012207170916535236,0.010768043055982165,0.01123272892130325,0.011435298002711605,0.011478140020793485,0.011189558275818336,0.010038060215605195,0.01213137480816137,0.010052080696854458,0.012057782181840629,0.012372012898558951,0.005845881423386332,0.013308418953958843,0.01060839473699958,0.011981241215083791,0.010670500580976315,0.012275205933676966,0.012440168658146764,0.01068674872107636,0.011521475213886946,0.012926869816188912,0.017386217900568074,0.010693411523790494,0.018127155833464442,0.010871859359115586
700023720c,0.00948958823370588,0.010660757605810416,0.011296661609406356,0.011006514755208184,0.01002428081193001,0.010413931331478865,0.009508730478883658,0.009684227203387085,0.011281328907693108,0.011026304878911687,0.011552507293284818,0.00817917297228175,0.009952784263652158,0.009433149564471366,0.010616085547340464,0.010877100004361763,0.013349752688529195,0.00563467068024821,0.009139289405034482,0.010135925581981809,0.008823262388275426,0.0105211269248502,0.010710067879334316,0.01011474462388191,0.01029871958939864,0.01195299398863904,0.012236341945574988,0.008252212844720623,0.01626624294884684,0.009334407112157245
700106065,0.006780618394052604,0.010118297154771607,0.010299131635537669,0.008021600130191707,0.007806432430933916,0.008969651684373907,0.008376319149803215,0.008515443790756963,0.010324236776632502,0.006511916796973898,0.010818665061662342,0.0070555044987703295,0.009862111857774265,0.00806846903401552,0.009096305874677791,0.0097956107274281,0.011024454797339092,0.009561089831331577,0.0049812210839272775,0.008637140766530958,0.007561778974785519,0.008094748034501794,0.009260262586097452,0.009202238258174622,0.009596704282133356,0.008327973603068391,0.011150268498555495,0.007205153413546137,0.013055636759396494,0.007637415106974819
700024789,0.010770121596937396,0.012365972107379785,0.011990670977561723,0.011548145538093964,0.00987232861692228,0.012013603141175685,0.009960461389756555,0.00819422515322702,0.012725017430223485,0.009013160000306157,0.013232497964733131,0.00822901141518568,0.011009582769843457,0.010303747250467888,0.010609578568407229,0.01147256932831293,0.012982142309155509,0.010925483886038912,0.009009014005263214,0.0074878095186900065,0.009503004489662143,0.010383985113167122,0.010343322653311891,0.011734101475001936,0.01136699873444035,0.01044690110907454,0.008076746867598615,0.009407697343727388,0.015761571375630102,0.008582720065597745
700034254,0.009206254214239014,0.008649286546422616,0.008835291196777851,0.009480932637864259,0.007402127727331969,0.010256518077854477,0.007107072492726845,0.008547573007205211,0.010716212874644516,0.00870351153733545,0.011310280853865942,0.006657994123268148,0.009640267793293258,0.008418405139703286,0.008997576518924782,0.010098939475454705,0.011451376243458598,0.00953423262715715,0.007891294298949738,0.009463163410309023,0.004174755940743437,0.008692785830284436,0.009468956938115858,0.009658456987473555,0.007530688900888739,0.008736346706620789,0.006592378017357143,0.008225948071650613,0.013127070510389166,0.008139119504611304
700173023,0.005724730143795295,0.010126798334401707,0.01026656799573068,0.006528380144958906,0.008918562586058483,0.011825900283937098,0.008720136203072939,0.008730714678563982,0.010425120223365156,0.010202839124188477,0.011172297206087804,0.007472247227253434,0.010096031482181064,0.008221611290833718,0.009926531575351965,0.010782331586177123,0.012325084747048751,0.010609849907826978,0.007815361007808027,0.00965697820239652,0.008113558977329039,0.0035479025303569406,0.010042175039607585,0.00926432448388505,0.010032495885685106,0.01058842199961198,0.0074828231802383065,0.008663367511791269,0.015398448696769068,0.008833458899094848
700015702,0.009719663822532788,0.01120716076864992,0.011055983522489736,0.010942213551176356,0.009651565862609741,0.011969603470387316,0.009717288183577812,0.008836561015317232,0.01140080311837328,0.00978973011522605,0.012250404571172123,0.007630041500813414,0.0105057995832058,0.008853366489032228,0.008091599552200011,0.011127128866533866,0.012718222080419074,0.0110243331393095,0.009180024042558865,0.009901914766873044,0.00906050306551586,0.010280417336222607,0.004058829201968635,0.010713132213467466,0.00996080710018376,0.01024390624331218,0.010062385644903924,0.008990434506522857,0.015611900967573391,0.008603344738024328
700117239,0.009678427811721315,0.010838164666383302,0.01113054902914499,0.010425434243028426,0.01039398392056212,0.00992679286859658,0.010525946658110177,0.010751796898420166,0.01064904028619789,0.011040734959495587,0.012022205569873276,0.009226179929296491,0.011230067155044416,0.00918007806086489,0.011368563117906126,0.011784677089509464,0.01161668903207585,0.010980864416922451,0.009690886728618734,0.01181224398453867,0.009776884364589645,0.010065276020045992,0.011356369784207385,0.0009351871318077854,0.010510112448444707,0.01124454538811685,0.011398179963171069,0.0103333798695894,0.014759863975558524,0.010769006335123716
700163981,0.009422194824782744,0.0069691281971393975,0.008083085825577391,0.0105900255020358,0.0052632090143395795,0.009374422596689464,0.008052664808448986,0.007988111624979517,0.010330674244112614,0.010715077818019579,0.0115419585663771,0.008315553957042914,0.010761557208495743,0.008705329176428576,0.008891756225831245,0.010756588447457196,0.011552536746923685,0.01033138705020383,0.009286044779531738,0.010547127397102795,0.007014466592037506,0.010043301636326257,0.009744640057281451,0.009698712699124434,0.0015199613012463293,0.010020446026873986,0.012889190513787141,0.00929374670886263,0.014596575903540769,0.00848816200358274
700173176,0.010066552865595336,0.009525806755958537,0.010126973293774206,0.010475788863263266,0.008325164768594304,0.012320648626412974,0.009222311186201737,0.009569086059214358,0.011271114038210888,0.007117285632296475,0.012314918880138059,0.008211806057879295,0.011092825117017677,0.009288217319883541,0.010062711039003506,0.011176916302558643,0.012903849625178964,0.012036764722676029,0.008087846461376412,0.009795453564564087,0.008130896284811017,0.010524848502474048,0.01001072410825955,0.01031626753681887,0.010021924302720387,0.006312648812371718,0.010541778891377264,0.00845379175141498,0.017075908536837558,0.008546548170120037
700164870,0.015623089406359304,0.012801999211647024,0.015528624895349548,0.006503610366637549,0.00840254158833853,0.017150566153387233,0.007467375252001573,0.009718325098301572,0.012152402523749951,0.011700702430204936,0.015468961938376229,0.006612800682089896,0.010933302152260549,0.011686459548786762,0.01061064076432139,0.016504467700352066,0.017346791924700844,0.012213795974468106,0.01095268060206044,0.007753650606852992,0.006362533637668444,0.007358502022031448,0.009744166582088524,0.011348140099759908,0.013208827210938778,0.010396178175437363,0.0042712811349475506,0.007624686449401802,0.01566736148049544,0.00719597273065152
700119042c,0.009909022864726929,0.01123433143253558,0.010970688569391894,0.010437546242655698,0.008928610562712009,0.009920725617777166,0.009195723188543734,0.009357716174480087,0.011657073281476448,0.008547417992906195,0.011582616215876236,0.007649071473857483,0.007658887741462547,0.009153840500747508,0.010116628414657809,0.010959904838937051,0.011896554620057228,0.00912741790055798,0.007793216096671319,0.009770817910759113,0.008574798148165572,0.009638238947349144,0.00974884719600961,0.010690254454869595,0.010375793225303782,0.009304892868899992,0.008037590637676156,0.005695233805803883,0.01315203673221532,0.008832255021865177
700016716c,0.013085273842682077,0.012868121236814429,0.013918700845253032,0.0140893357131485,0.014112587170125203,0.01474402456709988,0.013669772331481662,0.014246532321073247,0.013123375344093231,0.013062511728727312,0.014505893285069075,0.0134921802993525,0.014867971948136487,0.012648777635519193,0.015532128200207338,0.014374384653486028,0.01827104085680243,0.01616791149657113,0.012790079916843815,0.014829455748196187,0.01242576334179214,0.015365875288767138,0.015325502010412084,0.014008880624694551,0.014607515407996919,0.017274790874983664,0.015869564195471426,0.012175991683118493,0.007780523829797628,0.01283209594347074
700117766,0.009972826500161859,0.010821267838478529,0.010798919938065829,0.010688898270934513,0.008458646682188486,0.010977143824941648,0.009023984229198008,0.007606321000568274,0.011514546405495329,0.008420452384250142,0.012211715548523114,0.007609920444712006,0.01018715115452619,0.009141858736039059,0.009392522386256494,0.01097840654992609,0.011852796767254831,0.010068797526107892,0.008031861852876843,0.00867291276349646,0.008260678028867369,0.009589977815576366,0.009097926594417024,0.010846102441408871,0.00924590307355705,0.00921812616425443,0.007337195321849435,0.008592509106078856,0.013681438407069708,0.005970028743522299
