,700098267,700171066,700023578,700116358c,700023634c,700116668,700021824,700119739,700172726c,700037042c,700117031,700035533,700037916,700038702,700161742,700024449c,700105613,700171859,700038493,700095647,700116568c,700105991,700095486,700172498c,700013600,700034254,700024998,700102586c,700113867,700161219,700106229c,700024615
700098267,0.0004256206767468822,0.013506218150786398,0.012002438031075587,0.013196796085855745,0.015047913711356515,0.014616336792298963,0.011979453883085764,0.014712746710632737,0.013417201671649791,0.0134405327655962,0.01480962790822781,0.013616667782691298,0.014271158025409228,0.01551281057749316,0.0119049011068351,0.014661464431032369,0.013412831862535888,0.015130628663936569,0.015752421711374073,0.012424416364101055,0.013218181520485863,0.01339843328757712,0.014003909904288705,0.012649205366758648,0.0137608870027234,0.0135725094330899,0.012592841911450945,0.013739167335407629,0.014819821827697515,0.013934995738832591,0.01501865630401582,0.013577156788531488
700171066,0.014071555491098573,0.00047880858198394893,0.011732762511317113,0.011849108288038696,0.008241278513266555,0.008989151748928179,0.011514451123453284,0.009028948093165023,0.012353263231879907,0.01258685115282078,0.007422697341321259,0.012796687178142469,0.013251021523735055,0.0032990300002865773,0.010818931383298754,0.008446427670893828,0.012332326639563832,0.00914987179613844,0.00888104857165732,0.01160665093428611,0.012547145318007658,0.012596810714066552,0.00731632769908872,0.011643659072326928,0.007531940988870608,0.0072342324338813034,0.011411275610110141,0.007661482404058198,0.0086878631836419,0.007908937692208145,0.008179206966705122,0.0073765166555117105
700023578,0.0115555201451881,0.010918574854379273,0.0013418334926161802,0.009932032594564856,0.012138351704584957,0.01203437071143628,0.0014525012420660585,0.01188049283670161,0.009065504915491095,0.002632331082738274,0.012057296447115723,0.009374207230114926,0.010393444962446022,0.012508748579197891,0.008089745944631584,0.011983307496015541,0.009492735000645429,0.01238733366540956,0.01293293013025545,0.002228641443460873,0.009057129829167268,0.002911583490246209,0.01153852384313633,0.008736782520000295,0.010775116410288063,0.010832590047457258,0.008527173948792625,0.011232431968632084,0.011828911380676405,0.011014888505398446,0.012057065524780895,0.01089074131163455
700116358c,0.012818726240089756,0.011061537145175687,0.009994733907290948,0.0019353963650946054,0.012506523959575324,0.012088601522904734,0.009917645363462709,0.012041442307918466,0.010836419307745159,0.011060683440669796,0.012036512846585004,0.011392473163144037,0.011931358798128596,0.012694840272947658,0.009897795458826549,0.012256102558249478,0.011313690345851292,0.012332390769810127,0.013212677431824232,0.010175149144858356,0.01097200942419078,0.01118542020659857,0.011454129449909688,0.010419260126422443,0.010783412544374649,0.01086573461894264,0.01024155242258578,0.011491086299617377,0.012164104293460822,0.011358879180927376,0.012362773596072156,0.010999444135926784
700023634c,0.014597122402624832,0.007674883541690956,0.012244898366375028,0.012514878196426221,0.0028781022108132666,0.009962502080920857,0.01225816462572156,0.00995780654163602,0.012694598415418198,0.01325484392050282,0.009397044153005513,0.013361385863519912,0.014106195909926875,0.009568712024854636,0.011401197897636791,0.009277655843439843,0.012847942451472742,0.010059383273824291,0.004089887641349707,0.012157728855958644,0.012896572260409784,0.013119516516023244,0.0038643529680725455,0.012178383266238487,0.00844459309431737,0.00839126848272498,0.012087149308175444,0.00855036417938492,0.0097258109142033,0.008845692969053647,0.009839311882052731,0.008407192739598463
700116668,0.015298403159978987,0.009032356637306723,0.01300308084355638,0.013016657737370887,0.010739769665784113,0.003030297186785283,0.012666008006454654,0.01001057758852082,0.012829269612992378,0.013694859318616907,0.010118453686750527,0.013186782856716518,0.014386871464138206,0.011026967875120705,0.01192750341496456,0.00453778824973535,0.01333424997677226,0.010324155483613269,0.011330463473707008,0.012706851885157551,0.012924583982978924,0.01369076380557308,0.009771813654361387,0.01271568873191309,0.008460698264116618,0.0059509635438596,0.012679545868158636,0.0035986002218124217,0.005015785165294133,0.004480260549664604,0.010499666548361994,0.003360721942865053
700021824,0.011500775821397163,0.01065842365543909,0.0014501360405398767,0.009823708656253264,0.012106624741655149,0.011673934159592541,0.0009693318629219012,0.011590163384486409,0.007673332665646887,0.0023926017834554466,0.01152055551919835,0.00918028490709533,0.010331650166753251,0.012292602301566348,0.00806059163532416,0.011995531647034322,0.009157215151756323,0.012059619369985515,0.012243647292180105,0.0019856220001007443,0.008676892660465294,0.0026617094349571093,0.011404083629834309,0.008691903483978455,0.010500098393185546,0.009618137859247741,0.008044057657263747,0.010960797367668076,0.011530525086346341,0.01076604324870633,0.01216662425409184,0.010622351028496114
700119739,0.014182987664508906,0.008345247866733291,0.011863371322937464,0.011956408002439502,0.009887011700979626,0.009212108790479949,0.011606169268623104,0.0026623416554296523,0.012139813981358038,0.012699038701845631,0.009265585766457076,0.012632511371159292,0.013533612709494146,0.01017505259957945,0.01079475134413833,0.008567908738852586,0.012258925571747709,0.008131583360020053,0.010424503800416521,0.011658831402315668,0.012146032927641449,0.01261351251763325,0.008521465027285558,0.011485808129141998,0.006853669452026989,0.007641270866097878,0.011637117479508132,0.007831725566976155,0.008689768893862502,0.00807659522539429,0.009539971600307031,0.007598430301993469
700172726c,0.0128054780707728,0.011339513496946804,0.008910733632873145,0.010640522356237955,0.01244557630024414,0.011731054631701756,0.007570858231391625,0.012009074747548629,0.0017299276539224301,0.009896363401987874,0.011829327793322741,0.0035414089202202522,0.01064525411309277,0.012810676492869849,0.008898878878560335,0.013007515008337692,0.010025780874288156,0.012651534505744516,0.0127233827247398,0.00916527703052082,0.002755828485323743,0.010026959497360734,0.011504041135038388,0.009822998578903324,0.010988133267762414,0.009415184234652816,0.00843608873767984,0.011869523474242671,0.012045962319626452,0.011396655753853102,0.012576239483976678,0.011066202986398065
700037042c,0.01307041900972976,0.011764356416346756,0.002659081418740921,0.011072277111563307,0.01327911942084218,0.01274140101434991,0.0024243462450877205,0.012809541027797166,0.010107225973873278,0.002903182454234748,0.012887920253645286,0.010510174137874155,0.011702987903137663,0.013443571376469956,0.009287357018374569,0.012865289369830946,0.010716269001855516,0.013295355805274885,0.013985425012491342,0.003177702983975256,0.01010963833528093,0.003799217095837883,0.012531740597298002,0.01001420866217726,0.011614143833291884,0.01167225572801551,0.009860273229217936,0.01205343889808545,0.012780759166359273,0.011956206789148686,0.013026821415109987,0.0116982506415664
