,700014386,700014498,700015181c,700021306c,700023578,700023634c,700023872c,700024086c,700024233,700024437,700024752,700032222c,700033153c,700034565,700035747,700035785,700035861,700037453c,700037539c,700037632,700038414,700038472,700038870c,700095353,700095486,700098267,700103652c,700105049,700105771,700105882,700106056,700106198,700106836c,700109564c,700109987,700111296c,700113114,700113975,700114082,700116201,700117828c,700119042c,700163181,700163772,700163981,700164159c,700164735,700165148,700165311,700165407,700165634,700165778,700165809,700171066,700171114,700172221,700172498c,700172813,700173023,700173483
700024752,0.0154897306826082,0.01516083413905085,0.016197261461252985,0.015621682985370611,0.016934567663078288,0.016759042328715116,0.01599438175855771,0.015013877309568812,0.01494054580021337,0.016064325090109324,0.00908684818904366,0.015573319457088971,0.015737597352077654,0.015254110064644008,0.01662656564678051,0.016132652073557557,0.015879809906577863,0.016187878068510443,0.014828106960350805,0.014481899720265727,0.015856280010653086,0.016461201638307957,0.015794929613615817,0.015598136129852449,0.016530070876755287,0.015904529262459475,0.016216463768604274,0.0178175763686538,0.017328025416090034,0.01621094425843292,0.01587291346440814,0.0162671416436257,0.01661216556034582,0.01741104327600402,0.01699241903147075,0.0182195838507733,0.016314265867428505,0.016679080704701758,0.015891415483681556,0.010517735371979342,0.017181569002158954,0.015963719771421053,0.016465651634660232,0.015135255990356148,0.016987762401488075,0.015913448371296202,0.016937541898201448,0.015355049539388401,0.015530141177170081,0.018900469867390142,0.015909534387811827,0.015851223065916447,0.015489784914874802,0.01634287555853023,0.015521514634870405,0.01573632585904129,0.015402866338292838,0.018264132543562434,0.01706431723812516,0.017766547017618844
700032222c,0.010943142078856867,0.011423722139407769,0.01301457006052448,0.015422623567820684,0.01324884798815938,0.01440575922540507,0.0117900960262048,0.012019806580491581,0.013333591460988248,0.012836274640298719,0.01475506455550774,0.0022645170282190423,0.011548673325553286,0.011699127511319726,0.013471571599333019,0.01231605097255518,0.012527310241249123,0.012735052667208278,0.011810240054018966,0.014354179192769162,0.012087335664458035,0.014327101516523883,0.013620525532188997,0.01141858063383502,0.013074739903788072,0.012308014557412171,0.013750465015317011,0.014368825554268197,0.01826787401162261,0.015219556636453545,0.012351936229240466,0.013031484611220891,0.012753642561150759,0.015867607919436307,0.013267843710884226,0.01941679699505617,0.012406331959740023,0.013563861830110853,0.013532482996238668,0.015117716250210423,0.01722275550931021,0.004316370792428786,0.012065072986004892,0.01328849924693307,0.017779010245077154,0.01253443497647459,0.014958373180936922,0.012560952742010691,0.01298529338486011,0.017911841815479064,0.011746604989763435,0.013143235468844876,0.01174848533872615,0.013708755658004976,0.014674145901591188,0.01241290795341952,0.013237310298039831,0.019110095726977666,0.01771687465259631,0.013780560851316634
700033153c,0.012147187507405734,0.012548243328871188,0.012915205155836218,0.016142895362767314,0.013549037486774357,0.014602573222463855,0.012677341166308208,0.013160123751174271,0.014349704610753782,0.014098329611547031,0.015773322288769317,0.01223977985343065,0.0038184213847654268,0.012933257257090562,0.014548509589064127,0.013807577491967706,0.013203718435606793,0.013293372294808715,0.012929384359095616,0.015389356966718707,0.01321754363766465,0.015523568943407522,0.015426584119726599,0.012031236594091112,0.014549747466589947,0.012570445865959517,0.014659093331327344,0.015184475589350507,0.018500668227524268,0.01636116738740264,0.013231907631496752,0.014255379305174851,0.013077380548030183,0.016519625858727356,0.01393382194322266,0.019963696780594134,0.013787063390338881,0.014386107683145473,0.013616491223817882,0.015585118434646422,0.018104914691576563,0.012451673316892543,0.014034481032590002,0.014523346376086523,0.018771036760541652,0.013983506799021302,0.015418028465125345,0.013486767764360495,0.01504013158041764,0.01810553190984396,0.013069944184730495,0.01355659001079667,0.012809044558265315,0.015206880381004016,0.015442820294704911,0.013266039835462604,0.014473797675280696,0.020560062911808487,0.018853953277792143,0.016914233784169876
700034565,0.01188492988323494,0.011663813670787183,0.012841434977169159,0.015030206446422589,0.01340231359152464,0.014287202132326546,0.01193111105072174,0.012192354884705039,0.013279063310608585,0.013035657948466426,0.014683594314144722,0.011838583457756121,0.012441844633998039,0.004829001444757395,0.01357922553960639,0.01288619660814836,0.012233087034359436,0.01270076198123636,0.011919511018201517,0.01430565314159189,0.012510353724950466,0.014700833442866231,0.013962551772236318,0.012068737218438213,0.013373848637562235,0.012538173953515691,0.013733202868445434,0.014117514803032055,0.017671045207467373,0.01522569561685009,0.012397265126395116,0.013485319945341977,0.012730060614946194,0.015297023261566687,0.013181803470821051,0.019226107198758922,0.012639256381151135,0.01337502828684323,0.012646808568297965,0.015065395684646895,0.016740349890000585,0.01199965433082105,0.012536354253219528,0.013235570842468838,0.017566741481832043,0.012487083112064139,0.014310507678863249,0.012573653847445396,0.01349552417599538,0.01662786632923321,0.012167519951526288,0.01239879496815508,0.012070701622205696,0.013902979957208602,0.014121203183446836,0.012125765949005132,0.013464211903262701,0.01951458026041881,0.01790990423017915,0.014696391671081539
700035747,0.012754500034792294,0.012495067575786665,0.014980854588517096,0.016309710105469895,0.01524086803853367,0.01590058946205004,0.012953659994708874,0.013000149736865042,0.014569159237122277,0.013594529473450365,0.01571163272859884,0.01342127265142774,0.013689636245354277,0.013396684663360593,0.004458678380465267,0.013573206311102143,0.01288960396888799,0.013075619936916305,0.012682561484618398,0.015448642877840493,0.013774727786342566,0.015378241954838891,0.015029560167248476,0.013082903883146374,0.014906811448221924,0.014677795729972019,0.011604039315802317,0.01604210688590603,0.019084500480172864,0.01647720289696877,0.013386137142705075,0.014798363251836446,0.014521295772082833,0.017239822033014267,0.01456657854424934,0.020916903407052472,0.013534558997469836,0.014348144054066626,0.013194143059252815,0.016235529968651227,0.016493934416597165,0.013653918701372836,0.01351125601272817,0.014481102236866657,0.01952163510100737,0.01286975840818477,0.015696500190374153,0.014805847846740001,0.016432319226929008,0.019023658989254014,0.013961276757470827,0.013883274460608242,0.013430336465710364,0.014998426618314178,0.015813111156795654,0.013876133496478166,0.01407617473573691,0.020638817957559976,0.01925904409235928,0.018892568614333867
700035785,0.012724245158099431,0.011831730422191239,0.014073106918964306,0.016270882216458057,0.014131938153140528,0.01564441652723083,0.01218673408973587,0.012772090981799739,0.014063571700250117,0.013566748769269993,0.015604574102391725,0.012517598694403583,0.013329783450140728,0.012940527684122575,0.013843219758400966,0.0028831998966653972,0.012698601647718348,0.013351773861849141,0.012490722994874774,0.015138210977857246,0.012888365783115857,0.015304698160657151,0.01486215272420913,0.01309449685988565,0.014085705976060778,0.013437407055167898,0.01389917004194358,0.015852489048468154,0.01870170646477129,0.016310128228395195,0.013195862488129225,0.014223861660508786,0.013641762617560416,0.013967960672030839,0.014168535358441967,0.02020069480348883,0.013228428743531995,0.013840747700426204,0.01394070153372411,0.016302024307166277,0.016984827161359264,0.012751876059434347,0.013555011706208153,0.014355808226514919,0.018952339696161797,0.01319117998207274,0.015600630126973897,0.013984308691959539,0.015134238126784988,0.018942206047757405,0.013476664986485188,0.012722413385583374,0.012484401354924127,0.014787243472451597,0.015451090288567247,0.01282191076162514,0.014130599822428057,0.020014437592596104,0.018274296832263687,0.017388865868213595
700035861,0.012118095886812194,0.010676335308213403,0.012801080509511533,0.015592810932653028,0.014533295426692313,0.015151532892203345,0.01150237729918325,0.01240546272597445,0.013821596001600994,0.01247498373198679,0.015008300119195515,0.012419354470959477,0.012479675797666626,0.01199334171206789,0.012797040865087754,0.012400204121531522,0.0027885010245510627,0.012116292471079693,0.01214522129355039,0.014583449000887098,0.012925050097819302,0.014645954991859613,0.014245699142636719,0.012109366485473175,0.013934209359323248,0.012958579720419689,0.012837663242376594,0.015165558318107059,0.017679707122270412,0.015361414819474202,0.012546625429061256,0.013520537246060668,0.01244215401608916,0.015575193238487722,0.013596510505841517,0.019486849637932617,0.012542709171398,0.0111370147319021,0.012363791929045066,0.015241736361388565,0.016487297487763158,0.012413018730307306,0.01259532444669111,0.013560963725209263,0.017923537115508252,0.011757556369525487,0.013944898939299611,0.012936974829567245,0.015088473947447134,0.018588013439415615,0.01306987120874954,0.012656631776530538,0.012653670071929276,0.013704332988895332,0.014989436250449573,0.013215563779576087,0.013323581973266075,0.019548324361370543,0.018281907194961092,0.01799448297418158
700037453c,0.013039914019301624,0.012068411068831825,0.014546259895669844,0.015684491912697683,0.01508260314340593,0.014983608522161249,0.01159498540376717,0.011983931657273872,0.01357056060908633,0.012960606874665007,0.015245971284094854,0.01263425902374108,0.01240937222773624,0.01254591257130795,0.013051420287472002,0.013049981539193824,0.01216500404829691,0.0033311165258525285,0.01165958603175499,0.014955526942458261,0.01313736425773164,0.015064636010445876,0.014211620807267941,0.013922388059599219,0.014018799296269329,0.01366940621870659,0.013437534358720978,0.015384388152411133,0.01871084378282373,0.015264117752214229,0.012523792852807457,0.014174559118059822,0.013697901867429252,0.01754839757951357,0.01431561794675675,0.019251827623701156,0.013031959542767207,0.014234219301001315,0.012233584328090446,0.016478867357479447,0.016357001035625044,0.01308624631129543,0.012503425346032075,0.01409883295440675,0.01812322989285643,0.01266229547622191,0.015295083193598513,0.014675852832890685,0.016382596529289604,0.018084216046743838,0.013563963265794716,0.013355281879857522,0.012734728507089222,0.013830625304022078,0.014762877263168737,0.013792383086213953,0.013512113949982063,0.01894968372335016,0.01777197994757449,0.01952360059837553
700037539c,0.012549338677561582,0.012665806499852005,0.013662879643221666,0.015962776793586937,0.014400786709697619,0.014719172316469995,0.013167055496271922,0.007042715976159089,0.014278521973391132,0.013939447148411008,0.015414531614379239,0.012912208142844682,0.01343058812772149,0.012855659011190167,0.013925192084042465,0.013417322023422235,0.013309011843450251,0.012853173333189478,0.005926739323726371,0.015128382753116294,0.01337270309619411,0.015709615650985605,0.014893298429873853,0.012391742794315822,0.01420594150188704,0.013362793684603254,0.014332563523590832,0.01541734548045698,0.017487282015622236,0.01603935814542065,0.01315236519714884,0.014079065313036473,0.01348015207097204,0.015430059961014111,0.014155919179960213,0.01959183035117145,0.013859737301380973,0.01403903467978819,0.013447644275125037,0.0153572705902274,0.017214841989242686,0.013104127851490524,0.013900949698161686,0.014169603430125051,0.018459479931050425,0.013190392316989515,0.015037911444112463,0.013101805359647365,0.014721096681770525,0.0177259616667628,0.013112061406778416,0.013396199179561575,0.012855260754201186,0.014789720343329654,0.015154700417534748,0.01339761538378836,0.014384785637324041,0.020237103262788766,0.01826968252090217,0.01570630638722912
700037632,0.014272589806270098,0.013851612659300636,0.015287999029252085,0.007358205133396467,0.016510053657034028,0.016286899301230173,0.015028913983363274,0.014030424358616712,0.013447722443193455,0.015244041789199369,0.01380164679452232,0.014421276123533975,0.01458850322164826,0.01417317836158419,0.015612390959092991,0.014926179868573766,0.014736172841735269,0.015204650835480225,0.013887759253404417,0.0045947223647617025,0.014628323316024311,0.01586009657193129,0.014431254804550027,0.01417484023895712,0.015402414697087393,0.015208658142532217,0.015566846694281569,0.01683389412406749,0.017833544113122737,0.014322295846533694,0.014048854011438945,0.015185284939678296,0.015639877466242003,0.016067228149043607,0.015755086264044305,0.01839361716736688,0.014857271431291747,0.015204299775965931,0.015254317031442928,0.015076725596739705,0.01717252202805091,0.014716524141341907,0.01538509165098305,0.012995613711016726,0.016898821846375263,0.014947291584672466,0.01583862586150429,0.014511279165925418,0.01405609457027487,0.01758254032530978,0.01463364019744033,0.015087929999375367,0.014159528735307852,0.015542925580425016,0.014057769417363884,0.014777376376944108,0.013501758364403225,0.01850699487221937,0.017405305557221352,0.01695805676415681
