,700172461,700113762,700116917,700109987,700116505,700021306c,700109564c,700023872c,700100600,700171648,700038053,700016610c,700095647,700173176,700016765
700172461,0.0012218183917645472,0.01838496627937917,0.01736991703927029,0.027974469817498945,0.0277071465607505,0.02424189033453829,0.016304445456123817,0.024305187542280504,0.02678614566810395,0.02577242525914216,0.024232652883086143,0.016075527697575597,0.01559841741037804,0.017639595267153113,0.01185368935358653
700113762,0.016782315124092083,0.0037304749702065116,0.012832818758855476,0.021627028089200216,0.021322724495492558,0.018433303708376682,0.012472077454307498,0.01873224611294072,0.02067870972768604,0.019608973640581364,0.01844874327893221,0.011858340529354494,0.012056013952349882,0.013103969240487227,0.016693938946846943
700116917,0.0161098686813252,0.013050177912427395,0.0026443408913473,0.022098924596930032,0.021057959372372204,0.018658389344682082,0.012289305329145944,0.018751750952373625,0.020574299555210937,0.019449219827461967,0.018649833457694973,0.01019523727589591,0.010648249898897523,0.009600274942939748,0.016202335536889944
700109987,0.02588803196180068,0.02176354129575901,0.02191190929995112,0.003359427710369852,0.013546067563433543,0.011431206415139769,0.02480508134240813,0.011785898639249164,0.012482961327203838,0.011667163219203606,0.011406112763686242,0.02353666837826135,0.02463711592168181,0.022626989517412658,0.024716837050862528
700116505,0.02552745794029524,0.021339239845990468,0.02076994875303202,0.013473304261277486,0.0034776873279867768,0.009831211931603615,0.02466077176270145,0.009982177517487706,0.01011524151280773,0.00853127146537672,0.009171608995933694,0.02262627911536892,0.02415310699782025,0.021686471959707212,0.024049980789083963
700021306c,0.02510932616942748,0.020609124146857533,0.02067567351811721,0.012753182343376787,0.011003959117411888,0.0014175677069447946,0.02393051980326289,0.01072125729920056,0.010273499806540751,0.00968849799274492,0.009980153999141105,0.022403227589471147,0.023857810247293908,0.021405427671830696,0.02354924173050171
700109564c,0.01619697079961117,0.0135736179911716,0.01316759890257341,0.026624890423766274,0.02658833995080203,0.022937593407462528,0.0024902593814587464,0.023174445359886303,0.02553773289231954,0.024531926197526067,0.023296954324636045,0.011878952460846451,0.012149600778561571,0.013608728275457468,0.016300445717969722
700023872c,0.025166586156174318,0.02103854696404494,0.02077447523437528,0.0131433236544197,0.01117693609608494,0.010721531623130059,0.02416268216385865,0.0016191272858809118,0.009954348193993521,0.009630183458592838,0.00993520734950731,0.022277522106405254,0.023688894475458626,0.021384599635916164,0.02370314503747156
700100600,0.02461895360036789,0.02067854610575472,0.020247550283340788,0.01238754945599489,0.010085555663503424,0.00916833946936932,0.023635436148308032,0.008888537912326447,0.002080084403437796,0.008020872427343409,0.008732839370783905,0.021889127277401787,0.023329550211985104,0.02085159714041672,0.023325610254038318
700171648,0.024351983575797768,0.020109080111308183,0.01966409324180408,0.011892889654537305,0.008737660116834021,0.008872325570179251,0.02334093023168684,0.008811848764338928,0.008231751394930249,0.0008732845092289165,0.008453542667039677,0.02147632496290508,0.022948648951222176,0.0204037663260878,0.022775852914125226
700038053,0.024975744439080728,0.02055916669775276,0.020568405764323568,0.01265754248933382,0.010218484617356244,0.009930694026914221,0.02417433054512777,0.009877501738087862,0.00973793354278793,0.009193693339609791,0.0009777435769823162,0.02243041550868652,0.02364138052526296,0.02123187011697013,0.02362377216949737
700016610c,0.015590378689583725,0.012610008619770371,0.010662569748547656,0.024711407092862608,0.0238722070105196,0.021009063962570476,0.011596376599864674,0.02089968573988964,0.023151401059020332,0.022096607268489082,0.02114021986044829,0.0013583669576223533,0.009819382973519258,0.010667469246822036,0.01563958686288256
700095647,0.015657339501968102,0.01321180652627361,0.011512802700937694,0.02664971238903655,0.02623908305411232,0.023055586439378304,0.012271161078268587,0.02290124635970837,0.02540998937098872,0.02430443243764752,0.022964829217523304,0.010157291120799964,0.0017431209986510413,0.011192335658583763,0.016168865199140344
700173176,0.016267231806059414,0.013235987251827851,0.009544271709408528,0.0226957329910312,0.02188664577389506,0.01923734667791441,0.012616688152715657,0.019216561125421677,0.02110154710379827,0.020093058632006604,0.01916393786433426,0.010129708573256126,0.010287230088394422,0.003464332180647166,0.016341965308246182
700016765,0.011449036232336885,0.01769836971296995,0.016885011015236116,0.02589728259105702,0.025310658268921562,0.022031174223535056,0.015836645245197196,0.0221951648183308,0.0246401840627634,0.02338014583037449,0.022218532997300127,0.01556455957528651,0.01556679548461814,0.01713703111232549,0.0010249438715238851
