,700172461,700024509,700098267,700163030,700116778c,700023578,700021902c,700103710,700015250c,700035861,700106876c,700165455,700165263c,700035785,700164611,700023872c,700163699,700038806c,700172726c,700108840c,700037042c,700171115c,700165311,700116730,700024086c,700038472,700037123c,700096380,700165634,700161856,700171648,700114125,700014837,700175331,700038702,700171324,700014498,700035237,700111296c,700116201,700175181,700172813,700102356,700014724,700110812,700095486,700105882,700163458,700037453c,700013600,700163772,700106198,700024437,700165052,700034254,700117682,700164159c,700109231c,700165778,700173023,700172555,700171441,700034166,700117625,700032222c,700014486,700016716c,700100540c,700037284,700100312,700033797
700172461,0.0074498352731246715,0.01279414038373496,0.011853659967684326,0.011142473009419472,0.012160438679056135,0.011700788464178621,0.013372703162272776,0.012372609238228196,0.014152490011785803,0.011963866814377009,0.011992580893096759,0.012169441592215632,0.012368392486048794,0.012127910680147685,0.011415697471291307,0.012176845673877728,0.011914707339041056,0.011688770228729906,0.011614534297335902,0.01346459196589138,0.012389640290169032,0.013593463859416729,0.011142952248822441,0.0122923414451894,0.011239580153480887,0.010949477610359226,0.012088557204361314,0.01197252481298164,0.011290220923754295,0.01064827559033857,0.011454682410543994,0.01267318748371795,0.014852559326488896,0.01258962284299615,0.01297892278135454,0.01151702202158296,0.010633759484877924,0.01258257212722017,0.013984327362657709,0.014113418377105454,0.012202222016630213,0.012569279717634016,0.011647563539257923,0.01384467186556131,0.010856498140455122,0.012028450825019396,0.012986939606073387,0.012849541984858132,0.011330616819167172,0.011409116718754051,0.011105593094869323,0.011864579444639282,0.012867160488453424,0.01152337559296338,0.011155580638672507,0.01177498530242678,0.011960658012184577,0.011653527062264588,0.011738568665947543,0.011057746474216631,0.012953227691448934,0.011707219875280957,0.012775605777321009,0.010872683137715644,0.011205024598369969,0.013082127050748907,0.012488100898204554,0.011412696691554728,0.012067525996748778,0.011954195259224018,0.011733476538729628
700024509,0.011860568132547263,0.00945998185589362,0.012990279510183934,0.011588098899101156,0.012568209441298052,0.012894389164187314,0.014665746512600138,0.013495895136878155,0.016269684702912804,0.013332137157125352,0.012919915092910279,0.012603243669519985,0.012740642354841264,0.012618620384216952,0.012327144067390284,0.013606892116372296,0.012843481936540774,0.012301049299985108,0.012850742418247688,0.01504303727281931,0.013550533481210868,0.014982263427904563,0.012819721267253132,0.013143089483080805,0.011947908514442626,0.01164246345314492,0.012677702500892805,0.013004153617771259,0.012816922827231438,0.011588571656952528,0.012966639783326843,0.013416373567597372,0.01618835671920717,0.013259352113576673,0.013890371445153558,0.012058001200204248,0.011197358986341756,0.01285874246697406,0.016743024142172148,0.014909694098849988,0.011646715704394937,0.014100324374222472,0.012659519968610864,0.015095378270382953,0.012171666972299792,0.01215604337828875,0.013723220257648064,0.014040005455171908,0.011536875771188964,0.012069881603371713,0.012397711377806415,0.012585457013764213,0.013520537247891198,0.012439867504509778,0.011443853221742394,0.013353029912078398,0.013096804103091976,0.012572433068744972,0.013039629155086557,0.011889725100053726,0.01383995801930203,0.012551145858192123,0.014085537485142366,0.011824241030407405,0.011911322759630309,0.014649368680188516,0.013306651754737931,0.013232180031388022,0.01279444319233546,0.012526311785043235,0.012980488609226726
700098267,0.01121854155719013,0.01323803365060911,0.00715091284487449,0.010469849872863778,0.011731513587153304,0.011375410366693105,0.013960122774927815,0.012527924547953907,0.01416604137974404,0.012510925683476521,0.011978311151749584,0.011848447911909884,0.012060633232972328,0.012060239596093885,0.011522659972869644,0.0124053493971132,0.011964560742580557,0.011239127997116148,0.011708384968089434,0.013845773921975977,0.012530197518833969,0.01427100424964602,0.011498751839446531,0.012450396363553405,0.011184213966943806,0.010955744708868065,0.011788564945130888,0.012083273867877423,0.011726855502276938,0.010876445899397041,0.011716682802441723,0.0119925275982512,0.016334148851781402,0.012407316616487377,0.01348001998366831,0.01119167160045456,0.01092163702288615,0.012399544440303759,0.015551667580783609,0.01420984281665561,0.012135456409972644,0.012588549430854759,0.011810505242038182,0.014129821463299991,0.010977786243058656,0.011590140791641777,0.012692326639490548,0.012918674475853171,0.01175081177717916,0.010837407628848869,0.01115437299844076,0.012144944205904843,0.012814296005455542,0.01126301974376183,0.010913675829382921,0.012092429932488932,0.012103667116114006,0.011526902272987891,0.011557556668085323,0.011378468746399762,0.012747711684978813,0.011508940716867084,0.012976403734317377,0.011036367372780293,0.01132605104917069,0.0134133834940534,0.012015823926116944,0.011612182973110504,0.011962792564573334,0.011828646464517744,0.011771050490547712
700163030,0.011107577967458154,0.012460947360254288,0.011022762752243644,0.003492890950027786,0.012252689556394074,0.007954520345506881,0.013617381150995,0.0122460177027564,0.014604994763973532,0.012115461058345269,0.009873789636113768,0.0118935962299308,0.012119022919857038,0.012011806344187151,0.011174758732874657,0.012545998692131388,0.01177375910512602,0.008192597726702494,0.0114000698979719,0.013189434954069004,0.012076323760338077,0.013648611035939309,0.010420808825149949,0.012219459920713929,0.010980158558608887,0.010705738568991714,0.011814673994132113,0.011949000089274542,0.011256721276492522,0.01074772163058922,0.011236544542691207,0.009349140291367042,0.014351237029132862,0.012368553736491787,0.013110840280875731,0.011129487842116495,0.010303818271542245,0.0123714514251152,0.015088336890028246,0.014407397164944331,0.01151921638502317,0.009433657329113195,0.011732084367505013,0.013499037960021035,0.010868264467655807,0.01142614098845601,0.010644552376592677,0.01216996020353872,0.011623816858329344,0.008402663468690863,0.010486721432622614,0.011652040716897424,0.012733533411593514,0.011522987724560892,0.010986781379106657,0.011841370324838122,0.01155961391404322,0.01131533713350018,0.01136648759450818,0.01076465636725656,0.009206988329843187,0.011438818400689726,0.012734805369020849,0.010930274027333918,0.011299091553273523,0.013913158113815074,0.010470221784345585,0.011331934665336723,0.011965082413135243,0.011913656576652205,0.011612193437787124
700116778c,0.0119938430270983,0.013413700173257529,0.012252473991272508,0.012119823288337037,0.002950548868567611,0.012316677212434195,0.01414249283371039,0.012036735100381208,0.012238558221316012,0.012609625044528698,0.01334672999825247,0.013229374844056134,0.012029337241917286,0.012842370446037957,0.012109948492964723,0.013079456685348302,0.011680985638881002,0.012629761124566813,0.012127333490498243,0.014254227203051315,0.013329106218021818,0.014500191958009641,0.012160207512943954,0.013208090457965048,0.012282698662102498,0.011655797383074342,0.013033705623312316,0.012811300589463009,0.01238768390465655,0.011412933853758704,0.012037252049154479,0.013279366180689737,0.014667597414764363,0.01383734648461538,0.013404936780895842,0.012111288291626176,0.011381418242928015,0.011996656291596193,0.014311609610493813,0.01401029614284857,0.012798469950604024,0.013726386808630798,0.012593241549254869,0.014365743014859775,0.01152580576255712,0.012503255744476431,0.013393623104403979,0.013592097422249115,0.011811411757464377,0.012128214927058177,0.012120490757961,0.012992936148656849,0.013727771073807864,0.011264321489389828,0.011798528795739128,0.012316595268300977,0.012823554388750342,0.011849849804981364,0.01284157072635982,0.011500553513161177,0.01351185475720567,0.011835986368342532,0.012643813848444388,0.011445933433966748,0.011622609379630144,0.011945331257606145,0.01316987124380493,0.011162076045364157,0.01171751199388637,0.01285050273431588,0.01236675164619583
700023578,0.010832420527695421,0.012910335957837136,0.011155250824077131,0.007431765882460023,0.011523298331856877,0.005920442649809821,0.013440713913861936,0.0121968398887683,0.013054782416919248,0.01207927102440557,0.010574598288055796,0.011949011984891863,0.01207102478748407,0.012069983314515215,0.01121613231978894,0.012157187800645921,0.011934082156541466,0.008994226007068189,0.011265646236449831,0.013830682899490349,0.012440768538752124,0.013092964015071042,0.010845344021357565,0.012283920191774584,0.010585158656357741,0.010157332851046792,0.011438108337848198,0.01196961806541684,0.011585187384395674,0.010422366285415395,0.011325800234678106,0.0100248202188506,0.014706439312957094,0.012424260133553487,0.013191618308991055,0.011385614530778142,0.010421236326424006,0.012146135632462076,0.015937199227158184,0.014214467320129218,0.011677098729297213,0.010486262455941805,0.011703027337428272,0.013810636198348044,0.01095309806315959,0.011406808564086409,0.01132774576664074,0.012236254516530208,0.012119400919667251,0.009500651614628392,0.010993193005788686,0.011918474944293872,0.012547895875141513,0.011523650702191648,0.010884279049824188,0.011813138091153415,0.01209155495869274,0.011713248633745586,0.011736439853219848,0.010816389997102206,0.010194023710057887,0.011694745541942969,0.013204575989763313,0.010560778038095471,0.011055062465658776,0.013848815326181464,0.011024892284527462,0.010964154345242677,0.012015500737978644,0.012147177147072542,0.011529899760411659
700021902c,0.012570283881803913,0.014895927836295259,0.013855449441482736,0.012865118545638118,0.01346510812693578,0.013660004517168915,0.009087834155794687,0.014104415991391934,0.016195058274997946,0.013579346284769872,0.013555045240148032,0.013783533080381572,0.013876031619117782,0.013771328061635248,0.013209644117440763,0.01384914849424045,0.013677012781467856,0.013335324272546613,0.013272973879522237,0.015523007302332246,0.0145073186093948,0.01608196703887536,0.013088813135365444,0.014115478419632671,0.012577515506514992,0.01187597272562685,0.013059066941745157,0.01352839701982041,0.013264357906900495,0.011965417273155084,0.013103933073447756,0.01412659519289963,0.017584721247693908,0.014444341854488887,0.015210749428927568,0.013282270516407442,0.012093296118178316,0.013961929933749829,0.017175731429321744,0.016068474334853592,0.013390449696611741,0.014795522603363462,0.013584356402048059,0.01598917175600776,0.013067820384114134,0.0133030232145831,0.014875199442345124,0.014295993472469737,0.013704283474099006,0.013032203476182351,0.012757368621815751,0.013654669231112712,0.014687023983777072,0.013214910675390105,0.0126887853798365,0.013150649495490746,0.014108843064287726,0.013610337004708794,0.013597774139995484,0.012425414238301059,0.01488049703103354,0.01325762300661764,0.014630952560881115,0.01187772416981837,0.012478913989399992,0.015916656596720157,0.013851772933060759,0.013264347872388848,0.013881810858612613,0.01395921281691917,0.013266270808681455
700103710,0.011394031328198124,0.013361622152513344,0.012130050317342954,0.011321766380683305,0.011178530760161134,0.012068380820120005,0.013748950196497084,0.005407423692905984,0.015483698851012397,0.01273252547092846,0.012433498234599587,0.011845508486504694,0.011876865082096677,0.01208338391959355,0.011661990323403,0.012678179201754163,0.01182142960220035,0.01168115249830774,0.012043967248327988,0.014271077737716516,0.012886841152792886,0.01426595893312806,0.01171773024128125,0.012497966083420927,0.011410421111427342,0.011079733774873613,0.012142774094579806,0.012108778757107357,0.011554634010602149,0.011204809436465108,0.011817910229868871,0.013083542746609035,0.015735418227238174,0.012918700185783527,0.013446697307358105,0.01117095510557659,0.010676422150722904,0.011874284742999838,0.015618370696819388,0.0134195230338739,0.012250824535500394,0.013338237393446459,0.012299026617169069,0.014905378097640719,0.011286764996976869,0.011772874094027502,0.01281686852119584,0.013073450026052123,0.01142976688179292,0.010851969942360946,0.011406997561667636,0.012079938363655418,0.012659068306270449,0.011239716500170024,0.010992192664136494,0.012285273444170436,0.012468626199162352,0.011472136857034472,0.012013800385930024,0.011103804602729894,0.013241233839054123,0.011429789924181687,0.012636633843152709,0.011044729132090977,0.011023628963629432,0.013615477586633395,0.012561975213729674,0.011825104192197535,0.011933023391470177,0.011927479944498038,0.012010673205461895
700015250c,0.013322558654381393,0.01629094171252912,0.013989805055252508,0.013792057726822486,0.011449780586225514,0.012833768276013784,0.01606486205125093,0.015838041232440123,0.007920449694242219,0.014809051999186938,0.015012549832237716,0.013980863428806587,0.014499830942350982,0.014464399474452924,0.014709743722591397,0.01635405161469771,0.014487791215637534,0.013943942355416378,0.014203826186726163,0.017390128531085996,0.015376384765055581,0.016926397370051142,0.015013369725529684,0.015000357436398085,0.01206141063930281,0.012909314200000157,0.013001048678345384,0.015416498496364263,0.013174947889545879,0.012660090487091498,0.012266411789601722,0.01371322556234974,0.01850648235015453,0.014307480908266541,0.01679883714343794,0.01325760303727331,0.012154814054281591,0.0135570873687719,0.01879527072031913,0.01476922953694695,0.012958906307731962,0.015991157715587918,0.013533846843966043,0.017822278169066137,0.01387714623974408,0.0143342809780951,0.01589292716401593,0.01538912404221448,0.013934181795463407,0.0132272566878182,0.013564627305353813,0.013402111316341064,0.013352115399560964,0.011932229630878923,0.012656462189240979,0.015093110148155862,0.01502325159777772,0.01397527302876122,0.014953991212881303,0.014016871517397991,0.015509017482282991,0.015531994214919782,0.01583661327791883,0.013784476743772846,0.014020932475539614,0.01779800653182087,0.01267419301831798,0.01417962661123894,0.014960404769769063,0.014784564075472987,0.01288341178194978
700035861,0.011403764061615859,0.013718652790975372,0.012621427070938036,0.011605278937126986,0.012148717132736528,0.012398855357008656,0.01374622742478355,0.013253553213449985,0.015213914370964197,0.003971536593311767,0.01252798125885088,0.012429497127938238,0.012601135012637682,0.012547553143480066,0.01193771370088939,0.012776781888724465,0.012250352492921,0.012172437358707062,0.01208535367879322,0.014210621066890071,0.012937987485507884,0.01401951590985577,0.01191913268835594,0.013017614108250794,0.011400707917370221,0.011153896214171566,0.0121126950160109,0.012375500041099649,0.012011952744974434,0.010644150318897554,0.012036279465631551,0.013226588105264607,0.015758031675737194,0.01297482943407955,0.013661835459049629,0.011728143328480309,0.010684913095039009,0.012485028512463692,0.01590385222812676,0.014608445346518744,0.01230971127182488,0.013435491095451346,0.008190045663288733,0.014189932993951363,0.01153722602187962,0.012308153241453684,0.013455528981070565,0.013099410649063122,0.012270010701026249,0.011549816776024823,0.011516900779224641,0.012194392548765145,0.013105090663442207,0.011864096880781678,0.011614802690238223,0.01245322179439592,0.012587741232433444,0.012228703595657095,0.01247372273497451,0.011301920196698251,0.01355183279687442,0.011965960249544091,0.013334967706569438,0.011091207555735243,0.011328807581709371,0.014256966925199637,0.012830214463774916,0.012349836813585192,0.012589140677426305,0.012486865428893778,0.012309063818760829
