,700013600,700016610c,700016716c,700023578,700023634c,700023872c,700023919c,700024086c,700024233,700024318,700024437,700024545c,700032944,700037123c,700037453c,700037539c,700037632,700097688,700100600,700105372,700106836c,700116201,700117992,700161629,700163772,700164339,700164686,700165052,700165148,700165634,700171573,700172461,700172498c,700175181
700037123c,0.008051505607852774,0.007301280077539145,0.009735413924553892,0.004534471652777761,0.00607829451060983,0.008911812157228803,0.007495689470561721,0.00729416955734814,0.007792045886167625,0.011735283095702704,0.007730984801518505,0.008225827945553084,0.009138342456898537,0.0033647349183810737,0.008513863460898375,0.0068811879495746155,0.0075831369341528955,0.009492596307424161,0.007071105972777293,0.011529887789050747,0.009907637108097932,0.007277435622834009,0.010004807949661486,0.010685316515916362,0.009208979930531803,0.008653231685859745,0.008621150825967018,0.009000063079659741,0.008547309019187274,0.007318729703967386,0.008432681839033045,0.005867604804849487,0.007356955467008743,0.011032159478349375
700037453c,0.007174909675329046,0.007896174465863711,0.004498413976054388,0.007278020114296203,0.009558189384816463,0.007855238985840077,0.007107480487485428,0.0071435170718215915,0.003986822752986605,0.0108201137470664,0.00800078938732257,0.001685376365243846,0.007981135497546235,0.008356296418548114,0.0013083190446868754,0.006713629134798219,0.007560481190666947,0.004927905145585912,0.008425877699750207,0.010637224820525476,0.008923075307123291,0.0072894511580617735,0.010090945202210695,0.006371876645356435,0.008014635274347948,0.007754718023840888,0.0077168845744986815,0.00700908586590796,0.007851706432381754,0.007063199899484581,0.0076011723998124,0.006674229831946215,0.0075854065339796065,0.00989273853546626
700037539c,0.007219409359334763,0.006269184670399721,0.008796182372898064,0.0067161929112801635,0.008418698880222123,0.008116018055419432,0.0065118669613458075,0.0017481260535058937,0.006438763530802387,0.010981610394738286,0.005381005713119832,0.006929307828086313,0.008427793215393553,0.007263384713065914,0.00721584152325154,0.0013885849097131245,0.005493079240847298,0.00816471200437475,0.007100212825272951,0.010834335616159544,0.008424631639253694,0.007042369765755844,0.008850028748026751,0.00978369381374592,0.008028269567025974,0.007971194013848087,0.007205866987436926,0.008136404570177303,0.007602562073238481,0.004462927539010538,0.007726270572429261,0.005391778392179014,0.006720225324716488,0.009889886468064353
700037632,0.0070158037391619965,0.0074105184352760345,0.00885237725745745,0.007353746888616753,0.009139825564618155,0.008472093565541246,0.007007235566547402,0.00556924653717695,0.006600351450704919,0.010906709882080371,0.006606988950043691,0.007195475457943999,0.008112919467370453,0.007522341894760096,0.007619441610099824,0.005149989799724284,0.0020194287883491665,0.008729864858264413,0.007486236413243084,0.010712030130042086,0.009764348923729944,0.00674399725459214,0.010420393012810152,0.010296996484057987,0.008326225498491505,0.00776966086426293,0.007466402914046762,0.0083307598878702,0.008258213577211465,0.005962443999128314,0.007645026179739137,0.0056963411669870645,0.006704030640287572,0.010313644855254019
700097688,0.008250373872977725,0.00919056370264924,0.0057652821435614,0.00839863787476042,0.010854466395912503,0.008434845519817184,0.008203789269759102,0.008138155759741937,0.005239227504654743,0.011217940299815826,0.008950100398212582,0.004652492941690305,0.008797908979520416,0.00943555453610855,0.0049749371965384604,0.007688453144804667,0.008795391364288408,0.0030582896737839497,0.009282363191381328,0.01106590657755526,0.009073950094755224,0.008270631174716058,0.01156765645208481,0.008286107060256502,0.009218451154842888,0.00878673356473701,0.008858005357209316,0.008373958764080223,0.00864937124552625,0.008185496941220598,0.008562913593556735,0.007876109754365652,0.008669247728270183,0.010682050505889384
700100600,0.008166313447642869,0.0068418597623925185,0.009601022224127466,0.007066001669900011,0.008869064253686226,0.008507821078609142,0.00722117755976324,0.007015112375621462,0.007459265976373117,0.011503468079189344,0.008387512945129745,0.0078116888597063745,0.008972669125442242,0.006940080794796342,0.008413357697455687,0.006591312589185106,0.007419779475982379,0.009138006267201407,0.003409571325190448,0.011325800379608536,0.00923847789110981,0.007569643863021614,0.011443557094760765,0.01090171598627517,0.009109875417631974,0.008655398878418546,0.008510236818881505,0.00911517966473255,0.008385759254174776,0.0070730434395207915,0.008476320267581614,0.004634187258610271,0.007130448517637983,0.010402648880691485
700105372,0.01101011415461708,0.01183953480229977,0.012438874426970475,0.01181741944573636,0.013364597483837963,0.011180854827371892,0.011564989734778609,0.011421697012294642,0.010929652550906173,0.0013413273691356236,0.01203450991188169,0.011275214281935767,0.010965875838665099,0.012376690247672094,0.011568786376725692,0.01096523957755142,0.01153548167482716,0.01186013830812218,0.012311994814773294,0.0011850364492754836,0.01217367213122849,0.011431108995456874,0.01272992333617385,0.01367815997605686,0.011576304329415922,0.010771289476238009,0.011704606793558557,0.01183421252738401,0.011121530077684322,0.011150106760903002,0.010560308938888971,0.011297350207450384,0.011536053562535415,0.012936403044330712
700106836c,0.00843515901277543,0.009660527392911187,0.009541797802036294,0.009202878981364924,0.010948743589027978,0.002737729721553519,0.009238076918355077,0.008101493293566823,0.007977518877617861,0.011259185415687743,0.009147013021001934,0.008250457067870089,0.008615577898427365,0.009619494451889712,0.008820757184419692,0.007739857780201326,0.009630955111347733,0.00883472837826081,0.009152027680084633,0.0111525939245933,0.0026448586543180216,0.009477694322646838,0.011783855782750622,0.011509052447214903,0.008789906827435872,0.008649178835881665,0.009539477367350878,0.008698743888529722,0.007395201189438978,0.008296046909195304,0.008424502066484308,0.008118274157385108,0.009132941480265944,0.010027617262492083
700116201,0.006853185272118118,0.00674944845694614,0.008843388806437018,0.006792368262211858,0.00889417337195646,0.007975883159536618,0.00479378466209944,0.007784847560210962,0.006434898486809737,0.010653689943003088,0.007600112229553561,0.00680834770341647,0.008008561947942227,0.00706263066014325,0.0072048444097084765,0.0066006552784140205,0.0065999866705995875,0.008075457902376215,0.007458844353661754,0.010386032202167486,0.009419412445719618,0.0013177115787290758,0.013139569941390998,0.009651662704149876,0.008138302535731987,0.008331472967250314,0.00894503125773046,0.008578542543148349,0.007799778006575455,0.006532951262085853,0.007274988913481609,0.0068733049975373195,0.006542137706387817,0.009837534034754335
700117992,0.006732011295782332,0.011620504414157226,0.00881040743529671,0.009557056123210466,0.012044842849398739,0.009414326816761338,0.011412550704172672,0.008938090537832294,0.0081783622515096,0.012237403070247892,0.011207808670512999,0.008630680946628017,0.009275653822210498,0.009818292641725948,0.010218054691580153,0.008425740364763842,0.010684063099390798,0.01144974515272969,0.011480427782566176,0.012105985367372857,0.01198496413452576,0.012991893721897515,0.003997749929823288,0.014241645815172831,0.00980596311258506,0.010564412820170552,0.00510551488190988,0.010947116559632968,0.010464023661510025,0.009065591634364895,0.009726462481308642,0.009442021332935577,0.010385090538832008,0.011404097165363688
