,700023788,700098267,700024233,700023578,700109987,700021306c,700023634c,700038594c,700016456,700171115c,700024086c,700038472,700096380,700165634,700171648,700114125,700161945,700101581,700014498,700111296c,700175181,700038414,700095647,700172498c,700023113,700106170,700106198,700106065,700024437,700173023,700038870c,700032222c,700016716c,700117755,700013715
700023788,0.004554153516814465,0.008175165812387464,0.009565566158752665,0.00911648470005198,0.010689333202138857,0.00861999108722785,0.009678101131419273,0.008776321465236834,0.011039873295427808,0.008936500836695681,0.009916942549769254,0.008908213706560546,0.0091454492946481,0.009546347344066551,0.010125459777709041,0.009077884280452414,0.00902342510817796,0.00972722183517552,0.009014044075858051,0.01014999367546305,0.010600837907150149,0.009824690763906959,0.009356229836129687,0.008703284508560212,0.00936379328937587,0.010346975004849109,0.009736812769597005,0.009607635455050318,0.008054997524374958,0.00837842476824269,0.010748794685006956,0.010387169528031351,0.009943534985155636,0.00735502007073368,0.010321872227991429
700098267,0.008360960324736152,0.002837384941168421,0.008846268489509573,0.008298967033354563,0.0090571333761925,0.008362365724297232,0.009064906242670196,0.009053092191071706,0.010452662910012091,0.008670141785587828,0.009051192796979208,0.007433862567986288,0.00896014581965235,0.008963557216369294,0.009449486966378534,0.007617770064075519,0.008622237679008138,0.0092819421375,0.009020083557525205,0.008255047046267292,0.009563493643836166,0.009885212844105887,0.007645935614299236,0.008831054678404055,0.010724774009525257,0.00996443662393599,0.00822756140295908,0.009478040119253371,0.009454112478269841,0.006548539369568961,0.011726343428344912,0.011414195943131715,0.010052246293284037,0.009436798564825051,0.009409779316191108
700024233,0.009720277331983688,0.008779870399336889,0.004445010824669358,0.008873311211758167,0.010689318135478626,0.010580767919682328,0.009122312087079679,0.009356700912993272,0.008502828909808054,0.010574636799289168,0.009670611454329259,0.009023649385643559,0.009969512726206784,0.0078118879914900454,0.01042019645602202,0.008831181839119564,0.0056080711340453,0.010555205194308904,0.009410579263832337,0.010223884264769206,0.010452682444997226,0.01098942261506043,0.009497010133191005,0.0108205224166519,0.011942511259327968,0.01069691312197431,0.010079291362492832,0.010305494021399363,0.010434092326332842,0.008671592197379249,0.012991994057983215,0.0119978328877162,0.00687772720071515,0.011228642224913064,0.010439015192571288
700023578,0.009182180241081892,0.008241186737448673,0.008862160859329385,0.0055441217518913295,0.011396799417292248,0.009431128036625058,0.010618511744328023,0.010168781198255098,0.011024227676174985,0.009347300499428777,0.010092174147169616,0.00954269187928065,0.010293492379587243,0.009472427380104788,0.010065123788825,0.008195124369690884,0.006969933791290435,0.0098770920067608,0.01048275972340624,0.009221008183417598,0.01112062535345516,0.011044133292218386,0.008847004492871608,0.010155757069670698,0.01085217478798935,0.010716337549887477,0.01004942651973083,0.010515104793954008,0.010367236372754949,0.008294485393352409,0.01101553253126117,0.013783572276858023,0.009084662215372907,0.01081640713013668,0.010617034820847523
700109987,0.010830634170807823,0.008969219340336674,0.01069335665384284,0.011415903313909856,0.006574425317259585,0.011691833155370129,0.011450054830352285,0.011121582211602086,0.013201835584124293,0.010869389005738998,0.010689920077268432,0.006841286602407037,0.01152935103660849,0.011169988433180136,0.011853865399637448,0.009046147080286676,0.010486841907846916,0.011244619358465236,0.010631253591095369,0.0093433983806087,0.011187213183866895,0.011884924163658116,0.009546281903249552,0.012463400889529238,0.01484176757200485,0.01175890684951848,0.01031726948558849,0.01143222220527093,0.0118141104294705,0.008635795866992703,0.014398732694046788,0.01434663456279481,0.012145250526171244,0.012987430437867792,0.010902392831133605
700021306c,0.008621202793093263,0.00829263058114929,0.01052142318756521,0.009359420685859696,0.011657583481606473,0.0037479080176760866,0.009858527550857369,0.009769803570208794,0.01367898931966603,0.00895571064667312,0.010466853504327588,0.009272483536471091,0.009677703121277498,0.009556690655229077,0.010486278266791344,0.008964493929264615,0.009260780314955376,0.010011601224901792,0.010286299245859826,0.010316407939335826,0.010583040884588136,0.010348615977343151,0.009075492232975348,0.009194585626671987,0.009596077388095562,0.011494616422318206,0.010130109436973464,0.010414476514851695,0.01008781339532918,0.008399534141027313,0.011804654506843421,0.010443676939283143,0.01001874097798657,0.009718595372944705,0.011336599263954784
700023634c,0.009678033010809552,0.008870085847257382,0.00898016693955637,0.010567550422904413,0.011292847051812492,0.009773671117496708,0.0047533103259633095,0.010425963489759157,0.013001783707000092,0.010794756727356613,0.010272365694234188,0.009120550324608808,0.009371287006452938,0.01078225237618591,0.011191252020158944,0.009413981644483777,0.010445428664775576,0.010783279297713414,0.009828001710098384,0.010337835683926532,0.011505834853150449,0.011352928295825602,0.009478269717391774,0.010400654632927758,0.011720512946756852,0.01163250481930888,0.010335421564140636,0.010622071945131557,0.010601160585313223,0.00882187463258448,0.012959338775077756,0.010917613931481813,0.01102122927976627,0.01180783535745591,0.010306774738762929
700038594c,0.0092957602611404,0.009344919762731177,0.00977125185694411,0.010586786237500123,0.011590060772262907,0.010248405668199626,0.01107278257428935,0.004080487256195275,0.011839591105233528,0.010368658854284715,0.010698248646357851,0.009679726764565792,0.01083489495259979,0.010697167313480858,0.011008745201963844,0.010037143347002557,0.010238362516948464,0.01109732735339434,0.010181435350106556,0.010913862553468892,0.011401000722511215,0.011288875539933114,0.01024237888516242,0.010457245962188378,0.01251545697900375,0.011298461732048196,0.01056311106818298,0.010987693040033313,0.01081876918206306,0.009268240309843287,0.012997662897971269,0.011712167280039034,0.010543169210453405,0.011179511521978512,0.01116466343933493
700016456,0.010999827846109176,0.010255051192950778,0.008431305235555367,0.01076109261892233,0.013062016187802636,0.013519351884498964,0.013065188691911964,0.01129804980784196,0.006244628313078975,0.015093926481222803,0.010078087740599062,0.011045159328303824,0.010948650398827746,0.009105025108726657,0.011531370342514802,0.01258560367161385,0.00732588068258698,0.013058255262714044,0.011312500137607848,0.011966729542334114,0.012893353483790695,0.011491969791557763,0.011939913330401805,0.013208459047880684,0.017595126827788615,0.014132224629546,0.011521222032253696,0.01121275265002872,0.012903163410766636,0.010133821547459187,0.014693345291273913,0.016618458260922925,0.01274144527056096,0.014474306961948178,0.012100428488640676
700171115c,0.009060003892575072,0.00864903060022418,0.010520078417587992,0.00932609541282274,0.010856102774858446,0.008991179851994347,0.010885817172988137,0.010007914496800573,0.015168688057973896,0.004619062793530744,0.010827357372031584,0.008781151151172069,0.010424422856677612,0.010444357426494149,0.010903519990216829,0.009047637330393469,0.01031326666706765,0.011709032134742486,0.01118964000708696,0.0076275514559910685,0.011850941056005107,0.011107822890548031,0.010343537627761927,0.00954063754201626,0.012808828606411528,0.013331402075404187,0.010394673290094962,0.011485193835712693,0.010504803129778938,0.007835764934056445,0.012182219407014866,0.012356560634983759,0.011986482522413572,0.010900868159591836,0.012209329997032076
700024086c,0.010280307552298836,0.00914076315287608,0.00984823098699775,0.010407797546640016,0.010886582229805096,0.010802611437364058,0.010685295245717244,0.010415797297116832,0.010493467418426085,0.01115481856268787,0.00572485288200755,0.009562004637885807,0.009555247086753241,0.009968598687534129,0.009162407026948243,0.009744878487527678,0.00987177957060264,0.010307986554949996,0.009160316181424908,0.010665863073195942,0.008662866688622959,0.009939920985715878,0.009506567660467142,0.011242353297229876,0.012471198263949044,0.010761719198056062,0.010399290779317805,0.008820979381706076,0.01025456896355588,0.009137292163033418,0.01298775250674344,0.01204695410524262,0.011182733025174118,0.011464211895907298,0.01016144723750882
700038472,0.009144852902083191,0.007461413253831756,0.009119700478861459,0.009694866173845672,0.006908305839983575,0.009501988789648587,0.009386877758449066,0.009360373968953915,0.011357813239748759,0.008967187339217737,0.009473281719849838,0.0041182691565382,0.010037788715467946,0.009842497550637942,0.010406785282606959,0.007477664457320128,0.009067754534391721,0.00979301522770074,0.009190258252886302,0.008151427334926645,0.009969940975104652,0.01057371384041969,0.008311386066087114,0.010241887431811385,0.012265904999737431,0.0107790924672966,0.008977019585512717,0.010020720364024202,0.01002644431488038,0.0073048434649862735,0.012714100993319228,0.011365094520337198,0.010425290787987877,0.011164133186509977,0.009552657834758269
700096380,0.009227784787849677,0.008840755355430873,0.009903316418277484,0.010261616693990613,0.011477278442615127,0.009748989461573498,0.00945086808815777,0.01034895011050478,0.011123472552576992,0.010437923008353346,0.00931251151744002,0.0098861672087618,0.0053057109213512105,0.00913069446688378,0.007390247018853343,0.009447655834342173,0.009590894120318695,0.010259816997781048,0.009713023403224304,0.010891855085772477,0.011033883830682831,0.00797618825959932,0.009587970798321776,0.01067813877436018,0.012252456122034336,0.01081337908156815,0.010447136725199658,0.0065571898919711685,0.01071428120218421,0.009193448876315456,0.012301228912073314,0.0121374492209045,0.010762633212250657,0.010303400626452745,0.01060184680977876
