,700014724,700024086c,700024615,700024673,700033153c,700033435,700037539c,700038072c,700038167,700097196,700097688,700099059,700100022,700101916,700105049,700105306,700113867,700116401,700161629,700165148,700165224,700171114
700097688,0.009246414763322216,0.00892905682314349,0.008603127199153704,0.008518236113436327,0.008898504098504054,0.009359576600436318,0.01240091392202843,0.009287905139738446,0.009993206227996881,0.008735752077263912,0.002750197881964189,0.0026242751143614263,0.00931362871281713,0.009539451286190591,0.011262078736447821,0.008473824091466096,0.00978246711452689,0.0097743937289884,0.009908488628385576,0.025578361875057094,0.00282543523457385,0.00900181478966675
700099059,0.008486328810214053,0.007874709383400293,0.00787923540997814,0.00782843625150265,0.007895475310277674,0.008376252116788094,0.009029511339019716,0.00856894069825929,0.00928653141447138,0.00798473471687463,0.0025926154678365195,0.0008165915979533001,0.008608732780585117,0.008490139468025253,0.010245572337867019,0.007690474769156906,0.008796075735575361,0.008987434333101204,0.009215060922195645,0.02559446636332378,0.0009702855142768744,0.007694835923101367
700100022,0.0030506576930836187,0.007957805988300414,0.007736699864996881,0.007709170350316957,0.007797811550375746,0.008408127869030686,0.01010820131090318,0.008517155966438435,0.00915940625298571,0.002492448363870036,0.009185694295992022,0.008565847628014064,0.002731664456160678,0.008514306878084023,0.010028978202564445,0.007544056422342257,0.008679269661940568,0.008562178787678742,0.009095058628754274,0.024759534191462644,0.008724400568788272,0.007840287918898474
700101916,0.008000780741579441,0.007838735921588444,0.00757753609746123,0.007723894498256369,0.007643517029365873,0.0023227499839720855,0.012283180552610594,0.00808320656066851,0.00871022494482695,0.0075148815373167815,0.008919454218049466,0.007988625183960813,0.00805294101910372,0.0021572406827936497,0.00989541631803235,0.007433339362408667,0.008531706748809983,0.00864971543350593,0.008647424020924357,0.030780181621065633,0.008387578947368588,0.007819878212489471
700105049,0.009341381654908183,0.009312635018188953,0.00887913697664363,0.008997268890399488,0.00902608352232793,0.009601526591400006,0.013573079198258783,0.009509345468137212,0.010017629403159823,0.008876666426133677,0.01041843780691082,0.00953867112756811,0.009395042624506767,0.009793099622342143,0.00502937060729725,0.008730032828718214,0.009816532302160182,0.00993519411881531,0.00994054420772155,0.03274119729231375,0.010160532429549311,0.009078497575526414
700105306,0.007259461877638589,0.007041871495856911,0.0011649705866847472,0.006776156891015249,0.00699234727857648,0.007486425182865228,0.010917057264227044,0.0073398225096586245,0.0025198874812696922,0.006721408956534984,0.00808929352071869,0.0073966105289544485,0.007288922698828801,0.007592792374008809,0.009005646389768791,0.0008864086652641883,0.0025118862745249354,0.00782369363612411,0.0025979093822493643,0.029406941781499985,0.00779680984317198,0.00701648575522166
700113867,0.008712583970374888,0.00854944061170353,0.002781338162230871,0.008471264346456838,0.008372075096508159,0.00890704721237486,0.012633062349911852,0.008869401503692387,0.003887371627655085,0.008199931492676768,0.009725912609079445,0.00882936609025829,0.008751312558760452,0.009071225398422589,0.01053720328983157,0.0026011161627703776,0.0034453367943212774,0.009330595811958688,0.003934677653393533,0.03143322575347716,0.009314232806931513,0.008550395268526701
700116401,0.008246210314208942,0.008289921648976519,0.00797225598752496,0.007815516547711199,0.008030738651269369,0.008680461286013085,0.012404189022627297,0.008632493375682294,0.009228271709234974,0.007759377099260398,0.009311688135109936,0.008650320488122198,0.008277528582098428,0.008810728047417978,0.010230155319879872,0.007817304427311494,0.008940041466865441,0.002896293043461404,0.009156112269175546,0.025356542201141138,0.009079392552145895,0.008156901611438639
700161629,0.009061758188654208,0.008588131698215047,0.002897926033238121,0.008573653280637365,0.00847083446808928,0.009045457115538256,0.010356159257757128,0.009301122640515252,0.004250316907931082,0.00856203714520478,0.009837112804189082,0.009234079539940503,0.00915395525872046,0.009206275879109155,0.010678516199922865,0.0026959095068207774,0.003925073913849908,0.009536132827779913,0.004153338535593804,0.02787116229999556,0.009450388679194599,0.00856578410388115
700165148,0.02694214154188336,0.02866863018257102,0.029472581350745364,0.023509911517224008,0.029857802932181255,0.03070375475337343,0.028954870164186127,0.028281868332070664,0.027681452037466088,0.026711722805073577,0.024873976630205602,0.024865734736458617,0.024473480993325716,0.031326790801485746,0.03364066367958912,0.029611103056384123,0.03099211181318968,0.02618246649637667,0.027366074446349295,0.0019232745754894124,0.029435671129561802,0.02402449946574979
700165224,0.008147328472176195,0.007880482322173197,0.007804059689539206,0.007878553584474821,0.00784881562345049,0.0082012199161132,0.011696718302461613,0.008235783042292055,0.00891464553662067,0.00766107676842674,0.0026406273059515427,0.0009092337892564312,0.008223401501741423,0.008358314080495267,0.010240695501114814,0.007632563207328846,0.008732015076591666,0.008879803892294468,0.008843974783126242,0.028971186571860274,0.0008032569106094829,0.007867287236598318
700171114,0.0072232398025381716,0.006990461483425966,0.0068936055579817985,0.0020176649110136766,0.006836556442272896,0.0075440350391070355,0.010829462134553273,0.0072261960726287535,0.007884284667677781,0.0066922833888184464,0.008252405191592666,0.0070799777137476655,0.007258065832137689,0.007646819715304877,0.008960920893641465,0.006721017183183823,0.007886206002950062,0.007846820186410891,0.007872060906855759,0.023847083190437768,0.007718396666903959,0.0009776750110197115
