,700013693,700014562c,700014724,700015415,700015857,700021295,700021306c,700021876,700023066,700023113,700023267,700023509,700023578,700023603,700023634c,700023720c,700023845,700023919c,700024086c,700024233,700024234,700024509,700024545c,700024615,700024998,700032133c,700033436,700034926,700037090,700037284,700037453c,700037539c,700037632,700037738,700037868c,700038263,700038472,700038594c,700038761,700038806c,700038870c,700038956,700097196,700097291,700097906c,700098561,700100312,700101534,700101581,700101840,700102356,700103477c,700103652c,700103710,700105306,700105882,700106065,700106325c,700107059,700107189,700108161c,700108840c,700109564c,700110812,700111296c,700112755,700113705,700114082,700116028,700116201,700116730,700116778c,700116917,700117172,700117625,700117755,700117938,700117992,700122108c,700122165c,700122408,700122860,700161342,700161629,700161742,700161856,700163030,700163521,700163699,700163772,700163868c,700164050,700164339,700164417,700164686,700164870,700165052,700165530,700165634,700165809,700171114,700171573,700172221,700172393,700172461,700172726c,700173023,700173086,700173483,700173546,700175181
700013693,0.0034647885982626264,0.007855370083544389,0.008565226404354965,0.017458288348810604,0.007509132315282137,0.010363114340353877,0.008852852911430032,0.007366142639060732,0.009939928017653615,0.009735269899251999,0.007596872371913523,0.008631467628485325,0.007573869000893756,0.010083161398696406,0.014379855130858507,0.008539515391400269,0.00737207327317453,0.0045378336818943845,0.007571510676577965,0.007594333277226848,0.009822012804560841,0.008172940349955192,0.007939220959295038,0.007540124619439543,0.008205584971323315,0.008959627124693116,0.007186605870462573,0.008583129834254927,0.009085837773853196,0.007947380557018376,0.007317149011236422,0.007224478760203801,0.013179937246502467,0.00840187049045371,0.008035234284512669,0.00862260680103572,0.00749383156623127,0.009279710592553723,0.008229363406310426,0.008168542830373288,0.008267422611601892,0.009961296642314101,0.008613094254170771,0.007946882433708146,0.006872397368162806,0.009746282555263596,0.017179641161957335,0.007937075093903522,0.008404609374096398,0.007715185297400983,0.008051691897962461,0.0076666208188655265,0.0077541394671685375,0.007803297906809817,0.009208533747886917,0.009604692283542982,0.007088046545934143,0.009662674854529561,0.007540599462436701,0.007084145871925044,0.008649253210666593,0.008874832807149775,0.008308901759502814,0.00757865069858245,0.009911892840849293,0.008691760681007701,0.007937538424013457,0.00873048165658694,0.00913770809108852,0.007373252634242564,0.008587176564618474,0.008167272908691955,0.00935905217966872,0.008726535789503189,0.007753484243489223,0.009526153249643416,0.00697277495436128,0.00745067780061487,0.008747774121544196,0.008273250167183882,0.00831050504383857,0.007710341434555662,0.007429528801867578,0.009150062450465684,0.008774124279852673,0.015388144264909566,0.00770828291903774,0.009954610484224247,0.0073958629336376945,0.006212873881786725,0.008133686966275292,0.007290500027602043,0.007562882795884863,0.00929745300894109,0.007866115166374551,0.007470754964479809,0.007151072993506986,0.008492990402287659,0.007656264646567622,0.00860512561096735,0.009081144385701725,0.00897689276064654,0.006645170339764468,0.009076652124300456,0.0076675854374190595,0.00768815058613707,0.008729454489135138,0.009410402984420354,0.008554400612479274,0.009350032273245972,0.008923275050655613
700014562c,0.00783084548515642,0.002303017452384483,0.007936058661666905,0.018976153088908636,0.0065364325702396125,0.00971075207400485,0.00894907563976164,0.007070639640529982,0.009588550145209627,0.00943627088184092,0.006884607388771114,0.008271980138231251,0.007065303221685498,0.00792627771674006,0.01407627810285649,0.007842202969826552,0.006746145969550884,0.007627744643631562,0.007141821898803836,0.006736270474830887,0.009072506379825426,0.007879839743150003,0.007294754522105457,0.006941815948820927,0.007441225222547273,0.008582775110800139,0.006848561937056259,0.00800025363952513,0.008459845089798058,0.007152827025959431,0.006725189704859054,0.006839899096141345,0.01701104442298292,0.007569128827258738,0.007538930110154132,0.008747176826547718,0.00511752997186338,0.008775376164185819,0.007720393405816987,0.00767201823432958,0.00784356665138418,0.009252115086202339,0.0078640739801194,0.007596552986649233,0.006343079345828026,0.00899209459938708,0.021245147481912623,0.00715677036068715,0.0076828613774658355,0.007242473840338779,0.007556677790217904,0.007160255727776337,0.007070928021688446,0.0071567465427977844,0.009039651462344785,0.00891145193292326,0.007320063397234832,0.009027697044118528,0.006755828719689068,0.006319245504093585,0.007870042989371826,0.008602975904637641,0.008136934818865032,0.006829253860647498,0.009443160462507396,0.008401576748308654,0.007121506765243446,0.007773585511327112,0.008431766575188439,0.006764856713381689,0.00783182888338427,0.007435217732693222,0.009148300866718792,0.00792792167833748,0.007205605435653054,0.008641660652228579,0.006451512728299732,0.006939640808345687,0.008167737389837417,0.007680176443557471,0.008344820434803835,0.007254143895716054,0.0068910520615842515,0.008729253612979361,0.008643228035324588,0.016641463129757155,0.006901303775541503,0.009426688929469938,0.006785685336615735,0.007131086570125686,0.007830720493030888,0.006496168241312161,0.007089168438685838,0.008615389323560464,0.007360972556155594,0.006889675171000195,0.006569462859366624,0.008360437208997224,0.00736774646598579,0.00852972449245373,0.008490002871274731,0.008581057837452635,0.007032290349015719,0.00852935910682761,0.007054310103545786,0.007207668954450901,0.008275043454357148,0.008816157424989979,0.008040348556401457,0.008364412921674023,0.008390955839847345
700014724,0.008691570612478428,0.008063653172493345,0.00305114102318373,0.01606872420734758,0.005967096217654821,0.01023517021892454,0.009566987691340607,0.007726580325901933,0.010199523113134008,0.00723780089672101,0.007829098275947554,0.008952014496073987,0.007957572987354089,0.009935615193547683,0.012194922917642384,0.006085867032212245,0.0073385230234338,0.008194291989071378,0.008042229969096829,0.00774211747307315,0.009812629420623411,0.00849643363281613,0.008376500681377465,0.007930880862036126,0.008801169587452267,0.009153423910232454,0.007323245993919529,0.008842346571147842,0.009736564833735266,0.007887295360629869,0.0076770552636099025,0.007685345777640063,0.013054939691111576,0.008857805111960724,0.008265997535485275,0.008960790881036391,0.007567284088212237,0.00947819492474868,0.008345153330860125,0.008584796979187395,0.008694084680961472,0.009834867863026033,0.00322846772455323,0.00820396585480428,0.007256813492674741,0.00910266823277552,0.017994314496079588,0.008162805978343882,0.00845453223404252,0.007705828357883429,0.00846511075738633,0.007947007852741593,0.008222649170579473,0.0078431901301342,0.008761500480997868,0.009870092575163884,0.008051679401383975,0.009760213658636534,0.007733011245341294,0.007671183120171887,0.008671239095290637,0.009127668904335683,0.009036781549670605,0.00337788473698181,0.010462904769920222,0.009150549834427014,0.008217983499278934,0.007298609428904037,0.00925098482215692,0.007663919339253424,0.0090083245352199,0.008343109567752414,0.00976227976731955,0.00892852362341822,0.007840076649575454,0.009458159806041542,0.007493449890505541,0.007550001480034002,0.009041969895528234,0.00864598324313935,0.009003172487497364,0.008062178838111585,0.007687077938408882,0.009454138024086425,0.008948880353440072,0.016137817934119367,0.004517884925700322,0.010427284367603413,0.0056000538187247016,0.00799280354968211,0.008349583097284138,0.007550336246879867,0.007835169623673028,0.009703653610394028,0.007949465312165511,0.007546922830727325,0.007667272199732379,0.00924480252409272,0.008075656618666448,0.008699441310137866,0.0089732700488951,0.008850449311849022,0.007666516037868267,0.009429833755673134,0.007955374876188073,0.00785873267626116,0.00875030085426179,0.00968727895588391,0.008930565545513813,0.009616478529994876,0.00915734593280711
700015415,0.017890709222689257,0.01958814251733295,0.01597670250979577,0.008676038665867292,0.01794252316991369,0.016267011882155385,0.016268258545713506,0.017072178897627962,0.018175685278406083,0.015389006880754888,0.016419599477593066,0.018975360183469934,0.0159237613697821,0.014807299003994832,0.015184234052470802,0.016255528270995332,0.01796978231460685,0.016316481755929247,0.017140416206226337,0.01680599362603478,0.01931380087463175,0.018308778114668994,0.01708929882865774,0.01825495948943897,0.016620569736533617,0.018822446973324747,0.016972111690340276,0.015230339802357967,0.017764492753278106,0.017306216944838172,0.015633126851897015,0.016492750843950885,0.014848425751114353,0.018674849790128442,0.017106174268301973,0.019040469787818693,0.015745294824992807,0.01768417701948269,0.017300738104316954,0.014413197328230699,0.017189202159040573,0.01800996999586186,0.016521958670774682,0.016819943588680972,0.01789724441954862,0.015884972887122505,0.014479932835101704,0.018033036614453945,0.016451690352079572,0.0206876291568084,0.01817752840850104,0.016373375523030788,0.01610390676758716,0.018284582203011684,0.018397236751968818,0.020416209929717825,0.0179869690507119,0.018877765921383197,0.016395418381173015,0.016396334012568917,0.016618327466518677,0.01774788080069634,0.016138576783342965,0.015434553406896555,0.0183253733129789,0.018276974423412723,0.01841121760037278,0.014844754292291736,0.017573147619356456,0.017274642223847454,0.017668961289222705,0.015770382319884105,0.019188098157873482,0.018256468427324785,0.017804849960566468,0.01585286263535738,0.015638765372968735,0.018293151770370757,0.020157640542235306,0.01592627755785142,0.021209675880984987,0.01778663005929929,0.01584556518419126,0.018453893271555766,0.016977884967577083,0.01657505759538351,0.016398611862054564,0.019749442243602422,0.017215063282949562,0.019495941046625307,0.015469379947702524,0.01718838707809542,0.016577775421572172,0.017249567973446844,0.019756441900333144,0.01812595852328295,0.016110918338388305,0.014665236303214958,0.01493991776514599,0.0182146994384961,0.016921424161508984,0.015129690006697132,0.01698957307881128,0.016675681387399582,0.015485403960737231,0.016705021146322732,0.01659215184109891,0.017060816554109345,0.021319874923294634,0.017767336645945084,0.01832983730381071
700015857,0.008106122537900497,0.007095632467425768,0.006384255270609831,0.018320050203624594,0.0010360863893797486,0.00957555804899614,0.00886806932358975,0.007170304851791269,0.009207291146617117,0.007470527010345921,0.006943675347168633,0.008434640610756468,0.0070984630542143936,0.009639502763232676,0.010383242604251218,0.006491013034892289,0.006884071383792485,0.007669931018782555,0.007465011141322314,0.007223122356593759,0.009278481605536345,0.007995760738151803,0.007623422498402539,0.007072249567316234,0.007760787365202984,0.008603134736417302,0.006993753970569027,0.007944359839684119,0.008524833652760404,0.007368341351789612,0.007014754663949346,0.007125142877258705,0.014114595603014144,0.008012260981643458,0.0078008781502378844,0.008225103327859914,0.007206448528072542,0.008768040320483034,0.007828089263315328,0.007937026698816858,0.008034211053173033,0.009299086223317769,0.006244855143972771,0.007594982061540272,0.006608674438856614,0.0081942374406432,0.018558430773986823,0.007619839279755583,0.007767609934743738,0.007027873551037158,0.00787547466752114,0.007233416985115508,0.007474846631099233,0.007345949960737998,0.008319387174498498,0.009209350270712626,0.0073655152807770565,0.009171549388960884,0.007161053635963794,0.006957420253216751,0.00820258719998587,0.008735540714298188,0.008514088181333597,0.005455706993822596,0.00965411482160967,0.008540059432231423,0.007574818365972696,0.004487789399712847,0.00867684350851439,0.0069545293476056536,0.008195412185094559,0.007609828140356677,0.009008738301316077,0.008423991511459053,0.007211338271144579,0.008494976475692315,0.006758981520049741,0.007009238806346865,0.00798896169515372,0.008064839207324809,0.008066387588266428,0.007384274188729638,0.007002278178668176,0.00904037257094068,0.008048324875168095,0.014501421000952015,0.005156553050803877,0.009738027761621155,0.006020942887532053,0.007158034487599403,0.007857486645306175,0.006838777492047622,0.007090734886058589,0.008666269420267055,0.007296822810358555,0.006910515079858844,0.0068350507116465625,0.008245788725767455,0.007513217238508137,0.007842043108507203,0.00821594804805253,0.007980900512530528,0.006990974529637526,0.008610089941988409,0.007122744949766561,0.007269626584528305,0.007706921417566067,0.00879931931963391,0.008299088673113342,0.008654633134089306,0.008350945089676202
700021295,0.010516456291975613,0.009858026187106116,0.01019400109615438,0.016454986320690895,0.008924852720680899,0.005850792061317079,0.01095971876601039,0.009153045649997258,0.011674123713473327,0.011616751066280136,0.009365291307899851,0.010401089707987749,0.009147325525601506,0.0117642583339681,0.013722166915200435,0.010202640526799048,0.007906351596331622,0.009549128288104046,0.00954065541570771,0.008840945353548478,0.01115133754059218,0.009947164659277108,0.009396033825947586,0.009500660321782697,0.009819349770178837,0.010603684374681352,0.008827309891225165,0.009995239292978346,0.010551244919846228,0.009569499130820053,0.008873345445300685,0.009182610094613675,0.016457168027774933,0.010106294852583606,0.009700961446854384,0.01035204880045629,0.009140886816026624,0.010853651702710574,0.009759059985339626,0.009923739729129036,0.010293148956687093,0.01116825790684925,0.010466343518689534,0.009891274709875086,0.008774230996561999,0.01073003714019718,0.019940707767187624,0.009713077624952302,0.010007900881531428,0.00931521215225608,0.009731437847501526,0.009195269276819412,0.009251461202341533,0.00861925302529941,0.011075094669774615,0.011238094286254814,0.009336184614307793,0.010956402866341029,0.009301043172050676,0.00892786833062373,0.009899230620082937,0.010469164782365963,0.010274048774348414,0.009279832939457772,0.011839539387740142,0.010431760483304192,0.009512172992449565,0.009981302941312777,0.010862720445923402,0.00915906255125416,0.0100839764352838,0.009681291203259,0.011135027474527687,0.010615522292917437,0.009136429113614196,0.010767393098260417,0.008684493219777774,0.008992099665234243,0.010414779701960784,0.010183875172281642,0.010667722920686755,0.009255592354909843,0.009114975713784322,0.011059895339193746,0.01032449464762813,0.016240572394331847,0.00932425817492763,0.011801806100750236,0.008873197295462144,0.009024698558964666,0.01031850880832235,0.008775457529948565,0.008906673741495869,0.010946698516739826,0.009494245371155192,0.008825400824540927,0.008933913513842281,0.01069617174890894,0.009444300555833585,0.01040147356790227,0.01095666882240429,0.009879278264005439,0.008948722972681074,0.010634601866995922,0.008883952992947976,0.009420083127389567,0.010788188101544156,0.01115295968057858,0.010286719339235357,0.010633227844911802,0.010255246011229529
700021306c,0.00979398690226363,0.009880867356038922,0.010459047822769638,0.01708160355706846,0.009067153178672403,0.012017723459588892,0.0027199660894667004,0.009204949159760643,0.011703729214449411,0.011161168037760084,0.009330798407823755,0.01064435079055716,0.009400795437447792,0.011990708850268464,0.014252558937154177,0.010423208046295845,0.009090383367804777,0.009695205304893505,0.009713119521467898,0.009501361517888374,0.011560992859255118,0.010151299948158653,0.010045505000704875,0.009478258504109018,0.009951876134091767,0.010892119794411705,0.009131060191231388,0.010293245102288566,0.011274153564296186,0.009826921999948217,0.00939351604113553,0.009388193737077739,0.007359965332770963,0.010316848709115723,0.010091347544823112,0.010830730879191727,0.009470014994291853,0.0111037761773454,0.010008570760095759,0.010023266105457741,0.010522008294260728,0.011668375479366808,0.010398901765625072,0.009710291191637748,0.009089789750322928,0.010989860666097154,0.018493473153360317,0.010166463416215493,0.010099450628913497,0.009526968665921448,0.009885890783244625,0.00950656136667717,0.00976427203005606,0.009645718746066193,0.010514728256238757,0.011436534603757686,0.00980142312622346,0.011401785535160365,0.009435052495064431,0.009182144713653327,0.010521446777565323,0.010891130217741515,0.010730334091625394,0.0094621142331081,0.011914021860923467,0.010868496167077035,0.009954948322728429,0.010391400977539897,0.011083013105207875,0.009342890435356967,0.010463551608071072,0.010276783827819502,0.011269386461618961,0.010672349656330859,0.009593640275222769,0.010920910805219024,0.008995096475982131,0.009310129112307372,0.010947770281419507,0.01062336130930198,0.010451953785752052,0.00959962955908979,0.009420377439872882,0.011218896507434472,0.010463367758340605,0.01662447117244159,0.009325379758173108,0.01193192990917059,0.009294564316007883,0.009312218815249773,0.010121797482696189,0.009212015457682032,0.009672852908379326,0.011274611869122372,0.010032601724143612,0.009267916810702008,0.009083153321893743,0.01070981754698195,0.00974212867819501,0.009925245318247818,0.01054209620807456,0.010737271330749707,0.009465850911111148,0.01109877453263188,0.009487441879953956,0.009763436928024616,0.010418051540739178,0.011232555699156987,0.010685724170603067,0.01088656791596589,0.010557386215716133
700021876,0.0079991777777624,0.007689267150226166,0.008319303908713781,0.017612818113237907,0.007206224537627901,0.009855105748571806,0.009049642548760853,0.0012314421629241155,0.009474933616781603,0.009407747443712014,0.007551100259322826,0.008403882027017383,0.007437950330185659,0.009984036730805732,0.011769178497515131,0.00849341857221654,0.0073475694799090135,0.007580626203211011,0.007432506173870247,0.00735544288105052,0.009508706156758716,0.007981948915681318,0.008159487119757293,0.0076570699705276685,0.007904425529491372,0.009022753291544616,0.007205370005345336,0.008518267838183153,0.008993577233566436,0.007862866884595728,0.007481908571139285,0.007079727808102985,0.014574899803325731,0.008202414484465423,0.008025204717702518,0.008458775333114647,0.0074337080001855745,0.008800393727065956,0.008124526865583796,0.008248454074068379,0.0081012430471336,0.0096206705763556,0.008324626600278459,0.007803388111220457,0.007014569754035507,0.00880798798683792,0.01754696210121182,0.008259110802539077,0.008179239134056972,0.007585880097053223,0.008140587158121229,0.007482631586649131,0.007867454044613996,0.007802308312892606,0.008535199222560966,0.009259422558561846,0.007793169126497443,0.009430678469647793,0.00739259047394426,0.006877363470891949,0.008526996216663476,0.008612623571253464,0.008608827971757512,0.007464604573544932,0.01011013517151562,0.008457454597950416,0.008111591976963017,0.008203583245914334,0.009059805109487002,0.0070741318035160245,0.008740789467737719,0.008087225690504577,0.00931623207358384,0.008632546826984038,0.007537636388849672,0.008983837873469461,0.006835721967409405,0.007541889777154967,0.008843698953757792,0.008511948151511455,0.008318710578213324,0.00775150760294628,0.007529954347040096,0.009184336589464043,0.008169629868054074,0.01578301758938265,0.007418219876997388,0.007031474301952646,0.007238704825782904,0.007502758784494841,0.00813575991779913,0.007372463235662098,0.007466239060168297,0.009016819850316193,0.007845517200668914,0.007219662482350195,0.007032616082411973,0.008728479626418552,0.007889597009200453,0.008392306068470665,0.008727115749038004,0.008436943313949742,0.0074077728531650065,0.008921798604662731,0.007490948535158553,0.0074879282018904285,0.00812591544640167,0.009058944355987102,0.008567161711240537,0.008873333406841554,0.008545503294015733
700023066,0.0099060572559964,0.009612104929002656,0.009989790514379029,0.017706231266887022,0.008462981745754182,0.011502750603337362,0.010523215159245848,0.00865217654917915,0.0055915853356838015,0.011023162877707176,0.008916970292854133,0.010214744805942646,0.009140987844896547,0.011182843917213236,0.015133273091111756,0.009796164192730945,0.008847340195201205,0.009268068239517105,0.0073407832517225,0.007858623216026305,0.011027624641606712,0.00984471977563442,0.00932820514590776,0.009200746049132628,0.009692940767042697,0.010339120236107223,0.008559238386438094,0.010270054244601761,0.010824011023665946,0.009509784659711095,0.008738031083322018,0.006862869153963594,0.014557017273656703,0.009853726939259124,0.009583620818496936,0.010267885276993259,0.008964741304842334,0.010641844852244996,0.00959268605178963,0.010026195267518492,0.00896036157480757,0.011172739326070415,0.01014006831718192,0.009639309522223173,0.008645297027077432,0.010821488459983966,0.016865417964039817,0.009476627620235028,0.009778891194390522,0.009132533028188408,0.009480183675739695,0.009121902784870524,0.009068175810827004,0.00942892232319501,0.010561427063465622,0.010949343644365122,0.00894022862699505,0.01096892057773965,0.008753716276886795,0.008700901471206841,0.010074178564339462,0.008289803997634994,0.01034133398448619,0.009117793328200705,0.011594820390036889,0.008573827646238256,0.00923184315317533,0.010234599582915989,0.010763289696561078,0.00579509917055037,0.010341597753686533,0.009673672500636353,0.0108687604708429,0.008956016974492562,0.009191331327875916,0.01058911591720482,0.008550977362123489,0.008990922138471918,0.0108019179019253,0.0102598603793713,0.010296801044391566,0.00937756034767417,0.008964078382859827,0.010935085381025124,0.010305688370415574,0.01702971815135729,0.009043184703889392,0.011536961867445876,0.008874419297483794,0.008958445929219055,0.009651897561482227,0.008574987457967725,0.009243514906535454,0.010095906841862385,0.009631476561462222,0.008891532541662368,0.008793382189969636,0.010399543996435098,0.009446943007197724,0.01060114108313668,0.010702609492802486,0.010650172223924967,0.008557945855335336,0.010540392111877935,0.009207119924302854,0.009102581476383934,0.01008892679863883,0.01009257565537511,0.010381389262502497,0.010454925989587239,0.010068473178761394
700023113,0.0099077356812763,0.009620260947151451,0.007199092279984747,0.015863749093887627,0.007004624209965173,0.011596810959297793,0.010216781553913585,0.00874569853139337,0.011209950643125162,0.003638209719330213,0.008725996676863737,0.01004575808725592,0.008583585170267652,0.010995661105110036,0.013488669920309223,0.004207981125593892,0.00852833903985246,0.008662644576444849,0.008427670139192595,0.008314789095098524,0.010493686905369724,0.009565176051562992,0.008997380775212206,0.008994597620838282,0.009441385633382789,0.01017621313604944,0.007991787297155878,0.01008538480542116,0.010159474653427996,0.008956434819520086,0.008330519075200332,0.008103006628897643,0.01360725842511979,0.009865717360461095,0.008733104579891588,0.010419041630757313,0.008584357570280119,0.010417489848921288,0.008665139451060837,0.009198248330600393,0.009791714332765803,0.010742395319285537,0.0073474983807231935,0.009452279028364367,0.008114387813232336,0.010157088585343442,0.015856236113719308,0.008811445291333176,0.009184765181417745,0.008730039937537156,0.009037006204389424,0.008561164589593398,0.008746665741778396,0.009323946844506307,0.011082124225836671,0.01081122107591477,0.009097811572760472,0.010197298454689469,0.008589910939056887,0.008876420412642784,0.00941705936013444,0.009871023586268879,0.009456527969511495,0.006585952861228916,0.011119975224976363,0.00991208294374986,0.008756944113828616,0.008734206864108621,0.009987530275369466,0.008414536302785693,0.009476699657718066,0.008937373607857303,0.010393227761214152,0.009504353805968898,0.008693116403931936,0.011152662368151435,0.008155261226914758,0.008349939309085673,0.010041313107287373,0.009559773304902281,0.010302234698573663,0.00888398752272563,0.008614375131836945,0.010364260577379627,0.010378124181667244,0.015475495302354736,0.006209615477062063,0.011270220715704236,0.006797368607892503,0.008759304731836415,0.00967588315115169,0.008208186814307095,0.008256738815882247,0.010875973363369614,0.009120299511581212,0.00831375756093249,0.008332404132836084,0.010394384124057509,0.008597281946804557,0.009761409938592642,0.010902212969509866,0.010092066550753417,0.008637782730040202,0.010257460095506571,0.008488121347153526,0.008632960284299924,0.010508607612288293,0.01054533736470976,0.009769739874397361,0.011226801082850768,0.009566386784849262
