,700172461,700015181c,700023390,700024930,700024233,700173546,700013603,700113762,700023845,700116505,700024673,700015250c,700106876c,700014562c,700024711,700096865,700035785,700037738,700119739,700112755,700037042c,700035533,700037539c,700111505,700165634,700171648,700023267,700098561,700172068,700015113c,700121919,700101916,700024449c,700117069,700113177,700023337,700038493,700172927,700014724,700161342,700110812,700037303,700023113,700024545c,700164159c,700097906c,700173023,700021361,700113867,700014486,700165530,700106229c,700097291,700117766,700117755,700107059,700097837c
700172461,0.006971319895984312,0.0256904303039298,0.010604546423142588,0.02601822678428999,0.0254733249679541,0.012164734959245114,0.0113862387458031,0.028666205856833986,0.007839467206920319,0.02716229996700947,0.008712934097254878,0.010045274866524572,0.02613506796511681,0.024800996554933646,0.008550424459769234,0.02560511458917437,0.02139888867724304,0.027870262992837395,0.02000365711460246,0.02513091351027778,0.012386786187241329,0.02691014410346292,0.027413842438795948,0.027506797667171703,0.01898668172291362,0.02404844102431973,0.024729802300624368,0.017203541836880918,0.018060366777659563,0.024595017454349742,0.025432547583336285,0.0275169842418594,0.025910399181627408,0.017685777321131448,0.014622231479009571,0.02699149078051389,0.00836999716957052,0.025874435434305728,0.008750085350259283,0.024241996358341185,0.006865872872100231,0.0261001473824481,0.01729071095104182,0.011635016469963191,0.012432956214497021,0.01842572654629878,0.011275006082275284,0.02783294965445908,0.00888391900926062,0.0274929575459235,0.024373883223696383,0.013653282847994169,0.018900926458190543,0.008300358280351453,0.012620002639795964,0.02275933449872352,0.026835849400090057
700015181c,0.02564225354991093,0.0010878057110438636,0.027037166232355702,0.005814983617152339,0.0059242032144525645,0.015603560306038915,0.021551920627054147,0.006829786882198258,0.03114712000150824,0.006659638500435241,0.03631335158671432,0.026940884093630203,0.006399813388878993,0.004665930397623939,0.03521789805075879,0.006087527069870222,0.008358391918229794,0.005646948443821479,0.01141205102076486,0.006273047988376011,0.022864562599476827,0.0064790468548290465,0.005524847317458318,0.006569576887428017,0.008525100041508311,0.006302097902439901,0.00505833491212013,0.010857977872692194,0.010558604650097149,0.005132739662351078,0.004803500333888079,0.00502822233397211,0.0060595711456913285,0.013902103395042898,0.018490336796261317,0.0053649990809650746,0.02431749495390187,0.004684198219862711,0.040048883650245636,0.0049158930989909,0.02327608056421731,0.007844586311191249,0.009761340464933885,0.02606081037020376,0.01762878718554906,0.00912775162309055,0.02313512629591884,0.006073287177559342,0.02589785411441489,0.005121339785752742,0.005207234021716715,0.01892050491717109,0.00860300974238132,0.02161134158682066,0.0166433780320597,0.006839099787278097,0.005942477394394571
700023390,0.010601141158107676,0.027137299092996302,0.008004161347379943,0.028062108507226145,0.02696794817035205,0.013733156837149905,0.012347751733686884,0.02997902188706225,0.007044729468564444,0.030061225328528087,0.007851848605554095,0.009801204538777615,0.028189947792243562,0.026044513172923448,0.009650759813892249,0.027555169864782604,0.02383717892968333,0.02906029492335164,0.020789933366932026,0.027531367659354114,0.013233715068750748,0.028778418640191324,0.02896663278097652,0.02972997956638608,0.020927288080789055,0.0251646869063156,0.02641788987200194,0.017870972641385468,0.01980601531131352,0.026559436690779384,0.02774514776023889,0.028500285228124717,0.02759888000964201,0.01947658588762561,0.0158905333861025,0.029204915393328857,0.009255635877882829,0.027199476482765318,0.007835103715652278,0.02708124054431421,0.007105579040528665,0.02798118564511331,0.01890681285839385,0.012687083725543363,0.01150111342188155,0.01969891328127493,0.011146489493486731,0.029622716001542013,0.010911952387302628,0.028724643400744636,0.0269438268166059,0.013901916923154923,0.01974263138531125,0.0090391137615032,0.013917576879813518,0.024081187559284012,0.02803594997582816
700024930,0.02650002119640815,0.0059329648634179185,0.02852454272100753,0.001906597784837205,0.007153214099384327,0.01524721623802888,0.02255093551543598,0.008277686122176981,0.03269484610513694,0.006861114401754664,0.037168175282830535,0.028339195568012787,0.002815336804844877,0.005976375141586204,0.036467170013902366,0.007747560971558709,0.008468573695727604,0.0069737580477676345,0.01237575668978854,0.006442657259206382,0.02300833459710066,0.006130300566988636,0.006704637659730596,0.004696064117462821,0.00920215680001388,0.0072159370646048375,0.004887513464765728,0.012035576952119964,0.011899867231653023,0.006234014425046683,0.0016459723651998256,0.006289949795785821,0.005569668925800693,0.015014237481969697,0.01909891736615989,0.006248554887358485,0.025373459645684267,0.005926842051124968,0.04102342599044631,0.005127936419211764,0.024223131785024967,0.008801131303141451,0.011219220273576668,0.027091708581286445,0.018845707365948133,0.010243503767727584,0.023311883719042564,0.007857292248271638,0.02728819109875729,0.006099462412561864,0.0016449385696933716,0.018974100684551302,0.009377232085082864,0.022398181173495343,0.017938614854087126,0.007840013486542967,0.006888031987696777
700024233,0.027030263157027737,0.006287160629737178,0.02855202286850582,0.007442351196350219,0.0013536815563163333,0.017640455544996967,0.022645581826738908,0.0076335194010047815,0.03201385762694908,0.007940384094332203,0.037363497040830175,0.028070401716194442,0.00807975862867302,0.0060381511467300295,0.036191530854642766,0.006876179715963714,0.009577337004891849,0.006655020940602757,0.012738513021325587,0.007450333893846953,0.024439811192340326,0.008366819157773292,0.002411186772440713,0.008150213496986625,0.009591392814339909,0.0040980651076920355,0.006763933453716324,0.012310069254092804,0.007425064760076423,0.006438230323661593,0.006372850561504576,0.007005839525724867,0.007311319042193819,0.014406378230743281,0.020263995588354556,0.007081462892081773,0.025588847369634092,0.005729604740753971,0.04114756060390851,0.006105976957462814,0.024755874275171348,0.005560803818229734,0.011446838355321945,0.02763042898927193,0.018851724846598958,0.010814919274470224,0.024700917607811124,0.005460129255455811,0.027352806681391548,0.0027378123314368997,0.0068955428677917215,0.0205270922360482,0.006597791428229113,0.023259911644761187,0.01759222957120642,0.008216959420122186,0.007139682119434487
700173546,0.011879886216604707,0.015237092866696316,0.013345924611352034,0.01458109283704786,0.016251216170528517,0.004851332518904594,0.014978102499976819,0.017525747413078666,0.01224396504593176,0.015581519401731057,0.014504942524837968,0.013739815885245702,0.015101212791050337,0.014884135146860468,0.01340506328941383,0.016384452999720668,0.014067240207136674,0.01664714868600325,0.015372332526648604,0.015237593112701297,0.014990408304282157,0.014918829683542316,0.016660598055392387,0.015844053602963412,0.013067426122617805,0.01515330865298068,0.013349529972525934,0.013254666716668195,0.014455762338447581,0.0152467308994929,0.013888705337294213,0.01595445265548182,0.015840887150831158,0.014430693587697769,0.014306072284262181,0.015663840554564212,0.011202143079987079,0.01518030207180701,0.016196120970134606,0.014052908471844877,0.009959262494209193,0.016578759761269074,0.013057404059033249,0.013313607188352526,0.012661227241173151,0.012564370122369549,0.012930723268175338,0.017093879301127962,0.012592512279783192,0.016238660428820453,0.013550276215410304,0.013336520474317848,0.01311182855280593,0.009537018832863205,0.012165572665643729,0.014901973891647338,0.016370445625571006
700013603,0.01182978466033323,0.021992167383967882,0.01281877927164591,0.022596685040351217,0.021752093537847933,0.01576895596324351,0.0005646467553143892,0.02380131585662889,0.010452838683188269,0.023682042457604642,0.011219045241352362,0.013368574383597629,0.02295300694130287,0.020518057307035743,0.011427614738606557,0.02216336702611397,0.020099963329748498,0.021668978691968047,0.01913500648651048,0.02213115358213474,0.014694315578763856,0.023335905924553986,0.02240042991391611,0.023746412336579897,0.018330360412016033,0.020269924797808668,0.020718122234394364,0.016612644947325943,0.0173137155788126,0.021065050721330768,0.022004379670521785,0.022022948145275025,0.022352589482672058,0.017743661374994855,0.01657111589877184,0.023390334741643468,0.01049631882649843,0.021306098919616115,0.012249504170584334,0.021345560798937683,0.008878022155466809,0.02241972398491324,0.017014414830821417,0.0130507169016652,0.01381537593064478,0.01737528258910542,0.013219915411340998,0.02344015591510086,0.012446618782575598,0.02155399884190821,0.021754264882385247,0.01500547778999804,0.017343104527001836,0.009973869508200723,0.013804937950960529,0.020132460480214026,0.02221650784767946
700113762,0.028182311935306733,0.006731471395514776,0.029421874077398512,0.008003826615583734,0.0070914946119657795,0.017671714497327063,0.022947907872951645,0.00369326201964,0.033049206482010575,0.008439124103857899,0.03873080654599074,0.02904012108080245,0.008530163337430537,0.005908088351362519,0.037150649274888335,0.007532444238458819,0.01011836886406617,0.006899327952308213,0.013507000904188998,0.008038186706767323,0.025034594303695302,0.008260924823228441,0.0067589781628246155,0.008509306489883886,0.010048309037130295,0.007615952662417045,0.0068525377429258716,0.012767562165121135,0.012070187213204672,0.00633434919407387,0.006910648204549891,0.0070415787245140075,0.007537180739394566,0.01555169606981937,0.02096426826263477,0.007495329691348902,0.02701212427745809,0.0059164514587872466,0.04309855534929817,0.006594848455143628,0.026149041764038032,0.00917258426375815,0.011152809150120822,0.028479400089272883,0.01937872432376547,0.01128978203647833,0.025646710222817136,0.007301993007579383,0.028260044842682106,0.006355682329096328,0.007349648895269619,0.0207932285535294,0.009926151443866214,0.02441199272401544,0.01849394510144465,0.008502475644321281,0.007754079387768177
700023845,0.00807426260203646,0.0317165430615631,0.007244839989366334,0.0326139174946532,0.03067657763497074,0.012738317285529623,0.010223409786040985,0.034196496667995166,0.0009863099117371644,0.033640485624144366,0.0037748532410273117,0.0075413045682139876,0.032411848919942005,0.030323942001625283,0.005994146614530953,0.030869200669071537,0.02630623037949757,0.033984227797434576,0.022827645226260976,0.03156187814765602,0.011771499654719427,0.03275035967690683,0.03355760960593905,0.033737549329042715,0.02356449670916732,0.02906041175608412,0.02969015210373535,0.019690711402721373,0.021614693465708937,0.029866495111754036,0.03256760719559571,0.034416793619480315,0.031629602767426435,0.020628816403461852,0.015325654646492125,0.033902998165856575,0.006723783424630397,0.03139728765471202,0.0041509670106625795,0.030690719548780825,0.004578491800371483,0.030792886337528993,0.020601142665594614,0.010501023422731912,0.010115619197726588,0.021695292432608898,0.010103152955756822,0.033191732979063554,0.007815223902381287,0.03341453444030693,0.030157377485430167,0.013787622510661823,0.021946053112161898,0.006311565592818996,0.013111380439585249,0.027558241591870328,0.03282595191100121
700116505,0.02616507187327668,0.006437614290989977,0.028944006212949343,0.006496489209673167,0.0072330635862221234,0.01538171579758701,0.0223711129252103,0.008281153153041109,0.031875008567815145,0.003863548810767336,0.0378300164719996,0.028363623436654932,0.0071925099185932324,0.006005121914292413,0.03545689263289506,0.007701780343563266,0.008891252270925843,0.006890233826503267,0.01273252221780045,0.006815587482364534,0.023970604486423075,0.007407872173326903,0.007003127152340219,0.007482652097260902,0.00948080265866646,0.00737099172673133,0.0060576437160273795,0.012256612994187328,0.01219704884109531,0.006514785669296392,0.005613183580294967,0.006729668692780964,0.006998692241905746,0.015165033675465275,0.02002140498323448,0.006985589190466895,0.025273042143308853,0.005862755042316375,0.04145847935803799,0.005590160645158726,0.024616841725870576,0.009003309925230484,0.01139520670623604,0.026729245941495845,0.018741642070308942,0.010685037235371543,0.0241927756959765,0.00804478252192624,0.02760207129083591,0.006278438572035553,0.005815564816667456,0.01966709339806113,0.009503892669792588,0.02310512523724285,0.01758393077867023,0.008393900682947281,0.00711220433548847
