,700015181c,700095287,700122108c,700015250c,700014954,700099886,700112755,700024086c,700014837,700033989,700038414,700117682,700102586c,700122165c
700015181c,0.001381022515480566,0.008742115206924351,0.010576392196563587,0.010963065199172452,0.011197258137656228,0.009991927150061978,0.01078346910648995,0.010577100404736164,0.011218690229639562,0.00946313874089118,0.009971488285666788,0.010429536983297315,0.009908596264806986,0.01098988593696689
700095287,0.009069917801356315,0.0009674772735225807,0.0116518515326683,0.011830123594610395,0.01195718894424193,0.010486214162453385,0.011436484681160744,0.010953467422334414,0.011540368868136426,0.010967044958771462,0.010574252044292666,0.011579766512874332,0.010972630545560351,0.012262020449231905
700122108c,0.011205559140991821,0.01174630480122627,0.0018090291246559344,0.012338714000505863,0.012625513752476036,0.011077971325807658,0.012202879518545505,0.01165266805141874,0.011792030913005605,0.011256220111805328,0.011548572775443777,0.01252298180822142,0.011953985773444843,0.012367459010086072
700015250c,0.011060514797442508,0.011477925009789431,0.011844749525140957,0.0023212753094792736,0.012612619343922205,0.010480306741290338,0.011766532300484371,0.011715055213950236,0.011773073879369716,0.010925159787048895,0.010727677380089793,0.011814902652455493,0.011450034168927687,0.012441730825990644
700014954,0.011123896202535882,0.011482441532378651,0.01191997827919236,0.012503088390306522,0.0029638977225459892,0.007322138078145943,0.00791387761612295,0.011554642788140694,0.010618776336076044,0.010058941727544532,0.011297674102283738,0.011121468696959182,0.0061312531507829796,0.012676541962335384
700099886,0.009843998128469363,0.010003071715758687,0.010489097906077393,0.010361994491237826,0.007287245774252425,0.0013903099553258544,0.00350389664499709,0.009381421381579895,0.009931320002046313,0.008224955762554175,0.00929309725923463,0.009645990832561737,0.006680115327217421,0.01139914819337702
700112755,0.01140646500458899,0.011726206146383256,0.012413040241230971,0.012448057907620855,0.008433456915365137,0.003724048270708904,0.0024523696723502647,0.01172956786891407,0.011684435453881823,0.009766433103693734,0.01122583408108758,0.011818248879903508,0.007738537530621169,0.0129650357221912
700024086c,0.010633395811492764,0.01051555015196445,0.01106371498030474,0.011624801062793478,0.011667968690399249,0.009394850877947723,0.01101707769792208,0.0021970870704895373,0.011573900424942671,0.010929180957406932,0.008595722946751521,0.010134812831004812,0.011021570409769256,0.012025743580378945
700014837,0.011165022483925523,0.011103889757162205,0.011214782639498691,0.011630308009204143,0.010664979828059069,0.009968923682335444,0.010984663795589518,0.01155768451935911,0.004709432306622507,0.01050323757117633,0.011152156719484245,0.011398417152027707,0.011217231772624684,0.012244225176815329
700033989,0.00983864214519148,0.010839598701544668,0.01104838300034025,0.011172339832974634,0.01045141765202663,0.008581642982579303,0.00944933888007486,0.011342049254295921,0.010899831609798022,0.0009465841778957588,0.010649252144242116,0.011327370147190787,0.009387941915417529,0.011677272562369922
700038414,0.010041999749966113,0.010137329220928163,0.010978753825227243,0.010640607610890696,0.011403461937072843,0.009303559487680238,0.010540445787103569,0.008633955738227679,0.011160890062976776,0.010253901500870249,0.0017813906133147686,0.009902007005309979,0.010682626539860705,0.011581093365859906
700117682,0.011336551572541828,0.012136021173873673,0.013057022096898352,0.01282495039605088,0.012151165485600456,0.010606136325514477,0.012103565168330315,0.011143085682692807,0.012453355539807974,0.01202320865466392,0.010868893473278695,0.0006299475216548318,0.011283177374457934,0.013475668522628494
700102586c,0.010166575769059966,0.01082462234728663,0.011703814302160769,0.011711104713801714,0.006359927316066278,0.0069437795118897465,0.007499567640290447,0.011392648711514792,0.011574403595914114,0.00936281989202727,0.011059050761969141,0.010621472309120052,0.0014475589179440212,0.012384639326439885
700122165c,0.011143870511553302,0.011867240543064737,0.011857117330783642,0.012428284540209807,0.012880237023684422,0.011565923218583112,0.012233661262679541,0.012135193233071195,0.012355193273585944,0.01141072252869553,0.011696777078140787,0.012428622434686214,0.012148408828005882,0.0024209687111107635
