,700013715,700015113c,700016000,700023872c,700024233,700024930,700034254,700038472,700106876c,700110155,700111296c,700112812c,700116778c,700117000,700117239,700117537,700117625,700123959,700161219,700165052,700165263c,700172813,700175181
700013715,0.0021576618344052974,0.013544199507582544,0.01533992211413732,0.008625194397993061,0.007409181920288932,0.017544533127250288,0.007145561999617484,0.007734269278949805,0.009267256083415783,0.007998846077870695,0.009271119009743254,0.01449147535736561,0.011254251418090486,0.006941617841265122,0.013999567765071512,0.006801521547600563,0.012670639630819689,0.015036392494999357,0.003886348193375551,0.006719370692768358,0.011161011813586749,0.010304422278911774,0.011769077734895817
700015113c,0.012514004058264387,0.004738575639721503,0.009825333677204222,0.01263658782416845,0.012388572719990663,0.015526718049105541,0.012106638474171344,0.012521467155046963,0.011749507164519125,0.010056321960990934,0.01429975571023551,0.0054858865553017305,0.010781007143933895,0.011224481686901929,0.00856211417571903,0.011271826517190137,0.009813911894697493,0.011677405404281587,0.012818186005640027,0.011021359339608046,0.01101378363129416,0.012936332767959096,0.012344616850344776
700016000,0.013903731604156703,0.00961894615813685,0.0025608778882789014,0.01410314863100162,0.013567086225617265,0.015542412969157768,0.013470232791085028,0.013366766381984892,0.012882907179170547,0.011045025231365923,0.01584294275884437,0.009284332786587574,0.011305401352190807,0.012700731541840326,0.008809336611054607,0.012749000492901218,0.010065712343052173,0.011782428680020813,0.014235090774754237,0.01249754415138849,0.011538837890645219,0.013926285931549568,0.01287857738212977
700023872c,0.0077182278098415075,0.011991995127580275,0.01370490369221758,0.0035978093930507673,0.006736139273671242,0.016085983281588726,0.006180018281717833,0.006854232883881285,0.00859018544183811,0.006700092013382204,0.00814501644031937,0.012957583256237228,0.009901566918000088,0.005318788658408041,0.013364316259470268,0.0052684615418790255,0.011222848282275988,0.013198420867704142,0.0077162409081139045,0.005129429449448822,0.009291239010921798,0.009300884802260299,0.010424012474913277
700024233,0.006635689744177164,0.011946441665697792,0.013318261642722515,0.006766755589237838,0.0023604193653252396,0.015574182498449758,0.004536760172724185,0.005043461846227558,0.006490158031105971,0.005582657154282707,0.006923520287138859,0.012929956441284363,0.008742973652843586,0.00425148327584339,0.012062068783742516,0.004074868695305068,0.010682451199563901,0.012946499391128104,0.006557686927373629,0.004039659915970027,0.009252177143942263,0.008133814495616773,0.009733109360873697
700024930,0.016108675451013726,0.015422010453548159,0.015756639312623357,0.016830885872042213,0.01608337928467405,0.008509677740140387,0.015867098938978415,0.015671367164012955,0.015712156644510786,0.013991041394762326,0.01798441877271163,0.015605502400626154,0.01555119806849169,0.01493705544676065,0.01455403107840182,0.015015008799574535,0.015481754897787879,0.017293450466645693,0.01651294881395242,0.014660432143049528,0.016172895611540086,0.017179012190845274,0.01699428747856292
700034254,0.006508458623911723,0.01184833554514023,0.013431643054577938,0.006306122586674033,0.004611911785316258,0.015612290249160653,0.001297690620505685,0.004850605495797046,0.006672996809218491,0.0033730101176845336,0.0067177012119699385,0.012904803010400912,0.00876088472157384,0.004007248082574068,0.012153817053078643,0.003874937194023217,0.010573965634397981,0.012325702376670349,0.006502757778471348,0.003817211036312709,0.008503062057152079,0.007953501725490529,0.00942091186254883
700038472,0.006891585385958152,0.011954916344030746,0.012968953706384172,0.006615787956724121,0.005008880448046188,0.0150373716001726,0.004716447455976586,0.0020801865343149746,0.0066698025011416055,0.005531323593384134,0.006881228117600344,0.012751729985881715,0.008783545688547664,0.004468507122552494,0.012628905354120446,0.004180191970935823,0.010207437310624925,0.012748177409003142,0.006742232801265443,0.004255726135848289,0.008013986817561134,0.007852502448758769,0.00910390610546084
700106876c,0.009024297264892744,0.012376843775306668,0.013835604950877843,0.009338603117710346,0.007061529126795372,0.016657839096160917,0.007137785187743628,0.0072837033005107655,0.0050319920296402225,0.007534964114376722,0.00948983952561778,0.013125304226214789,0.010431677055680207,0.0066103700198482,0.012500840262446586,0.006327432913825663,0.011684301659321904,0.013958881171405856,0.009313592615265197,0.006370115038411978,0.01067591700798124,0.010092723760305341,0.011358943756121958
700110155,0.008103734422530191,0.011015035855141913,0.01231451118693281,0.0075863704086796165,0.006309742817436054,0.015413519970271296,0.0037499255255464526,0.006264429375213021,0.007843578613060873,0.003979334788760803,0.008562545546816538,0.011695935942707203,0.00921706911164516,0.005789024295136806,0.011160583552443705,0.0056830164143034136,0.010100811572800008,0.01126442552255846,0.008228477121476896,0.005603359026448668,0.009067192210004576,0.009252325428198514,0.010166874438970488
