,700111439,700116611c,700032068,700106876c,700037852,700106754,700034926,700024086c,700116028,700116296,700016960,700033435,700172927,700172498c,700101366,700037868c,700033153c,700106056,700106170,700117682,700014386,700097688,700164159c,700165778,700038870c,700034166,700106229c,700116401,700024024c
700016960,0.0065833327745931465,0.009944846860902062,0.0030726320691078627,0.008628049418340306,0.009207767461607085,0.031666147897214926,0.007626212817046694,0.009487650300511092,0.00734590517347477,0.01163914778545238,0.002169897465719891,0.0073017385913173045,0.00585701392363685,0.009468498774128836,0.002916949471519398,0.04031449319369376,0.009515896973801062,0.00674639141865785,0.007311887116662663,0.008674843779671159,0.0032000385955251198,0.007741746681577157,0.009181781835188,0.037660005530935965,0.0063235943092850395,0.003070228483301027,0.01821684879900755,0.006757593005441659,0.008214255394844413
700033435,0.005149265781939067,0.011124759124147893,0.007980889110074059,0.010149975035169595,0.0105188912141399,0.033017860705029815,0.008275644158628399,0.010574635241228886,0.005870948277971392,0.01251745804346664,0.00750764656127393,0.002565682359148428,0.006730063533318526,0.01064092348823161,0.007254789672519547,0.04067941800840265,0.010499774697876465,0.0075004018379289565,0.008199242681592877,0.0099402374518845,0.006938235078460908,0.008825802863933167,0.010469990569526756,0.03800394481687828,0.004993421036034334,0.007504123609184916,0.01958113923644406,0.004956939729364192,0.009416501318618877
700172927,0.005531053843685098,0.009757424367405895,0.006311861328808949,0.00808028101713348,0.009026863602418564,0.0312513360908281,0.006737705781724779,0.0094692456267548,0.006264920588119387,0.011262394772951323,0.005744000839848635,0.006413684798297121,0.0008058616783873732,0.00937385831478788,0.005222186883189298,0.03855813256844046,0.008744532284247947,0.005901639824294785,0.0062606565065314035,0.008403626590420887,0.00550459848757044,0.0069749087039624545,0.008663866065068127,0.035779760817625114,0.005377953926588946,0.005813636874893422,0.01813575158837736,0.005479845446389463,0.007857095490069205
700172498c,0.010786416691002592,0.002947736717663655,0.010928002900099916,0.012024297735305584,0.011197074540044118,0.03304916663156998,0.011409413777309077,0.002008133911444781,0.011426460803324727,0.005108937403705503,0.010239185837684878,0.011201199538712951,0.010316848546366176,0.0016032543532570516,0.00984187874702832,0.040493320703778576,0.0022671632597222853,0.010165938771472387,0.010651108018594223,0.0020640765016929547,0.009591180763800578,0.0112283429148939,0.01060595954509572,0.037986930678868484,0.010694871904927863,0.010189199605509212,0.020246445753777008,0.010871051633870235,0.011494930045808234
700101366,0.006358588227364902,0.009727157486797295,0.0035213222387046406,0.008567662115908991,0.008764018796338193,0.032242393972324285,0.0074902891707689595,0.009127949517703971,0.007061618787027052,0.01123748299610147,0.002928628211997167,0.007088813521089634,0.005366698536152433,0.009144768376994772,0.001030082001253682,0.04024714831236285,0.008997049323637549,0.0063405741893763,0.00705350211885687,0.008190720230761455,0.003043478687763147,0.007443205930829178,0.009016652898278596,0.03768195918401145,0.006166646327455921,0.0030111847882198363,0.018436855695827096,0.006531875812509845,0.007878713244516628
700037868c,0.04006961865501784,0.040324697818432766,0.043629924175704736,0.04283078353836725,0.039350983551810714,0.010036670018971114,0.04371656291932345,0.0408857233636108,0.04378929600504748,0.04512727263201551,0.04299102115903675,0.04215761605477438,0.04202445869208325,0.03972656035759085,0.042698302218882885,0.0014439091646155336,0.04310160285294416,0.03862825826975735,0.04094173259185406,0.042766538300323585,0.04174994804990676,0.04137847353215296,0.04052708165977032,0.001216236584768883,0.042671023140646434,0.0408829984330848,0.029289308091316038,0.041052556816432315,0.04260111469935754
700033153c,0.009918903526568618,0.00293076944334959,0.00836722944342713,0.010818060859800187,0.01024605336267735,0.030368142082014337,0.010053696018520013,0.0020244986820758945,0.01027530186701855,0.00493230823000535,0.009396779466883377,0.010088319833286938,0.008807747053278636,0.0020649502534061982,0.008838566128943386,0.039898487583839515,0.0014402131288140485,0.00927514563546042,0.00971140251033068,0.0020246708654158086,0.008578095946576708,0.01026679079538745,0.009614536561204408,0.03717644665065983,0.009515445159080082,0.009368473468735684,0.018292297405538102,0.009753087614606816,0.010127026507513084
700106056,0.0074183475957785815,0.010953123887649135,0.007976015428710301,0.007099518133214284,0.009923988030321984,0.0323417712334346,0.005375541227226015,0.010302591360941565,0.008032038486777308,0.012583894532509105,0.007428709871855603,0.00804973369128412,0.0065943409477507275,0.010368393637070093,0.006963152775745079,0.04011923177436965,0.010337884947494741,0.0008703184597714073,0.0037478423866523602,0.009465870539846878,0.0068657056121996215,0.0047298740572550325,0.010036322646594141,0.037535063060406194,0.006968547808970107,0.007288654305090842,0.019440513679660647,0.00746766509864667,0.006501429726692305
700106170,0.007812184073139158,0.0108906846496224,0.008214623611559576,0.006483052422126157,0.00960021763353652,0.03252334900251665,0.0048591556645954746,0.010277996015326809,0.008449711108260616,0.012326025076295086,0.007631872810236069,0.008328506285808298,0.0066425177026802045,0.010290582287634551,0.007333463538666597,0.0401441336424707,0.010263582213041354,0.003547278557410393,0.0011634427877226302,0.009321660636040235,0.007217126885143537,0.0040918652284273336,0.00997246945003825,0.03753505197920486,0.0072181641837380205,0.007614318505341238,0.019186161446207398,0.00797579372588893,0.006116543369969835
700117682,0.009343837310418638,0.002854019644695201,0.008752132990489558,0.010100668776726685,0.009526581762431569,0.030434328003371838,0.009114348087282077,0.001855291505803361,0.009650511063186172,0.004929348946578565,0.008448817723234489,0.009428734394740151,0.008360498753564954,0.0018862135352172196,0.007957016145096406,0.039121750095891236,0.002010126012429688,0.008412277430486632,0.008707927494978906,0.0007282498643276262,0.008109567524598795,0.009326673990684913,0.008974862086845564,0.036463073273831616,0.009115132084333124,0.008670862266515788,0.017967588328719333,0.009372255653776487,0.009403822843802513
700014386,0.006266600354510632,0.009561200078560615,0.0037369079897599405,0.008184619587414288,0.008894412449244455,0.032046200966305484,0.007295415466877262,0.008970456226429413,0.007063375641605047,0.011188852351219958,0.0032361853448555425,0.006851698807974239,0.005678220308305424,0.009005877702898377,0.0030738843041534115,0.03977993643756942,0.008822397510907477,0.006313279500832231,0.007017481277489285,0.008422521821441755,0.0007204544126386027,0.0074021979856083156,0.009080406079466408,0.03722857436995742,0.006010924248017753,0.003361892947989613,0.01855448484707629,0.006299798767440027,0.007580676208292701
700097688,0.008446104524871479,0.011539060812630515,0.008810684392969698,0.0071177192147573905,0.010384267850016391,0.03313840690206378,0.0054309910227452966,0.010950447108543657,0.009019385583932563,0.013057788619757907,0.008115248165858482,0.008993642663260575,0.007445877530440316,0.010876473709466124,0.007792426112417431,0.040737761031985883,0.010885580735274215,0.00450022356685453,0.00411128561240726,0.010004538473657286,0.007662922015982237,0.002242734202532165,0.010673738476394122,0.03816619314083503,0.007882047042977266,0.008034756138211188,0.01985694688595281,0.00856020143776896,0.006734226102591825
700164159c,0.0102286246359634,0.010820307748793669,0.010167565246651251,0.011440326773568751,0.008338030259669149,0.031434379915912164,0.01064757323819493,0.010229405674500732,0.010917857621371471,0.012458905458899223,0.009602111123079387,0.010648577138369504,0.00925096229161337,0.010240670835982056,0.009421011991138754,0.0398409427867147,0.010172193072803438,0.009503411384577365,0.009984937988277818,0.009613610007508528,0.009365165530530123,0.010646654629807163,0.001670277482331939,0.0371844990191646,0.01017617065276643,0.009716225423652679,0.01782152583378331,0.010216230436019408,0.01093795908245176
700165778,0.03714761668582117,0.03746584707451511,0.04048170539729338,0.03976753789775072,0.03644514864832482,0.009220051851040323,0.04055038132985666,0.0379280994130014,0.04071750110047812,0.04177981363366298,0.03979364715735595,0.039038200645464864,0.038645682831883375,0.03694251104667084,0.03965872154931748,0.0011926471319650756,0.03976800525527601,0.03581824751247799,0.037940629255813055,0.03946394462694462,0.03873347759739049,0.03839858307970277,0.037467579949777965,0.0005450249072107887,0.039449544225210686,0.037901752507312265,0.026517214096598463,0.03812038983610469,0.03856145072819892
700038870c,0.00393377959005339,0.010558054588852877,0.0072422904527134685,0.009142911113035251,0.009752603573286148,0.03231051652856146,0.007338427239990181,0.009803272785480072,0.004655447993031143,0.011970710574320448,0.0063363688009991466,0.004860801748276729,0.005486196114183945,0.009912935066503368,0.006151054571991036,0.04008482000726929,0.009649200109981028,0.00633759000288457,0.0069286012664522886,0.009352053015628898,0.0059404271895493145,0.007534794989510867,0.009751284315276968,0.03741709251508808,0.0019010843483359351,0.00649285748855805,0.018805153564377636,0.0036394566913274407,0.00832164747815135
700034166,0.006837230322173172,0.010239059338858977,0.00360145983688446,0.009079927700966623,0.009609943932089216,0.03276757161686248,0.008252701612209163,0.009890566942414256,0.007560319274102591,0.012129151561216378,0.003224496679366373,0.00766577814917628,0.0062289559270325605,0.009893787298254209,0.003159166305124968,0.040405241122993915,0.009968649666370044,0.006933991521849177,0.007656029794361758,0.009327342328974022,0.003492955791627825,0.008052314959815364,0.009771863611923585,0.037816779952803005,0.0068081752549234405,0.002079510890333532,0.019236775993613398,0.007085491091318757,0.008530643792036392
700106229c,0.0182477046519334,0.018384367862530605,0.01797344963987542,0.01894271339059304,0.016516497268017134,0.021671700721248053,0.018371931786411687,0.018645953233578396,0.01899838202285524,0.021303298948952058,0.017726516218388326,0.018524486954476786,0.01811259712346969,0.018245727796724304,0.01785476109832596,0.02666420264808495,0.01803027810032845,0.017218505690228092,0.017947471723929756,0.017994878536254845,0.017847626283616986,0.01845759665607786,0.016580273834481844,0.02446429492495924,0.018316881080959708,0.017861716660253168,0.002360397679957133,0.017885221912301182,0.01851181801764055
700116401,0.0039041743498984096,0.0111520386121589,0.007825976074705622,0.010109042759261949,0.010444747432426002,0.03293041632992661,0.008223894370690562,0.010576811059531064,0.004672888595221829,0.012782934956933657,0.007151213292439158,0.005095486052224397,0.005902742021586385,0.01062564223373775,0.006892174037554633,0.04083224232751133,0.010451932047385277,0.007149147134619306,0.008078873631764386,0.010157600943414278,0.0065721529836924725,0.008642391298257706,0.010348520159431659,0.038268603795963085,0.003846207506642008,0.007138503090619215,0.019424616545360058,0.002756085684477967,0.009160107871024477
700024024c,0.008564660562343753,0.010975922150103037,0.008557793256916213,0.004108061914164632,0.010073717782907035,0.0304486620457283,0.006422859469209107,0.01045100017767353,0.009144325744131416,0.01244448309348249,0.008049756317492919,0.008942952692102362,0.007859922270764234,0.010403950158257364,0.007651803067628119,0.03898116530341551,0.010019947312253972,0.005828974095540632,0.005775547071606978,0.009410127849171387,0.00733915646923298,0.006335746700185036,0.010280784223193123,0.035688332468349335,0.00815496028349048,0.00797743893554497,0.018479065874007952,0.008473970421945188,0.00239444428324907
