,700172461,700109987,700116668,700023872c,700024086c,700038472,700096380,700114125,700175181,700033153c,700106198,700024437,700034254,700014386,700163181,700117625,700016716c
700172461,0.0011097236723445266,0.008204331546454391,0.010707396873659458,0.008483943079476213,0.006015138876206549,0.007815547388537299,0.008055495057061345,0.00640371184367981,0.008030050238243257,0.007479679621910181,0.007329426803604309,0.007393405122087733,0.004207348420342245,0.007286684698186827,0.0069854233332257475,0.007221617460938669,0.007761332635843614
700109987,0.008334077461635529,0.003636406726410719,0.01210740117018437,0.00954097838434676,0.0075009206608067,0.009430387389521495,0.009534963202308505,0.0083649234714286,0.009748254366201059,0.00904319530174002,0.009216816779736684,0.008296250098880546,0.00791735592407062,0.008293724795435876,0.009217344078644251,0.008278597995391011,0.008887783649061716
700116668,0.010924148061178236,0.012175916572442913,0.007331087516639881,0.012237780955297777,0.009469306389804154,0.012353263769814065,0.012160636047200558,0.010788686219348349,0.012085303671659366,0.011702587191152044,0.011701671355883705,0.01084368942399552,0.010488969067674022,0.011358798227953769,0.012005347866152559,0.010129845157925336,0.011767072393068055
700023872c,0.0087457764956816,0.009668489043453396,0.012327683854431556,0.0045356611544996785,0.00787321517128465,0.00976650890994213,0.009638875438972478,0.008350815663968102,0.01012646895156273,0.0092236750319719,0.00942995452572113,0.00909415580881178,0.008444812374874894,0.00919691524038935,0.009915429508893042,0.009002687135764081,0.00956830053375522
700024086c,0.006478740013251727,0.007965364558078938,0.00998470292936664,0.0082613748764959,0.0025056756151218217,0.007796725990918824,0.007689438136405745,0.0065048254539575925,0.00778953990338179,0.007240494722795845,0.007566375879890686,0.0068977704880708295,0.006129870928989243,0.006946652754573761,0.007859149544323266,0.006452869100429349,0.007814554846711732
700038472,0.007799907898093521,0.009281375924889958,0.012064624987067969,0.00942775613407587,0.007221160796561731,0.0041153674426812935,0.009363068616735179,0.008211822363144992,0.00976939959129525,0.009071689312384388,0.007995147453811231,0.008471290980620076,0.007831042527721793,0.008993926583487431,0.009538791760171358,0.008256677884302982,0.009485152132250738
700096380,0.008042009645691659,0.009384235010113484,0.011890669514929269,0.009339008248761228,0.007124393006824334,0.00937162573551669,0.0035160276756592114,0.008014275738267016,0.009064638428720422,0.007223124814886403,0.009006803181869303,0.007894661912597509,0.007990096333364328,0.008814347838374238,0.009196828358166188,0.008170605106426608,0.009091919061791852
700114125,0.006406585123287736,0.008255407976940408,0.01059280963847968,0.008120237466916126,0.006045141241438683,0.008253323877428899,0.00803641168376865,0.002085080116229874,0.008036042377870542,0.007618273883877424,0.00794189969891793,0.007421378404076841,0.006121274155412398,0.007031095131049073,0.00779986168548929,0.007141656703096266,0.007932086540125338
700175181,0.008144369138941291,0.009743117519361206,0.012003461483800552,0.009976852272603677,0.00732276711425473,0.009933961618386306,0.009205318697066069,0.008133628704685078,0.003649918602054664,0.008776409369572922,0.008916878510410575,0.00785421469837065,0.007768042796051512,0.008799423530758181,0.009690943996439464,0.008169530677586275,0.009468855475523444
700033153c,0.007470206481840482,0.008943984724340992,0.011481021007781315,0.00895100898437465,0.006721567533341764,0.009106631684631956,0.007253094363575524,0.0076055916032415315,0.00865911230749743,0.0034776167362387178,0.008623696740047487,0.007568423508355216,0.007294277680807158,0.007959604345625464,0.008199773758448603,0.007700114176174516,0.008515430944845156
700106198,0.007585675018852942,0.009394346010519531,0.011846490625447322,0.009474030662217432,0.007247368050157561,0.00828858461733643,0.0093369771787367,0.008198356783956716,0.009091261163392076,0.008916285594502487,0.005829914036698474,0.008474720000477127,0.0077924941890720936,0.008769560356919273,0.00922709899254444,0.008091611037089988,0.009195233304778037
700024437,0.007883520698694706,0.008717945078383388,0.011326652308827316,0.009444125198225977,0.006830526251395553,0.009047669764327318,0.008432485798732691,0.00790613185018532,0.008268998947188114,0.00805521801085955,0.008742649509513827,0.002451763743731216,0.0074378489152098735,0.008189673315095274,0.0085604696487993,0.00759990362344207,0.008865163064321292
700034254,0.004305910987057296,0.008005684976007385,0.01054485354215944,0.008413537836267295,0.005832022781148936,0.008064295782515586,0.008224117963058195,0.0062691721072294215,0.007865263343870051,0.007492705882148305,0.007745613170780243,0.0071487443579344905,0.001012106615270166,0.007412110643616724,0.006825936076378336,0.007245258363413,0.007827058425595449
700014386,0.007216808738359511,0.008054887425224814,0.010959736960904102,0.008825591148864114,0.0063796533262819,0.008859088704616247,0.008698539751856528,0.006930265234027673,0.008563744478317821,0.007815989943497552,0.008364204088184097,0.007585657755894191,0.0071204774855007985,0.002016570370604898,0.008393048201788714,0.007474342521523905,0.00817485659742029
700163181,0.006907725955639747,0.00900122043328166,0.01166384979580059,0.009522515999669606,0.007208987459915002,0.009506223865115756,0.009147055775548609,0.007690147920018448,0.009472828837115636,0.008131861045777036,0.008843337105951298,0.007947759744127756,0.006591953222587636,0.00846840781349647,0.0032393006492271244,0.008188722960108797,0.00908715839505898
700117625,0.007960758917675744,0.008976708510748044,0.010927559241634036,0.009647989393238472,0.006608331214754504,0.00908337964908629,0.00899225162387488,0.007846331429726044,0.008870485269668544,0.008454437889896891,0.008637455185200845,0.007847776494526127,0.007781148859839069,0.00828991589180855,0.009080440048204724,0.0013159530776411265,0.009024418181350255
700016716c,0.008038770322934827,0.009066470017061632,0.01192250731385486,0.009636596233166114,0.00749899491924411,0.00984343828337644,0.009426985297985944,0.008201042440553948,0.0096639708312159,0.008802043646840684,0.009212773566466388,0.008596347785383568,0.00789302116881553,0.008578081921511172,0.009484780683010062,0.00848769622147304,0.0035881218479815805
