,700023788,700015181c,700024233,700109987,700171114,700023634c,700035785,700013588,700116730,700096380,700175331,700100022,700095647,700107566c,700163296,700172498c,700033665,700013600,700123562,700164159c,700113867,700016716c,700097837c
700023788,0.0015424143781191952,0.007288636926927705,0.007570542507018862,0.008592154913351472,0.007493024571852275,0.009013174469274488,0.008133059477388795,0.008407627673989825,0.00911135851356872,0.008221340674790122,0.008950268621163458,0.008713275773364193,0.007928103558468956,0.008577255498251259,0.007443765871824123,0.008524795139741756,0.007615405222963649,0.008629795768180612,0.009124173582739464,0.007996519284876855,0.009296944999950749,0.008571992030545119,0.008300847270362514
700015181c,0.007141347024102468,0.0006820208678902563,0.006789517663284158,0.008017684246266336,0.006643542492352251,0.008192776721331122,0.0068870533285665635,0.0076269519848427905,0.00839882653018837,0.00754972467156472,0.008151270441722373,0.008170809885193926,0.007016796279949661,0.007888705977576637,0.006565257813461049,0.0078242131189557,0.0066786053625889,0.00791694585642543,0.00835954196900278,0.007126757800356455,0.008150248707669791,0.007943175267470097,0.007536283371446708
700024233,0.007479104918185752,0.006859686368144188,0.0012291767755471582,0.007908358116110702,0.007131779630438817,0.008437049887712125,0.007557104868268375,0.007860656443009838,0.00862435065887648,0.00808214080158029,0.008378482464837184,0.00834561484836287,0.007352249388220227,0.007986773215259426,0.0071270777068054144,0.008152472992790148,0.007031478477916898,0.008536132795402135,0.008755535353476373,0.007865076791211163,0.008758820118008874,0.007909898910016288,0.00771816743355605
700109987,0.008702695619578364,0.008269907242513202,0.008083640050754024,0.0042922067265084565,0.008583629193239925,0.00983603431156456,0.008948599147681447,0.009144349443654365,0.010002119711976266,0.009210624387518141,0.009814896760881162,0.009708784217027687,0.008720191083892959,0.00932982465314454,0.008403565370361995,0.009399337131842642,0.008413534511872553,0.009724018447322192,0.009883536852418828,0.009051789104115412,0.009985572586095642,0.009136292068987296,0.009209759528701535
700171114,0.0074324647608763825,0.006725860451983345,0.007149485310262487,0.008412098127854624,0.0032669936672423405,0.008472816160552834,0.007631106214015902,0.007734245342923099,0.008540155643110867,0.00776082613220869,0.008347629046028232,0.00837187753011947,0.007656058910485934,0.008093133995368151,0.007060473820871466,0.007899893439064522,0.007233840142990199,0.008153522109640212,0.008587038871808245,0.007479703954606072,0.008797832553330737,0.008361801883842609,0.007510450968344405
700023634c,0.008882122893707569,0.0082296926731585,0.008391405977275605,0.009560092942255887,0.008418049023871792,0.0030148031387011017,0.00885200930437567,0.00918970238423872,0.010033692088075363,0.009040628601637849,0.010013823076814659,0.009943075747401671,0.00891369358946545,0.00963779748669881,0.008534231120454552,0.00936548177936117,0.008696529515463744,0.009630582193239798,0.010013384632441969,0.009105732386575386,0.010036884679228805,0.009632691076732152,0.008987263519577892
700035785,0.008407172932159113,0.007261741746556639,0.007898425302263794,0.009124955167323348,0.007956383458139496,0.00928869419169067,0.002039832119863937,0.008558664723341164,0.009601648242766278,0.008375549409409506,0.00930968703030754,0.00946039040008948,0.008176672676741041,0.00899447766782343,0.008034296458499566,0.008925311196178388,0.007787440761499399,0.009000618793335994,0.009365655697517723,0.008379859360645859,0.008139757244479231,0.008756092142496858,0.008411706641933723
700013588,0.008206974973059718,0.007607943348192028,0.007769014221838385,0.008830648619737737,0.007620593230971544,0.00911335939909502,0.00811067112344822,0.0012618442713814178,0.009260052598863096,0.007163067267959472,0.009483119590292414,0.009199330793020414,0.008254677662499606,0.008770143638054246,0.008049700242189518,0.008582722929997073,0.007881066534979057,0.008521198746649711,0.008979812179854132,0.008341399833922104,0.009345372972082036,0.008942362006112026,0.008335180904058208
700116730,0.008836559438271151,0.008306071328217045,0.008447283051297536,0.009576999458338193,0.008350916799554266,0.009874787604445658,0.009014947282162377,0.009187152359990337,0.0033487014682457147,0.008994834592235875,0.009956128421614252,0.00980802076648828,0.00877443442281373,0.009396521685719776,0.008198944772602598,0.009375819018332432,0.008504042263028647,0.009794304847532808,0.01021731495496032,0.008868564888556212,0.010241429071918395,0.009427688584193492,0.008614796416511052
700096380,0.008027196324095045,0.007537940926891489,0.007964558216335389,0.008914666137517445,0.007643972996158276,0.008978974345893384,0.007916078738196117,0.007176169722227809,0.009084390011430642,0.0013207971063791475,0.00939097376534046,0.009429192554668814,0.008069905564720927,0.008935156383982339,0.007954455028954302,0.008522261325837591,0.007820047142923395,0.008234441970370727,0.008532280713509673,0.00815082482686046,0.00939389957918945,0.008950737786810697,0.007978104323887122
700175331,0.009547262110195413,0.0088637279106547,0.009020921448580566,0.01032950451232515,0.008971666237494689,0.010838878406266256,0.009618038787743857,0.010325695217243908,0.0109216612148242,0.010219734212674816,0.004276699212469846,0.01058893721463561,0.00920316386690235,0.01002546533528994,0.00921508969762826,0.010165844019937413,0.009151115028892542,0.010486709954789768,0.01092359160841957,0.009686889772345416,0.010625909152694818,0.010013452291118396,0.009740175936751444
700100022,0.00839163654286337,0.008047902471003116,0.0081466956311534,0.009255080339896221,0.008144069539024782,0.009741890291296915,0.008849302303229795,0.009088222606439164,0.00976336264526433,0.009289311858800732,0.00959879047279139,0.0030957209106462712,0.008447522331669392,0.009140869950421359,0.008045021954444526,0.00888597532087033,0.008488636398127282,0.00951484070127298,0.009958442947999404,0.008644462443319283,0.009844584510102374,0.009196009430555813,0.008790880610482613
700095647,0.007642123431771314,0.006914288676877889,0.007170482956463678,0.008347670186259844,0.0074570794360685625,0.008750210728809755,0.007651743981420957,0.008183002769345249,0.008770644569864048,0.007974708713541391,0.008366401008933372,0.008477549598917012,0.003984839045693572,0.008291691183305283,0.007250120061006744,0.008104966459752052,0.007273114116728952,0.008239382863710062,0.008767381094875092,0.007921860634268469,0.008684275741408985,0.008270077919260675,0.00777727800950238
700107566c,0.008619666358875986,0.008084267479394353,0.008105419222430578,0.00926771714312225,0.008206108473947173,0.00983225423761772,0.008758963455366685,0.009014445889419794,0.00973177419349236,0.009165271775737078,0.009449366168796984,0.009502327666793237,0.008595915853725006,0.002748590740096697,0.008006717744004245,0.009247052391407051,0.008043991320294153,0.009200794769896251,0.009437181529631996,0.008715743834706803,0.009740808881573741,0.009189855002117487,0.008805487709086778
700163296,0.0072735529216195185,0.006544020071051036,0.007032399247314004,0.008108094334613226,0.006960733072403712,0.008463177362765284,0.0076064757548386435,0.008046762302476496,0.008258699164622551,0.007940560143071903,0.008452743594759915,0.008144594816570209,0.007323268813728372,0.007789988870994605,0.002772444621957101,0.008101957838210074,0.006925799878277992,0.00839650000592283,0.00880806687964501,0.007594314938276756,0.008599799846033984,0.008069390277724577,0.0076937987246896156
700172498c,0.009202003398542087,0.008583999580206308,0.008872230439854821,0.010005277021425072,0.00858848168734311,0.010244948891613832,0.009329250553148115,0.009448886606953236,0.010411084141254256,0.009373973007067507,0.010285558945824813,0.0099095988047729,0.0090096885890649,0.009911768603127912,0.008925139805288905,0.0032093242247638637,0.009214327205344826,0.00927526107033408,0.010253693145572569,0.009466985180497326,0.010239371525527785,0.01014090657408262,0.009038220055186535
700033665,0.008238402466593941,0.0073726036337849,0.00769625379704574,0.008988949638084708,0.007896914447703752,0.00955031528133947,0.00817294628506424,0.008708431028174453,0.00946775051600221,0.008650168901313829,0.009295823083959268,0.009488132876450587,0.008127989584571222,0.008655892775319196,0.00766376758520308,0.009258019939293032,0.002262813009788719,0.009583827234362269,0.009568807087586338,0.008638381876298942,0.00941219051811112,0.008569125583473574,0.008630703329974789
700013600,0.009338813155603023,0.008746169172870638,0.009320783164130124,0.010386240474848644,0.008888794700347516,0.010572970669588328,0.009443063273748052,0.00942678396464454,0.010901726770282007,0.009091282522069852,0.010657691342058134,0.010640267237488569,0.00920435775039097,0.009904367390626306,0.00928474972077923,0.009302119999067996,0.009584546655904523,0.0005994550806692907,0.010036877044766218,0.009732090620710005,0.0108620386550051,0.01024023356626563,0.00935637896504464
700123562,0.009833078220796971,0.009182362785411027,0.009525738771887848,0.01053448755872718,0.009330851532739378,0.010960035485254132,0.009792544069471974,0.00989307944358777,0.011349575105592195,0.009384063728128476,0.011064668149162824,0.011092477848390224,0.009735196839114486,0.010127196636441349,0.009705415355877076,0.010265246782151894,0.009531290161550826,0.010008669125158971,0.0028161614329508533,0.00998765468628184,0.010878968149343856,0.010331292766222694,0.01004717010680734
700164159c,0.008514656726170713,0.007729736193429338,0.008453857269188077,0.009515691947303749,0.008027012377486863,0.009840086084448769,0.008650212265031145,0.009081752176236794,0.009732704287130082,0.008861947891923051,0.009680635920209084,0.009511244542762002,0.008702689711053016,0.009220745368240286,0.008260936033846788,0.009350082824462513,0.008489348712032229,0.009566737249692802,0.00986066538504058,0.00241030655985905,0.009828498249962256,0.009227544701178857,0.00868593204430558
