,700013597,700013588,700013715,700014724,700015250c,700023509,700023578,700023872c,700024086c,700024509,700033153c,700037539c,700038806c,700100600,700102043,700105580c,700105685,700105991,700106836c,700113114,700113810,700116201,700116468,700116778c,700117625,700117682,700117755,700163238,700163699,700164159c,700164686,700164870,700165311,700165407,700171114,700171648,700172068,700172726c,700172813,700173176
700033153c,0.010506080104718622,0.011395133076798566,0.010913166232824718,0.010662858690560318,0.010808652173742347,0.011743090299243367,0.010212174711861541,0.011733497915636158,0.010694241270859111,0.010942507408417922,0.002151829552925386,0.011232355752964659,0.010443253972615642,0.011228692168769924,0.012871443345984545,0.011688440923159054,0.00842962240450078,0.012295265604176249,0.011032424703019912,0.012022950784947434,0.012291808363585552,0.011042409711927853,0.010224021555411078,0.010263291404298977,0.009374846610566756,0.010649016971215298,0.010962390116870812,0.01207020196174355,0.01003990791484518,0.01152669465723466,0.010191110205571256,0.00903323418285969,0.010464169286891938,0.011879326344754079,0.010459644983701555,0.009613226636234595,0.013458717921335938,0.010916848801119153,0.01216311300597711,0.01192953358911702
700037539c,0.012790770725385913,0.0133032957170403,0.012945367347235332,0.012257233873037674,0.0125781026257913,0.013584515425274255,0.011958393636991508,0.013170830446114437,0.003003557631613469,0.012629247224965712,0.012286335617872329,0.0016426967685151696,0.013096994802141172,0.011846883933431602,0.014255333352661407,0.013488156247684926,0.013747120650347259,0.013860163189299047,0.011997234032759528,0.013609825609044836,0.014108057295357773,0.012202765726798633,0.01276105920915803,0.013717990906037862,0.0128873551116896,0.012516932207594868,0.012177674031598792,0.014078521095647448,0.012050974635098447,0.01350697264637991,0.012198284109714403,0.012499692686897618,0.012426049136820664,0.014149464321282739,0.011968277767302412,0.01124382991761681,0.014921883952599291,0.013064389355137006,0.013679544435615473,0.014002041332626584
700038806c,0.010681802646655466,0.012449705597585719,0.011597505906416214,0.01122410940695445,0.011506155897411007,0.012349497932306008,0.011320736993568092,0.012140022245158828,0.01135327025025865,0.011330627092202408,0.010688063801689516,0.012237643768847225,0.00184356671155227,0.010867965748394364,0.013047922284834122,0.012238166561799529,0.012578976426314104,0.01232817073658093,0.010859360257524433,0.012625754332992005,0.01286792938876065,0.010887452541688655,0.011411495019805463,0.012671689424019585,0.011834821857586542,0.011346937546359938,0.011401693102502433,0.012728569450428719,0.011674677792502187,0.012450745930541502,0.011101350377551434,0.011373792530076792,0.010864246814365564,0.01279843586301827,0.01040006342801028,0.010598377926825425,0.014554496652714232,0.01177761775094895,0.012628701417967375,0.012738410347291191
700100600,0.010750872205871169,0.016027395577086025,0.013591172418226206,0.012200116186233071,0.011763447664007436,0.013061100887067344,0.011708767343802662,0.011562656099961044,0.011104037513917121,0.011970356651330866,0.011149849677579714,0.01100400214031394,0.010633468829086517,0.004883433362126012,0.016405829668396484,0.012697347015940446,0.011916206240074428,0.01369500281319865,0.011585862684842515,0.011953767346234408,0.014564927118908156,0.011499905951467503,0.012418710880750776,0.012180210280018063,0.011612711103344189,0.012663052787375315,0.011469503854561658,0.014650029392606834,0.011130131184632687,0.012160902226781876,0.012303026991511451,0.011200467251494216,0.010166199989726855,0.012787192105566331,0.012142540202100097,0.012014269505846553,0.013112090336837969,0.012291202402613194,0.012159559087485849,0.01212517258584104
700102043,0.012032541058920238,0.01446028797738634,0.012805970685963994,0.013792223167483826,0.014364403519983467,0.013249207815478404,0.012517435017377159,0.013031712170310102,0.013489760548193558,0.012655722053725563,0.013137189269574594,0.013319190626668094,0.01302334016848394,0.016703295094229256,0.004982107807838188,0.01347894024036232,0.014627533599406344,0.01343633576037944,0.013649436234695791,0.013754576500695215,0.014506269530863715,0.011213392307190578,0.0129750279108357,0.0135664440471476,0.01301553130929116,0.012718792039209056,0.013003232791060292,0.013029800180503865,0.012453112244089647,0.013672140612589237,0.012893148155301366,0.012629430706664039,0.012255835678673829,0.014528650180043198,0.012299869607803705,0.011824561290978948,0.015674204550855414,0.013424071545147928,0.014811406877803223,0.01219657700447528
700105580c,0.01149302405461483,0.01338570993472759,0.012553543242182986,0.01267877941072114,0.012928474543634614,0.012842661317126764,0.012251251709092142,0.012451068175353623,0.012694191146258095,0.012192404432524654,0.012506265077906361,0.013103664198742601,0.012755062247803399,0.013294102215017648,0.01403857410624032,0.003289617682722141,0.014067214613483498,0.013458115881140376,0.01216128553086827,0.013569751260825843,0.013668233104867217,0.012252948867935187,0.012041507690014743,0.013481725270913613,0.01296470367188125,0.011862853598713127,0.012540105319656533,0.013484724258518361,0.01237057265922699,0.0026222839267473898,0.011715283131168704,0.012645132543731091,0.011975528399635914,0.013999875145789348,0.011658735395006725,0.011733444823382328,0.015093093256690575,0.013154096113541257,0.013164332939579368,0.014159409021706025
700105685,0.011805081934898546,0.011893468478027268,0.012422409746499965,0.012079449425504108,0.011877884231133142,0.013284298622675293,0.012128716689263372,0.013059803258412118,0.011924866982634966,0.012448318337612108,0.008472211711102025,0.012612884642026517,0.012334268123849289,0.012031621737193302,0.014391387094532908,0.013231684983875176,0.003588414629736739,0.013382438952233419,0.012674168664253726,0.013042294765005008,0.013588781202293496,0.011842636644996022,0.012296972778357633,0.01195540768378587,0.010712005179932177,0.012217873407198342,0.011604620251368068,0.013579766650169483,0.011678009312112797,0.01315945207494387,0.011898467179179079,0.010414684678186757,0.011739634556983828,0.01354006610363899,0.011764511426648049,0.011301624626982606,0.01469091777141097,0.012375816490333345,0.013536573051700723,0.013392467539427107
700105991,0.011903654765071412,0.013817419636168284,0.012925948825283357,0.012822117101594237,0.013503164097266646,0.013942330410039559,0.012183272280437963,0.01348946718728993,0.013463116264961722,0.0131355921955585,0.013018571224227662,0.013460088123354603,0.012805994737897923,0.014047260109392584,0.013920454686350546,0.013437307082980365,0.014119846898012661,0.004703283764292656,0.013201117349729613,0.013694698636890728,0.014355013672688951,0.012029022076043536,0.012595834027362873,0.013607970320280521,0.01309862714224823,0.012643455411533106,0.012569044894151815,0.01333061661708522,0.012408510006489057,0.013626506188291622,0.012191195956902193,0.012776328104037612,0.012767692199761326,0.014174777996444048,0.012186776224284107,0.011570161482972999,0.015539119247725632,0.012998438753376447,0.014370671244222966,0.013894637547454354
700106836c,0.009759605488203867,0.013517543983621526,0.010821480815023135,0.011372368465587679,0.010438244909316103,0.011719331836928316,0.010191577559086713,0.004478947673412646,0.010895114316561599,0.010961921912699818,0.011087350232278803,0.010948747473814266,0.010511665947752573,0.011806471546134345,0.013347800842689255,0.011298914938221586,0.012586802198707317,0.012379532153781906,0.0036561889983177994,0.011143559146937224,0.012967232774773628,0.011560151977179252,0.01161264074893611,0.01146836562729986,0.01053615911577801,0.01136254781985919,0.010136015573068612,0.013694345618159385,0.010876693959822865,0.010759407898640409,0.011475204209457756,0.01010611271614685,0.010234469344844005,0.012981896487394956,0.01033335956832633,0.009975007360731853,0.014062600363005436,0.011156291958685909,0.011088794200000885,0.011483519391509923
700113114,0.012161442751797603,0.013309585018136113,0.012736217966414363,0.01222206936156022,0.012911519915658781,0.01347340679686847,0.012004181790140832,0.012887524072957046,0.012485185452087747,0.012606768756906436,0.012627152322179713,0.01307680721211072,0.012983660004993954,0.012319017664452547,0.014162952573811342,0.013408056172208437,0.013662881022425261,0.013542768272453362,0.011796239406252138,0.0027475711964333564,0.013892933881030037,0.012202576739394113,0.012562623398220936,0.013256950225056772,0.012948589517534184,0.012286875755630882,0.0024072919397745223,0.013710157595391974,0.012411841137988681,0.013403887874175183,0.01216428721378356,0.0125491731130559,0.012383370308648282,0.014319650733100152,0.011918533991187268,0.011057298928702969,0.015384284586238287,0.013181362996359306,0.013843735748169477,0.013798774539157569
