,700163419,700021261,700116611c,700105787,700015981,700035785,700013588,700037967,700119562,700037123c,700100022,700105613,700106333,700106170,700123562,700164735,700015702,700108161c
700163419,0.0006275540316768747,0.003873462952493447,0.004786650660660531,0.0025781406970130827,0.005061239915383153,0.0017074656897630158,0.008366589727586537,0.005614232751371474,0.005250481442288726,0.005960017417668341,0.007198314533226028,0.002386826406814048,0.006834119264055054,0.0047527831728902655,0.005225695002730593,0.003909500775587449,0.0057462520446854536,0.005144314148023007
700021261,0.003972977256025733,0.0004459701987740926,0.0024117314148832786,0.005160386180165215,0.0043687968853749854,0.0043013778565364905,0.008371716276690573,0.0028575699950166462,0.002675112924929072,0.005293317952484018,0.007268168653539708,0.0053584074838666325,0.006517718648924,0.003974138092263217,0.002841106560579968,0.0007130914793455063,0.005891525457863785,0.002425463274852351
700116611c,0.005135656718681937,0.002523154735691762,0.002317239087354869,0.006302066812586177,0.005388296927149311,0.005428391887959655,0.00943975619880896,0.0043039260842123285,0.004046587197846167,0.0063190074379856935,0.008482663388017779,0.006511985170364622,0.007418099660973777,0.005020361689602618,0.004313995229821872,0.0025760957097252864,0.007060717354076481,0.003527130534485385
700105787,0.0028627680467809714,0.0055941798056854865,0.006532866553541414,0.0032019672216711125,0.006689876623599761,0.003243220555774842,0.010138093363948846,0.0074042361049476875,0.00687607861250983,0.0076139633182888454,0.009139015703644213,0.003995877174318243,0.008361628745042092,0.006373419150973302,0.006989680775366415,0.0056902974682907816,0.0076966249067182985,0.006796178188456626
700015981,0.005223070433474671,0.004396136825939083,0.005175197120590872,0.006222956375995582,0.0017296694521217258,0.005652273081715013,0.008769853434170291,0.006266389336571874,0.005729962785845616,0.00401172380368821,0.007837692243965437,0.006442219988422286,0.0047660143845449825,0.0019065019080729067,0.005895631507752443,0.004313973084362128,0.006372037024449447,0.005415217977009157
700035785,0.0018768063250591363,0.004622718709210272,0.005578137081325771,0.0032143894815142076,0.006039306110676268,0.001717329798398067,0.009310132540920526,0.0064350936678939106,0.00589011161448703,0.0069518509571557755,0.008248020342392252,0.00315832004143704,0.007764388014896189,0.005694000545680047,0.006048910090134141,0.004717353333672482,0.006820980573508068,0.005864212427780003
700013588,0.008997998758592321,0.008761318395835665,0.009411462803741362,0.009750068014384012,0.009121431797501738,0.009019662244990987,0.00045543293828375947,0.010558070842936557,0.010225889687736304,0.010307711329763651,0.010092082959629527,0.009943423492462198,0.010784745122597163,0.008904352555162748,0.009678276315795495,0.008579170411128033,0.008475170324275094,0.009702332894065534
700037967,0.005589265631766404,0.002775074329616381,0.00398568063382461,0.006634304848367134,0.006018776977836494,0.0058142905049201965,0.009811842534225422,0.003661881689255624,0.0041874839134664575,0.00687010125691175,0.008925632852058756,0.006833616317750583,0.007947820294365256,0.005655788542299382,0.004536633658277892,0.002723072669745466,0.00741728634190751,0.003959198739960308
700119562,0.005216415346413497,0.002589793939945714,0.0037407998165910994,0.006146940178552746,0.00550752883943796,0.005307046624730439,0.0094866638188021,0.0041805627572626,0.002914881390855649,0.006448377758606097,0.008492452556566811,0.006337374247517962,0.007475204209357972,0.0051833119931115074,0.004355900587909958,0.0025259984848804637,0.006967120692333164,0.003768010023726147
700037123c,0.0060983213722210815,0.0052948107958069104,0.006030602154533079,0.0070138656708860145,0.0039836194537578645,0.0064543524459009785,0.009832671251104529,0.0070808266469259175,0.006638393558935895,0.0031460067818569644,0.008773461002054637,0.007297967444763863,0.005569825093434583,0.0037323923471726406,0.0066429099544872494,0.005235211552395047,0.007292170443856702,0.00621674255578691
