,700103477c,700015250c,700096865,700122408,700114218,700037123c,700165634,700167825,700016960,700098867,700024752,700038493,700023720c,700032133c,700033153c,700095058,700102586c,700105306
700103477c,0.0014559911674386428,0.010155043995938815,0.010686451834386478,0.020658208929322262,0.011442480486485105,0.010083826949362294,0.03046503002904095,0.009767940988893295,0.010166901339834469,0.025535737955206767,0.02660195349819874,0.00983850452949576,0.0026841673856063146,0.009749830869616768,0.009098829213338672,0.009889819935044349,0.009600998117225486,0.009549025047184702
700015250c,0.010102791774361195,0.0022978340632053497,0.004687060530058285,0.01850310190007095,0.008684773694772593,0.010150459800537448,0.03120032030286965,0.007012706636557421,0.00739681975021123,0.02577098173267927,0.027592222885835592,0.010606221400793515,0.01049062345479693,0.009474633227268542,0.00927961756384005,0.00943634846977926,0.008272052072255254,0.007631828992444276
700096865,0.010820591656394095,0.004758789213785686,0.0032534867724308397,0.02060175553905039,0.009809159373972207,0.011202508152785094,0.031960372089982765,0.008363101599540226,0.008650703491574045,0.026886806269164988,0.028022103160744483,0.011730515948650714,0.011234730279015788,0.010606343196318412,0.010431245554781036,0.010687727107917743,0.008813847888022919,0.008750811157143979
700122408,0.020750227206258583,0.018678991454008385,0.020419195641969118,0.001446663616491141,0.020536497954115992,0.02169661685858261,0.03133459575828014,0.01883410601230907,0.01895606155285909,0.02652223554312986,0.02737894223883529,0.021306620175369214,0.021594090841490658,0.02023483936897644,0.01991480145213158,0.021254588164168985,0.01904182982992917,0.017989960893841892
700114218,0.01144720818150779,0.008732775580008583,0.009695526255775336,0.02044966203712798,0.003188845930562977,0.011312887230771106,0.031831286061087684,0.008526559215774918,0.009117812291608636,0.02664174020879449,0.027474503109735645,0.01198899835253966,0.012020751818784302,0.01074391512380729,0.010410492051725444,0.010810595839567396,0.008577021550299694,0.008769535532900061
700037123c,0.01047147042417659,0.0105891579959869,0.011495055676343343,0.02246834682942945,0.011754711874936482,0.003101604950612919,0.0320657897873637,0.01055921657875794,0.010838925411175258,0.02752997484071886,0.02851014993757213,0.010247084753984479,0.01094302783688888,0.010019253881579263,0.009441276410730531,0.007663522703093011,0.010130789344780834,0.010578534067786464
700165634,0.031173128386726912,0.0321064885933796,0.03230658789649984,0.031902424681960424,0.03254433187668676,0.031519295428425916,0.0010762863591545007,0.03118948216586206,0.03128353780737418,0.02862956785210068,0.026832659708816403,0.031291608415085194,0.03241190843561372,0.030182431691833145,0.02953955630023025,0.03198908463150145,0.02952960569626328,0.02908738565077648
700167825,0.009770698746158516,0.00707730390029958,0.008269871556302854,0.018782229380568845,0.008535839106623694,0.010192754468873421,0.03047473981556466,0.0005954148445260482,0.002225440323727769,0.025747848387405025,0.027182692039140383,0.010514127009000632,0.009918957012353477,0.009394332214749977,0.009427475026747659,0.009281029007553614,0.0074633270538220185,0.006547924685765036
700016960,0.0104473607692996,0.0076300820622724015,0.008777120391360848,0.01940368138457015,0.009351390238208884,0.01069537549739653,0.031402917979086745,0.002292167578199595,0.0019815039206644326,0.02625679353592881,0.02769387938195387,0.011121689366885436,0.010793732991370404,0.010290590203928541,0.010025270211692666,0.009815202320923123,0.00818864982740361,0.007379923531451516
700098867,0.025642134208603142,0.026011869972059263,0.02665211240084593,0.02652044994758604,0.026704837563082083,0.02654397402276865,0.028072135204118692,0.02580957369156975,0.02565515149222906,0.00039259264781868193,0.0048013407339932606,0.02608488048880255,0.026452311315109615,0.02530254872365208,0.024737920496851168,0.02590516961101703,0.02485707170969112,0.023855010268022968
