,700023390,700117828c,700116730,700037123c,700096380,700165634,700033665,700013600,700106170,700034838,700123562,700172279,700038870c,700164735,700032222c
700023390,0.005494794382287737,0.009649392308677965,0.010371101997930496,0.010603087997247816,0.010586050134002066,0.009585539257362748,0.009226218109723707,0.009251156646076404,0.009824427322224384,0.011098039597357494,0.011427212603307143,0.010745786345443535,0.010020760296922357,0.010332642578700908,0.010342087839874493
700117828c,0.009614163869278963,0.002926587459737299,0.00836882905081515,0.008521653351164372,0.008286077744431278,0.0070605352464541095,0.007000473965597432,0.007274023928712383,0.007570280501764828,0.0088598185574166,0.009135194496851785,0.008851731802637958,0.00793446929644941,0.008363342922911788,0.008247446575148547
700116730,0.010185469931847671,0.008268516348834137,0.0038803035315345025,0.0092874722114701,0.008814259763000777,0.007616964430085806,0.00793484919770552,0.007955915912157064,0.008065375664050634,0.009703385145876205,0.009756178729085406,0.009423219261277312,0.008462250346676083,0.008900202072766894,0.009064672875629058
700037123c,0.010652829166958666,0.008593607262443351,0.009486625912510644,0.0035515739811733814,0.008947421574759449,0.007975878603339289,0.007894445979265459,0.007849448310674802,0.00856269823878493,0.009627000098424623,0.009914324066302271,0.009697519728547243,0.008760164087317486,0.009222304231065436,0.009122558891033371
700096380,0.010343435718302884,0.008161695267983271,0.008792459472429778,0.008700595592994628,0.0013134197343623178,0.007453623629412505,0.00809445004088851,0.007516813558974424,0.008150459283550545,0.008633505482001905,0.009430419483663336,0.009060955831757934,0.008478540291189279,0.008587232640521364,0.007480930756095536
700165634,0.00936656940343915,0.006949801437582558,0.007603585638362406,0.007756021528300211,0.007457949208010698,0.0015609348232019508,0.0065627501078165005,0.006629901965078088,0.006568672292374049,0.008330971562912029,0.008567653139853419,0.007822897031883,0.007273264496768655,0.007665249641198977,0.007586077412788991
700033665,0.009428700307576726,0.007184849264737461,0.008242268291048318,0.008029715735219656,0.008492683494490358,0.0068731268657194495,0.0018621663545822504,0.0069180316925467715,0.0071573531113401315,0.008574098774198227,0.008821734401197413,0.008603423051815986,0.007691597955625581,0.008076453825119064,0.008232030932102478
700013600,0.009821541394161037,0.007749358734183219,0.008573141311632781,0.008288833257595732,0.008161838500353886,0.007194553991623587,0.007190604166300864,0.0006782858072853722,0.0075136849562882375,0.008875208914122615,0.009114378695155792,0.008795727542691412,0.007917824713778363,0.00824385119036865,0.00812771342035468
700106170,0.0095611179833816,0.007435030680325031,0.008013395326334254,0.00828788036733203,0.008118774280705059,0.006536110813490727,0.006803098058950678,0.006900316047793042,0.0012528665405854738,0.008352026790997695,0.008885516148561154,0.008316956416033956,0.007518620033540981,0.007884674084540527,0.007993923404579528
700034838,0.011244280189386415,0.008991746263156894,0.009993962214579984,0.009707023371984626,0.008933385457914776,0.008608724273352816,0.008500963241454386,0.008469182297726023,0.008673453438399445,0.0027257260180820002,0.009905869596992993,0.009951621018660732,0.009339987148053685,0.00969254103683836,0.009129804463112458
700123562,0.011399147561766049,0.009164685391146843,0.009904320733378264,0.00985104088167624,0.009597697740394671,0.008722694952393495,0.008620668807901641,0.008577269321660393,0.009078688239512337,0.009768174226558443,0.00491390205645482,0.010019420557549908,0.009330723391128214,0.00959307557793415,0.009107010707564615
700172279,0.010694752065016088,0.008850476471274961,0.009539597359662576,0.009604499744764905,0.009208731235614602,0.007950758507802946,0.008389857496055734,0.008254893181154209,0.00848317277724547,0.009776872174038337,0.010000676329516105,0.004333182012406179,0.008997131537214566,0.009197179622686874,0.009170907108041674
700038870c,0.009709010299970974,0.007744391812765869,0.008361708034796847,0.008450191438163236,0.008381290907861683,0.007201768519443754,0.007281963697930798,0.007245559612494828,0.007474686538131102,0.008941639304029485,0.009080744729576422,0.008765320738182352,0.004107568442175571,0.008193354513274109,0.008218377039267888
700164735,0.011215227987975885,0.009124236521017464,0.009827113830528896,0.009973403989387786,0.00951773962507068,0.008482529542704289,0.008590448504492034,0.008440464587760694,0.008767646811752329,0.010390427982400731,0.010442714622514232,0.010034595825067534,0.009162039447052777,0.004122850302065589,0.009532936642543344
700032222c,0.011361284878023832,0.009095891470269554,0.01011907353557078,0.009979524065159926,0.008412833193313303,0.008525868343522562,0.008870586072863134,0.00842319723281538,0.009003137797297394,0.009896317670780176,0.01002555512259292,0.010120038437399758,0.009309634083035218,0.009643546788382723,0.004477416414518929
