,700105685,700172621,700015181c,700103477c,700102299,700024673,700035785,700164611,700119739,700112755,700102432,700024086c,700096380,700161856,700171648,700023267,700175086,700016960,700095410,700016610c,700117069,700038414,700116568c,700095486,700037303,700033665,700037868c,700163458,700165148,700038956,700024789,700095058,700014386,700097688,700102586c,700163868c,700015702,700117938,700034794,700106229c,700024349,700024615
700105685,0.0026106336607581797,0.030789038657254537,0.026005169483128626,0.02169726857344401,0.02789233635908016,0.021394177194893445,0.02935744118866283,0.021499066655048624,0.03226137011239931,0.010726905194378536,0.031550697885260874,0.01859344698177653,0.02208704936631754,0.021463423882752096,0.009325389937131242,0.02255720733394049,0.03189130115420898,0.01823381118766781,0.0301616157639922,0.02553801421914569,0.030429925928409287,0.02854842988715648,0.004790505844690961,0.02947243618798412,0.0224684542988002,0.010713444363174056,0.028340834817262062,0.030149472354642787,0.010146945877688364,0.031316789862248416,0.02286959030297733,0.02954722078985705,0.02560193739553964,0.02222571759299287,0.028009779308862018,0.020318242549382845,0.027494515477737028,0.00202123354114895,0.021113398530096767,0.028308755939759112,0.033487669981325116,0.028937940405447383
700172621,0.03062069688826103,0.0031713533620710897,0.013498866677111877,0.03462999874100038,0.013712658761890926,0.034994323375647465,0.008431241620840569,0.03650356285807035,0.01807527808729969,0.032788791601357496,0.015915019525166937,0.035508097418516744,0.03731839920581224,0.03650758836035835,0.02797341713638972,0.0407384431718172,0.006870966522170221,0.01879095763044019,0.01629566735896125,0.018290328548330216,0.010018448812130378,0.008302170274156721,0.032357734849492316,0.008144222807007289,0.03365505119802966,0.030954257611520358,0.011064206917543977,0.0072990607338530075,0.03574558873802978,0.02020573663421732,0.03719908847088313,0.019462621013814112,0.01592608361284134,0.015114996654361468,0.009183438543402178,0.016839664134985426,0.011699120803183612,0.032933971397140015,0.03413746902411958,0.023781696493742597,0.0179424459759961,0.008960225627360908
700015181c,0.027301249328071438,0.014106686546325345,0.005787646751483593,0.02889615959994962,0.012422938499209894,0.02716197060565989,0.013201180896143395,0.02841990377998818,0.019787382131132087,0.029537956547042537,0.017677359131842697,0.03037415951151325,0.03092515843918377,0.028418449324374536,0.025528100659824617,0.0324573543907273,0.01556008549838473,0.020805175897079014,0.01806779313307029,0.01903636911378652,0.012457744191717962,0.012804680589394444,0.029242701278584325,0.01346629147753281,0.02661461438749904,0.02816015989667333,0.010174466669027368,0.013891326192875995,0.03173878533915852,0.02095244791752004,0.029386153261921306,0.019905771821221684,0.015939291885722604,0.0159362444694702,0.011414756694149023,0.015303013638852487,0.012110794957334928,0.029542140492740693,0.027802950586063496,0.022534135466731785,0.020298218798960512,0.011530462456260044
700103477c,0.022093984468345658,0.035327176599869656,0.02787252387360501,0.0011152640911718233,0.028599523392621708,0.009610027993771182,0.03435851050470603,0.009348032113590784,0.03563543229322127,0.021675396644527386,0.035517524217221354,0.012287675625233314,0.008372193964249229,0.0094599026113837,0.02026116372647834,0.00967415256162278,0.03708162968347326,0.02672425304602785,0.034167558209281565,0.020295649938761352,0.03500995012776592,0.03337209240327694,0.02156571779037762,0.034185985125723066,0.011832017878988285,0.021767014765133853,0.033441190168544216,0.03560197453306477,0.020515680790395386,0.033945651964496504,0.011055174533131054,0.032853414151106895,0.022709616583518628,0.029556406154885282,0.032914276932200365,0.028320465630246025,0.031654004323706915,0.020644515557268286,0.013425365667290029,0.027875841020812208,0.03734486230312347,0.03341982072070504
700102299,0.0284321988486498,0.013957429235478769,0.012050636247840682,0.028759270830212624,0.006893768177499295,0.029647814866714493,0.013230472447094523,0.03055531513530446,0.020038434302905608,0.030294777964714713,0.018302909989678325,0.03063302094528323,0.028751207846172,0.0306959665118114,0.026311051239382,0.034263511292807296,0.015717514877774823,0.02113506934909913,0.018562186956697875,0.0197243662634954,0.012725682486422205,0.01299609111417474,0.02984135082390244,0.013537494405898994,0.028753561799578463,0.029030624246276875,0.009878116728854969,0.014075529969694762,0.032377329125478915,0.02126386367498445,0.03159339861429799,0.020143967972973516,0.016561086781879286,0.016642240224870226,0.01131279786873583,0.014150203278327398,0.012490357757922116,0.03014804950380306,0.02956172971670018,0.022793634173645543,0.020520744835769638,0.010200589469672307
700024673,0.021802131730546414,0.03573453303498906,0.0261686442839163,0.009615573916105824,0.029479383141114143,0.0007090601171789272,0.03520172583209795,0.0007040492322165497,0.03623103936158362,0.02170918210013429,0.03586665919795636,0.012545797338851592,0.008837030606687654,0.0007540699144889841,0.02057161399852941,0.0007322363277729412,0.038012613134884896,0.027229938358421836,0.0347526693865602,0.017166678704550017,0.03586831083626569,0.03429072541642207,0.02125980739150309,0.0350605432742767,0.003494318598615455,0.02186339219599652,0.034408679983311916,0.03655220842245061,0.020290708603136216,0.034128469083421216,0.002342446501497993,0.03333493673797615,0.022490419140996608,0.030273020623966668,0.03387683653043993,0.02903176966212376,0.03255383056904847,0.02044357832305564,0.00686977847130859,0.02860643099023872,0.037731254674346966,0.034344223609546524
700035785,0.029660873831933724,0.008542489129847996,0.012803123785119722,0.03424811670712912,0.013182897163566208,0.03503048011619245,0.002552574202780749,0.03620294014811661,0.017627027361789168,0.03191813742074367,0.015693534987564983,0.03536994254994271,0.036592763742595374,0.03628429120957148,0.02747737301619272,0.0403341627487,0.009978394376203664,0.0180429532496923,0.015489341417645375,0.0178466483616574,0.00965651925277305,0.006440509403869725,0.031585713797018335,0.007872242955842379,0.033613570095673874,0.030139616149377563,0.010567492557318436,0.009721816261925295,0.03464934860986279,0.01948790481398055,0.03725482844667311,0.01853302891887313,0.015397406972277882,0.01457541954608177,0.008623638141110328,0.016392623140695683,0.010537275848481914,0.03210991732961782,0.03409800308806968,0.022774760276006664,0.01777519286314576,0.008218490905623524
700164611,0.022580275031366063,0.03814503431808042,0.028076759032457252,0.00967780856095768,0.03118531950067859,0.0007270763247975275,0.03728427493869742,0.0004904542538352618,0.038003934723555,0.02235795525669389,0.03790228806944181,0.012757115065616331,0.00889986508840959,0.0006227601427955599,0.021107392628837745,0.0005806323637822066,0.040114192814622515,0.028600640446761944,0.03655525449113037,0.018530475902104358,0.037872966787649766,0.03619343203145045,0.02197743851567166,0.03703151627585922,0.0033786608665735537,0.02264009519757964,0.0364760398367495,0.038546635688362765,0.020932136946834316,0.03579061235950005,0.002176883229776772,0.034911582482994266,0.023994326692074238,0.031834994512496946,0.03576871281049778,0.030628242945105088,0.03411374185490767,0.0211069000715462,0.006851140551688531,0.0300344461212397,0.03957803730285436,0.03628436095336647
700119739,0.033342604078255414,0.01867655675904689,0.01949943644987816,0.036297531964269165,0.020323301060678332,0.03686075878174478,0.017947418528957586,0.03770916995970276,0.003082579935396053,0.035167977776197935,0.00768630118136795,0.03704185406564591,0.038284865669955016,0.03768157343815138,0.0315200648740456,0.04090509964537095,0.02003437686701375,0.02641721759056044,0.004219848497831971,0.02651261013058689,0.018442098743968162,0.017246931120879692,0.03465620798936952,0.01791189641406447,0.03582117445913231,0.03399894367379919,0.017120715990349124,0.019252954825529082,0.03660480949654659,0.010263483637309863,0.03871879863676761,0.002216528680263592,0.023647344196945305,0.022441730067251336,0.017273597469888276,0.023026347169296527,0.01779949958887911,0.034724127348454585,0.03624929579026253,0.01116060083806582,0.010798123131824315,0.017129211692507706
700112755,0.011069591490312787,0.033765873438759975,0.028852315142012006,0.02198119088680052,0.030484393027743657,0.02199949593395373,0.03235419765293432,0.02199594995147841,0.034897927087161065,0.001812381228447875,0.03471501640517295,0.02065951139369493,0.02243975350870029,0.02193923645119158,0.0020903948869428687,0.022943625032341163,0.03519254902764033,0.014468309857467297,0.033984356453134405,0.027237942196269082,0.033397932860210484,0.03157915813339142,0.010819084078682642,0.032809968429533244,0.0228606725294435,0.002271163024840455,0.03134250199961066,0.033548183960986945,0.0100726328346951,0.03392819843823382,0.02330070442600774,0.03206269746315475,0.028360151528416637,0.020601604209022264,0.031336503949214035,0.018199959440676348,0.029846675968444925,0.010012593078128944,0.020739293980694733,0.03035232554892625,0.03648523089312605,0.03163470982952018
700102432,0.031479490446172674,0.01592957627968335,0.016796611211676433,0.034907521730504834,0.017908497284402962,0.03518748613366584,0.015448820057927422,0.036235032472524055,0.007396670113070087,0.03371525250884235,0.0006231396086236357,0.03428432810831016,0.03694363675243774,0.03515156428774937,0.028929923930077976,0.03957496096418275,0.017200201294021722,0.024479167032867115,0.007623568835748384,0.024420971608456715,0.01614241446129031,0.01479156338701612,0.03247463126850732,0.015344530105224675,0.03437898070747144,0.03217759422370986,0.016016763600030594,0.01644569225048009,0.03524185937544818,0.009453665898490385,0.03600948189410705,0.006242845010443532,0.021161822841177645,0.0203079390362508,0.01472569474887391,0.02102418757701956,0.01599382910612147,0.03341763314896448,0.03493291543086465,0.009772414847019763,0.00883557734212969,0.01487748124778157
