,700013693,700015250c,700106876c,700120753,700024086c,700037868c,700023720c,700106065,700163181,700117625,700117755
700013693,0.009042683262411129,0.015525366103452887,0.015628104589179424,0.01536799738490946,0.0176174642468474,0.01567941482024696,0.019372164716608197,0.014352488579443871,0.01587807896030974,0.014104161232810915,0.018755889541617585
700015250c,0.015643985283426594,0.007776944042826933,0.016023770489010963,0.01622564158098974,0.018639646474252203,0.016356733358797285,0.020113637498482245,0.014766238761608003,0.01626553409201329,0.014972002709776585,0.01931906518907853
700106876c,0.015717448496153884,0.015975675482918988,0.005399407876139725,0.014811905797133056,0.01802268375519253,0.014870060083758319,0.01982862715705741,0.013478458844216612,0.01574318742635363,0.01314925956234622,0.018759695818520317
700120753,0.015785383416030415,0.016589552830076584,0.015172067979826497,0.005119450181090595,0.01843106686036334,0.015407720995561654,0.020274425769970374,0.014152447498023975,0.0148316038588684,0.013663194385300271,0.01925549105930297
700024086c,0.01797816617161014,0.01893000263074762,0.01836572710984217,0.01824269566352088,0.012964883480889929,0.01782664140036687,0.020061219338210392,0.016792822834023877,0.01844942761046093,0.01707854994853882,0.01918983785113593
700037868c,0.015767132964211256,0.01635168194361552,0.01491101707036005,0.015052946259818987,0.017581848820231324,0.006064965445689823,0.020117417275359737,0.014243328454108922,0.015497295644068034,0.014186958028204362,0.018663467248585898
700023720c,0.019883729520272453,0.020508293072986752,0.0202938251804089,0.020185380878075157,0.019985630908873942,0.020520962820191058,0.010359740738236208,0.019624093964189498,0.020437460090819908,0.019381931180720312,0.01920079761223209
700106065,0.01429921942176397,0.0145415806990894,0.013364130353165431,0.013718782053415616,0.016308180034674383,0.014077023444144209,0.018991208730669472,0.00295890906381532,0.0145600740761763,0.012411153811682658,0.017579349198100943
700163181,0.01582878596606215,0.01605965228731882,0.01562665442767229,0.014363549784525425,0.017790299178331276,0.015311026206778912,0.019680398789811843,0.014599842385326413,0.004260396330827389,0.014245410136234638,0.01861987238302372
700117625,0.014762884196435047,0.015614647466405243,0.013720168452135856,0.013884371565620208,0.01753972553403156,0.0147765414275401,0.01982704481614911,0.013106381177047221,0.01497269929458951,0.0016723312930159368,0.01862221832896991
700117755,0.019348706023313053,0.019788967604671158,0.019265039379937426,0.019229218653100247,0.01930378322171876,0.019105035616796433,0.019380844266102055,0.0182416955833751,0.01927392984488891,0.018281454429234158,0.012637714644153154
