,700013715,700024086c,700024752,700037539c,700095486,700105237c,700105372,700116201,700117625,700117755,700164735,700171114,700172068,700173023
700013715,0.002138234934965985,0.015316132793777982,0.01448365202108652,0.014364766006931227,0.019366487300532753,0.01609859409331314,0.016480362377291103,0.014654547852406276,0.0147295690363957,0.015101593606974575,0.01621651822376477,0.010235627591718558,0.03083124495058684,0.01346800230649317
700024086c,0.015188111349172303,0.0018334877353894453,0.007785659040215626,0.0018340723393105867,0.02238837242464655,0.008863046566793745,0.009004812467120635,0.007830344654276147,0.007277618932696498,0.007377454525802048,0.008357710761216927,0.01566085355018773,0.029850538710139405,0.007243494927922969
700024752,0.015687873182700283,0.008461438682508038,0.002119303170020332,0.00807410571043215,0.022845403137525918,0.009603812375676573,0.01007944117171615,0.0023354307580632163,0.008587892040532154,0.008777850646480536,0.00940222262522276,0.015996937183835467,0.030777275575219823,0.007893169791995232
700037539c,0.015144095456431278,0.0019513076671194588,0.007867464694652323,0.0015852424783139414,0.022572619399695022,0.008912059050076006,0.008894724673096278,0.007884014699895902,0.007313037039397379,0.007267539645549064,0.008299880970823273,0.015672881432079105,0.030107928461020065,0.0071126972627539465
700095486,0.0195709172880052,0.022775926698893525,0.021316692978787955,0.02158957569840677,0.010509846232343977,0.023130696855043445,0.021883140663703077,0.021556756899376386,0.021928674179817954,0.0226545694275072,0.023728049836514397,0.01857275036288609,0.033204595327970085,0.020732282944691722
700105237c,0.016485688704514577,0.009129685402095128,0.009067388895973336,0.008646964314070452,0.0234409650460131,0.003025631731512251,0.010371084302082549,0.009149443523888169,0.008590968826343099,0.00919077180238604,0.009993189613104438,0.016825250258566158,0.031244036550954774,0.008982508791192789
700105372,0.01641769655010349,0.009048858076648375,0.00931297865376995,0.008433974476913284,0.021636664464578476,0.010112202126954146,0.004102412847117099,0.009400711708258729,0.008446649182960984,0.009111047053887471,0.00880194140384964,0.016537884071213163,0.029536153063415164,0.008905644180697364
700116201,0.015544104045836529,0.00833981492606646,0.0022888569337339675,0.007926293031903413,0.022685163598591417,0.009488562265621751,0.009968266051372124,0.0022138976816746207,0.00842433624380447,0.00867349900263052,0.009229200618136764,0.015836632778945085,0.030691709265269266,0.007755796453295405
700117625,0.015516670830759796,0.007707161306105913,0.008362075703200376,0.007309589380668055,0.022891146589232296,0.008843562124502376,0.008903768139290716,0.008368767157454032,0.0013346593408252237,0.007921690548802542,0.008206595770439307,0.015954508242481083,0.030118277977198907,0.007706653070417184
700117755,0.01515321730826241,0.0074530241607923325,0.008153923488255176,0.006926458570518753,0.022498435777280973,0.009025304899338131,0.009160673106285835,0.008222866944305393,0.007551978516838623,0.0024847293428034607,0.008468341111008386,0.015435196408748143,0.0298377208533457,0.007528642497124685
700164735,0.01633345172364001,0.008464861276994685,0.00876600132697785,0.007932202707568949,0.0236909855876065,0.009838738111664327,0.008889505397291103,0.008773141963558306,0.007853529349443448,0.008504817840461292,0.0031931209142139656,0.017010342047201883,0.030794209586958197,0.008206572026939118
700171114,0.010344227580933264,0.015933194221425275,0.014925414534464299,0.01500746791564426,0.01861543901870294,0.016607915653091943,0.016730138353963492,0.01507784050579011,0.015298193785775162,0.015536677621729599,0.01703842545578755,0.004370314320836145,0.030812373904427294,0.014049460429852686
700172068,0.03298174686405996,0.03210265708763654,0.03033355356894467,0.03046889297923111,0.035318387028630986,0.03260786377116028,0.03166959604128053,0.030886628246819956,0.030518385048226283,0.03174076449667829,0.03266725126468316,0.032673778535763656,0.0007443153943292122,0.030274083636349706
700173023,0.014269239599569737,0.0077173522786958835,0.007709821102343954,0.007134567564754554,0.02180627202336087,0.009280423442729462,0.009430194836161946,0.007729344193864361,0.007723445870412374,0.007935990857486154,0.008617983682764186,0.014726817001470095,0.03002426030522305,0.0005509288244940765
