,700015181c,700171066,700116358c,700105153,700038594c,700038806c,700038386,700038702,700161945,700105991,700037453c,700165148,700038956,700016542c,700165778,700015702,700106325c,700016716c,700106229c,700097291
700037453c,0.007117885703631918,0.006617744387787238,0.007659172305724865,0.009828475672692042,0.007601246086914466,0.006918769028179293,0.006979679559093107,0.008527299100432064,0.0065351686831413465,0.008140067705909767,0.0011061552010248575,0.0065085605604725035,0.008972039836547983,0.006806339821543406,0.006672831739821431,0.029173305379349774,0.008045923435972751,0.008105438297611116,0.0067293050104452025,0.006735347222746496
700165148,0.005435682317876185,0.0008696797401000996,0.007086826468935527,0.005852333368038336,0.0074484076285855965,0.004752622804536936,0.00649026366481497,0.004909194652444973,0.006417860529767572,0.006913110612652965,0.007069818248393727,0.0007004039175257727,0.00782214498001737,0.006990629439984395,0.00533994069009514,0.029681623199225817,0.006192469851535165,0.006825598307569025,0.005530445040718704,0.005346301875437001
700038956,0.008028625200087276,0.00781757223692796,0.009359146218285996,0.010899939254970684,0.008771587675585566,0.007872726562766805,0.008883732803780964,0.00927974550037251,0.007832784684332105,0.008566847140515298,0.009412885646005387,0.0075673065781151705,0.00528832643022251,0.009046127249246336,0.007730780289918793,0.0311513208358404,0.008986862479572016,0.008809901100307934,0.00784919501483438,0.007906080589117601
700016542c,0.006947820605231864,0.006623180058338914,0.00748231086815513,0.009984113908025106,0.007613738853270891,0.006911574440356583,0.006942402063749167,0.00831061813992124,0.00652848931617956,0.00796333660782595,0.006905740770838635,0.006537779765119211,0.008749563970331648,0.0007618209198799831,0.0067191899951495795,0.028998535878764324,0.008020677547661928,0.007884280505333347,0.006819209150845685,0.006708747417067978
700165778,0.005296497834364099,0.005129216277736109,0.005982225831044722,0.008357104956552158,0.007064263350757665,0.005510126600635858,0.00614690651193509,0.006807198659239386,0.0061082534935488365,0.006467812460523532,0.006811251635241336,0.005067038594448661,0.007570149420350463,0.00678672099624946,0.0004947046205585809,0.02912822209857392,0.006176191904257071,0.006506465707126799,0.005330384462333088,0.0025917288046425906
700015702,0.031897041711623844,0.03084053117171678,0.031998428745823905,0.03529941245025541,0.03216279533393067,0.029964107206635688,0.03218086210445585,0.033530100392342284,0.0305622527676452,0.032380468151150775,0.032297563406423806,0.030477360763550763,0.0330862726708914,0.0317667802320793,0.03158432665060785,0.0016226703879402493,0.032760744249214914,0.031163511270564763,0.02929872955791768,0.03231988308837425
700106325c,0.0019068304803338688,0.0057930541493170975,0.007732054554691389,0.008978250076219914,0.008035511168915068,0.0061220347415348614,0.007533453203416373,0.00759532937888261,0.0071441639835532955,0.0076068466376816935,0.008022095638309884,0.005692260994813462,0.008536952742381759,0.00788462109141899,0.006026348907340089,0.02948067701054071,0.002297319621048154,0.007716779816004165,0.005922736566545227,0.005975380717309215
700016716c,0.007437606274129577,0.006958435135099442,0.00872718297944604,0.01036636247093262,0.008719108370578817,0.007248077425881271,0.008160788148449961,0.008705936714127874,0.007678473279253148,0.008305223998650276,0.008870984992330973,0.006931936991613368,0.009252053665967094,0.008539256681689618,0.006974225446282296,0.030859451715463056,0.00847231117922069,0.003319137131192007,0.007325964827093752,0.007177824472573056
700106229c,0.005896801387120741,0.005994139325609798,0.007784017838199773,0.008940282849065817,0.008041220229057067,0.0064056701785682605,0.006651754139153767,0.007560837321327824,0.007117359978145017,0.007586505470771536,0.007646261463513012,0.005841088671072253,0.008556075195149953,0.007667425246050573,0.0059288496046376715,0.03006459925461772,0.0067519729303591475,0.0076127760010617565,0.002059690286630802,0.006018443724116834
700097291,0.0052573145065658786,0.00505194461227617,0.006090062539462536,0.008123303877511989,0.007087549764749091,0.005407576377796342,0.006370607634858404,0.006704192262591165,0.006072577948472122,0.006465324541243501,0.006759758275187244,0.00497874893976862,0.0076090590911456315,0.006666651201485085,0.002549322188200287,0.029333979294097732,0.00603352417730972,0.006590478875425007,0.005324262129982999,0.0004122402680015048
