,700021824,700100022,700095647,700172498c,700024437,700164159c,700165778,700106229c
700021824,0.0008442975416032432,0.025376610757672908,0.02594624528544591,0.02486799476065766,0.02419585897778759,0.025249287822681644,0.024785518143471727,0.024444625363512745
700100022,0.024929472599077497,0.0016701331609648069,0.025910512694884653,0.025059266878361755,0.025176172416759485,0.02608305232401336,0.025534350252439136,0.025757708327737085
700095647,0.026485715241220342,0.026889117275454563,0.002665219566822076,0.024967912981273883,0.026271032485675704,0.02653815099227549,0.021500132410694504,0.025285080437705117
700172498c,0.0242928344071161,0.0249548487320622,0.023930837804077777,0.011128456656626052,0.02410493298458507,0.02530948212057653,0.021850983418188717,0.02419312985305248
700024437,0.023893578580481818,0.025351365752430074,0.025440528781329876,0.024384925921250945,0.0015014180356848498,0.025144013168689326,0.024289563982799595,0.02320609249835855
700164159c,0.024599952232801318,0.025874540476176832,0.025359061175452374,0.02520425639212155,0.024757110938562917,0.006850128201815174,0.025326069308711792,0.024900254405652533
700165778,0.023891965272062738,0.025065668271698614,0.02037456437621522,0.021549861440533325,0.023709884636866702,0.02509876712331056,0.006395435857290329,0.02389897395020549
700106229c,0.0235926068911954,0.025370056131654557,0.02396061844966469,0.023935762729410854,0.022672493943424347,0.024729573392373583,0.02395668695625604,0.0045340900802210244
