,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.0004531992511118,0.0005011255252169,0.0004743091223089,0.000572670845911,0.0005634931232393,0.0005518082693145,0.0005175060691347,0.0004939049643366,0.000559982743618,0.0004841646950116,0.0004936478080753,0.0005046353064869,0.0005100362415568,0.0005391021238865,0.0005200753121062,0.0004879753634107,0.0004861608467154,0.000478032811793,0.0004897394357722,0.0004774616717834,0.0004920280142103,0.0005532157349173,0.0004835868515797,0.0005033517847275,0.0004944287140503,0.0004779676057351,0.0005110781385722,0.0005481303362912,0.0004900170420641,0.00045541049257,0.0004997014316934,0.0005465560161806,0.0004932569189736,0.000489209393825,0.0004865305993471,0.0004968311211446,0.0004866973706792,0.0004874927564469,0.0005117672246603,0.0004587218664828,0.000470837572705,0.000456479110747,0.000445237173288,0.0004705480761639,0.0004811009850817,0.0004681937219013,0.0004669842485159,0.0004723931798926,0.0004683902435349,0.0004875940606912,0.0004987646718161,0.0004813578745969,0.0004812710491849,0.0004832537450259,0.000469071485716
SRR9224313,0.0004981735175134,0.0004964233699797,0.0004935933945687,0.0005939313689552,0.000579129509311,0.0005745351756648,0.0005493261254031,0.0005243096225638,0.0005902340904742,0.0005148477314587,0.0005182597309879,0.0005348693950382,0.0005354519332327,0.0005620716326673,0.0005366026378093,0.0005059665780413,0.0005135866665859,0.0005076910851917,0.0005098530961551,0.0005053513182047,0.0005207782924054,0.0005726554738606,0.0005116524278479,0.0005207331560499,0.0005199417787559,0.0005027247934835,0.0005394862132563,0.000573811780191,0.0005084229407283,0.0004737430652899,0.0005220010828554,0.000567022749716,0.0005142933722823,0.0005132454258178,0.0005060819059792,0.0005234556844032,0.000508956912612,0.0005038432770032,0.0005342669933281,0.0004789916090789,0.000490736684333,0.0004700303203187,0.000465179402123,0.0004953653442661,0.0005044174787736,0.0004930428305858,0.0004965374937883,0.000502527409578,0.0004944228452239,0.0005097876150047,0.0005246483468718,0.0005047563081279,0.0005029304605516,0.0005092903122949,0.0004963404105582
SRR9224314,0.0004554720825779,0.00047786279691,0.0004407173559085,0.000548229253653,0.0005425634998428,0.0005547038630265,0.0005182061837345,0.000474590178286,0.0005456244385154,0.0004770206966477,0.000478538003369,0.0004951843028929,0.0004906882460671,0.0005235121173561,0.0005046287349467,0.000474332537579,0.0004793815481759,0.0004704238786909,0.0004707420595642,0.000469101234576,0.0004764325600035,0.0005234606236152,0.0004692442798409,0.0004821357839313,0.0004790369522343,0.0004693627649688,0.0004970081442357,0.0005271885015471,0.0004791170038829,0.0004447228884485,0.0004809311900148,0.0005324114083311,0.0004716297982845,0.0004665520732576,0.0004754837882774,0.0004814010385384,0.0004729231672566,0.0004738313926928,0.0004936251945859,0.0004475271568905,0.0004506902198989,0.0004320315765224,0.0004340982816263,0.0004545232076576,0.0004591797517819,0.0004564831222579,0.0004460042418638,0.0004582672983604,0.0004504211051837,0.000482153825618,0.0004926174716922,0.0004603777315212,0.0004640686336063,0.0004621542012374,0.0004540668982334
SRR9224321,0.0005298035077347,0.0005517451978222,0.0005248704912518,0.0005263574270625,0.0006205626987861,0.0006175937825482,0.0005769806733538,0.0005566029196771,0.0006337199775574,0.0005566927722869,0.000552232042399,0.0005746504635049,0.0005718853017148,0.0006055432485322,0.0005767038946166,0.0005361508337637,0.0005402643504426,0.000538796715993,0.0005402906254258,0.0005504492939834,0.0005661306677612,0.0006210303312885,0.0005502102953713,0.0005672589771781,0.0005602047839505,0.0005479286488784,0.0005848089346093,0.0006222171472236,0.0005516276981111,0.0004948310367766,0.0005600948380684,0.0006060686014712,0.0005437109086508,0.0005484605759605,0.0005499409933179,0.0005659227906272,0.0005573834526462,0.0005378111132428,0.0005653025036993,0.0005086389890726,0.0005220888489179,0.0004929670392602,0.0004844996945852,0.0005353929653061,0.0005485140171208,0.0005245721733075,0.0005354186590095,0.0005459510887244,0.0005324852216063,0.0005506774239261,0.0005666489435817,0.0005362342536764,0.0005343690501693,0.000547225733739,0.000535150702862
SRR9224184,0.0005225571554321,0.0005402851529234,0.0005217992099924,0.0006242137075285,0.0005245580778479,0.0005926024249435,0.0005632786824592,0.0005433941587608,0.0006180528595857,0.0005467314823921,0.0005421755472208,0.000562468963541,0.0005563220222177,0.0006018295042633,0.0005763715193194,0.0005378680054094,0.0005450114138183,0.0005251146680248,0.0005370062399657,0.0005365192829798,0.0005510631961497,0.0006059610090476,0.0005329545703875,0.0005509533023286,0.000549229857257,0.0005345427000426,0.0005695467561101,0.0005990299081671,0.0005386537424173,0.0004923713374021,0.0005491075119465,0.0005954734781499,0.0005339574364577,0.0005294807999573,0.0005446841272951,0.0005467147548195,0.0005397793990879,0.0005297936011136,0.0005527343786633,0.0005015601714363,0.000507506446105,0.0004878423273597,0.0004808783794037,0.0005169672864236,0.0005291728131907,0.0005124978905719,0.0005151903210139,0.000529257008764,0.0005183487579365,0.0005445374915545,0.0005544033425258,0.0005247825206962,0.0005238493914704,0.000531652709203,0.0005112416176789
SRR9224323,0.0005056337767973,0.0005300461088446,0.000526641530273,0.0006133382096398,0.0005828696474595,0.000489941278162,0.0005671987336066,0.0005390883239419,0.0006115650110314,0.0005387758010365,0.0005344816482915,0.0005546611153465,0.0005552185193559,0.0005811955281653,0.000571190086628,0.0005223511184095,0.0005390377708528,0.0005282401719052,0.0005300283407804,0.0005387005551555,0.0005602874029992,0.0005952824051225,0.0005302582203603,0.0005535096441838,0.0005421993054134,0.0005327757562044,0.0005613427521566,0.0006024070865371,0.0005415344433639,0.0005012616364665,0.0005524978181264,0.0005919782857351,0.0005292414405984,0.000537223119281,0.0005410043185138,0.0005477359647158,0.0005327393276203,0.0005181613184462,0.0005521003397869,0.0005137691994351,0.0004990603848178,0.0004729149330045,0.0004863885533942,0.0005202605477636,0.0005278343634145,0.000507791711832,0.0005144248109194,0.0005314727607421,0.0005304028675735,0.0005364182195101,0.0005526509324028,0.0005228927743244,0.0005259556226661,0.0005332943238164,0.0005153311846792
SRR9224325,0.0004789385721156,0.000511246686272,0.0004972312243826,0.0005783474622089,0.0005614287745473,0.0005731769090107,0.0004665142839456,0.0005028720937608,0.0005718435472878,0.0005040709682915,0.000499462293271,0.0005276481525307,0.0005231813276985,0.0005510498775525,0.0005331466121177,0.0004955967688769,0.000503464030701,0.0004928659784097,0.0005016322367043,0.0004982940026263,0.0005096885808435,0.0005634309387183,0.0004964038304353,0.0005169942878749,0.0005085266875548,0.0004984957285583,0.0005204121588942,0.0005481797928446,0.0005039750147497,0.0004711452426214,0.0005082997138298,0.0005693945998237,0.0004971035520175,0.0004945175541273,0.0005077357525292,0.0005076710231522,0.0005023622430631,0.0004942393008377,0.0005152430466797,0.0004837654675023,0.000473612272232,0.0004549550348814,0.0004606275245912,0.0004872263958216,0.0004905652723697,0.0004825208796348,0.0004795923838875,0.0004906841094931,0.0004824322908245,0.0004996794910628,0.0005172181656399,0.0004909984923733,0.0004891448432228,0.0004957063235477,0.0004790678816609
SRR9224324,0.0004966992560375,0.0005307293290107,0.0004963172241973,0.0006030391247456,0.0005874672365427,0.000588303105725,0.0005447180789245,0.0005037325642256,0.0005803586068127,0.0005072384358446,0.0005166698127438,0.0005323017893466,0.000533742266883,0.0005630068606016,0.0005421083300177,0.000508360996999,0.0005082273895795,0.0005030647987059,0.0005110485040867,0.000498485516525,0.0005128518017872,0.0005721499834739,0.0005103518980832,0.0005236241517694,0.0005176975586689,0.000505575153073,0.0005314419817747,0.000567992128461,0.0005118592241377,0.0004815628808446,0.0005226729423051,0.0005714568236767,0.0005156070604028,0.0005145287975341,0.0005130433746382,0.0005187761295805,0.0005103624648555,0.0005072328473276,0.000532275339737,0.00048463045358,0.0004972891256147,0.0004846959189779,0.0004735144053382,0.0004947844439717,0.0005019196573861,0.0004935916423889,0.000491573177759,0.0004952149035038,0.0004911043533003,0.0005082212849997,0.0005232612216645,0.000505732534823,0.0005040250952229,0.0005090321972487,0.0004901901232098
SRR9224327,0.0005219142125176,0.0005530548233708,0.0005265239811224,0.0006396480153223,0.000619462801307,0.0006222753122889,0.0005755236604642,0.0005392604222039,0.0005260787809137,0.0005460443552903,0.0005419950155869,0.0005656391544088,0.0005702891952977,0.0006021554222792,0.0005849994627799,0.0005386140503549,0.0005493388686875,0.0005266914149589,0.0005416779432582,0.0005324987461648,0.0005467251090404,0.0006078783951932,0.0005347453695137,0.0005519739542786,0.0005465873086346,0.0005337463763752,0.0005783943251711,0.0006063327701918,0.0005460111694522,0.0004955016637214,0.00054830139016,0.0006094854466289,0.0005351478067916,0.0005351236933544,0.0005501554436604,0.0005479012667033,0.0005464601530899,0.0005399705200762,0.0005533071354207,0.0004992327127599,0.0005169807901487,0.0005048847043733,0.000484638157291,0.0005168729162208,0.0005270298669804,0.0005127806854786,0.0005144834463687,0.0005254080465696,0.0005178305289601,0.0005430673297808,0.0005607204995677,0.0005281803157885,0.00053275408161,0.0005321195641544,0.0005162524715148
SRR9224187,0.0004716011223792,0.0005047506402619,0.000482996602608,0.0005878543330621,0.00057488441849,0.0005732729344306,0.0005317370387328,0.0004914027872367,0.000572406064822,0.0004579099571418,0.000496785548347,0.0005154417074966,0.0005189747847783,0.000548465997074,0.0005278517764362,0.0004891802473853,0.0004920692438548,0.0004854253286196,0.0004904568103225,0.0004845640352333,0.0004959703587859,0.0005568339061758,0.0004887940488543,0.0005036486731083,0.0004991809876506,0.0004839740455039,0.0005232548009005,0.0005535277089809,0.0004974506030996,0.0004517052104848,0.0005019496268051,0.0005614017573119,0.000491032826782,0.0004878319741018,0.0004945917924582,0.0005008786556038,0.0004955279808536,0.0004914815046103,0.0005161858630658,0.0004518681601898,0.0004678756884151,0.0004532463830605,0.0004403337801636,0.0004669170871098,0.0004820477874539,0.0004649661401748,0.0004623044861998,0.0004730919120365,0.000467486110321,0.0004946650755853,0.0005061566534325,0.000480728434542,0.0004764397759715,0.0004827597906322,0.0004730627809104
