,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224322,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.0066711143325948,0.0065540274580015,0.0072587704538374,0.0063817945086387,0.0071128261958022,0.0069202899734792,0.0069739411111756,0.0072297702595371,0.0062191228341442,0.0061563837361751,0.0068319690853315,0.006732537933602,0.0064635705230646,0.0074073976627486,0.0067925977105641,0.0069979784330051,0.008669396912382,0.0065536257159107,0.0079380988532465,0.0069522203720779,0.0081528570095882,0.0069326995007193,0.0079783912060032,0.0080874681405979,0.0065348805797622,0.0078842300673885,0.0069807524259821,0.0069305774709178,0.0080705721384288,0.0070589074835928,0.0068320630127909,0.0066250286338739,0.0069233461716514,0.0064334449661617,0.0064198075155387,0.0069713117423796,0.0067039384733551,0.0077985494755401,0.0063820771617348,0.0064481572676873,0.0070287999112701,0.0063310617886409,0.0069594131915029,0.006819227356156,0.0079912851705114,0.0072407601866287,0.0066071110643941,0.0067695192274185,0.0079078894122018,0.0068733058191527,0.0067177248594993,0.0082460209363279,0.0070727571890109,0.0061148944351107,0.0063134340331529,0.0062237624373479,0.0061814933076611,0.0062304416580812
SRR9224313,0.0069188018516503,0.0060963482861265,0.007092079209456,0.0059337223647018,0.0069351246641393,0.0066589773878167,0.0066132084678897,0.0070735799782131,0.0055240619939901,0.0054929634368819,0.0065352936414148,0.0064302828904094,0.0059130889417882,0.0072629228560961,0.0063989893093648,0.0065964733286068,0.0087383070425419,0.0060614228588791,0.0078924565155524,0.0067490766028443,0.0082768980251131,0.0066346065125187,0.0080493514856091,0.008064740353299,0.0060386437331697,0.007931496192159,0.0065880927595085,0.006587642345596,0.0080491496499587,0.0068508553476834,0.0063257859530655,0.0062213122698784,0.0067347232390886,0.0059724615177365,0.0058269155376638,0.006673667582331,0.0062735917958592,0.007817775706007,0.0058261057597483,0.0060102320231909,0.0067835289186392,0.0057294578446622,0.0065178765334421,0.0062793868320983,0.0080604958453237,0.0070013710321549,0.0061267398989339,0.0062304693767913,0.0076570501023655,0.0065222005404264,0.0063212258025444,0.0084382747185401,0.0067980941453962,0.0056647654493815,0.0055642677655999,0.0055503233117319,0.0055127125181986,0.0054680336360366
SRR9224314,0.0074778571288476,0.0069043685221853,0.0069523182431052,0.0069485213110694,0.0070708313446219,0.0070892205611496,0.0073189936314098,0.0072366468454425,0.0071731301643469,0.0070974312870124,0.0071327690195137,0.0069635892298717,0.0071524535200398,0.0073860574786772,0.0072726762531261,0.007471030977699,0.0085082387069617,0.0071903119893597,0.0078492759457859,0.0070278031010955,0.0078417146132172,0.0071701904417992,0.0077735752568463,0.0079972173999726,0.0071014525490921,0.0076032326506016,0.0073061136794046,0.0072592083238631,0.0079383006170112,0.0071894486100484,0.0074779549716722,0.0070893945050959,0.0070007250971336,0.0070693083793269,0.0071482021354289,0.0071868545170754,0.0071089447517314,0.0074756807973542,0.0071082866100326,0.0070141875574214,0.0071848129904956,0.0070887003597525,0.0073163144225819,0.0073437120652258,0.0075784380002275,0.0072797121679062,0.0070965932355717,0.0073228035602946,0.0081176511787778,0.0071130252935517,0.0070978915280099,0.0076885271214339,0.0071727361600178,0.0067553514335773,0.0071681763186485,0.0070965695727151,0.0071086747158111,0.0071010200426777
SRR9224321,0.006686088049264,0.005872375090785,0.0070732129204806,0.0053042979743831,0.0069639569142763,0.0064998722622943,0.0063484775629402,0.0070600650541626,0.0047350148286714,0.0047173519348421,0.0062708065849933,0.0062493995998164,0.0053250361956069,0.0073127967529248,0.0059776952554952,0.0061660489580019,0.0089075649771616,0.0055327550866256,0.0079943104058573,0.0066247454807238,0.0085706957482201,0.0064463818785752,0.0082530456192145,0.0081589298070363,0.0055800163259399,0.0082053377838328,0.0063143202824731,0.0063306203676361,0.0081689226857105,0.0067541903918866,0.0058263925742132,0.0058532163683229,0.0065905550092306,0.0054236320818496,0.0052268641918909,0.0064586566285106,0.0059268382869952,0.0080905195461755,0.0052243716398639,0.0055148305185267,0.0066262501535416,0.0051253277372132,0.006211565174913,0.0057901286445085,0.008395310158211,0.0069618707565948,0.0057152301963475,0.005760839264514,0.0074769787871915,0.0063104122055864,0.0059724252658669,0.0089132535783767,0.0067120496510236,0.0050924649421692,0.0048474914935401,0.0047883885588089,0.0047186367083214,0.0046853457343141
SRR9224184,0.0074828818159751,0.0069041017574125,0.0072333535836832,0.0070003829252913,0.0068257003672437,0.0070537891106622,0.0073139161636091,0.0071765218966479,0.0072632121362027,0.0071841095530703,0.0071259476751273,0.0069601262920849,0.0072144993878876,0.0073045558295902,0.007300456267563,0.0075296196585638,0.008411048270459,0.0072387097810846,0.0077744865648301,0.0069804698846641,0.0077018256912256,0.0071337845695264,0.0076834936268166,0.0079030824673399,0.0071131320454307,0.0074667648834575,0.0072828092060478,0.007249381253216,0.0078599889774977,0.0071464549980288,0.0075286755332434,0.0070926777692731,0.0069537933395167,0.0071117874000817,0.0071990821806789,0.0071504993494571,0.0070842532342179,0.0073337730549548,0.0071466986981329,0.0070342647655814,0.0071465015831843,0.0071418009171691,0.0073016765309014,0.007375399502808,0.0074110795932173,0.0071847934932641,0.007079442615159,0.0073557031554741,0.0080952754422379,0.0070604072260908,0.0070970508561775,0.0075159953962822,0.0070909300606176,0.0068096275605255,0.0072591639510905,0.0071747505632914,0.0072006828223029,0.007183370542771
SRR9224323,0.0072289687796169,0.0065748956089638,0.0071961285437662,0.0064821275842504,0.0069962342200988,0.0066690300599036,0.0069952393481613,0.0071631508034625,0.006402094806031,0.0063503579178421,0.0068503134312048,0.0067245641323705,0.0065867179339021,0.0073344065398406,0.0068763345986634,0.007091947251241,0.0086403088627288,0.0066630046805306,0.0078785131177267,0.0068999661595423,0.0080496329576078,0.006909479354908,0.0079202774002039,0.0080354099740873,0.0066031117633616,0.0077538322806244,0.0069726585600245,0.0069464529428692,0.0080107295270978,0.0070350715514801,0.0069515324571783,0.0066754388235549,0.0068861330443304,0.0065524133608719,0.006545243428148,0.0069550325945742,0.006706426035872,0.0076336561227085,0.0065106203617466,0.0065441718021373,0.007002359728205,0.0064502569038945,0.0069458925609986,0.0068595861494054,0.0078035884634035,0.007150487623857,0.0066380977505498,0.0068312293841934,0.0079129660929546,0.0068350858173199,0.0067390664073519,0.008033864055097,0.0069878189701341,0.0062320975031369,0.0064317915006297,0.0063791236590175,0.006359134839005,0.0063472260387798
SRR9224322,0.0070084186179164,0.0062888092554595,0.0071383416880028,0.0060825493947366,0.0069822384852194,0.0067257874864165,0.0063234981634802,0.0070960429354448,0.005823616915751,0.0057664844161173,0.0066153235917101,0.0065765446904319,0.0061384560915815,0.0072937068150403,0.0065245444896935,0.0067316421795867,0.0086328461769354,0.0062585289470785,0.0078869601906578,0.0067546352332456,0.0081518887234998,0.0067580462796706,0.0079630489706671,0.0080111456000008,0.0062772650559603,0.0078890788222132,0.0067587532409441,0.0067490312659585,0.0080094451820899,0.0069101707049996,0.0065935074469488,0.0063996371206963,0.0067290274684307,0.0061278210635945,0.0061046323222933,0.0067545095035761,0.0064661547352015,0.0077732073027124,0.0060554960186801,0.0061489556765448,0.0068401218890409,0.0060299264321039,0.006755354557462,0.0065339335588798,0.0079705238998768,0.007083905587492,0.0063411782067614,0.0064939970534492,0.0077359460721635,0.0066721830376064,0.0064737248083989,0.0082953652474704,0.0069200786324651,0.0057944171860726,0.0059711744717492,0.0058347051065414,0.0057721309232647,0.0058282679971025
SRR9224325,0.0074683099968187,0.0069062325221826,0.0072571215184598,0.0069551354180984,0.0070347703559582,0.0070764583893699,0.00729674981357,0.0068726051461935,0.0071968147512484,0.0071186412461487,0.0071032162661086,0.0069813982999066,0.0071651718362673,0.0073452104213072,0.0072622316769879,0.0074707566080588,0.0084527112037588,0.0071899659735991,0.00781286183047,0.0070189895661201,0.0077541469548191,0.0071371251578094,0.0077222769136634,0.007942000529414,0.0070903069989288,0.007517647940073,0.0072785109856857,0.0072312583187487,0.0078865411035694,0.0071471657903503,0.0074561434560926,0.0070596642651199,0.0069823790374189,0.0070624444570381,0.0071563537799623,0.0071624638725792,0.0070828631121631,0.0074062475652646,0.0071013330575694,0.0069933450682582,0.0071410381911294,0.0070862752354485,0.0073035917138951,0.0073633039310543,0.0075109069505127,0.0072441387332044,0.0070855053417446,0.0073273857027536,0.0080805778257409,0.0070832407347842,0.0070914137096242,0.0076115275262858,0.0071308774083189,0.0067367088552817,0.0071833561504832,0.0071131938518571,0.0071156081693734,0.0071297489302944
SRR9224324,0.0063684626400345,0.0053474704653427,0.0071312585097281,0.0046249619976079,0.0070636403873536,0.0062739941655332,0.0059367430684327,0.0071347583529311,0.0032135895788449,0.003340455440391,0.0058614627831247,0.0058680969067777,0.0043389079120258,0.0074434816018331,0.0053231315081719,0.0055274734094408,0.0093735753911794,0.0046318335548538,0.0083007516752634,0.0065175496919726,0.009282138433843,0.0061996444407123,0.0087731219804627,0.0084901496327865,0.0047887506093334,0.0088254522406428,0.0058953594776953,0.0059349107211763,0.0085423541050573,0.0066513538194923,0.0049864318239816,0.0052483858591944,0.0065059774526317,0.0045363007029625,0.0041978916366439,0.0062076961144868,0.0053719576811885,0.0087094141266522,0.0041876559504435,0.0047316205138785,0.0064848314565652,0.0040602865980653,0.0057052002482829,0.0050171681476185,0.0091181209827727,0.006961737852988,0.0050208728672303,0.0049790237093378,0.007261321704784,0.0059998289518193,0.0054288829622149,0.0098898258051366,0.0066355303735646,0.0041682300240999,0.0036056564494069,0.0035064969616791,0.0033431653152418,0.0034004401154426
SRR9224327,0.0063753005408327,0.0053669748460383,0.0071353055398392,0.0046528078879866,0.0070612037316791,0.0062882172703669,0.0059493760026495,0.0071357070972943,0.003370737616632,0.0033075591107783,0.0058875338336779,0.0059178825191219,0.004356314228022,0.0074359348765533,0.0053408252197474,0.0055167070809319,0.0093399380780804,0.0046753673081314,0.0082724503745909,0.0065178564881347,0.009241034209236,0.0062097328024533,0.0087426471301273,0.0084612541079994,0.004814112831835,0.0087911126614536,0.0058923687622099,0.0059516849338651,0.0085163506200784,0.0066622412885925,0.0050041982740076,0.0052743323384733,0.0064832794976007,0.004551683984331,0.0042099304540143,0.0061985951995818,0.0053884916436381,0.0086740518730356,0.0042148566732576,0.0047377572882909,0.0064805032728878,0.0040956261132659,0.0057118586739014,0.0050103260092819,0.0090881532624554,0.0069565799062991,0.0050453115598252,0.0049751814489081,0.0072472444890283,0.0059941097818741,0.0054438748825201,0.0098488967368971,0.0066335503383872,0.0041840505381614,0.0036341776188082,0.0035317976707296,0.0033749040360549,0.003406218258941
