,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224240,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.000623767012083456,0.0006758074222972154,0.0009047115199147448,0.0012173074442133722,0.0006785852969016187,0.0011802540981320933,0.0008936654288715779,0.0007436431324681212,0.0009208792595701594,0.0009222082623885501,0.00076846483687604,0.0009153063005721023,0.0006954838871242359,0.0007518154893790285,0.0006763748382550041,0.0006639386503660062,0.000779698275252305,0.0006274525345793591,0.0006782292174748907,0.000711187454279487,0.0007373328561397915,0.0008721710866561219,0.0006710100309516047,0.0006601302578029287,0.0006608496797287695,0.0006403142018803718,0.000636874398971967,0.0006747758585644705,0.0006405753376113631,0.000646748178724372,0.0008497902021593236,0.0008844986234111841,0.0006495384983233497,0.0006760910627224253,0.0006791465899525997,0.0008511253205258118,0.0006553365693847411,0.0007679600009523912,0.0006881107928510982,0.0008225689575780886,0.0017509869181231645,0.0010920680331688336,0.0007826858428191088,0.0006847694461231779,0.000751139711407301,0.0007815988786668942,0.0008649061248107163,0.0009054692373401107,0.0008878340177936535,0.0006979659681653637,0.0006726850136600579,0.0006444163663971104
SRR9224313,0.0007034811024470201,0.0005931649120135006,0.0008203078122530081,0.0010928260508473024,0.000640054007467013,0.0010667245955665468,0.0008324003303795149,0.0007057734680188643,0.0008543103043248973,0.0008525267473382713,0.000717717782906941,0.0008275763965811681,0.000649855913051054,0.0007056982667991047,0.0006349445081251443,0.0006270366646424267,0.0007264974885599649,0.0005913888557183041,0.0006361575276037929,0.0006775360787004008,0.0006944125221666608,0.0007886074016572542,0.0006357804234685693,0.0006294656417738609,0.0006306301385911298,0.0006073030725194371,0.0006082443537521368,0.0006439874722918332,0.0006104750295191637,0.0006085437828257836,0.0007857362184009276,0.0007964455525911158,0.0006139448981445124,0.0006349015323627424,0.0006385112333963063,0.0007759724997175511,0.0006195479953179297,0.0007059835287160637,0.0006505151824309047,0.0007667969240165331,0.0015727754309194607,0.0009661854615532011,0.0007210973117469821,0.0006351311518827803,0.0006925970081614317,0.0007167630465079321,0.0008071935171841934,0.0008156728808584586,0.0008226060501906644,0.0006382513010111748,0.000626426647776736,0.0006088677358447482
SRR9224314,0.000885816685977628,0.0007751837532582196,0.000740441933636253,0.0014701974017573474,0.000795430207222028,0.0014336853444843053,0.0010882628373370766,0.0008697178088829297,0.001145938363892293,0.0011072483775211779,0.0009143646120326494,0.0010818107603378017,0.0008061269602157807,0.0009137798142167606,0.0007993924196753372,0.0007720423790304081,0.000941739899697095,0.0007277724723304066,0.000782815603734458,0.0008565223021684715,0.00088552731933545,0.0010560081633514558,0.0007931267394339323,0.0007900116196481509,0.000797265908984604,0.0007575275205785062,0.000739142906670643,0.0007857428338690851,0.000760167506516032,0.0007621369332432941,0.0010577033169570588,0.0010967674111502616,0.0007628935256470841,0.0008155150248549246,0.0007980047840380598,0.00101126224361428,0.0007743157681424313,0.0009016866980603736,0.0008226251591796124,0.0009971470735261616,0.0021400039111670382,0.0013622250929502143,0.0009517525762547807,0.0008281369871298518,0.0009136417101027566,0.0009509251695920172,0.0010817516296231804,0.0011019887201538443,0.001074643001692036,0.0008168979744281412,0.0007923036021969604,0.0007683804850423371
SRR9224321,0.0011831515863196633,0.00103107468919845,0.0014618368859986941,0.001022816469239145,0.00108047100101821,0.0019497480347598038,0.0015411623228404688,0.0011708696910070423,0.0015712031990456452,0.0015149367982541418,0.0012190848045598734,0.001482474621775917,0.0010682419572385156,0.0012375658332113156,0.0010410968933264402,0.0010334429882090772,0.0012490170034036082,0.0010051617094298136,0.0010618128409432663,0.0011396293231698256,0.0011891700028253717,0.0014163324122340925,0.001053194251986518,0.0010230743854830093,0.0010245749347705772,0.0010027766275968694,0.0009739750134575475,0.001036800342195883,0.0009904658262258235,0.0010122997931852078,0.0013835910493839667,0.0014548394398149903,0.0010221998402650144,0.0010634501539741666,0.0010590661771773904,0.001365723078892367,0.0010137210127587437,0.0012009619795261104,0.0011071925350557236,0.0013476095671851257,0.002737610205103929,0.0018195049862228243,0.0013034295784237803,0.0010545659686757897,0.001189560720883298,0.001275409327444015,0.001472182887304805,0.0014730877550706422,0.001473605281852208,0.001081684228618874,0.0010480806981933606,0.0010312740036976377
SRR9224184,0.0006850358330997786,0.0006194025746725874,0.0008174695585286084,0.0011114567108057533,0.0005699198113460668,0.0010054106544902526,0.0008345540170147985,0.0006840186095831112,0.0008586092268512149,0.0008082470980933764,0.0007059047873825169,0.0008367123532314492,0.0006348946041420322,0.0007004021901106815,0.0006277491990831268,0.0006210428008880656,0.0007191855945999533,0.0005847599804823475,0.000631274784409539,0.0006725339846189106,0.0006939727347943977,0.0007905017466422557,0.0006447990426452938,0.0006404608347177843,0.0006424812148186784,0.0006081828412452649,0.0006132824239913731,0.0006488043859159689,0.0006110199419859286,0.000592695810448911,0.0007832709819533916,0.0008185817657193157,0.0006170275762470396,0.0006480566362577113,0.0006402310029177148,0.0007754662324620254,0.0006213565126233253,0.0007115619376234393,0.000651777809294954,0.0007605696745985841,0.0015564450683301738,0.0009668968199731467,0.0007291344111779584,0.000651160451787309,0.000706454938195138,0.0007127015908262109,0.0007900895934284555,0.0008272329891662423,0.0008221156557673246,0.000632334071471276,0.0006226544169026756,0.0005993195284276804
SRR9224323,0.0011586158009671572,0.0010142189182909482,0.0014379751036225129,0.0019668316416210454,0.0009806242637360385,0.0009365089570432468,0.0014403177782195769,0.0011025145076820446,0.001469088980487999,0.0014080626419337215,0.0011800966351120875,0.0014166409645235691,0.0010438703783837613,0.0011786156113778317,0.001023839050075505,0.0010150462292266948,0.001183543639775363,0.0009245037864313373,0.0010111992603838503,0.0010791625174193218,0.0011426847876305868,0.0013102266148194523,0.0010060819126723004,0.0009730351113638546,0.0009904321474135537,0.0009600063662032963,0.0009085014397668095,0.000986082190661907,0.0009436976759889962,0.0009857978406612373,0.0013577176562170857,0.0013770483678067498,0.0009747031937104564,0.0010225436646277772,0.0009977817296276266,0.0013094500641442914,0.0009742916004345817,0.0011283754047212346,0.0010238845764793721,0.0013069673297857493,0.0027127687418364178,0.0018477421138398474,0.0012559144815752856,0.0010361577909266191,0.0011388631773621722,0.0012602234470839968,0.0014095562176859799,0.0014257939173951356,0.001389282873416518,0.0010742020822369503,0.0010607146681392708,0.0009691253470100741
SRR9224325,0.0008743681807147449,0.0007857565913941355,0.0010876732341069974,0.0015446273149617056,0.0008113730438351138,0.001433740868102298,0.0007306408612223851,0.0008744163880433115,0.0011588671627440613,0.0010830092656450804,0.0009156925278615042,0.0011170941898462675,0.0008143010251796073,0.0008987020207073604,0.000815315573755014,0.0007794406924125206,0.0009471164152224701,0.0007282066298468829,0.0008059262098307427,0.0008504924696962912,0.0008966438597295338,0.0010386470527506875,0.0008196954682650891,0.0007929941639078316,0.0008050299676522853,0.000771742270665321,0.0007544886599573357,0.0007967049691110868,0.0007663159130910905,0.0007630678192755937,0.0010609205588171522,0.001101535626735216,0.0007760999606466083,0.0008353955980033264,0.0008114515269977087,0.0010277630911658727,0.0007849336672116204,0.0009134958908804312,0.0008233151587188066,0.0010203218762801444,0.00218391245555789,0.0014040218722316292,0.0010014610999660987,0.0008455710416223618,0.0009200907118893348,0.0009617097767167663,0.0010870519315285263,0.0010877118781139551,0.0010951550561713508,0.0008200633307008689,0.0008104368058969696,0.0007920536683305791
SRR9224324,0.000748557646148488,0.0006819171355548439,0.0008937005538546767,0.0012101472438540298,0.0006815435064955162,0.0011317599200896537,0.000898300273358988,0.0006346273529795489,0.0009296460750101678,0.0008965702258636546,0.0007753940684910514,0.0009123424608870849,0.0006986915381424753,0.0007633427545208541,0.0006797083200312867,0.0006713081707110129,0.0007822235855187165,0.0006322686489586153,0.0006691646538294492,0.0007077558189226578,0.000740998945920994,0.0008729729062939314,0.000689559122025505,0.0006709312819004582,0.000677867329331007,0.0006554527317621815,0.0006515603084488294,0.000682195652553225,0.0006504859455321961,0.0006525646247601592,0.0008413883179909151,0.0008761771397030679,0.000660313452609392,0.0006777069610446684,0.0006800041201901495,0.0008482368473766276,0.0006679617452946937,0.0007582789691727571,0.000696661213694682,0.0008282656531635495,0.0016989884525621633,0.0010565419601536142,0.0007723052586413678,0.0006868541574272684,0.0007607527351157769,0.0007813062401203604,0.0008617993840000248,0.0008873505165019672,0.0008920433769154191,0.0006896828621492551,0.0006757410328694484,0.0006465746300542941
SRR9224327,0.0009014474203438767,0.0008068879796642226,0.001144982551554651,0.0015770041385021118,0.0008356100117895491,0.0014652427721700391,0.0011603779692289677,0.0009052568732373221,0.0007716595667623059,0.0011347504349391658,0.0009370671386589462,0.0011836955187033596,0.0008292410132034303,0.0009188794925806922,0.0008238333103283697,0.0008173721055667012,0.0009850897365212227,0.0007689544453403332,0.000819770662210166,0.0008720009872112683,0.0009298747894208761,0.0011190820574380836,0.0008332497427166873,0.0008232718123106525,0.000825859212516872,0.0008111108141871582,0.0007786729060834406,0.0008277146306982777,0.0008004789100146608,0.0007861542296432849,0.0010739587401273794,0.001126253136247191,0.0008021967067204566,0.0008319850513943728,0.0008489740714264564,0.0010576273880751066,0.0008091659477173635,0.0009459126834306067,0.0008703161089873427,0.001034952038996325,0.0022023390006019987,0.001388190690460186,0.0009935495575692339,0.0008526372708769952,0.000959346140857163,0.0009811058970818618,0.0011090087940436024,0.001153040226673879,0.0011578155771427053,0.0008338874633820614,0.0008271454308148944,0.0008112730082793645
SRR9224187,0.0009102155046270749,0.0008111583232799471,0.0011167794757615498,0.0015400822168250784,0.0007904268263899571,0.0014178326569601564,0.0010942104924174026,0.000877641208643032,0.0011447058875666595,0.0007362162125260696,0.0009250832264808948,0.0011246435619898052,0.0008223044960169387,0.0009099554539496774,0.0007991143638658118,0.0007942644927764851,0.0009453058899777143,0.0007469221701658052,0.0007934845964536492,0.0008482838611053921,0.0008865745995069687,0.0010786530256006444,0.0007983072619029035,0.0007871709031676284,0.0007896866919747417,0.0007706498978350478,0.0007512148588075058,0.0007930727869613412,0.000760851785455263,0.0007702496625773895,0.0010301394908594688,0.0010883205406370569,0.0007767241169510224,0.0008015920940297907,0.000811621083961697,0.0010326523597125165,0.0007833864112822179,0.0009043718416438844,0.0008298234645659427,0.0010028815684043216,0.002212344720710092,0.0013768709315995743,0.0009367059236533254,0.0008172409896043546,0.0008987602081348244,0.0009469439326124234,0.001073636456929218,0.001099530305775262,0.001072900673482448,0.00081870187529934,0.0008174402038814878,0.0007840026221128501
