,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224322,SRR9224325,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.007778726749444605,0.007853749603358329,0.008242826398685546,0.007988244074151557,0.008104866132231804,0.00846320538472555,0.007584166096380673,0.007632452613095584,0.008971482428485826,0.008508564901166256,0.0080036062419345,0.008328559055436517,0.007505544681660373,0.007974491891662014,0.008088715123255326,0.0077506051143248446,0.008183806032596337,0.007343851438285609,0.007186460853831862,0.007998704436727134,0.007143598646948328,0.00786965370873261,0.008970690978931365,0.011334829272526024,0.0074553094530909044,0.007749751867656041,0.007638919401174787,0.0072468845578744995,0.00888330056633928,0.007256291698263818,0.006472453030938347,0.006858768284553001,0.007541718070674557,0.008114007440693786,0.008498021947418478,0.008349799926956163,0.00757267291784137,0.007852064762959259,0.007697169654093117,0.008038282798851368,0.00806694160800432,0.007877971170382438,0.00736495420632001,0.00942422493188471,0.00927005702711363,0.008354081975692986,0.0074387669720947566,0.007729482731957278,0.008066978819246381,0.007240519146972708,0.0072706295271145515,0.007544657510147808,0.0071682503899954154,0.007394582640788042,0.007000588880708723,0.007888661176938976,0.008160025423471398,0.0072049579994381795
SRR9224313,0.00787610812463126,0.007672553506461845,0.008187147543410373,0.007932721488720994,0.008049981403363913,0.008422054986706383,0.007503804150410945,0.007567444969084344,0.00892998040584991,0.008461796385330537,0.007952052924673861,0.008264208111740213,0.007447244712116516,0.007928862491258537,0.008034776828778435,0.0076919109488204915,0.008130585794344837,0.007279628387917592,0.007101627618300981,0.007937543647302755,0.00704429110996286,0.007801197130461762,0.008921070287299097,0.011262933505276063,0.007374485207043681,0.007661051495872946,0.007565384513103096,0.007163399100539681,0.008850971725356548,0.007199388094998341,0.0063855226995267874,0.006765419706106537,0.007462426752041233,0.008028249962765271,0.008423477454170259,0.008266828832145388,0.0074763915285563625,0.007758677789984374,0.007623372253140174,0.007971970054946653,0.008010328643924682,0.007822787239157036,0.007284346860683513,0.009388007285760022,0.009229657022001785,0.0082987779985513,0.007342911706215391,0.007623020433449112,0.007991726242757846,0.007157137313855581,0.007185303852111637,0.00744343929524792,0.0070700828269368845,0.007283385473627579,0.006898026198315218,0.007799797089374951,0.008081164817448534,0.007094377150289948
SRR9224314,0.008067431451691162,0.007991704318160731,0.007993514220849363,0.008096178054022327,0.008232528251884233,0.008603086947507239,0.0076532318274224066,0.007722731912292792,0.009103021872930928,0.008618078318072741,0.00811287693694896,0.00841217526694053,0.007621088867718744,0.008109641378450778,0.008204924537739368,0.007860442232591407,0.008299760623713938,0.007442874408620315,0.00720307701389411,0.008084245233237268,0.007195197447782251,0.007932317590836695,0.009054256008187095,0.011468349490598502,0.0075022303913981955,0.007761728621061255,0.007698616940992254,0.007290196765701125,0.009048681935671196,0.00736298872854846,0.006533451032293158,0.0068744829776380655,0.007598243317727384,0.008143516589309853,0.008511923080156173,0.008358661854601898,0.0075555287679249464,0.007866524210242162,0.00775182878829644,0.008116995782489304,0.008160892105299713,0.007986907059542752,0.007456748994723981,0.009600052631347576,0.009418095185990738,0.008501232483934817,0.007437965099804365,0.007699066096059035,0.00812058318851164,0.0072845303813338985,0.007295246966490653,0.0075622960235105785,0.007164529043831202,0.007362520123266263,0.006989274940440112,0.007908497106916946,0.00819462574614356,0.007202990457143566
SRR9224321,0.007860617879678122,0.007784136926014458,0.008140023331737757,0.007563769544379499,0.008020575723430535,0.008429292967816228,0.007330844472648936,0.0074343593367490425,0.008961814810201441,0.008422127268962359,0.007887876896068301,0.008158854789977058,0.007348502700498052,0.00789930541720225,0.007997312662386253,0.007610927960625004,0.008084864127332812,0.007142484468947226,0.00687184807025962,0.007866012960908225,0.006765394781315977,0.007663463123622751,0.00887431092670579,0.01125713276020916,0.007204579939326572,0.007467290848976691,0.007422957955619733,0.006959623457728238,0.008925176053863672,0.007064720080366634,0.0061202669997972034,0.00647214902280491,0.007319127897131031,0.007885249849472245,0.008276378656378041,0.008119845095989344,0.007219853805255057,0.00754820298474539,0.007482942153925418,0.007892082905795792,0.007925556046847911,0.007753285721946886,0.007150550208552969,0.009516992022246935,0.009297440890241544,0.008302366759368792,0.007113368224305358,0.007343487491768828,0.007842212343903724,0.006971237796925522,0.0069523903106693645,0.007179981919068944,0.006797750913953326,0.006973137204579569,0.006598359941550791,0.007626078752549852,0.00792766984499836,0.0068066660811186026
SRR9224184,0.008013161873686456,0.007936320528948076,0.00831703129415143,0.008059404159997828,0.007924405092579813,0.008553380755154051,0.007630386992858928,0.007692788320961523,0.009070185454540199,0.00859126606301872,0.008077928227519095,0.008398621834384494,0.007578419747897792,0.008061127053999152,0.008160254041947963,0.007818206171237503,0.00825310762430781,0.007409147008872022,0.007189610786448392,0.008049185335965015,0.007171949084249321,0.007906411920718724,0.009032076999854874,0.011441176585575436,0.007471835051834528,0.0077372509408671795,0.0076752264553889785,0.007272544609533798,0.008995541704969714,0.0073235487094641385,0.006503192747518453,0.006864591119796077,0.007560952704093725,0.008114632083663392,0.008496952667115774,0.008340657785859625,0.007543038912101862,0.007858057504562733,0.0077160636735124095,0.008082554565545231,0.008125099565784328,0.007946111324318085,0.007414826330284975,0.009539120038653882,0.009382532941418848,0.008445605121922347,0.007421708414736315,0.00769803103714504,0.008103370570249423,0.007250278968823843,0.007280171978883472,0.0075538447044857975,0.007153182883565324,0.007366252911488507,0.006975082176364901,0.007883662482557927,0.008172063715927368,0.007189634741996378
SRR9224323,0.008354278035487581,0.008290541900153381,0.008676397153092673,0.008455318708410625,0.008538523817807423,0.008534477264647554,0.008201268456583498,0.008182508941005225,0.009289644259625853,0.008900267223875581,0.008448620669538219,0.008822044527729707,0.008022195445443886,0.008416306538012213,0.008499220463660135,0.00822850979025999,0.008603115889000193,0.007903910408280732,0.007789021303165722,0.008430896994922632,0.007925274097565488,0.008374618600328359,0.00933977557300652,0.011737806702907645,0.008001175999745083,0.008296254585770026,0.008168139174712069,0.007866917071454215,0.009177735411117674,0.007816079444489128,0.00722015809657538,0.007588203965515048,0.00806355719075357,0.008582930902231719,0.008933751307668365,0.008802647385974013,0.00816443752634392,0.008435831032227777,0.00819496318617867,0.008474668461869611,0.00851122052510364,0.008328666865670109,0.007938684381240407,0.009638847468542605,0.009556297464656307,0.008773095071468616,0.008029830727229674,0.008378939952303146,0.008613595362609349,0.007817663925057854,0.007900460382199163,0.00823204911871194,0.007824717802570068,0.008102510299165103,0.007687280318180076,0.00841224159061143,0.008671001866769423,0.00792882381770779
SRR9224322,0.007339382368792163,0.00724381129779652,0.007564213894427982,0.007205316828878983,0.007466191348221945,0.008038539320428207,0.005959000586338203,0.006587102604356134,0.008687131771152866,0.007937234214138392,0.007296185708134842,0.007413070648471448,0.006621082854613723,0.007344762748989409,0.007476854744256259,0.006942411607522205,0.007540625114600362,0.006288428391872344,0.0057979144740470286,0.007255581057366792,0.005420436437965668,0.0068737894922298644,0.008416646301547584,0.010772912873386905,0.006298700267033881,0.006536888273851179,0.006568929047023631,0.00589342442999779,0.00872227692620061,0.006217309682516134,0.004805936145412721,0.005124135452750912,0.006484633364937739,0.0071330272828913285,0.007571707025138918,0.007394734642511066,0.006128922038419693,0.006508617858859529,0.006685727050424242,0.007259130579238367,0.007309559551116329,0.007137101153000944,0.006256134622779039,0.009480216551409543,0.009099862324004948,0.007824072451449865,0.006064026782216293,0.006095929234734083,0.0069507679428299435,0.0059920713568249835,0.005826000376749485,0.005926151226929088,0.005571843310439964,0.005595111339820351,0.005288759952110988,0.006728045115264609,0.007080421589517035,0.005439870594698823
SRR9224325,0.007462097325846072,0.0073789544049563775,0.0077120938199918545,0.007383818426849618,0.007604818197013139,0.008103129644315843,0.006656846556614512,0.00653851594454257,0.008707255270668878,0.008050505926728008,0.00745273945747834,0.007639204815174448,0.006834227529498988,0.007473374917717336,0.007601104799206795,0.007136580212132005,0.007680118598288863,0.006559953911417866,0.006176974127206698,0.007423224867040554,0.00590840550549051,0.007120678977207508,0.008531406418917847,0.010944249081064403,0.006607985072043956,0.0068732053001066915,0.006850056707740654,0.006265062119119084,0.008709442145337075,0.006482896277989661,0.00528072805840017,0.005627855533494217,0.00676649064495544,0.007396140102691077,0.007809977867200011,0.007654212142201789,0.006539414054017629,0.006886846384505344,0.00694989862481509,0.007443270934304986,0.007480141857169646,0.007305712865330932,0.006547608357951799,0.009394176755874301,0.009090292345897021,0.007935346655159494,0.006453320027457293,0.006581724706042957,0.0072558972196230575,0.00633095862237026,0.006229124889240443,0.0064030150322613045,0.006026662342776777,0.006126718056908215,0.005788821427402466,0.007047724672444342,0.0073747982842808195,0.00596623286574904
SRR9224324,0.008755613217552846,0.008691905102265514,0.00907578650737072,0.008886866252322287,0.008951458404944455,0.00918306139292135,0.008762067658636106,0.008692262573401634,0.009120262345100166,0.009256650996523223,0.008854095233294838,0.009272438403985164,0.008497356602213816,0.008835468163609353,0.00888863993719601,0.008667524372328468,0.009000624760885232,0.008425865908764665,0.008347553364547886,0.008846387296904424,0.008573319777208252,0.008830520406040765,0.00964519424609727,0.012017729140879242,0.00849999422937424,0.008767761502459096,0.008648179981590409,0.008426152862941226,0.009459390268057706,0.00833806892701107,0.007873451209979405,0.00822396859472631,0.008537794938038834,0.009005836835578708,0.00932823296718165,0.009197062335504482,0.008688115645045843,0.00895253120301114,0.008657211286312156,0.008890993940188554,0.008931496212985678,0.008761575952425063,0.008460372112701306,0.009866972255196605,0.009828686822249183,0.009148461009405378,0.008542747390685564,0.008911067960442413,0.009087145226704367,0.008346552640186264,0.008453744765486935,0.008805805924545397,0.008410815214612495,0.008707985390271018,0.00829112501110232,0.008873506080443554,0.009102317453275464,0.008546435561564385
SRR9224327,0.00832331292001937,0.00825592728063652,0.008613232430645473,0.008371286460913634,0.008499309326521659,0.008819776794177375,0.008026370450444208,0.00805666103130477,0.009279371406299074,0.008450555048768951,0.008377967920081237,0.008700454348814621,0.007927774500200652,0.008374852551948924,0.0084505243854929,0.008145637387835669,0.008541242299752652,0.007786079498744436,0.007589450526566437,0.008355009734877225,0.007644145946899417,0.008232741711556099,0.00924599704188202,0.011645289582872163,0.007840727766190296,0.008092589512467526,0.008024017197325083,0.00767376004930807,0.009211290400253154,0.007700511559332197,0.006984416252551127,0.007325020451818514,0.007916941359178947,0.008426350768018905,0.00877302115362157,0.008631865640096433,0.007925653583142121,0.008224299707769821,0.008058985015363054,0.008393746888682569,0.00843086951462983,0.00826282177858694,0.007804895874610212,0.009716137211192041,0.009583640596862945,0.008741550083171946,0.007804970220288554,0.008086222286615794,0.00844647098409266,0.007642179736778988,0.00768127511220292,0.007964745506941895,0.007576045593629052,0.007800053194932658,0.007414876198663474,0.008225102608817435,0.008497441079752449,0.007645773263517755
