,SRR9224203,SRR9224313,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224133,SRR9224004,SRR9224005,SRR9224562,SRR9224452c,SRR9224454,SRR9224448,SRR9224451,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.0004986373456012178,0.000572170287090217,0.0005935110530406124,0.0006319800196855161,0.0005819131410375523,0.0005840090941243969,0.0005864934538132875,0.0005870724301032255,0.0005853270806756907,0.0005955596674825195,0.0005834317704652388,0.0005641113622157907,0.0006844710378844479,0.0005224478856525686,0.0006302289149518773,0.0006199712480357547,0.0006663747027610796,0.0005463890256622557,0.000558005693484623,0.0005159403886482442,0.0005692131442069641,0.0006267837780855371,0.000563105248262847,0.0005911657448350956,0.0006161934870033553,0.0005497583993146756,0.0006517927537171003,0.0005513604822989367,0.0005277104000131958,0.000584857668334304
SRR9224313,0.000578913917690647,0.0004967131478248592,0.0005802888720263064,0.0006186166300910459,0.0005799760779472363,0.0005731900811976599,0.0005814956964418323,0.000565597652849722,0.0006022788864847946,0.0005871648933668231,0.0005814167270695733,0.0005645183823856179,0.0006878008723446875,0.0005245899482301861,0.0006119202857654523,0.0006226554188034011,0.000618838812890219,0.0005384891135190573,0.0005564865824200503,0.0005191717986838593,0.0005892112530746154,0.0006017507478833844,0.0005471360750140657,0.0005885065565013784,0.0005974096164380044,0.0005385250018371652,0.0006460387905481526,0.0005274272092276777,0.0005156504233382846,0.0005549515396295743
SRR9224324,0.0006051004720199999,0.0005852571609734117,0.0005217026151234458,0.0006339092376352252,0.0005793651328601003,0.0005810776777377817,0.0005875797212459069,0.0005818959228836818,0.0006117910750743178,0.0006010857379204005,0.0005865453177660568,0.0005711190113394473,0.0006897527630044801,0.0005345981079834207,0.0006433255925960477,0.0006280604270598326,0.0006623273981161997,0.0005422072513917803,0.0005684438280162865,0.0005336367785010031,0.0005827755527161982,0.0006338874285629883,0.0005604218388874109,0.0005946420532634865,0.0006161757212996689,0.0005485871974506206,0.000665375443448858,0.0005422295519469524,0.0005260322726935029,0.00057980657419324
SRR9224187,0.0006268345047346001,0.000607228609683471,0.0006187077009248238,0.0005644020904123601,0.0006152775478750904,0.0006136356295364507,0.0006075794724910872,0.000628525778372667,0.0006539251147211338,0.0006288254129283151,0.0006175343555685,0.0006008461875982608,0.0006754294812745031,0.00056043021717171,0.0006460081307120175,0.0006487445163402767,0.0006583698059856086,0.0005630879304900217,0.00059276611254067,0.0005548344304054153,0.0006147725121698845,0.0006253291251995843,0.0006076057743437135,0.0006143833811069033,0.0006368708392603844,0.0005831827068999885,0.0007025289650388612,0.0005720088325166617,0.0005618639282883239,0.0005782050694377095
SRR9224317,0.0005922580250492836,0.0005820819376723979,0.00057750748079969,0.0006293211250389968,0.0005082373351747764,0.0005818474396215714,0.0005972802319632721,0.0005825562746784095,0.0006210187336707939,0.000595364917961548,0.000590832885522244,0.0005723620167959856,0.0006936007886872526,0.0005342072374317196,0.0006306357262179813,0.0006484524858393062,0.0006799092953379675,0.0005406375020168931,0.0005561768837240785,0.0005183356122901939,0.0005862603051186815,0.0006369271361488579,0.0005523581867912593,0.0005970962159421305,0.0005963660135779413,0.0005452524386182324,0.0006712162681344208,0.0005422584172153481,0.0005207856008654161,0.0005608780214385351
SRR9224138,0.000589332455147565,0.0005717346406128027,0.0005756799363096312,0.000623612294797689,0.0005773122750308774,0.0004892102142623129,0.0005805491850440882,0.0005674607417683581,0.0006015030283165454,0.0005758852675206871,0.0005827291881091475,0.0005515558545593518,0.0006756189306667375,0.0005145301313054866,0.0006158378484821846,0.0006128532626677901,0.0006278131019393797,0.0005337665870375064,0.0005693321628896568,0.0005136570942983183,0.0005502803038383445,0.000605644655354722,0.0005389666730337178,0.0005735810406368908,0.000593099645743476,0.0005413273044936884,0.0006576239018269569,0.0005299950646371589,0.0005085911146275533,0.0005464672383740285
SRR9224137,0.0005854858453451811,0.0005746794944785343,0.0005763033293358519,0.00061092787391915,0.0005870485711987565,0.0005750116143278691,0.0004938032183227436,0.0005692435294946629,0.0006126609734301762,0.0005764978209266917,0.0005721803648541485,0.0005665823930096598,0.0006936276547760461,0.0005185799741167778,0.000615437364148171,0.0006376555238669612,0.000629542279752419,0.0005293338652016048,0.0005649810383674229,0.0005171577818225681,0.0005589822091084496,0.0006315069432773928,0.0005444409245079706,0.0005718439431859214,0.0005939450406827088,0.0005265342622630366,0.0006681980396007852,0.0005311409514322988,0.0005155682857371338,0.0005537147669718905
SRR9224136,0.0005931372275773185,0.0005650651389068159,0.0005771181472924947,0.0006403214991767516,0.0005782501100243294,0.000568246531762059,0.0005753837112510937,0.0004921745478616694,0.0006031896858423383,0.0006047333501976214,0.0005837934432860698,0.0005496296970842411,0.0006623250571523281,0.0005172386246723068,0.0006151937249936223,0.000601357640481033,0.000653538620592107,0.0005256028088955428,0.0005702211289293753,0.0005112265440247239,0.0005688241573237486,0.0006324586272088306,0.0005374798448783002,0.0005949681169139592,0.0005881558780696684,0.0005386279914569552,0.0006766158169497163,0.000520361118042318,0.000510372323658255,0.0005618931935361246
SRR9224143,0.0005768003157123538,0.0005863695220101673,0.000592711330647528,0.0006488449163355932,0.0006035477433761275,0.0005881668731497619,0.0006056835622838771,0.000588821875428738,0.0005131396636902171,0.0005989256698947788,0.0006244300413912817,0.0005793141856848751,0.0006979631133926471,0.0005151548427371996,0.0006459356227827136,0.000666062416359978,0.0006808121024075696,0.0005509026300650296,0.0005836569686471985,0.0005208779756656886,0.0005888182543860884,0.0006218372738045681,0.0005784988242108561,0.0005995582658449225,0.0006238806921187082,0.0005464098085031199,0.0006570122237912004,0.0005572630645141112,0.0005259059065055161,0.0005728321992127387
SRR9224133,0.0005947675472333429,0.000578660753015887,0.0005886791076021509,0.0006321624604019333,0.0005847930734818611,0.0005697025694841613,0.0005761947982273178,0.0005965168053341854,0.0006049082669988765,0.0005368348310883041,0.0005960720146416189,0.0005758277348634318,0.0006493191498466681,0.0005360328097180402,0.0006180575242991117,0.0006124383138776551,0.000603949460221828,0.0005448976969557551,0.0005552175831264266,0.0005399496541604799,0.0005944106656726762,0.0005963399490001679,0.0005611171441190113,0.0006050476422551331,0.0006199686738281437,0.0005469325117791865,0.0006407490221072314,0.0005455905294755371,0.0005290175267225037,0.0005820112289059692
