,SRR9224203,SRR9224313,SRR9224314,SRR9224321,SRR9224184,SRR9224323,SRR9224325,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224143,SRR9224134c,SRR9224566,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224560,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224277,SRR9224276,SRR9224273,SRR9224283,SRR9224242,SRR9224238,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.0005001978556538027,0.0004966393308185556,0.0004719532813007273,0.0005171948091017088,0.00047670164983294565,0.000505132324475181,0.00047969852597990137,0.0005071495815131636,0.0005472047071264197,0.0005484075399603681,0.0005010685666008125,0.0004834596943933026,0.0005168290323177478,0.0005049322308170977,0.0005065059429854928,0.0005139193774255966,0.0005152355294222192,0.0005123732600716584,0.00048037118226361777,0.000481874266739711,0.0004621502672205468,0.0004924877449243275,0.0004931184779327812,0.0005001609252614493,0.0005087520793848817,0.0004891666227567936,0.00047514022258695243,0.0004830449101307178,0.0004710245951889675,0.00046099617303870313,0.0004553178110395579,0.0004702704109091629,0.0004666143698601617,0.0004792004677527648,0.0004674094409206536,0.00048421318257624014,0.000524113085531452,0.00048784088697292015,0.0005195146703637369
SRR9224313,0.0005226919735458562,0.0006761254872414482,0.0004924812014080809,0.0005690464109112009,0.0004903741713392107,0.0005631785056470939,0.0004933078547578567,0.00052207000319906,0.0006008870391678653,0.000626986950049332,0.0005175749740045013,0.0005039140255616017,0.0005468880291044964,0.0005159441228368276,0.0005609028694008099,0.0005182189244434007,0.0005140294318290632,0.0005078948735354034,0.0004801051013470367,0.00048106260649847463,0.0004996612971828821,0.0005552197246988045,0.0005048570264665857,0.0005023492039709358,0.0005178820755409053,0.0004868389541161646,0.00048705839333646573,0.0004887481629392327,0.0004951602078607074,0.00047325283807131353,0.0004932597338982983,0.0004901377413286915,0.00047257707513949175,0.0004799087678882911,0.0004983748416309864,0.0005424829463298173,0.0005595802688579576,0.0005198191085010549,0.0005235930468620402
SRR9224314,0.000483121509610493,0.00047731808281785117,0.00046855904558182056,0.000507544634882328,0.00046851626862034004,0.00047970197480814005,0.00047024014484456454,0.0005074121519570886,0.0005219881428273257,0.0005459223244234064,0.0004937581915367546,0.0004847489157373188,0.0004950305212476161,0.00048406476527623955,0.0005017289174323955,0.000488697978150308,0.0005120122919522725,0.0005029919951674938,0.0004741593411216251,0.0004814611386074168,0.00047045335925274427,0.00048475922964546527,0.0004965754659630773,0.0004939278724613709,0.0005057129221344456,0.00047944500377616065,0.000474219787930345,0.0004757215984165802,0.00047199165010781497,0.0004600873773118184,0.0004617105039767496,0.0004674084109268635,0.0004597500689149239,0.00047016779807117947,0.00046389562116950237,0.0004883872087407223,0.0005104583409081089,0.0004649309144734971,0.0004931234059949845
SRR9224321,0.0004909955162628974,0.0005213336074519505,0.00047255396597487183,0.0005249215914618125,0.00047689937755813073,0.0005071661056398146,0.00047989958902196087,0.0005148611797016205,0.0005605228002224313,0.0005983319291372472,0.0005152179823046434,0.0005017111785265348,0.0005214855885777421,0.0005019686950095476,0.000528740405058558,0.0005140166026138948,0.000535125928340372,0.0005139664593828699,0.00048793927577457256,0.00048255372032554806,0.00046286685286626094,0.0005125339640699367,0.000504616153864338,0.0005018574106319273,0.0005358099174228988,0.0004882447618174758,0.00047736222586869956,0.0004813195870930954,0.0004666624233444328,0.00046162134242000446,0.0004519534123229141,0.0004911454993931646,0.0004770811735630704,0.00048411624355118815,0.00046646510664488856,0.0004977826224897986,0.0005704855815812994,0.0004984058268139612,0.000525424800830425
SRR9224184,0.0004784455821842298,0.0004676301966108318,0.00045960829979592785,0.0005042344591068811,0.0004566806950643017,0.0004753768694799972,0.00046681405948923105,0.0005012569890055289,0.0005138656004017859,0.0005364444910599717,0.0004908391446797169,0.000478270742921558,0.0004929599992945638,0.0004848753993245783,0.00048311951966112604,0.0004886078828076758,0.0005053929169974639,0.0004948472443394822,0.00047561675140732817,0.000472502480932349,0.000463193262212801,0.00047395068458615925,0.0004910598878781776,0.0004932818810962559,0.0005111602236996385,0.0004810724288660823,0.0004718595311307228,0.000472402250732566,0.0004620004253679336,0.00045201861363466814,0.00045471583729758875,0.000462755231435581,0.00045409584079214214,0.0004687675979129763,0.0004598793087467265,0.0004807605441774129,0.0005001421158672363,0.0004667373987282278,0.000499172025177898
SRR9224323,0.0005077404567016753,0.0005384093579854144,0.00047090032773422,0.0005347956065357255,0.00047552889143337326,0.0005409070271628989,0.0004793673051413527,0.0005073041972636964,0.0005625283027324982,0.0005811202845629498,0.0005010486382450992,0.00048513044620494264,0.0005274163488442506,0.0005001491434057362,0.0005099958682867508,0.0005110824628869896,0.0005148606264939927,0.0005037092808329249,0.0004825849398647086,0.0004802529867026724,0.00046079796522294594,0.0005042694470013968,0.0004927987884903102,0.0005013435668630772,0.0005155597195916714,0.00048812481741694727,0.0004766823942457953,0.0004777553050700385,0.00047100536951144497,0.00046150292861932486,0.000455768829686312,0.0004770360222499944,0.0004625021370999214,0.0004835243352491815,0.00046968273702369085,0.0004878100080802381,0.0005524842623268343,0.0005043061097907344,0.0005233479093745148
SRR9224325,0.00048423807597860677,0.00047284916089019674,0.0004638424161320606,0.0005102032897977135,0.0004693191101094211,0.0004816371818832183,0.00046255631546909923,0.0004951438101563641,0.0005232077534443173,0.0005586795159747293,0.0004906357273840346,0.0004830523199390352,0.0004995706979291206,0.0004852946167977946,0.0004946755397893951,0.00048723872755885943,0.0005049251999352274,0.0005003403462817078,0.00047098376001868304,0.0004751628182984029,0.00046364198891167644,0.00048008456271890487,0.0004881377345501234,0.0004925170832306632,0.0005074980430731283,0.00048077854191972845,0.0004730539753407276,0.0004719692982816216,0.0004625108901580473,0.00045444385720839293,0.00044784947978633523,0.0004656592155737296,0.0004539547877853788,0.00046939669408927056,0.0004567129466858327,0.00048137558399532224,0.0005073145781647948,0.0004674030107804453,0.0005006778903585398
SRR9224327,0.0005005108664760978,0.0004901634782887078,0.000489126349529501,0.0005354172370540829,0.0004926788036517403,0.0004982451882720155,0.00048355486514042916,0.0004961030551557832,0.0005436531629986666,0.0005733377402686676,0.0005095565627883402,0.0005039122810521536,0.0005191683210599508,0.0005041956332975944,0.000520451464213251,0.0005170178015470683,0.0005239402424243668,0.0005247705420484536,0.0004955563573389784,0.000492939076842848,0.0004790235081863177,0.0004943634828856634,0.0005159693181941255,0.0005126751788807823,0.0005290674093104531,0.0004984304977569512,0.000491085833855613,0.0004903703745111853,0.0004814323362635053,0.0004756231944095732,0.0004670318412113283,0.0004888482432668668,0.0004810971964316231,0.0004908526965781426,0.0004776256921860194,0.0004968277016638269,0.0005425124078066473,0.0004880465898165388,0.000515170925716331
SRR9224187,0.0005230328243546446,0.0005517671085745032,0.0004877962077430313,0.000562567245798079,0.0004883942666004911,0.0005364357184332394,0.0004947577434895414,0.0005259642130047656,0.0005613860769234233,0.0005870766620836948,0.0005260457811250883,0.0005048593064690893,0.0005593532385233219,0.0005277584655766017,0.0005344149562953296,0.000539515134658955,0.000536029242215258,0.0005091447041455069,0.0005060000742912444,0.0004984211848643313,0.0004736661028454496,0.0005334276098014653,0.0005151802403286583,0.0005186365971305473,0.0005454113171742732,0.0005000305366939902,0.0004917326532570644,0.0004937015401349976,0.0004842800708972708,0.0004753337847827194,0.0004633803551930867,0.000498270673762032,0.00048602370683917875,0.0004983756605572245,0.0004927739314579903,0.0005066616215151692,0.0005710675308913985,0.0005265087325162937,0.0005301541483112163
SRR9224318,0.0005191942398616711,0.0005762779123678773,0.0005071653237193138,0.0005985360626866704,0.0005063018940006778,0.000550633164032248,0.0005262509635525007,0.0005506953982113507,0.0005836246290169386,0.0005766208272991528,0.0005452083614491991,0.0005267219487990544,0.0005501912175132517,0.0005309595994425669,0.0005809648068595542,0.0005431343975829541,0.0005392485319958425,0.0005429723596389266,0.0005142528250840946,0.0005005352177474108,0.0004931308424029757,0.0005592811402938961,0.0005340383674555096,0.0005367641946471466,0.0005676894891785152,0.0005096677311766263,0.0005010511554454027,0.000505640397114796,0.0005018991834575777,0.0004896796939748963,0.00046664183919075904,0.0005161757028725216,0.0005011272764822196,0.0005061216297594705,0.0004960044598523247,0.0005377036528819077,0.0005810301798519313,0.000532308950593235,0.0005520941851374356
