,SRR9224203,SRR9224313,SRR9224314,SRR9224184,SRR9224323,SRR9224324,SRR9224187,SRR9224317,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224005,SRR9224006,SRR9224562,SRR9224565,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224275,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.00045056176484557027,0.00048320867740618393,0.0005124239390673365,0.0005109570834023217,0.0004907410842495316,0.000511893767313831,0.0005160927481884196,0.0005020263384635452,0.0005056435054999634,0.0005017628799030345,0.0005212160804332433,0.0005107885439831002,0.0005005314049372038,0.0005086219377540097,0.0004912680632099478,0.0005093517160738907,0.0004802300647578515,0.0004896375587271315,0.0005200177769054118,0.0005362190044799894,0.000488189158059828,0.0004922130590130723,0.0005017379746808216,0.0005095823426435801,0.00048384200816894665,0.000476958307568749,0.0005363047548085813,0.0005063212162445621,0.000503989142039473,0.0005134428094422292,0.0004948810848049434,0.0004735347533666753,0.00048290034862227344,0.0004501885230561796,0.0004629417812647966,0.0004640124317141021,0.00047981791190837434,0.00046176724085264363,0.000468758924639993,0.00046304723409250033,0.00045826967750678177,0.0004990914952627723,0.0005077209738968704,0.0004654136357332347,0.00045575379221053777,0.0004571440961632951
SRR9224313,0.0004939531284409936,0.00047994102921184725,0.0005244474147653665,0.0005253062473239341,0.000505147567609167,0.0005255066255216403,0.0005330806337681887,0.0005142835664121006,0.0005198560481593053,0.0005174265588490925,0.0005421006699727806,0.0005238956073665508,0.0005162100774280169,0.0005202208744759775,0.0005067159354397008,0.0005212100296166462,0.0004924605195048734,0.0005012245275323774,0.0005381612228954501,0.0005532482195210466,0.0005009709427068671,0.0005068571186673126,0.0005136239287559103,0.0005254422387863503,0.0004967879979562906,0.0004926466157249288,0.0005551406415488927,0.0005182861086018547,0.0005178231809362816,0.0005278832562380355,0.0005103074573971654,0.0004891867070126358,0.0004943962414580776,0.0004691482755535846,0.00048144561541538494,0.000480981740210849,0.0004931565394485787,0.00047368550890761115,0.0004821168934940478,0.0004765890735464563,0.0004724838947614053,0.0005137082997481586,0.0005199906677342002,0.0004851422187421851,0.0004748961191133482,0.0004737099350873944
SRR9224314,0.0004875959369082539,0.00048818197479577423,0.00046884437621373773,0.0005261851969395339,0.0005049842230167752,0.000520441679653607,0.0005366003190450068,0.0005081042383889286,0.0005155905731729949,0.0005213642095144461,0.0005450692306313014,0.0005195238543505966,0.0005128206044803249,0.0005185161654833046,0.0005017761857236168,0.0005215475029185577,0.0004895683263342191,0.0005019628054951577,0.0005343786837080243,0.0005463172179320378,0.0005045075593656539,0.0005023072913228054,0.0005141002729066654,0.0005253075206847688,0.0004940109012673025,0.0004871164857345786,0.000559818169056612,0.0005202917997324104,0.0005169355551417503,0.0005293522532369789,0.0005043881211302642,0.00048266791388758994,0.0004891199178051815,0.00045349982646983664,0.00046472582073599255,0.00046572326134355457,0.0004960392491374995,0.0004633636644981764,0.0004754424294269405,0.0004697339040634048,0.00046259945546184414,0.0005129240653254275,0.0005133443265919494,0.0004663432762390893,0.00045577577350861036,0.00046460127118142647
SRR9224184,0.0004801709343272086,0.00048284964072028714,0.0005188750704685278,0.00045807632147721065,0.0004961810311964633,0.0005108405230654364,0.0005285141086227953,0.0004995949452312619,0.0005148089137274498,0.0005145153514109397,0.0005387548967283779,0.0005216871737886203,0.0005110825653677743,0.000515704623842657,0.00049633808676244,0.0005112236692215624,0.0004783259039878505,0.0004962115427083974,0.000538889928350397,0.0005485457443581779,0.0004945945746503308,0.0004973586371798119,0.0005024336818143825,0.0005200214338859521,0.00048395976351246165,0.00048240372373842017,0.0005510469205240835,0.0005155903596079569,0.0005156554324760689,0.0005151700095558999,0.0005041702755530604,0.00047760840220941294,0.0004787944667792398,0.00044779305530019556,0.00046204871881549216,0.00045771325209694266,0.0004869286184762378,0.0004618066055985367,0.0004712107955976684,0.0004650591988939985,0.0004566488148237296,0.000516746794429147,0.0005071714290080485,0.00046275855459709445,0.00045179655713588254,0.0004554854018071841
SRR9224323,0.0004825777688898378,0.00048599815083902906,0.0005219270410157823,0.0005198720041691105,0.0004609376265829263,0.0005157494578080211,0.0005244098169548225,0.0005072243379653426,0.000515519719878373,0.000510989226214316,0.0005318901452957097,0.0005183391635945856,0.0005121654621630056,0.0005119771916667693,0.000497025429876809,0.0005148346991060526,0.00048615394535163174,0.0004947196017310821,0.0005311101852812787,0.000540874573335587,0.0004960422929427513,0.0005003399407746941,0.0005107090414355259,0.0005226390871824653,0.0004900668038727938,0.00048301607002690437,0.0005462432042258328,0.0005134316994349893,0.0005084729402731376,0.0005214622007994591,0.00050416944832429,0.00047714715541620056,0.0004852489406982178,0.0004523932308194019,0.0004649482018227409,0.0004656863222218192,0.0004892090883735697,0.0004619578136550553,0.00047214249092764255,0.00046930044209241,0.0004612788422470911,0.0005069139741570581,0.0005133782757626064,0.00046765474820872075,0.0004571995620188486,0.00046196179902270563
SRR9224324,0.0005009595597421409,0.0005031366117756071,0.0005351413347059458,0.0005323334685259017,0.0005129694488590689,0.0004896938406003969,0.0005466792068782896,0.0005225145832389779,0.0005305921210523961,0.0005331468641227152,0.0005439179291221304,0.0005334455553117281,0.0005230809431853767,0.0005294970241057771,0.0005097739523363683,0.0005292666177912599,0.0005010628403400647,0.0005129626027644616,0.0005443802830629961,0.0005555888038567116,0.0005113887523893241,0.000515840207377497,0.0005246013905219886,0.0005378863918084752,0.0005053279877847547,0.0004961326001865614,0.0005641249980939621,0.0005326263889500514,0.0005256264751782936,0.0005421651581113265,0.0005213070795945268,0.0004918802900601706,0.0004999996016577904,0.0004671731758772188,0.0004803293654019947,0.0004806091972412234,0.0005047840347883485,0.0004777064283914042,0.0004890647723015621,0.0004823821485754428,0.00047788208355304106,0.0005241436869469479,0.0005268348514319798,0.0004852676245134302,0.00047474275950103,0.00047455395270960555
SRR9224187,0.0004897490778297939,0.0004953796631502897,0.0005349260511504685,0.0005344292991446252,0.0005061099780246506,0.000529950863611539,0.0004762755402332048,0.0005173565543230587,0.0005236565972673739,0.0005264089985501123,0.0005435561786952312,0.000524730629947481,0.0005210345759893439,0.0005267213409839719,0.0005076264518687528,0.0005185468525351305,0.0004920694615601865,0.0005058658446521654,0.0005443007861442527,0.0005483675563159454,0.000510728306974297,0.0005123627387174352,0.0005200620360533317,0.0005310921867838951,0.0004992326088837279,0.0004890972715306951,0.000566183699701513,0.0005271255485818999,0.0005189378336804357,0.0005346591083993111,0.0005146905105149106,0.00048685227608951526,0.0004957630670831811,0.0004588681830787738,0.00047052905034264587,0.00047209308146533663,0.0005007168364165739,0.0004708144034845445,0.0004826481116398635,0.00047378446592606893,0.00046822910526341064,0.0005212168061587316,0.0005241737251201062,0.00047387576752005816,0.0004654353960822335,0.0004716881711610738
SRR9224317,0.000498041165534786,0.0004989406132875757,0.0005302283073320169,0.0005283745077933012,0.0005114816740408306,0.0005299094683768342,0.0005413533322288221,0.0004803908267272016,0.0005269875512780848,0.0005258979007508359,0.0005430456766790069,0.0005309599216990943,0.0005248715815609696,0.0005269912283466309,0.0005090437477231117,0.0005251669609693791,0.0004972613323803186,0.000507761715193793,0.0005410922272460192,0.0005466777707942337,0.0005050742126703553,0.0005127991745005545,0.0005181824630057095,0.0005306360163501747,0.0005013904542464738,0.0004926396201597456,0.0005669735757174106,0.0005276415604986576,0.0005210710384787932,0.0005374373004886103,0.000513794718783054,0.000489637205967231,0.0004977878311004584,0.00046391265314691803,0.00047550230360746387,0.0004766857756910932,0.0005018162896928416,0.0004731176862589196,0.00048477945235467966,0.00048042105569527107,0.00047366076189823974,0.0005240206691180484,0.000522087465756685,0.00047788870895787,0.0004682330725401722,0.0004740831486993444
SRR9224138,0.00048382416200841,0.00048685503348869203,0.0005181515646450871,0.0005249630474869067,0.0005015252035120464,0.0005188879153513729,0.0005278267759814784,0.0005080750012474453,0.0004622319500124074,0.0005148627953982975,0.0005359061741413207,0.0005157788735285486,0.0005105372561676738,0.0005178005982146367,0.0005031024984678634,0.0005122452116448393,0.0004857892564312713,0.0005018313207592253,0.000532973670593955,0.0005377395005697426,0.0004990393368960567,0.0005047643065971101,0.0005081746413067201,0.0005205662920983831,0.0004925835330006274,0.0004841132099405481,0.0005412939078571685,0.0005189273414166837,0.000510914902613405,0.0005228498321120442,0.0005036069371032413,0.0004792340629531218,0.0004859729664934372,0.0004500618244581884,0.00046297300575399037,0.0004630224809784661,0.0004933872701033064,0.00046260115540820387,0.0004724831881830684,0.0004676514631806122,0.0004596671613986318,0.000516997846910624,0.0005093830163699685,0.00046589737241154865,0.0004560896479798041,0.0004585148559822321
SRR9224137,0.00047379947427851605,0.00047837584796283505,0.0005168402876048755,0.000517161167063298,0.0004902966643132267,0.0005145942460704,0.0005232163786108406,0.0005002096499405795,0.0005080517050856284,0.00044253056631326463,0.0005248095951647353,0.0005078858212006999,0.000503021935372259,0.0005142925657986902,0.0004917794702155824,0.0005152705245095168,0.0004798710165651423,0.0004919764364194539,0.0005261549360921959,0.0005317723424510886,0.0004898179396411863,0.0004929792071441552,0.0005029866194086539,0.0005133915429948364,0.0004787071140104022,0.00046980521831728846,0.0005432799967951368,0.0005096277234558671,0.0004997081301435138,0.0005201811635462282,0.0004998801377074702,0.00046815007508530166,0.00047637095084840473,0.0004416108352271352,0.00045047338510433385,0.00045561912552459835,0.00048165557801093723,0.0004539790760531551,0.00046909685347488767,0.0004569748409093131,0.00045350248893901183,0.0005114657278602125,0.0005156200357515622,0.00045493102977713323,0.0004451852370953225,0.00045068328416464896
