,SRR9224203,SRR9224313,SRR9224321,SRR9224184,SRR9224324,SRR9224327,SRR9224187,SRR9224318,SRR9224317,SRR9224139,SRR9224138,SRR9224137,SRR9224136,SRR9224143,SRR9224142,SRR9224134c,SRR9224133,SRR9224566,SRR9224004,SRR9224006,SRR9224562,SRR9224563,SRR9224564,SRR9224565,SRR9224560,SRR9224561,SRR9224453,SRR9224452c,SRR9224454,SRR9224449,SRR9224448,SRR9224451,SRR9224450,SRR9224457,SRR9224456,SRR9224279,SRR9224280,SRR9224277,SRR9224278,SRR9224276,SRR9224273,SRR9224274,SRR9224282,SRR9224283,SRR9224242,SRR9224241,SRR9224240,SRR9224238,SRR9224237,SRR9224236,SRR9224235,SRR9224234
SRR9224203,0.000634214416787351,0.0007016110970442692,0.0008418840811526264,0.000820129651920978,0.0006638982890436783,0.0006741785950461974,0.0006687488995784159,0.000816487160142444,0.0006855231032944936,0.0007291141275063176,0.0006626686661668446,0.0006464950593069073,0.0006696526319664467,0.0007451574307096395,0.0006791938009968674,0.0007513112773109542,0.0006876909791499288,0.0006815022219578509,0.0006487889258746687,0.0006415420402062612,0.0006618961042481296,0.0006680206150104171,0.0006569519867038124,0.0006643243973541019,0.0006436811530570418,0.0006512664669781612,0.0006626152642852173,0.0006566195721072173,0.0006778384960900364,0.0007410178523993843,0.0006938491059744111,0.0006668162864465172,0.0007660578111286295,0.0006581871345390208,0.0006950882735764196,0.000800090579444468,0.0006678060697228746,0.0006727429326776358,0.0010165911391407472,0.0007057536449057801,0.000634063580613108,0.0006768671590107005,0.0008008875012427251,0.0006436363295617354,0.0006388208982037286,0.0006578155254381313,0.0007059383416152552,0.0007317256676192715,0.0006536794329366827,0.0006550852217034294,0.0006487434530993599,0.00070010536058075
SRR9224313,0.0006947531833913223,0.0006654260278300912,0.0008591200786262253,0.0008520062451936669,0.0006913240948549884,0.0006923732427100491,0.0006942296924928386,0.000837718201294881,0.0007052274977083824,0.0007514044993250837,0.0006856351908560185,0.0006702447272344304,0.0006905797022211959,0.0007643472233239051,0.0007012977675195896,0.0007678875432685874,0.0007081566155725545,0.0007034208732258482,0.0006688959763508016,0.000662491154044105,0.0006861101657724184,0.0006902078197844443,0.0006790329061320032,0.0006818537890108101,0.0006646347745924522,0.0006725177412167907,0.0006810364966126337,0.0006760309362940626,0.0006973744672532178,0.0007557118846995597,0.0007129618787930547,0.0006907620768744957,0.0007974145927858909,0.0006825921700367003,0.0007123902953876807,0.0008171604146103457,0.0006853349624006766,0.0006977312732695497,0.0010393259510580427,0.0007239173734387459,0.000654635783626317,0.0007001615574261357,0.0008307111586457663,0.0006640393807360649,0.0006605368218452767,0.0006800477218458212,0.0007264570570119629,0.0007552802939275371,0.0006738717762273961,0.0006778669157855347,0.0006715109330643163,0.0007231471734409642
SRR9224321,0.0007952998138151292,0.0008192028563703297,0.000766085407616601,0.0009678618140910051,0.0007944531984315833,0.0008064976974789064,0.0007904796714743158,0.000963396947094616,0.0008107375654500381,0.0008718450153411722,0.0007958568632794458,0.0007755171400156064,0.0007981030750536418,0.0008849489413436963,0.0008071522008180862,0.0008855957910161807,0.0008195858005538467,0.0008128143644663929,0.0007843012670560128,0.000778077792440504,0.0007925151749522074,0.0008045305885737891,0.0007899264953806148,0.0007901943290636607,0.0007682462894113075,0.0007700583150880327,0.0007916807819544235,0.0007752052904223328,0.0008097626210367729,0.0008840941515590811,0.0008315477963459833,0.0008034437246202663,0.0009308498714839492,0.0007982750483273275,0.000831579189931383,0.0009533003022085909,0.0007971680796924937,0.0008096682431239048,0.0012600631127658306,0.0008663188478371341,0.0007635394312178782,0.000820081633645092,0.000977346739668831,0.0007722070267983635,0.0007767424088866815,0.0007983610275999704,0.0008663254678652128,0.0008817105042204979,0.0007848453597513169,0.0007852512855435207,0.0007890763283706247,0.0008609392879916254
SRR9224184,0.0007742051492167717,0.0008110550684100033,0.0009673428577010547,0.0007510602198248862,0.0007709432989790218,0.0007828667919357347,0.000770632059186697,0.0009248782839417595,0.0007880109311105125,0.0008537648361896196,0.0007660116493308255,0.0007477803156710977,0.0007713083451486039,0.0008544472209012076,0.0007898327723364337,0.0008600025595061769,0.0007961084539835683,0.0007940752747708197,0.0007637080185260976,0.0007454751041174899,0.0007693486677481474,0.0007729058664690393,0.0007612097327212332,0.0007692392854652765,0.0007332866067053424,0.0007385780208977523,0.0007647817406442357,0.0007547453452634051,0.0007842051294015037,0.0008570881202817552,0.0008089132194115294,0.0007762884782761289,0.0009058649542065956,0.0007674278524497265,0.0008049425065028699,0.0009275016812154347,0.0007694088624754554,0.0007739969115967105,0.0012118274550011914,0.0008205957254153038,0.0007434089239859482,0.0007958816410395209,0.0009477906308822804,0.0007468307186329366,0.0007513652455673689,0.0007683071745772196,0.0008234781385021447,0.0008630368789809391,0.0007614472081511617,0.0007539214393645938,0.0007542408978180833,0.0008268175467309814
SRR9224324,0.000682506014881373,0.000716992678215308,0.0008590556590899014,0.000834566580646297,0.0006394200233053886,0.0006755186447874688,0.0006725529564618367,0.0008104291620042972,0.0006850042752244398,0.0007414416501607982,0.0006688601120110232,0.0006517058059029544,0.0006735855772491165,0.0007527062328452233,0.0006878773221177174,0.0007620159528916261,0.0006788781414555227,0.000678029713570444,0.0006447880037255629,0.0006443813855988553,0.0006653080034316099,0.0006732290001365226,0.0006552898102178782,0.0006669888850857252,0.0006492911053516348,0.00064904395429085,0.0006641932400582037,0.0006634932793368471,0.0006830097337711822,0.000744809644597547,0.000699813591420469,0.000667206655678659,0.0007722378011360716,0.0006627195579807986,0.0006987143407834353,0.0008126917122173858,0.0006730448474412579,0.0006685841525250029,0.0010427566180370852,0.0007060534609486182,0.0006373392472701743,0.000670413648120933,0.0008129414067061903,0.0006437211876118133,0.00063703660194473,0.0006458751255445025,0.0007021988412669189,0.0007274562581161533,0.0006461169941009253,0.0006538833215478053,0.000646533350426645,0.0006946868879688185
SRR9224327,0.0006648862477089067,0.0006897879767461023,0.0008416665219305422,0.0008169869720906688,0.0006479089785040502,0.0006176975915813795,0.0006578498242180531,0.0008087459326961169,0.0006682224271593248,0.000729062251430502,0.0006490978358515039,0.0006378619757220996,0.0006564624403188185,0.0007330677302486749,0.0006668690717785053,0.0007367552079693589,0.0006740623224468999,0.0006688600324422397,0.0006368727591872993,0.0006337199985454132,0.000647257918482104,0.0006603046020349749,0.0006508358814040098,0.0006600284253017751,0.0006371899096952904,0.0006365759315084958,0.0006542877694649125,0.0006360645861311276,0.0006709957378197067,0.0007341138050568359,0.0006807741041397327,0.0006541000664680259,0.0007588510801021244,0.0006494760127936652,0.0006910763783773852,0.0007920203562542475,0.0006626794497414972,0.0006522738020981165,0.0009930383000947248,0.0006979695802627716,0.0006214447965909658,0.000662676409662508,0.000794981693596411,0.0006253623344007357,0.0006262198551470304,0.0006436561948773043,0.0006962274464530875,0.0007239764519395096,0.000635576897135677,0.0006326049117221478,0.0006341105104935031,0.0006778428024180138
SRR9224187,0.0006784246100617229,0.0007113316482107271,0.0008466892026615456,0.0008261314684309911,0.0006636837527081174,0.0006771493940298685,0.0006466719568487137,0.0008104443458676712,0.0006849396084204143,0.0007415023374979279,0.0006650958658201164,0.0006546688003671733,0.0006678833609647484,0.0007480322158329576,0.0006838415564776426,0.0007528627726757403,0.0006835548686304178,0.0006810209659233705,0.0006475986352601321,0.0006460137345608154,0.0006655930908898874,0.0006743407869070307,0.000660398709349577,0.0006683532398391622,0.0006490031617799233,0.0006525644269066689,0.0006668274629887262,0.0006586838557185114,0.0006844213755037492,0.000739825910279358,0.0006936944015880647,0.0006667646049857536,0.0007708687074468179,0.0006657390163564647,0.0007042690283312995,0.0007980044496677969,0.0006753659000285839,0.0006742367432266898,0.001013517562184556,0.0007006533486363495,0.0006374517076356468,0.0006708444293867821,0.0008022930957198272,0.0006437476162693661,0.0006387344154466657,0.0006522859751622366,0.0007034248770817614,0.000732987500387038,0.0006472058351546157,0.0006555582780836567,0.0006497655805177494,0.000690415192244791
SRR9224318,0.0007694286033270192,0.0007965594713767607,0.0009596696412616087,0.000921439547586426,0.0007459449954938502,0.0007711554051373725,0.0007530042727139759,0.0007436469490793081,0.0007719316500504383,0.000839553542811806,0.0007414732295093448,0.0007304993150945658,0.0007544399338618313,0.000844165275330982,0.0007715753171229363,0.000844051982668232,0.0007766090569077362,0.0007656673445122599,0.0007351142822385588,0.0007283048619131785,0.00074427054086393,0.0007538210933693782,0.0007506997056430183,0.0007681590861608981,0.0007248228996915699,0.0007177261116790952,0.0007488740707894904,0.0007295326686566969,0.0007644902835818452,0.0008487487892866972,0.0007918852848354567,0.0007542739466610594,0.0008855565712994758,0.0007437179700879168,0.0007969511892211219,0.0009325396237367217,0.000766702373304317,0.0007409404954364471,0.0011651735891082676,0.0008061515943949469,0.0007162887675098745,0.00077466090485932,0.0009109232196195854,0.0007221364040617958,0.0007219182360431216,0.0007433641064839211,0.0008073622098973998,0.0008415641696960953,0.0007396036434106919,0.0007306288690425308,0.0007330665982920047,0.0007969509801099368
SRR9224317,0.0006882557268854833,0.0007152457722174114,0.0008612550827186402,0.0008373118428574664,0.0006689995286669431,0.0006807113568435202,0.0006777356687014443,0.000823517485025238,0.000654442265168689,0.0007468126417994772,0.0006678432650069668,0.0006583384477242208,0.0006766529998512325,0.0007553118386688059,0.0006871843984566489,0.0007626059659747486,0.0006907807553374106,0.0006860513769606862,0.000654457438392894,0.0006477478273236932,0.000668147095825774,0.0006775903424598873,0.000663098020061905,0.000672609531481036,0.000649762677137918,0.0006527124382934574,0.0006706228523741379,0.0006626312388580155,0.0006865178655549144,0.0007468347093253132,0.0007003977778940129,0.0006710350525258438,0.000778142439693295,0.000667521576950517,0.0007085749192368646,0.0008126511725367577,0.0006776405667776472,0.0006774072988252383,0.0010420236315008616,0.0007087459230923287,0.0006402016566581573,0.0006795684014296626,0.0008144629305364994,0.0006456314853992064,0.0006430737608544752,0.000660554821454929,0.0007070450136371038,0.0007370851154137293,0.0006543214763924918,0.000656856082483997,0.0006541522178485628,0.0007028183720257236
SRR9224139,0.0006988186813663989,0.0007273146351843196,0.0008851697836656981,0.0008660479110082794,0.0006926162470037309,0.0007081375704547467,0.0007004574013863906,0.0008553852894713682,0.0007123259222264043,0.0006662514741778471,0.0006883251686460958,0.0006772634006569511,0.0006938046310667257,0.0007799608985021712,0.0007131169270941425,0.0007856515038499817,0.0007210100280432446,0.0007116640834451101,0.0006845295992357792,0.0006764947067130707,0.0006894496203902041,0.0007034231113732908,0.0006935581754217337,0.0006997138279103849,0.0006748390346857969,0.0006775379008824676,0.0006972523534245743,0.0006757232187645659,0.000710834163577117,0.000780235767019728,0.0007259374010470085,0.0006982918288870783,0.0008156573322734314,0.0006949737943804058,0.0007237498928725706,0.0008408916747396122,0.000693988422043627,0.0006955578029459286,0.0010685930107285672,0.0007402210257166838,0.0006676837661564096,0.0007179730659272959,0.0008390582812330313,0.0006656313335407476,0.0006700717827091056,0.0006946271656654058,0.0007460356139432907,0.0007746648394355384,0.000682598620217682,0.0006771147412770766,0.0006755878949295585,0.0007345626553099877
