,SRR9224432,SRR9224402,SRR9224395,SRR9224393,SRR9224400,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224485,SRR9224484,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224176,SRR9224308,SRR9224303,SRR9224302,SRR9224419,SRR9224417,SRR9224415
SRR9224432,0.0027581025846445,0.0027420300562863,0.002961341153139,0.0041150366271131,0.0031379760850048,0.0051112503496785,0.0038085100251383,0.0035369633192277,0.0043579752385283,0.0032184109346685,0.0053536252479618,0.0054117594717089,0.003936480925749,0.0034459717047575,0.0058868772026683,0.0033574034390986,0.0057550157813666,0.0075078514328487,0.0076696580001805,0.0043204655011528,0.0071170802896931,0.0038437415749489,0.005727079835333,0.0073184340534596,0.005665268864713,0.0054838453861091
SRR9224402,0.002953594388785,0.0024254121254592,0.0025994800113727,0.003550692840544,0.0027387883171899,0.0044706276530019,0.003299590321281,0.0030839314442021,0.0035282137486409,0.0027884038155596,0.0052083692791869,0.0051988607275656,0.0037750297992252,0.0033712288162597,0.006043847171688,0.0031630665913337,0.00570213585017,0.0075397832075274,0.0082101334183952,0.0040565005475641,0.0070154085163593,0.0034094951313084,0.0055066461236178,0.0073779047235367,0.0055434821220879,0.0055048132228797
SRR9224395,0.0030940602112988,0.0025027892371874,0.0024418720405966,0.0034418844248901,0.0026667465698289,0.0043163188845898,0.0032627611717329,0.0030109235546113,0.003571194043422,0.0028098728864372,0.0052001374731285,0.005182724354479,0.0038448582106531,0.003384972314971,0.0059649029382136,0.003278714698035,0.0057678758271653,0.0075592065533133,0.0081627541771361,0.0042199508162568,0.0070944978361837,0.0036965923562937,0.005632800095029,0.0074312759484543,0.0056358053788426,0.0054856635223254
SRR9224393,0.0041751759590764,0.0033295871770396,0.0033351737083815,0.0035414655316218,0.003510683976865,0.0056394086084722,0.0042557523802622,0.0039554984756189,0.0049032192398783,0.0037005539346273,0.0059645509815621,0.0059108566821753,0.0045824553393437,0.0041961935944151,0.0064850551156397,0.0040481316390278,0.006360641550981,0.0080847783420104,0.0081875831672345,0.004994568600243,0.0078131102490825,0.0044911897761434,0.0063565668758418,0.0079128432237302,0.0062975968286887,0.0060964188447111
SRR9224400,0.0033270803541567,0.0026812773330172,0.0027101870312887,0.0036738301999356,0.0026577484177428,0.0045730060907324,0.0034598477456664,0.0031720979002261,0.0038867863130447,0.0029749446238151,0.0054096650431862,0.0054093226801095,0.0041025168951586,0.0036671300209856,0.006243516037076,0.0035438271940336,0.0060040698436658,0.0077946406594775,0.0083250237369716,0.0044475025119965,0.0073548562502534,0.0038779838215209,0.0058438545645929,0.0076596745483839,0.005892391901681,0.005719965557663
SRR9224398,0.005174348850335,0.004196873623845,0.0041711880724324,0.0056155037818145,0.0043651777691463,0.0047720270604231,0.0052163564606379,0.0048266857156923,0.0060687122711511,0.004549710002732,0.0067289050739962,0.0066275692779405,0.0053060783514826,0.0050218243678652,0.0071086559048439,0.0048123967359464,0.0070344069019806,0.0085723441214016,0.0084346951292787,0.0057122294792227,0.0082997089170574,0.0051836162990796,0.0069883680159862,0.0084684373591151,0.006953602019108,0.0067365295571203
SRR9224391,0.0038784782423371,0.0031019853075881,0.0031739070597386,0.0042715232396277,0.0033155331336765,0.0052505002845336,0.003409962520555,0.00364060831494,0.0045316564317281,0.0034874459217908,0.0057355422270765,0.0056659934662521,0.004307018027995,0.0039110053082964,0.0062390413154322,0.0037921563995872,0.0061265819938771,0.0078395138396074,0.0081120246907982,0.0047779644528414,0.0074767981557938,0.004230029310228,0.0061425024209425,0.0076971144521194,0.0061052859694526,0.0058865211324958
SRR9224482,0.0036256913999199,0.0029155281154213,0.0029491771148013,0.0040003286692662,0.0030610595107455,0.004898127212928,0.0036702614255521,0.0030351685637808,0.0042278569417244,0.0032242770472651,0.0055725244452724,0.0055209083974912,0.00421798684189,0.0038113594245936,0.0062056695336486,0.0037041738560835,0.0060835534033342,0.007835528639008,0.0081503980986572,0.004602245716195,0.007413597185743,0.0041032729546457,0.006033567330762,0.0076626384171372,0.005998332212443,0.0057835297897881
SRR9224481,0.0043772697053118,0.003299620374469,0.0034349839837855,0.0048509824748354,0.0036923246121788,0.0060194620953143,0.0044698669369497,0.0041425604140891,0.0035470346843123,0.0038269993479092,0.0061293859699103,0.0060583362525945,0.0045714237144702,0.0041821282653125,0.0064926686598955,0.0040391014705546,0.0063942349994493,0.0082026950048106,0.0081162805785975,0.0049541362830213,0.0076786997653927,0.0044278078364897,0.0064023459081928,0.0079728565149578,0.0063727085105451,0.0061784920350502
SRR9224480,0.0033505766286525,0.0026729967710221,0.0027912574296078,0.0037973244499509,0.0029105404435914,0.0046831992225441,0.0035659684877727,0.0032732815758126,0.0039640431234298,0.0028065938498285,0.0053820385062154,0.0053879705006075,0.0039755822214198,0.0035135692134421,0.0060365923918733,0.0034222113241627,0.0058371323855938,0.0076168697576995,0.0080261452364624,0.0043555701095472,0.007177781441347,0.0037503092737763,0.005742942055782,0.0074796662987118,0.0057261917125576,0.0055749440374389
SRR9224485,0.0055370644983062,0.0049407460557072,0.005109221686511,0.0060953848354934,0.0052364147906441,0.0069082024874374,0.0058271684054626,0.0056137887363979,0.0063359835280876,0.0053342517744346,0.0062410300793906,0.0069150356092697,0.0057641656560301,0.0054254885825494,0.0071552693845422,0.0053325645802838,0.0070984568384908,0.0083639199323309,0.0083345899937369,0.0060348408124363,0.0080519002904797,0.005603959740854,0.0070607480600889,0.008246555169909,0.0070055917726918,0.0068838633531128
SRR9224484,0.0055962188242731,0.0049318264940547,0.0051046987410854,0.0060436713534204,0.0052426237294884,0.006807451685878,0.005766224182781,0.00556934860906,0.0062524179183647,0.005348846102434,0.006932653364525,0.0062015672214856,0.0057828951390992,0.0054012686001446,0.0070919436259745,0.0053725513451356,0.0070609011611238,0.0082722697950679,0.0083215051598568,0.00606736239446,0.008061431953069,0.005670410842324,0.0070629673152607,0.0081839981091079,0.0070649000668666,0.0068298698576758
SRR9224094,0.0042101832792604,0.0037204764685981,0.0039411414683193,0.0048511027360982,0.0041325527867554,0.0056231201583565,0.0045422775842055,0.0044170004148056,0.0048647159710257,0.0040986690322083,0.0060068515501899,0.0060149941584482,0.0045352004902568,0.0042833468654665,0.006474287398656,0.0041719633344645,0.0062590857075247,0.0077688098301573,0.0081591413857455,0.0049527186863679,0.0073769837972473,0.0043895718126608,0.0061622928882942,0.007662663442556,0.0061622368705507,0.0060755409960086
SRR9224095,0.0038342478379476,0.0034933099853749,0.0036309138592771,0.0046199819845105,0.0038730095881181,0.0055171497749684,0.0042952114354613,0.0041637756247933,0.0046150675559189,0.0037860523577782,0.0058948405099806,0.0058733438410392,0.0045022581877085,0.0042304207522641,0.0064951220879181,0.003923044430669,0.0061330535172928,0.0077309811137503,0.0081421443898233,0.0046192570563896,0.0072192882239105,0.0039792155539782,0.0059181382769646,0.0075439033638837,0.0059510055253465,0.005980148900132
SRR9224096,0.0063271729417193,0.0059721508938449,0.0061236286827298,0.0068986025437923,0.0063046932217452,0.0075839204034436,0.0066089946472114,0.0065217282621466,0.0069588318861306,0.0062472724815725,0.0074764482666306,0.0073968286538948,0.006488281950268,0.0062008768355252,0.0068374759912799,0.0061354987910029,0.0074414823835,0.0084283539425714,0.0082720003060853,0.0065704684215176,0.0081604950606454,0.0061681185372056,0.0073772961551291,0.0082982825773874,0.0073949169476733,0.0072333667851874
SRR9224089,0.0036281894286253,0.0031613830405268,0.0034053169893298,0.0043321340464101,0.0036175003751557,0.0051508977377928,0.0040453923644821,0.0039273715759812,0.0043356489466405,0.0035721758295555,0.005626032708768,0.0056645855429914,0.004230628687019,0.0037787458011344,0.006208519086769,0.0035749942064634,0.0059142503453624,0.0075692292967999,0.0080588504335752,0.0044687784511207,0.0070989266869739,0.0038389619461112,0.0057651279123643,0.0074426139782338,0.0057475378314303,0.005709917631182
SRR9224090,0.0060098722884531,0.0054583823511403,0.0057357375368102,0.0065644609323557,0.0058713954293623,0.0072923594913044,0.0062959273343181,0.0061971598944378,0.0066581613673903,0.0058528797548522,0.0071911503773453,0.0071350324032725,0.0060755619495371,0.0056845390738453,0.0072075714950099,0.0056606996400833,0.0065272644425871,0.0082357612559757,0.0082116628860242,0.0062830578070223,0.007984738567526,0.0058405682002801,0.0071391071261452,0.0081551187322392,0.0071127631189265,0.0069650761394768
