,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224302,SRR9224309,SRR9224310,SRR9224420,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
SRR9224432,0.000696608340854,0.0007010270825615,0.0007044570750101,0.0006969353377342,0.000667722079537,0.0006695557733008,0.0007114947329739,0.0007345564044519,0.0006929436714312,0.0007016060237989,0.0007054909817151,0.0007010530265212,0.0006882385824112,0.000707067967002,0.0007078721761923,0.0007249053736027,0.0007047730573544,0.0007213110077157,0.0006758947046342,0.0007364566356502,0.0007211323503288,0.0007722891029278,0.0007396607123405,0.000767004372802,0.0006964034082038,0.0007078189800256,0.0006837255502911,0.0006571198138672,0.0007498460950959,0.0007440182763959,0.0007008680671519,0.0006733946592273,0.0006418846254319,0.0006537519993279,0.0006602507536929,0.0006669247138628,0.000662594723397,0.0006751579246717,0.0006257023813967,0.0006605559697745,0.0006339892124685,0.0006345129722536,0.0007390807760713,0.0006560544736433,0.0006983981892822,0.0006524105060617,0.0006570258097745,0.002062247444548,0.0006874416871662,0.0007223745939867,0.0007154864220045,0.000688623434617,0.0006333906681082
SRR9224402,0.0006994218254931,0.0006709402774553,0.0006882478452363,0.0006786242432477,0.0006537162555336,0.0006507935326337,0.0006952479979319,0.0007185398371654,0.0006762584724826,0.0006848850377873,0.0006887819015935,0.0006865355217681,0.0006745621971485,0.0006876605933988,0.0006936186796247,0.0007092036045478,0.0006923376357445,0.0007082742979087,0.0006636598943159,0.0007225938359764,0.0007064856136102,0.0007531870743141,0.0007232928347881,0.0007495319538396,0.0006788525587485,0.0006927686355317,0.000664561644468,0.0006410419401813,0.0007330705001277,0.0007244786264509,0.0006879951961557,0.0006586648472201,0.0006266181756122,0.0006419775201246,0.0006443800526169,0.0006525685164299,0.0006460468978812,0.0006581352370412,0.0006110626583673,0.0006444002860375,0.000618341938844,0.0006193267856045,0.000721780420936,0.0006401725297361,0.0006843298608324,0.0006351568548824,0.0006441414954966,0.0020425280980581,0.0006728299229384,0.0007072917665316,0.0007024602283958,0.0006760504796928,0.0006198630492008
SRR9224395,0.0007041237514758,0.0006893432288561,0.0006774078401001,0.000684171151481,0.0006577835249581,0.000657082520249,0.0006993701640917,0.0007209455510463,0.0006813907921237,0.0006909852712515,0.0006940978486715,0.0006901191644823,0.000678164082048,0.0006921251586042,0.0007012897395171,0.0007158627075735,0.0006994001622825,0.0007120817703955,0.0006693072881982,0.0007271512211914,0.0007106269642706,0.0007538880149692,0.0007278197148858,0.0007523894397473,0.0006842744911963,0.0007010821209321,0.0006728780296702,0.0006448774063236,0.0007360804584136,0.0007269572394557,0.0006866594102595,0.0006552722455985,0.0006288504604696,0.0006450821622615,0.0006457203783475,0.0006549591758495,0.0006511113401312,0.0006610468610679,0.0006101462601739,0.0006449957434291,0.0006186599321072,0.0006206950125199,0.0007268702038671,0.0006416753538056,0.0006864010836496,0.0006405049048049,0.0006370907671065,0.0020551612171104,0.0006774768157929,0.0007132165632411,0.000702358137225,0.0006780729290863,0.0006214860353186
SRR9224396,0.0006967139714858,0.0006799162367405,0.0006841098421372,0.0006617804438004,0.0006499966065476,0.0006513332511568,0.0006913103810659,0.0007181613579949,0.000674068848539,0.0006843704452935,0.0006851610717714,0.0006843547417947,0.000670388442356,0.0006854874632035,0.0006898613766156,0.0007063309577468,0.0006885941825982,0.0007046077466077,0.0006571322472324,0.0007190194300254,0.0007037763063668,0.0007519008850935,0.000720015511596,0.0007472581325636,0.0006768909823247,0.0006915235908228,0.0006624425772314,0.0006417629061379,0.0007353450362979,0.0007249501817366,0.0006874435488546,0.0006583334214586,0.000625131373506,0.0006402253513584,0.0006434795518195,0.0006504760859415,0.0006468461316469,0.0006594236169936,0.0006073453536148,0.0006441882778645,0.0006153265885181,0.0006198288156514,0.0007148060447603,0.0006402887400677,0.0006836261056743,0.000634794645693,0.000641386501569,0.0020543501250901,0.0006731519940885,0.0007036278987634,0.0006998589225753,0.0006750971779252,0.0006186723561822
SRR9224393,0.000674941176352,0.0006622831075742,0.0006654575470697,0.0006573452970098,0.0006264115164367,0.0006256351463072,0.000677581187476,0.0006917121668249,0.0006481250247671,0.0006680498378806,0.0006669260306082,0.0006582125314676,0.0006504873210308,0.0006668697403689,0.0006761462784208,0.0006794207434712,0.0006724374041419,0.0006899457575577,0.000632869679367,0.000686955841765,0.0006767284057861,0.0007186553483052,0.0006910158051788,0.0007165282009807,0.0006601170432152,0.0006731072467555,0.0006400051030319,0.0006089009119081,0.000699889788267,0.0006898587933416,0.0006522725006195,0.0006270029860662,0.0005951401568529,0.0006114038279929,0.0006185231129534,0.0006296902588927,0.0006275387418957,0.0006299771162421,0.0005816031135002,0.0006100982599419,0.0005861871848634,0.0005881794003874,0.0006827245809263,0.000608845393372,0.0006579175212533,0.0006044289613237,0.0006073462115124,0.0020514713497926,0.0006461795837045,0.0006815912886131,0.0006721545050477,0.000652770987677,0.0005856454139552
SRR9224394,0.0006592246469738,0.0006424458686918,0.0006474254950235,0.0006417491050296,0.0006098430343978,0.0005950749410597,0.0006501754118338,0.0006795114171436,0.0006376310507579,0.0006435295156661,0.0006466075078256,0.0006488210066361,0.0006332531643557,0.0006496678856075,0.0006498083142561,0.0006706298838816,0.0006476671315292,0.0006641589423712,0.0006226603503995,0.000688244379979,0.0006703681034958,0.000716624810949,0.000688228161892,0.000712619269366,0.000639668488158,0.0006530799876615,0.0006287539644367,0.0006069883925043,0.0006964213968372,0.0006874407378557,0.0006476998073952,0.0006262954969976,0.0005884850337015,0.000602374866747,0.000608836836843,0.0006102532908485,0.0006032569665112,0.0006177702182772,0.0005737383535633,0.0006079616760166,0.0005775485389275,0.0005807194405708,0.0006868260325719,0.0006030050320359,0.0006420793834874,0.0005976355504731,0.0006037532910505,0.0019645262697484,0.0006300700105334,0.0006651662988377,0.0006599427740059,0.0006308884348025,0.0005822026393012
SRR9224399,0.000716161347277,0.0007014413950666,0.0007044436168704,0.0006960037200603,0.0006745689489772,0.0006645608224297,0.0007039320362384,0.0007294910694294,0.0006874551416345,0.0007043810456504,0.000708269209162,0.000700463503201,0.0006890197540773,0.0007059866396586,0.0007138444740943,0.0007208580779531,0.000712253871381,0.0007285839654474,0.0006723666997762,0.0007299353610799,0.0007169992692014,0.0007577537258709,0.0007294263489133,0.0007542789336143,0.0006966243329375,0.0007086963082935,0.0006795625219625,0.0006497539439472,0.000736189432039,0.000730792742391,0.000688833065314,0.0006611194835126,0.0006359897224232,0.0006506823307688,0.0006532851347519,0.0006731457264931,0.000660094644908,0.0006646990121386,0.0006190284707078,0.0006501241279867,0.0006211560315986,0.0006273265525655,0.0007245561809067,0.0006464183979015,0.0006945463015164,0.0006457622868398,0.0006390007032124,0.0020703463269729,0.0006827468766084,0.0007191702179941,0.0007087087793161,0.0006887448792164,0.0006224384262222
SRR9224400,0.0007240699691472,0.0007098607773038,0.0007108268766813,0.0007081293955051,0.000674674898935,0.0006799354590631,0.000714638129506,0.0007233720826292,0.0007020851671166,0.0007081215988402,0.0007136013361911,0.0007124761697575,0.000698671993365,0.0007145606719471,0.000715791234479,0.0007370299608591,0.0007116971336982,0.0007292021738552,0.0006864902128751,0.0007480787665306,0.0007296179039338,0.0007770307678758,0.0007514666554618,0.0007775251686124,0.0007020336678259,0.0007178007308514,0.0006878156553867,0.0006711284174199,0.0007667147610847,0.0007507609269875,0.0007178732772171,0.0006912538318848,0.0006541410308837,0.0006686618644474,0.0006751637427631,0.000674101975029,0.0006710789432786,0.0006861374586863,0.0006396107341386,0.0006745862433163,0.0006474195070332,0.0006476915669114,0.0007507141973422,0.0006689606506282,0.0007127741758494,0.000662990185719,0.0006742133263566,0.002033200404296,0.0006974515707442,0.0007302631927698,0.0007229699359177,0.0007008491901124,0.0006482987520227
SRR9224397,0.0006827253599659,0.0006679188939862,0.0006719613633615,0.0006644716530216,0.0006321341995638,0.0006382231663835,0.0006730911759865,0.0007019287298212,0.0006354779070235,0.0006666350379159,0.0006690634246573,0.0006699641475708,0.0006540563555101,0.0006710753688079,0.0006722955223912,0.0006923446276968,0.0006721437922987,0.0006867749835055,0.000643454409109,0.000707580095495,0.0006895855753389,0.0007371077462109,0.0007096490345197,0.0007383834758807,0.0006639371060862,0.000677128349593,0.0006497105881534,0.0006271890401956,0.0007163010061124,0.0007092198679864,0.000676579997798,0.0006480677179572,0.0006089177248722,0.000626220930528,0.0006349412499747,0.0006331917163665,0.0006281700822136,0.0006414789661732,0.0005968583289283,0.0006331430671066,0.0006008337027576,0.0006042727885127,0.0007002466743067,0.0006248083492856,0.0006662122368409,0.00061993772463,0.0006298621078062,0.0019754260232016,0.0006514039348516,0.0006869108711201,0.0006802706302148,0.0006576773193685,0.0006054840104414
SRR9224398,0.0007071491957626,0.0006921846835728,0.0006969498680105,0.0006900771617526,0.0006660558527805,0.0006587522871558,0.0007056645052381,0.0007242696814,0.0006817567988601,0.0006856767804602,0.0006953752194853,0.0006883576834136,0.00068384239348,0.0006992065766933,0.0007042138131889,0.0007164340045682,0.0007024927288361,0.0007173785324658,0.0006693366446748,0.0007259878619486,0.0007118366761857,0.0007556489665609,0.0007261859261168,0.0007539896386928,0.0006899283644159,0.0007022969807111,0.0006702784865165,0.0006458929042329,0.0007346174654312,0.0007251657298136,0.0006891024711287,0.0006613324823422,0.0006308319066613,0.0006456499059395,0.0006507723495091,0.0006610722759867,0.0006560884471135,0.0006651589628743,0.0006150291487679,0.0006478996739154,0.0006211839476127,0.000622084539811,0.0007231762282504,0.0006460269459419,0.000689821308934,0.000640431054882,0.0006449060024451,0.0020816848024242,0.0006794499823575,0.0007144985664366,0.0007090704259977,0.0006843696852217,0.0006212647661722
