,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224174,SRR9224176,SRR9224183,SRR9224307,SRR9224308,SRR9224304,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416
SRR9224432,0.0050103791580043,0.0058185084816385,0.0057674093010316,0.0058134247166365,0.0054099175832631,0.0053828865619763,0.0053457029074968,0.0053270151888323,0.0054109407275101,0.0055723586824432,0.0055896721989745,0.0057001928351628,0.0053349986365983,0.0054329567242108,0.0051849929823292,0.0050858133292536,0.0052883542438071,0.0050774393000939,0.0053015741611553,0.0052490972195635,0.0051656770261156,0.0050953489933182,0.0052278164314096,0.0052013307270484,0.0054809631946451,0.0053947154462232,0.0053416420219958,0.0057932596374068,0.0054028809795816,0.0054479826921242,0.0057493444399117,0.005711092164868,0.0057311378029493,0.0057582157942371,0.0057295252237208,0.0056918025600304,0.0056271068642611,0.0055122111001084,0.0057766178011166
SRR9224402,0.0058021686677611,0.0049852754811214,0.005779175182428,0.0058172119162258,0.0053976470887699,0.0053615521939469,0.0053246345648028,0.0053267131787216,0.0054077849880141,0.0055682725413244,0.0055622542338245,0.0056930897817872,0.0053480922836954,0.0053833399260971,0.0051529201225848,0.0050580034434322,0.0052576866340423,0.005066840954045,0.005291320633932,0.0052520794222749,0.0051375399854014,0.0050703214956384,0.0052130160120534,0.0051695054568088,0.0054661491939707,0.0054387994070085,0.0053345062054954,0.0057609402577941,0.0053754771919561,0.0054178672266105,0.0057631657438661,0.0056796845405471,0.0057372012576013,0.0057578828427951,0.0057376898382639,0.005677063346655,0.0056465471921769,0.0055304970797751,0.0057615703221638
SRR9224395,0.0059174044820725,0.0059447805468342,0.0052028432349338,0.0059745135066542,0.0055527263463169,0.0055351982033173,0.0054798534961471,0.0055094592101134,0.0055914793901492,0.0057298945566567,0.0057078492326736,0.0058416917860359,0.0055059440240071,0.0055930351358681,0.0053550504212676,0.0052544058111141,0.0054570698296132,0.0052668979340036,0.0054736078401116,0.0054265855239243,0.0053418052831726,0.0052510298273474,0.0054232175090645,0.0053872094828426,0.0056791068225056,0.0056131524450204,0.0055367416877631,0.0059308512562107,0.0055887979478834,0.0056351800271059,0.005878819160438,0.0058778942374034,0.0058776815887221,0.0058682579754952,0.005899519067691,0.0058525034401084,0.0058118821695085,0.0056783188047146,0.005897912593594
SRR9224396,0.0057281697796578,0.0057466838497097,0.0057405021220076,0.0049178629577199,0.0053889826366803,0.0053390400529741,0.0052801496278942,0.0052762783226911,0.0053801883126368,0.0055170580641509,0.0055118798769314,0.0056532127345168,0.0052811814966809,0.0053542501729764,0.0051168474330768,0.0050245216724575,0.0052221411012541,0.0050119550868198,0.0052668476264832,0.0052138166031959,0.0051180754347638,0.005045473960157,0.0051672301898573,0.0051425176410857,0.0054366156922424,0.0053322797127436,0.0053003011354157,0.0057785801767985,0.0053350382155766,0.0054027648949006,0.0057591555860535,0.0056821590213747,0.0057294620059938,0.005697259297663,0.0057218032529315,0.0056896918649707,0.0056228864802413,0.0054681212747842,0.005748672266744
SRR9224393,0.0057278325038301,0.0057319000015897,0.0057350058933081,0.0057869986497539,0.0048258920284322,0.0052791857003757,0.0052482176014982,0.0052421027132265,0.0053287991231324,0.0055177375898859,0.0055119085869429,0.0056379485830687,0.0052398671142088,0.0053152090940201,0.0050619769202517,0.0049606083287776,0.0051649558135046,0.0049569740053801,0.0052068248780117,0.0051407645796898,0.0050430438223292,0.0049656747607381,0.0051000622051207,0.0050558352564741,0.0054236584146618,0.0053241989044766,0.0052409172948821,0.0057444967621584,0.0052954990867521,0.0053421195727489,0.0057086404400489,0.0056653313507253,0.0056988711225474,0.0056908234912663,0.0057080255836312,0.0056354005601923,0.0055808978992235,0.0054229386370171,0.0057323531704255
SRR9224394,0.0057232105184258,0.0057172795943983,0.0057384437098958,0.0057577714126761,0.0053013908580612,0.0048317673550662,0.0052353774865242,0.0052185366083328,0.0053179182092494,0.0055198086150734,0.0054997244030152,0.0056237415786046,0.0052389799808207,0.0053102002846175,0.0050526360147167,0.0049546829430686,0.0051586854873059,0.004944234607088,0.005201203643481,0.0051345088325,0.0050229613799067,0.0049555565655004,0.0050919309804682,0.0050436109885486,0.0054058021994031,0.0052915403847281,0.0052245289685127,0.0057382000139693,0.0053080793741869,0.005334472594486,0.0057088715627142,0.0056520660510119,0.0056789867303673,0.0056693558894212,0.0057176346874708,0.0056325472197863,0.005573838858509,0.0054287934620421,0.0057501792480297
SRR9224399,0.005715098846504,0.0057076930549613,0.0057134804336702,0.0057248969934304,0.005298311200207,0.0052631940497803,0.0048055256616962,0.0051985533169721,0.0053066738854079,0.0054946699317507,0.0054823765112443,0.0056355668289069,0.0052258983049421,0.0052841733070165,0.0050396128939697,0.0049317806654103,0.005150066711514,0.0049370300943401,0.0051829946688458,0.0051272887331906,0.0050127597573986,0.0049354735612139,0.0050729927240576,0.0050413038469878,0.0053835453857027,0.0053026903286508,0.0052134454245569,0.0057279871956404,0.0052895571231145,0.0053197412042198,0.0056866793471998,0.0056527971083655,0.0056557688074615,0.0056776812483939,0.0056990383660123,0.0056382547137826,0.005554841639717,0.005426315708873,0.0057413855316781
SRR9224400,0.0055630344398042,0.0055777394569659,0.0056088728337143,0.0055910014389609,0.0051673269724474,0.005122220560175,0.0050761837603805,0.0045266713000011,0.005088315719407,0.0053883028358211,0.0053759505120072,0.0054943838603623,0.0050659190318023,0.0051107292245491,0.004848892509,0.0047486376428988,0.004973121004101,0.0047222054558448,0.0050241449903087,0.0049523232643757,0.0048199191097087,0.0047659420671895,0.0048520759426581,0.0048026947922808,0.0051537758806149,0.0050602500020486,0.0050180421050318,0.0056313009874289,0.0050920574520209,0.0051320347577459,0.0056148399153645,0.0055154966115491,0.0054978552655811,0.0055626644413024,0.0055877553094297,0.0054943972873465,0.0053962910105245,0.0052923756039929,0.0056685403960095
SRR9224397,0.0055593198624327,0.0055715497626073,0.0055988785905192,0.0056077439422725,0.0051686638803469,0.0051363595266597,0.0050987903049959,0.0050055866377587,0.0045153143656718,0.0053993839208782,0.0053743778071797,0.0054737138839255,0.0050653462510307,0.0050982898634768,0.0048359161462977,0.0047381527684911,0.0049679884351163,0.0047104610504713,0.0050420547590715,0.0049595491643885,0.0048064734282487,0.0047633922099802,0.0048318415168713,0.0047922019369241,0.0051365159060708,0.0050507957781789,0.0050074482138515,0.0056034327831137,0.005072139772245,0.0051205259599604,0.0055987305390739,0.0055243468532254,0.0055031221031915,0.0055212428385061,0.005573104152965,0.0054851544865545,0.0053950649961449,0.0052789730181624,0.0055956063036795
SRR9224398,0.0058339995331527,0.0058455412818681,0.0058446337500574,0.0058633772678648,0.0054501525276487,0.0054276412747285,0.0053747369305015,0.0053986223392173,0.0054982050782536,0.005037824718756,0.0056083838911698,0.0057417915616499,0.0053895592309674,0.0054726953230349,0.0052271994881728,0.0051293165238799,0.005335644761035,0.0051492125026784,0.0053556165722253,0.0053002463592607,0.0052200492065676,0.0051292591091964,0.0052839730439973,0.005250023668391,0.0055567072485572,0.0054728529688391,0.0054048392729321,0.0058174564907494,0.0054620972463132,0.0054900762104371,0.005790228670551,0.0057510243607962,0.0057809306723235,0.0057472141091055,0.0057721667291411,0.0057552804548265,0.0056922068992256,0.0055674961446489,0.0058329592240839
