,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224304,SRR9224302,SRR9224309,SRR9224310,SRR9224420,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
SRR9224432,0.0008447192524934,0.0008556706863808,0.0008521088359859,0.0008353635119481,0.0008292592129518,0.0008414103856075,0.0008582675731825,0.0008753963236123,0.0008405545518228,0.0008631427935289,0.0008550471749044,0.0008471146576986,0.0008530287346874,0.0008550859615844,0.000835156014857,0.0008471950430482,0.0008688748864306,0.0008565986411035,0.0008370856846286,0.0008348745284872,0.0008536115377042,0.0008629378635016,0.0008885600230815,0.0008653980777064,0.0008447217647295,0.000852905205384,0.0008252932734694,0.0008104445222985,0.0008232544668562,0.0008174914568208,0.0008085331968427,0.000830126187015,0.0007882236648295,0.0008230876073976,0.0008121193656667,0.0008215390702799,0.000824279324018,0.0007807721040008,0.0008081597895989,0.0008197452135104,0.000814707943524,0.0007963423684667,0.0008729064850338,0.000823840103101,0.0008222734372871,0.0008016513010458,0.0008114708795409,0.0008118613520606,0.0008080831833835,0.0007817624786266,0.0008604336581338,0.0008332723966442,0.0008136712680596,0.0008141790617109
SRR9224402,0.0008502509159218,0.0008432777258539,0.0008486832887373,0.000841085375368,0.0008242384374009,0.0008367940215377,0.0008557121691117,0.0008686248079086,0.0008453003070937,0.0008603329119564,0.0008552548745389,0.0008497285409137,0.0008501198955726,0.0008535712079275,0.0008335672621398,0.0008430668569424,0.0008636546966645,0.0008520529556755,0.0008353717520469,0.0008361052505695,0.0008543694167802,0.0008624798578695,0.0008922476854411,0.0008608484362318,0.0008418989744262,0.0008491427193465,0.0008229260605117,0.0008173335460252,0.0008251108857797,0.0008207895179086,0.0008123872991106,0.0008367836509852,0.000790798525275,0.0008264046425524,0.0008152761231329,0.0008203504586805,0.000829077753372,0.0007801879030641,0.0008035128617798,0.0008163455330927,0.0008135928609143,0.0007988263764173,0.000878920433055,0.0008335841502387,0.0008289315060158,0.0008022636707667,0.0008183835077526,0.0008195758325694,0.0008046825169623,0.0007817170749899,0.0008588084042271,0.0008373394878762,0.0008197337288215,0.0008208481780161
SRR9224395,0.0008568461437525,0.0008582801303326,0.0008505378450461,0.0008436193342525,0.0008409597225586,0.0008537250499664,0.0008694940356389,0.0008832814315695,0.000854229613064,0.0008729044703706,0.0008661063229404,0.0008563332945449,0.0008650856781275,0.0008586359068095,0.0008487441173339,0.0008542904034013,0.0008756408818869,0.00086808189819,0.0008467483595165,0.0008496409394956,0.0008642079701274,0.0008752046953358,0.0008975533767977,0.0008786986271639,0.0008449594826865,0.0008563290604799,0.000837797350311,0.0008140748209242,0.0008251405135935,0.000823145015812,0.0008139683353994,0.0008337487088644,0.0007873933537054,0.0008323190982061,0.0008159511830323,0.0008305414737971,0.0008399493957437,0.000782531172859,0.0008068837438255,0.0008248003298276,0.0008147627594686,0.0008018022799015,0.0008798768798313,0.0008420022289336,0.0008236503052815,0.0008059904214628,0.0008236845260581,0.0008040011042126,0.0008099680418614,0.0007846368272431,0.0008698822695724,0.0008339745710262,0.0008179014330423,0.0008092394081725
SRR9224396,0.0008316804167435,0.0008424064419672,0.0008354825827201,0.0008088002937155,0.0008059838498807,0.0008190882492819,0.0008348546872798,0.0008505886747619,0.0008182788713094,0.0008369782647914,0.0008333965322967,0.0008313147344756,0.000827786414168,0.0008376276748693,0.0008128036911167,0.0008199013220189,0.0008415340566171,0.0008284895170053,0.0008137534806213,0.0008130563650678,0.0008309035660703,0.0008444917213819,0.0008671255062595,0.0008402729452051,0.0008238726932072,0.0008309948734325,0.0008020928694206,0.0007999288470047,0.0008119903218334,0.0008050760972368,0.0007989883892664,0.0008292698824857,0.0007839815225213,0.0008100299620005,0.000796802072882,0.0008033251039167,0.0008032548289065,0.0007740543053083,0.0007919942281562,0.0007976527638992,0.0007985592887043,0.0007878368293951,0.0008597525816802,0.0008177122540234,0.0008084713689799,0.0007882637731112,0.0007985992355569,0.0007975755317036,0.0007877896693757,0.0007639181882947,0.0008377627170541,0.0008220847522447,0.0008041527277592,0.0008075110479078
SRR9224393,0.0008387686250133,0.0008386942273276,0.0008460583975776,0.0008187220163154,0.0008148400661738,0.0008315225096152,0.0008521036700937,0.0008716098996398,0.0008356163388045,0.0008543141240863,0.0008454255888074,0.0008332219987022,0.0008479207183704,0.0008392896814435,0.0008311886381419,0.0008424653152948,0.0008624833045573,0.0008579669024025,0.0008348567539172,0.0008355152061698,0.0008534651718631,0.0008590066797934,0.0008761004918508,0.0008650461649781,0.0008262841468199,0.0008359212640369,0.0008184143517631,0.0007851343016954,0.0007965826505405,0.0007970447933589,0.00078777734066,0.0008038413773797,0.0007604252805944,0.0008013684006488,0.0007906811446805,0.0008140620163375,0.0008200838049146,0.0007528520742251,0.0007881858936821,0.0008097027466788,0.000789167931926,0.0007737497956544,0.0008543422430329,0.0008133017704202,0.0007931231608276,0.0007791044604794,0.0008000556378325,0.0007765808296647,0.0007882811973843,0.0007701200488734,0.0008612624039741,0.0008098220747763,0.0007890194329783,0.0007818821650281
SRR9224394,0.0008467551120452,0.0008475187332949,0.0008545019251407,0.0008276852163059,0.0008272107661442,0.0008290706420279,0.0008563309833228,0.0008760122192628,0.0008374638501907,0.0008628053131981,0.0008528244133057,0.0008456359677951,0.0008608242462703,0.0008495268086733,0.0008399995500868,0.0008485985373641,0.0008692723560283,0.000864529496958,0.0008369889046388,0.0008400910044667,0.0008613331154416,0.0008689652810407,0.0008835330820939,0.0008744517119347,0.0008332996684843,0.0008476949202926,0.0008288560755431,0.0007948863893572,0.0008083021077223,0.0008045831941685,0.0007930055893329,0.0008159072087637,0.0007682599543552,0.0008124509678275,0.0008034027276911,0.0008196512656221,0.0008243383291068,0.0007669976683751,0.0007947172249386,0.0008133892986285,0.0008021392357034,0.0007875622604857,0.0008554997398003,0.0008203752292008,0.000800128558299,0.000788789904058,0.0008072236068244,0.0007892148080197,0.0007946845376559,0.0007732498632407,0.0008660115207285,0.0008176324988351,0.0008018264594304,0.0007925475074625
SRR9224399,0.0008632101021833,0.0008660442358169,0.0008702979153091,0.000842733488488,0.0008474320382885,0.0008558871309364,0.0008673153190427,0.0008877354668359,0.0008515731018704,0.0008802616902118,0.0008693271029434,0.0008533811396133,0.0008704356207586,0.0008622643098093,0.0008497546789986,0.0008653057907307,0.0008864513638471,0.000884037523288,0.0008537406322527,0.0008587358976066,0.0008818128089259,0.000884645057519,0.0009042262658851,0.0008868031480219,0.000849849727711,0.0008629302154516,0.0008478914996037,0.0008108727113596,0.0008265007204455,0.0008262905907291,0.0008142587699193,0.0008316158467262,0.0007862086017774,0.0008278239772615,0.0008188274900573,0.0008354393846724,0.0008412154021736,0.0007834074894858,0.0008055031745057,0.000831646103731,0.0008189898694751,0.0007997035819152,0.0008772989975114,0.0008372491810678,0.0008220692700855,0.0008013069260648,0.0008216962575628,0.0008012623066016,0.0008157988385762,0.0007948397010212,0.00087819087765,0.0008326255561579,0.0008131468074331,0.0008102312660791
SRR9224400,0.0008886861425179,0.0008868301097775,0.0008915355278135,0.0008669031175896,0.0008744621969645,0.0008830596258653,0.0008955520279431,0.0008967798427749,0.0008779661588407,0.0009003721076417,0.0008895467954131,0.000880868283141,0.000895534096838,0.0008855761392318,0.0008752656476758,0.0008884413424134,0.0009125161323005,0.000899175023934,0.0008771348594622,0.0008767005410737,0.0009042711594663,0.0008970878940316,0.0009217403280794,0.0009128904913159,0.0008740314307083,0.0008816695305488,0.0008627260167006,0.0008324711610084,0.0008441514947012,0.0008433814048104,0.0008349238538698,0.0008535336247176,0.000804160145246,0.0008514219167248,0.0008396336602928,0.0008602328789716,0.0008679384005557,0.0008079859268027,0.0008315280384159,0.0008571180903095,0.0008381974444535,0.0008240509897276,0.0008971132141187,0.000859923420113,0.0008390008577432,0.0008239809057016,0.0008459687034875,0.0008228072492188,0.0008344813861825,0.0008156117295038,0.0009058427330359,0.0008565322064655,0.0008394994763147,0.0008307774581695
SRR9224397,0.0008450166910414,0.0008548869670206,0.0008536206752406,0.0008260413228773,0.0008300687522915,0.0008362791969417,0.0008507629629884,0.0008696069216239,0.0008274099515138,0.0008571016118755,0.000854028606827,0.000841017091848,0.0008486100503834,0.0008485139969398,0.0008294610393081,0.0008404354824465,0.0008645759580703,0.0008505212766571,0.000831602752695,0.0008352740292963,0.0008531746725645,0.0008563845818203,0.0008859108296668,0.0008597202624749,0.0008325045193127,0.0008426429786843,0.0008255712004949,0.0007987168066605,0.0008082932943496,0.00080826110136,0.0007990403914004,0.0008203774755731,0.0007732435292198,0.0008140649406065,0.0008022103341679,0.0008142556616225,0.0008197773665723,0.0007691835528162,0.000792498266644,0.0008167974046563,0.000801311991217,0.0007874926586406,0.0008616424745335,0.0008212675027364,0.0008043123134405,0.0007907401071229,0.000807389453639,0.0008022270216284,0.0007972200913836,0.0007758393808312,0.0008575935527648,0.000818507843351,0.0008004315617791,0.0008021762818773
SRR9224398,0.0008713308879061,0.0008732841588339,0.0008763567697099,0.0008485471430449,0.0008524352640212,0.0008651789796289,0.0008832101215257,0.0008959492075615,0.0008609577746356,0.0008665309695814,0.0008715976940386,0.0008624316397885,0.0008770914351758,0.0008692599096491,0.0008611312148697,0.0008731914349621,0.0008951435506795,0.0008858514542142,0.0008581385924924,0.0008647073649119,0.0008826847249935,0.0008862810026136,0.0009013759471084,0.0008957809537102,0.000859208761081,0.0008665424509866,0.0008582351384236,0.0008132494146691,0.000826686271761,0.0008282389417554,0.0008129163866048,0.0008308736400327,0.0007883945573453,0.0008310806024763,0.0008236871633572,0.0008438237760707,0.0008516331297645,0.0007814766533879,0.0008160272783512,0.0008365816179787,0.0008183302396034,0.0008034783323543,0.0008766032015097,0.0008421718363299,0.0008186780648446,0.0008065200729913,0.0008261631327235,0.000810134285643,0.0008138526411318,0.00079711940723,0.0008824227082862,0.0008388113573409,0.0008187164289858,0.0008136664670796
