,SRR9224432,SRR9224402,SRR9224395,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224090,SRR9224091,SRR9224092,SRR9224183,SRR9224307,SRR9224417
SRR9224482,0.0007744215909548,0.000773307378066,0.0007698474474814,0.0007367614584882,0.0007762023698852,0.0007458376067697,0.0008808376471432,0.000809278776139,0.0007902471661815,0.0007989647442923,0.0007039825376513,0.0007613397275502,0.0007756893879422,0.0007259481107567,0.0007829195808862,0.0007445815264091,0.0007544807824372,0.0007463996145324,0.0007717915253718,0.0007765346785566,0.0007762334709536,0.0008007942185905,0.0008040716583507,0.0007425580686031,0.0008561436457986,0.0008100420974001,0.0008157720496342
SRR9224481,0.0007459494248262,0.000741765504978,0.0007392771371321,0.0007058554543973,0.0007417521558216,0.0007159886783834,0.0008572978208748,0.0007774922895066,0.0007669725529147,0.0007617244143625,0.0007768348565059,0.0006585094841736,0.0007517900099183,0.0006959622308091,0.0007486774843986,0.0007144665985051,0.0007260810815418,0.0007175687180901,0.0007475276212462,0.0007440904168023,0.0007496325615144,0.0007738461491433,0.0007735973158701,0.000715415046031,0.0008181722695964,0.0007775587349812,0.0007880200381493
SRR9224480,0.0007574883403537,0.0007526556701743,0.0007541019865719,0.0007188067527559,0.0007504169307041,0.0007319507362684,0.000861684129441,0.0007925629121359,0.0007792153742841,0.0007743515725443,0.000785754910112,0.0007458685734295,0.0006779292433253,0.0007079401113702,0.0007654732903679,0.0007273762594429,0.0007382458867493,0.0007295507996701,0.0007566609460886,0.0007582294929231,0.0007609060368395,0.0007840555305152,0.0007793678635142,0.0007244830337145,0.0008296597134437,0.0007903623049107,0.0007958745997356
SRR9224479,0.0007608640452267,0.0007574198747225,0.0007548469613552,0.000723482118259,0.0007546672409402,0.0007327128448781,0.0008682548777786,0.0007961618725217,0.0007808161667192,0.000778222005701,0.000789584329185,0.0007426370550784,0.0007610666291452,0.0006967742452673,0.0007671415095533,0.0007333073615009,0.0007448228031381,0.0007347520697121,0.000763235235326,0.0007603437819016,0.0007653727652985,0.0007863102168411,0.0007865259001613,0.0007309658126474,0.000830693212412,0.0007849003708644,0.0008021369171404
SRR9224486,0.0007504062028873,0.0007515896036964,0.0007443616300807,0.0007105616787694,0.0007468116129963,0.0007214716210299,0.0008599527545982,0.0007842813163256,0.0007706777890132,0.0007730382791576,0.0007859679536684,0.0007362804784211,0.0007580680001681,0.000707555216003,0.0006610712675715,0.0007212537229586,0.0007293014789564,0.0007207327532831,0.0007448724400219,0.0007464484354147,0.0007501895134011,0.0007838238882356,0.0007764107254483,0.0007173218718829,0.0008173058949958,0.0007940626600054,0.0007866520171833
SRR9224485,0.0007526500873611,0.0007497030819003,0.000748297869349,0.0007126509877455,0.0007486321948078,0.0007248934939681,0.000852083372148,0.0007860393175742,0.0007749762204566,0.0007704105723685,0.0007841251731981,0.0007374805053406,0.0007563814494798,0.0007083812989146,0.000757369853061,0.0006753202885283,0.0007334584430095,0.0007254105817993,0.0007497691024623,0.000751795434068,0.0007517855117838,0.0007791138842045,0.0007771632967451,0.000713717475928,0.0008228386310358,0.0007794529205714,0.0007895779303643
SRR9224484,0.0007629837434616,0.0007612119205253,0.0007548257424497,0.0007196329944193,0.0007583410059412,0.0007354262663699,0.000863784911126,0.0007954218229273,0.0007843119085681,0.0007797655715907,0.0007932694081022,0.0007482114569287,0.000766764146977,0.0007183736188313,0.0007645088213375,0.0007322605023013,0.0006938006065362,0.0007321903339338,0.0007597725261132,0.000760766809537,0.0007618101854241,0.0007866080197535,0.000785804599195,0.0007262102251654,0.000824729100343,0.0007868649683073,0.0007957509353146
SRR9224483,0.0007296416077371,0.0007257748811492,0.0007250631588943,0.0006892302761391,0.000724248076398,0.000701085990766,0.0008245664006662,0.0007589627531843,0.0007534591845523,0.0007491553846302,0.0007604140971556,0.0007164946257012,0.0007338055085491,0.0006875993321595,0.0007320511413814,0.0007016789105715,0.0007093315553619,0.000628277994998,0.0007258911810345,0.0007276984747537,0.0007265946585348,0.0007542363084162,0.000752768704205,0.0006919324822485,0.0007947543541615,0.0007627425850768,0.0007622301741347
SRR9224489,0.0007496239603226,0.000749485819792,0.0007493638568275,0.0007138694568251,0.0007478725699737,0.0007202239894758,0.0008506360547215,0.0007864143775527,0.0007721986927848,0.0007707164059941,0.000781394874862,0.0007413834953728,0.000756043792569,0.0007097097741927,0.0007513972226371,0.0007200361354917,0.0007306736229386,0.0007211562668024,0.0006604775099699,0.0007471770618827,0.0007454268300751,0.0007762710680446,0.0007740068101277,0.0007110365215899,0.0008107703126885,0.0007849106873422,0.0007803665832585
SRR9224094,0.0007609963491393,0.0007614346362614,0.0007552511921961,0.000722741565747,0.0007620105725393,0.0007333509117757,0.0008602121992975,0.0007926703877343,0.000781919406814,0.0007802264533488,0.0007975499245802,0.0007485796804087,0.0007687314227217,0.0007164830784784,0.0007637256236773,0.0007327211844925,0.0007423837946751,0.0007335345658774,0.0007582440167395,0.0006899873485593,0.0007595936541317,0.0007908270143491,0.0007873438181015,0.0007270527534212,0.0008211935257495,0.0007934991426655,0.0007916215182532
SRR9224095,0.0007464652377561,0.0007491456896777,0.0007427400292471,0.0007106866715089,0.0007462670345778,0.0007236171569779,0.0008552054021797,0.0007820096652797,0.0007671557330084,0.0007747868011209,0.0007805810948627,0.0007388228391317,0.0007550021580865,0.0007075499353256,0.0007519222660633,0.0007172509394673,0.0007281887776292,0.0007170181812647,0.0007405410434029,0.0007435307186481,0.0006560031113576,0.0007815918403692,0.0007722496281598,0.0007128853049499,0.0008201821448468,0.0007908941258543,0.0007851341940753
SRR9224090,0.0007616742073404,0.0007670037455571,0.0007557186415242,0.000726378947017,0.0007634954657626,0.0007329545053776,0.0008691475805904,0.0008054039017565,0.0007814981005429,0.0007798107080375,0.0007940427942951,0.0007516144860055,0.0007675780711099,0.0007176866215057,0.0007745713086201,0.0007337126897631,0.0007417542606649,0.0007339283741723,0.0007600991440347,0.0007636613826874,0.0007709254103648,0.0006792776862494,0.0007900882698411,0.0007305020448869,0.0008364686016652,0.0008083696641369,0.00080521760452
SRR9224091,0.000772205193978,0.0007687415362491,0.0007635850196396,0.0007347677484087,0.0007723106540473,0.0007467765534744,0.0008726197225465,0.0008045994709841,0.0007933879143988,0.0007906912439,0.0008082338383299,0.0007616699245186,0.0007731685667915,0.0007266618057441,0.0007776635526172,0.0007410668559072,0.0007508037720922,0.0007422903175876,0.0007686551051298,0.0007706449666605,0.0007720162551827,0.0008008629053114,0.0007019256586133,0.0007370387609637,0.0008412803503583,0.0008120849106761,0.0008108133055224
SRR9224092,0.0007112094592515,0.0007092738459325,0.000703698426665,0.0006706670833208,0.0007093166405211,0.0006835332591151,0.0008127351621748,0.0007440223880983,0.0007312684214697,0.0007310937776465,0.0007412542690452,0.0006996718462327,0.0007142196841559,0.0006722602626625,0.0007138771188531,0.0006769755090303,0.0006894032786688,0.0006776002774488,0.0007012772450055,0.0007071610874355,0.0007078797042728,0.0007351332527034,0.0007319858637891,0.0005743629177209,0.0007787783715756,0.0007531978618003,0.0007416237121088
SRR9224183,0.0007979207593414,0.0008015653752856,0.0007902002706658,0.0007525021438379,0.0008047534972038,0.000768482250164,0.0009313068613601,0.0008465584365213,0.000824081691051,0.0008152672031326,0.0008388670228799,0.0007858368376789,0.0008013532979883,0.000752428486437,0.0007969005476111,0.0007659562725001,0.0007691499171939,0.0007636162373554,0.0007838367086592,0.0007842867915463,0.0007982749513947,0.0008263358961102,0.000818974300574,0.0007630016943415,0.0006847030296476,0.0008586145062051,0.0008453368867269
SRR9224307,0.0007541954278045,0.0007564312071007,0.0007580213212956,0.000716232542034,0.0007485844343524,0.0007339387356108,0.0008776934227311,0.0008132686148698,0.000775227129722,0.000788989375334,0.0007924724313426,0.0007449520653221,0.000761971071405,0.0007094341639901,0.0007725049288245,0.000724308762927,0.0007323823357719,0.0007315118743098,0.0007577045770336,0.0007562207276649,0.000768651391022,0.0007965224302653,0.0007892129491098,0.0007358390828157,0.0008561247176329,0.000635920643042,0.0008104601131523
SRR9224417,0.0007744074087955,0.0007804606376318,0.000770767453074,0.0007322905281987,0.0007826832265285,0.0007479399226131,0.0008877592699838,0.0008091103701879,0.0007943317214203,0.0008025842524567,0.0008083611791291,0.0007651401840307,0.0007778713013915,0.0007333228190004,0.0007763927397741,0.0007431539075159,0.0007501911969405,0.0007414588643807,0.0007633481117223,0.0007645430632848,0.0007730623216693,0.0008043170847013,0.0007994184983976,0.0007355714728904,0.0008561058979946,0.0008223993689592,0.0006725860981419
