,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224304,SRR9224301,SRR9224302,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
SRR9224432,0.00137453591974,0.0013105988895648,0.001264703358731,0.0013120273039953,0.0012375906350218,0.0012076795581863,0.0011704915601739,0.0012178522193777,0.0013007882505948,0.0012362335202195,0.0012699194111829,0.0012539677845881,0.0012531067197045,0.0013036363419631,0.0018751185049356,0.0015504605998442,0.001355775494092,0.0016074158266564,0.0017432778057683,0.0014275820781104,0.0012531472554115,0.0012824952582377,0.001825511897035,0.00169880228244,0.0016671435021347,0.0016633270496695,0.00139131085343,0.0016383121957112,0.0013252110292503,0.0012246733779542,0.0015057336052101,0.0019340300487556,0.0018287331538199,0.0011758724824373,0.0014265668469296,0.0013337781783297,0.0014420628458375,0.0012934112785623,0.002188955091255,0.0016658711594473,0.0020738859761383,0.0017947753440481,0.0016304250248961,0.0015387868304526,0.0014402090498217,0.0016224368998994,0.001433696716937,0.0014576814816069,0.0019508930964226,0.0013250420754476,0.0014901546146858,0.0015803649737698,0.0018181786818868,0.0013729713518157
SRR9224402,0.0012665389316138,0.0011609760286284,0.0011706505007023,0.0011914322318514,0.0011110822616905,0.0011152067416919,0.0010561856317198,0.0011207686467311,0.0011869870747784,0.0011120386339805,0.0011515437264603,0.0011395034838612,0.0011428327552778,0.0011875889549925,0.0016926867779444,0.0014136805120135,0.0012115019075113,0.0014413294958578,0.0015799588492838,0.0012908604497287,0.001123567472182,0.0012111920034304,0.001734917254381,0.0016156803717493,0.0015574974594339,0.0015465663364228,0.0012843238425617,0.0015276340837091,0.0012218824429591,0.0011135418385703,0.0014336904357136,0.0018527619829318,0.0017196852922166,0.001097520144396,0.0013503106883913,0.0012318041920342,0.0013543861138115,0.0012164814260116,0.0020690629038105,0.0015746302721841,0.0019207789168595,0.001685680300816,0.0015591904463853,0.0014749019900857,0.0013673173133196,0.0015465478132843,0.0013556356387629,0.0013709748884124,0.0018730505018289,0.0012279545241363,0.0013819265432549,0.0015043607538249,0.0017384947405343,0.0012871948331252
SRR9224395,0.0012279310907422,0.0011764498271882,0.0010758168324452,0.001151672027346,0.0010741181505613,0.0010717667354417,0.001012814788069,0.0010779967697838,0.0011477198855253,0.0010717188329657,0.0011084694106465,0.0010989244052225,0.0010992804366837,0.0011459302845991,0.0016644781565823,0.0013788362517543,0.0011730415668713,0.0014077808466411,0.0015507200405716,0.0012520491774128,0.001083700996284,0.0011587780942506,0.0016944678443334,0.0015703638074319,0.0015192775922907,0.0015098288393223,0.0012445615171388,0.0014882625642734,0.0011800677431591,0.0010715939114808,0.0013812887517262,0.0017948922138487,0.0016844483754981,0.0010460243425709,0.001301399842092,0.0011929805584003,0.0013087436801142,0.0011641636254135,0.0020373233669705,0.0015326179373635,0.0018931162838967,0.0016481941174332,0.0015098614211106,0.0014190519167645,0.0013211975266987,0.0014980849678888,0.0013084224307297,0.0013257405207563,0.0018281375162904,0.0011800063635315,0.0013407381134379,0.001455066706557,0.0016975505507961,0.0012405509752049
SRR9224396,0.0013084748160544,0.0012299433554594,0.0011831919296718,0.0012100558744604,0.0011529621129546,0.0011276014004101,0.0010875605235184,0.0011356615997601,0.0012187782275934,0.0011501414788569,0.0011848478053625,0.0011716075031251,0.0011733781751526,0.001221615629828,0.0017991659210473,0.0014732152308874,0.0012672625316228,0.0015228568485782,0.0016646683706977,0.0013404114944515,0.0011642686333031,0.00120503078833,0.00175640982862,0.0016275990538452,0.0015934519700841,0.0015885549864181,0.0013144153863009,0.0015643873540845,0.0012443317323601,0.0011464819266028,0.0014327455689827,0.0018597802765796,0.0017580171050721,0.0010972336464754,0.0013495840437639,0.0012618967447954,0.0013658527495356,0.0012130680439739,0.0021256328086316,0.0015941637767737,0.001999965963295,0.0017201008392581,0.0015589915655562,0.0014663235191713,0.0013657777776141,0.001547939408357,0.0013592757211132,0.001381263741733,0.0018840724517994,0.0012448143151507,0.001414686094342,0.0015081435492727,0.0017454181492391,0.0012970077427196
SRR9224393,0.0012418520366956,0.0011534989630326,0.0011100104265984,0.0011601280302516,0.0010736311167368,0.0010501350363648,0.0010189629873835,0.0010606213859097,0.001147565793702,0.0010868837071836,0.0011179820141873,0.0011009203263482,0.0011031038590191,0.0011535263740374,0.0017610666835485,0.0014088851935321,0.001206638276945,0.0014755881365714,0.0016139644624992,0.0012810546483117,0.0010988368933603,0.001121805980538,0.0016756864030303,0.00154810260094,0.001520357621398,0.0015171848630535,0.0012408430637676,0.0014996395298774,0.0011712809697151,0.0010719998097208,0.0013411542861439,0.0017861615208825,0.0016919819197184,0.0010167321416143,0.0012657888962243,0.0011829692715654,0.0012870663487943,0.0011341639444214,0.0020620531229646,0.0015212179265309,0.0019492456677678,0.0016543500156062,0.0014785072749919,0.0013802867246815,0.0012786553712822,0.0014699917306203,0.0012805764331482,0.0013050628570947,0.0018006155849344,0.0011727246687032,0.0013412044165783,0.0014295968961687,0.0016699886758426,0.001218479903894
SRR9224394,0.0011794179026578,0.0011273024197888,0.0010780153775817,0.0011041863587288,0.0010224136741108,0.0009790847910331,0.0009619579949787,0.001025081703185,0.0010967808915035,0.0010209302814322,0.0010613769312144,0.0010534340229972,0.0010497812769343,0.0010982356080564,0.0016282888443204,0.0013327038291027,0.0011261644450671,0.0013673208345765,0.0015101072715776,0.0012053021268219,0.0010340026538429,0.0011091609800231,0.0016462027862814,0.0015232742521877,0.001470966971335,0.0014606690972807,0.00119820615585,0.0014469854628253,0.0011294794192417,0.0010197590923992,0.0013346025751266,0.0017549614522956,0.0016427908366128,0.0009970068650882,0.0012522432612327,0.0011432697255752,0.001261669402401,0.0011160755795031,0.0019964000810759,0.0014864079509337,0.0018579368501038,0.0016048482007398,0.0014638228026036,0.00136928351229,0.0012711424667012,0.0014523441486248,0.0012586937118905,0.001280469326909,0.0017835190321231,0.001135364292866,0.0012915196194417,0.001410337959282,0.0016509624587725,0.0011978579457353
SRR9224399,0.0011714814593845,0.0010932738943882,0.0010438101600474,0.0010911030671575,0.0010163488936081,0.0009855430782453,0.0009322210598364,0.0009953332954191,0.0010806271725629,0.0010133660530162,0.0010476226684638,0.0010335269438793,0.0010332784545198,0.0010830468038926,0.0016841647914864,0.0013387977010683,0.0011317294008439,0.001392946638895,0.0015404645452628,0.0012091310821713,0.0010246172293562,0.001062917868419,0.0016171001476092,0.0014914391261345,0.0014575538176475,0.0014525134918286,0.0011788084787903,0.0014346059008366,0.0011050562639529,0.001003969128062,0.0012854885655897,0.0017255822464513,0.0016346883351224,0.0009550175940374,0.0012078870363445,0.0011195070895664,0.0012255326294492,0.0010754825745527,0.0020029390331814,0.001464501545028,0.0018834269205356,0.001591978468727,0.0014218227587206,0.0013297703937291,0.0012260565111835,0.0014138387975967,0.0012216952174707,0.0012441946777344,0.001747171585003,0.0011103768377382,0.0012782145774573,0.0013712745654277,0.0016142183024053,0.0011605155042656
SRR9224400,0.001193145471202,0.0011368047797647,0.0010880306798665,0.0011154874379515,0.0010358626937753,0.0010285178088981,0.0009747206692624,0.0009982045103538,0.0011053405509965,0.0010348554091624,0.0010737814313043,0.0010613881963148,0.0010648412178184,0.0011114367967925,0.0016512933473987,0.0013470400401777,0.0011398881215924,0.0013823635458591,0.0015275820448361,0.0012188075674656,0.0010486923991854,0.0011161652370621,0.0016613618806969,0.0015337661800477,0.0014875228515529,0.0014746794571666,0.0012107762546735,0.001457628879003,0.0011399157313646,0.0010352988414559,0.0013440314443469,0.0017656600874922,0.0016553699121739,0.0010031924048478,0.0012628471587037,0.0011541395477681,0.0012710607569233,0.0011264988324,0.002014595179216,0.0014965393234578,0.0018713172179747,0.0016173131389891,0.0014732591731293,0.0013792022625961,0.0012786880660306,0.0014619253595147,0.0012662085694572,0.0012913556431862,0.0017944257256006,0.0011465356485489,0.001307408123861,0.0014188454180061,0.0016601326958291,0.001205034086212
SRR9224397,0.0012841846407048,0.0012133974511201,0.0011673487957984,0.0012064815592468,0.0011290022963204,0.0011091848919167,0.0010661792713289,0.0011141173889763,0.0011666171257116,0.0011271060473496,0.0011627823633398,0.0011494926255138,0.0011541303533927,0.0011987926016466,0.0017515853649193,0.001441926492018,0.0012375577253359,0.0014837991035224,0.0016257463716969,0.0013132499192843,0.0011384791157995,0.0011888239254058,0.0017317737139559,0.0016056578320455,0.0015688998091688,0.0015613788069682,0.0012891942825588,0.0015414165820583,0.0012260913060081,0.0011202419727841,0.0014200939954243,0.0018398758287008,0.0017345734812199,0.0010823589447984,0.0013329557305837,0.0012380058234875,0.0013441152178758,0.0012001644089665,0.0020942024403699,0.0015673972092542,0.0019621347826877,0.0016944472939418,0.0015453446555406,0.0014476151757945,0.0013491554189403,0.0015328231659018,0.0013449558834629,0.001363298775867,0.001861560885272,0.0012273398922887,0.0013900507749385,0.0014909262313413,0.0017305143290609,0.0012815357809103
SRR9224398,0.001243888263972,0.0011571417358909,0.0011098300304505,0.0011604481716785,0.0010899013016357,0.001051202459081,0.0010185441906556,0.0010622982720096,0.0011485628574006,0.0010783252943334,0.001118057961854,0.0011040263943963,0.001103195992745,0.0011531528654285,0.0017756235016391,0.0014115028368179,0.001210460463207,0.0014845596861697,0.0016233096666863,0.0012854970771352,0.0010981485636675,0.001127101186887,0.0016858246290768,0.0015535767138446,0.001523315710705,0.0015241972075416,0.0012456365269089,0.0015003564050795,0.0011753107200129,0.0010742579820174,0.0013532792946178,0.0017904682057421,0.0016947876916481,0.0010210707887641,0.0012735792606428,0.001187577401986,0.0012957297352824,0.0011386223530759,0.002073708696372,0.0015266639053127,0.0019563399362058,0.0016614122354955,0.0014861332421895,0.0013879949674676,0.001286273752183,0.0014766533600757,0.0012827820513153,0.0013069492910996,0.0018093534494405,0.0011741929477068,0.0013430037844383,0.0014350951014697,0.0016761588929178,0.0012247609558126
SRR9224391,0.001264432847087,0.0011864800766033,0.0011368706447431,0.0011829423430404,0.0011097316919193,0.0010821476701752,0.0010425839690711,0.0010913747768238,0.0011727399702057,0.001106780455996,0.0011211474470068,0.0011219958446883,0.001126249151707,0.0011761445251995,0.0017485011994374,0.0014221172355139,0.0012228753880877,0.0014759773452359,0.0016157321001163,0.0012959744666724,0.0011170058103593,0.0011613860365269,0.0017110192906603,0.0015814228497007,0.0015470120542404,0.001539807184577,0.001271709967802,0.001519543395941,0.0011985335346234,0.0010957929605631,0.0013870749834601,0.0018176683721959,0.0017139616017479,0.0010525139432041,0.0013021120152611,0.0012111332224559,0.0013227363269818,0.0011692613128622,0.0020787611290809,0.0015502119933625,0.001952020232138,0.0016751684784263,0.0015182834390118,0.0014276261461379,0.0013226681132714,0.0015030942176655,0.0013130365672621,0.0013377564080468,0.0018359792270276,0.0011993705369024,0.0013661270246539,0.0014635763390951,0.001707146625105,0.0012526857155079
