,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224301,SRR9224302,SRR9224309,SRR9224310,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415
SRR9224432,0.0007786746390826,0.0008550154974015,0.0008595274526194,0.0008470223994748,0.0007913486706567,0.0008075770884014,0.0008062006883559,0.0008981231417913,0.0008202571680864,0.0008165824412411,0.0008027944894499,0.0008213040197915,0.0008032598451107,0.0008273191696509,0.0007997798583284,0.0008004891182399,0.0008064931345928,0.0008164275477951,0.0007894835363835,0.0008050988200224,0.0008347854113605,0.0008809885764192,0.0008713561184335,0.0009449223421806,0.0008514040422796,0.0008497095004226,0.0007669612570724,0.0008100291984308,0.0008520449904567,0.0008684310257092,0.0009987955342294,0.0008846034443456,0.0008810795184004,0.000954509607368,0.0008118699298041,0.0008496565287985,0.0010619413957957,0.0009891980871185,0.0009110118407374,0.0008698279069997,0.0008027253809236,0.0009379142026747,0.0008523004762128,0.0008290589002839,0.0008111841421476,0.0008978137261028,0.0008192944662012,0.0008128015934486,0.000947662657352,0.0010339856216648
SRR9224402,0.0008352892234366,0.00076287662217,0.0008589994469102,0.0008498395217902,0.0007938814747544,0.0008084563300048,0.000800645456624,0.000898926857368,0.0008175273976098,0.0008128748798786,0.0008035061729349,0.000822121962118,0.0008002144056849,0.0008246298265147,0.0007986340664669,0.0008037889813298,0.0008035455361575,0.0008157708954471,0.0007935431704131,0.0008104087532943,0.0008324737370079,0.0008898155866663,0.0008795504361546,0.0009468117655985,0.0008476593948174,0.0008476918272233,0.0007683426640351,0.0008080752946651,0.0008657373246139,0.0008779287626286,0.001015037337002,0.0008892101443182,0.0008846028636639,0.0009559731482845,0.0008115214989365,0.0008480944668883,0.001077499524694,0.0009962183280484,0.0009187190182184,0.0008663472216244,0.0008090683991181,0.0009492076639817,0.0008487782025105,0.0008224866706439,0.0008122625235135,0.0009049103302201,0.0008229181993859,0.0008146091780181,0.000954385284343,0.0010324563445053
SRR9224395,0.0008436889400379,0.0008636412555153,0.000777836011412,0.0008586998570668,0.0007981222113665,0.0008123602669349,0.0008062181679159,0.0009046008526546,0.0008290553565527,0.0008208622949754,0.0008056007398549,0.0008289692795516,0.0008052707041631,0.0008342396946272,0.0008053188724994,0.0008087997102852,0.0008102513741712,0.0008212462053019,0.0007955226295026,0.0008153550410283,0.0008374668735464,0.000887453086431,0.0008780305051494,0.0009560338779568,0.0008559568537311,0.0008521753004716,0.0007728764136107,0.000816406383414,0.0008723139723784,0.0008847209271738,0.0010192192477669,0.0009028617825647,0.000894048665784,0.0009739291131225,0.000818994568599,0.0008546531875676,0.0010899205199878,0.0010076378590858,0.0009288054937842,0.0008794055816887,0.0008110335160711,0.000962034475703,0.0008677356595152,0.0008336808270471,0.0008202613488047,0.0009200108760957,0.0008340352487025,0.0008196600352561,0.0009611725332453,0.0010433116189692
SRR9224396,0.0008322489768576,0.0008556235483516,0.0008593167743118,0.000760173350726,0.0007872509912799,0.0008073178342145,0.0007989563416619,0.0008938427509963,0.0008149859631051,0.0008088968116117,0.0007967815590298,0.0008168477766137,0.0007975130677586,0.0008263256091381,0.0007942399951304,0.0007988503422298,0.0008015515954263,0.0008112036591115,0.0007863536264014,0.0008040374327263,0.0008289209101168,0.0008832683680115,0.0008686466726843,0.0009442001416076,0.0008505499574225,0.0008459708704399,0.0007655095833061,0.0008046226795006,0.0008579310093149,0.000865403739529,0.001003364539262,0.0008869667665038,0.0008811857514494,0.0009585741343317,0.0008078578485635,0.000851600856017,0.001073374900784,0.0009887437993823,0.0009085422319367,0.0008589355625764,0.0008029108851681,0.000945088574498,0.0008526338744846,0.0008184250709634,0.0008079745106421,0.0008987538837565,0.0008192607491238,0.0008078886621004,0.0009495467284258,0.0010299910270143
SRR9224393,0.0007970038926107,0.0008181797282269,0.0008183370642506,0.0008064657391118,0.0007061013207594,0.0007652142275803,0.0007659024224223,0.000856492523907,0.0007785216081812,0.0007762407350533,0.0007635300771264,0.0007813617436908,0.0007607345082314,0.0007889555651005,0.0007642445826916,0.0007650165015214,0.0007689058904359,0.0007779384145588,0.0007509018809903,0.0007685082659463,0.000795974096721,0.000841850971369,0.0008310916250091,0.0009025595121756,0.0008086757305787,0.0008080883807302,0.0007277072090242,0.0007668365694141,0.0008168098043589,0.0008239933916354,0.0009557202600475,0.0008452817928646,0.0008395807323795,0.0009131431409808,0.0007671178375007,0.0008037952071087,0.0010174590256924,0.0009446949189348,0.0008637513884188,0.0008240735789815,0.0007602566023664,0.00090050446712,0.0008085260821941,0.0007776987890007,0.0007688322372415,0.0008555513244479,0.000777987111097,0.0007724217341663,0.0009040154366181,0.0009940229363134
SRR9224394,0.0007984603073946,0.0008186092794151,0.0008181483166269,0.0008120733838287,0.0007512790045571,0.0007018423646892,0.0007621657594411,0.0008577859500618,0.0007822710786502,0.0007752159443408,0.0007637544443291,0.0007822318815463,0.0007643756842946,0.000790648820553,0.000758682616055,0.0007630250837392,0.0007664079906231,0.0007744556683686,0.0007482275214448,0.000765690352337,0.0007936390431781,0.0008419258632943,0.0008369068735064,0.0009074018429124,0.0008090939048441,0.0008099405728848,0.0007255424554129,0.0007697721960583,0.0008280513789725,0.0008365518359326,0.0009742925586029,0.0008645482966231,0.000852142022771,0.0009234464801575,0.0007767316746614,0.0008098793547213,0.0010290554398679,0.0009566577296083,0.0008756106036523,0.0008286239012679,0.0007684977423118,0.0009063614190474,0.0008204192409768,0.0007927463522181,0.0007758389555565,0.0008651236525177,0.0007838467524528,0.0007752943598975,0.0009232598698977,0.0009994869530017
SRR9224399,0.0008224301401218,0.0008356042804855,0.0008375659618445,0.0008292591503422,0.000775675472349,0.0007863545482032,0.0007431568329092,0.0008783884613587,0.0008017120929623,0.0007972413732792,0.0007850434319269,0.0008025616614152,0.0007844795055557,0.0008099693281064,0.0007867077534737,0.0007893228167493,0.0007902840998807,0.000798651521291,0.0007714982398593,0.0007912598317054,0.0008149256706464,0.0008612873936637,0.0008528637886346,0.000922760957813,0.0008274643055732,0.0008330373530833,0.0007439581375,0.0007876790939281,0.0008420606280782,0.0008479351766133,0.0009777299725042,0.000871862300232,0.0008592820313737,0.0009305079944379,0.0007895739091377,0.000829549676839,0.0010359653970939,0.0009694813423675,0.0008870383098592,0.0008453488833758,0.000780889696447,0.0009154440284756,0.0008305384575178,0.000801890888896,0.0007867332662159,0.0008819928375146,0.0007992969943628,0.0007931355023124,0.0009255941247444,0.0010076049520616
SRR9224400,0.0008708927094845,0.0008926126662661,0.0008936310898344,0.0008817370077573,0.0008253451515014,0.0008416245215132,0.0008355812855842,0.0008117704308348,0.0008556267370486,0.0008469862774953,0.0008363918286223,0.0008548039023537,0.000834562428247,0.0008657792237287,0.0008306209824586,0.0008309923447188,0.0008374952445028,0.0008442516091512,0.0008149731227422,0.0008327462068505,0.0008650756949189,0.0009149241424618,0.0009052118620865,0.0009903696938241,0.0008888148434899,0.0008775064658876,0.0008008071546094,0.0008472944995105,0.0008970499702465,0.0009123135448609,0.0010599663495601,0.0009531281352316,0.0009347688168913,0.00100500043798,0.0008572377223361,0.0008935661895145,0.001136469443277,0.0010422187014259,0.0009585684372441,0.0009152280751484,0.0008425527827836,0.0009806177216684,0.0009023276356335,0.0008647692987366,0.0008567446887124,0.0009546966693121,0.0008646418283939,0.0008510840200746,0.0010072870140885,0.0010873170644728
SRR9224397,0.0008163857173544,0.0008330101384738,0.0008404902749391,0.0008255282852619,0.0007699948856535,0.0007876256996236,0.000782670468406,0.0008779230643927,0.0007397763326837,0.0007945859360377,0.0007814373234729,0.0008008433788851,0.0007811702665026,0.0008080003975564,0.0007801397377186,0.0007816548249301,0.0007865056249688,0.0007954308278933,0.0007683652522321,0.0007876298523278,0.0008111127921162,0.0008646489341721,0.0008494524399977,0.0009252195593996,0.0008279490216128,0.0008293242147884,0.0007436738604207,0.0007897893232648,0.0008341581975624,0.0008414113074132,0.0009888729888028,0.0008680383395489,0.0008583627016649,0.0009388819444098,0.0007903436727946,0.0008285000007759,0.0010380027782094,0.0009741738907665,0.0008901872729552,0.000845410654381,0.0007790671018124,0.0009207249370964,0.0008302513064168,0.000806981031507,0.000787579676828,0.0008793642158973,0.0007983014157854,0.0007901110125216,0.0009322110787494,0.0010149522923159
SRR9224398,0.0008388370571219,0.000854238453672,0.0008585685436393,0.0008453391463035,0.0007917441009494,0.0008052996173767,0.0008026138653879,0.000896517896984,0.0008198508192088,0.0007778229434086,0.0008009067169539,0.0008236692901202,0.0008014792943938,0.0008275812761345,0.0008021884840387,0.0008065555384812,0.0008104362107977,0.0008171597403668,0.0007887399015714,0.0008075730298643,0.0008341701791211,0.000884223542423,0.0008723065064999,0.0009446491849131,0.0008459526830246,0.0008513416772686,0.0007660042824947,0.000802464947251,0.0008544657221805,0.0008627226908396,0.0010053352080262,0.0008851984430639,0.0008808771939183,0.0009558157064211,0.0008094372188282,0.0008483828681208,0.0010575029059236,0.0009884713765849,0.0009076546485694,0.0008638831388222,0.0007984583697443,0.0009345372744389,0.0008482745264941,0.0008204475387841,0.0008056643194414,0.0009029614722723,0.0008161761217375,0.0008104927264702,0.0009449934558602,0.0010314742415302
