,SRR9224432,SRR9224402,SRR9224395,SRR9224396,SRR9224393,SRR9224394,SRR9224399,SRR9224400,SRR9224397,SRR9224398,SRR9224391,SRR9224482,SRR9224481,SRR9224480,SRR9224479,SRR9224486,SRR9224485,SRR9224484,SRR9224483,SRR9224489,SRR9224094,SRR9224095,SRR9224096,SRR9224089,SRR9224090,SRR9224091,SRR9224092,SRR9224087,SRR9224088,SRR9224179,SRR9224178,SRR9224180,SRR9224175,SRR9224174,SRR9224177,SRR9224176,SRR9224183,SRR9224182,SRR9224307,SRR9224308,SRR9224305,SRR9224306,SRR9224303,SRR9224304,SRR9224301,SRR9224302,SRR9224309,SRR9224310,SRR9224420,SRR9224419,SRR9224418,SRR9224417,SRR9224416,SRR9224415,SRR9224414
SRR9224432,0.000827559665908,0.0008173591038238,0.0008165219856593,0.0008071312599506,0.000780902181141,0.0007853588500209,0.0007668800473298,0.0008071852144825,0.0008063998016564,0.0007840678870139,0.00081099312256,0.0008268523197344,0.0008138493774801,0.0008280019468378,0.0007989250704482,0.0008264924537139,0.0007075766721905,0.0007091743167857,0.0006455650150612,0.0007794322894346,0.0008393143205884,0.0008054886295297,0.0008125726656585,0.0008464894550945,0.0007996567338719,0.00080893150178,0.0006702658442366,0.0007361654229822,0.0008256529184811,0.0007385365379967,0.0007843729084742,0.0008274370774881,0.0007630626660604,0.0007524782141224,0.0007453911836522,0.0007705072737845,0.0007541671639293,0.0007297540713113,0.0007460357242211,0.0007827534931228,0.0007379823761258,0.0007261073795432,0.0007279817798237,0.0007845481555283,0.0007218620816874,0.0007641042639276,0.0007318337362985,0.0007465697107397,0.0007732128022045,0.0007535444543308,0.0007446793038635,0.0007837374962575,0.0007531247334526,0.0007652847403264,0.0007651885412277
SRR9224402,0.0008109971258918,0.0007790847686645,0.0007897907856959,0.0007825299623062,0.0007517937614099,0.0007588739543376,0.0007396263463037,0.0007809268222784,0.0007803923373962,0.0007589205167811,0.0007876718661547,0.0008021245075439,0.0007898258227809,0.0008030818129931,0.0007692857659158,0.0008035338625451,0.0006794196458426,0.0006778434238812,0.0006185471370613,0.0007541012553678,0.0008130795775146,0.0007820312416496,0.0007910626964467,0.0008268175508001,0.0007750519623658,0.0007834166084199,0.0006439884650432,0.0007139992278703,0.0008059716749955,0.0007172302557944,0.0007618161157482,0.0008064458764751,0.000740707850572,0.0007297981440823,0.0007231803172506,0.000747443280469,0.0007290323355437,0.0007073941273945,0.0007235989232613,0.000761088940349,0.0007150296243333,0.0007038564415551,0.0007085987736448,0.0007634660254077,0.0007011511649415,0.0007437658938819,0.0007110295632372,0.0007244787438221,0.0007514112563396,0.0007326816248153,0.0007199323667039,0.0007610730164462,0.0007338191698737,0.0007390116967201,0.0007437141370616
SRR9224395,0.0008146916349915,0.0007942363466282,0.0007863039669671,0.000783322491467,0.0007588148984316,0.000764706392204,0.0007485305473959,0.0007841107020961,0.0007826693323039,0.0007652243316666,0.0007918721988628,0.000806903149729,0.0007936117647719,0.000807982049424,0.0007764803484042,0.0008075941509562,0.0006865381260821,0.0006860632216692,0.0006227817276254,0.0007587050670954,0.0008211768034248,0.0007871652490707,0.0007899055044111,0.0008251932614014,0.0007751992968213,0.0007871252849107,0.000642756969279,0.0007104417335322,0.0008011983987708,0.0007136775892599,0.0007610676853213,0.0008012044468892,0.0007369656398229,0.0007263738717196,0.0007195200319286,0.0007483229927219,0.0007295782016194,0.0007033823704598,0.0007190713563105,0.0007577034253556,0.0007108317030106,0.0007008070489386,0.0007031067641446,0.0007599387348573,0.0006954025032041,0.0007380869913168,0.0007081825998993,0.0007215144626993,0.0007475081763064,0.0007310033660837,0.0007191142984796,0.0007606641623194,0.0007292210245186,0.0007370113785561,0.0007387334447821
SRR9224396,0.0008063522612945,0.0007878114284876,0.0007843310140485,0.0007707087912696,0.0007472507813926,0.0007508260872391,0.0007333434992123,0.0007769542256957,0.0007754932612387,0.0007542139871171,0.0007782373991299,0.0007967167558988,0.0007832035391047,0.0007990410856675,0.0007648154171771,0.0007959869009802,0.0006744198380287,0.0006767272604356,0.0006148054145755,0.0007483978009166,0.0008063980260214,0.0007732889928076,0.0007883699545827,0.0008174144122847,0.0007700000478236,0.0007801080430233,0.000639742346029,0.0007085086955527,0.0007988698024515,0.0007123780769682,0.0007579052778392,0.0008008077835516,0.0007359131162581,0.0007238961665055,0.0007179052547794,0.0007427557542628,0.0007265054440998,0.0007026979453391,0.0007191148690756,0.0007534057730569,0.0007110792163811,0.0006984729061806,0.0007015207176008,0.0007562457029555,0.0006953305049044,0.0007373864350461,0.0007065490726764,0.0007192347974372,0.0007462210696424,0.0007271881504553,0.0007177542734302,0.0007570019593775,0.0007267712084584,0.000738073521212,0.0007376610259289
SRR9224393,0.0007831093735067,0.0007598443435006,0.0007629140989334,0.000749989522919,0.000717950504938,0.0007326062376979,0.0007188423492931,0.0007524271126141,0.0007475378332307,0.0007323109453557,0.0007567677136861,0.0007687620629641,0.0007593995306096,0.000772191685396,0.0007471616926269,0.0007720072989785,0.0006569848177074,0.0006563764431943,0.0005923454074836,0.0007281624259378,0.0007859151368568,0.0007504287587713,0.0007539918969397,0.000785639089946,0.0007422817284257,0.0007545289320561,0.0006172283401272,0.0006754151629284,0.0007614908961791,0.0006757854847344,0.0007179064891962,0.0007593040328178,0.0006963477834957,0.0006906925444882,0.0006849780736428,0.00071257689934,0.0006959909051774,0.0006669012894998,0.000683878043015,0.0007200412940387,0.0006750052008885,0.0006616339694271,0.0006649746554013,0.0007170721120412,0.0006554448694077,0.0006957800391169,0.0006674631835876,0.0006831332867578,0.0007013628639372,0.0006900329847356,0.0006860473153142,0.0007267055341099,0.0006910170039358,0.0007038247675838,0.0006967523313473
SRR9224394,0.0007827025014967,0.0007621314474723,0.0007637867975677,0.0007488486060467,0.0007279201063845,0.0007233236135992,0.0007154591223522,0.0007505203509372,0.0007521494731467,0.000735496309249,0.0007587415862538,0.0007735823526321,0.0007634433251626,0.0007740030052201,0.0007464450987767,0.0007767707487397,0.0006545359505946,0.0006542283190998,0.0005893648888317,0.0007258664738786,0.0007883324941105,0.0007566081113654,0.0007578414079968,0.0007923178224012,0.0007439430103149,0.0007529906990103,0.0006108782112262,0.0006755090111495,0.0007684120249063,0.0006807146930476,0.0007276843479692,0.0007685343665335,0.000704451244347,0.0006932032598424,0.0006875458628913,0.0007155686657159,0.0006967990173202,0.0006707600875942,0.0006859533290993,0.0007261097213044,0.0006794549414533,0.0006691837811593,0.0006721404408317,0.000726474533722,0.0006631202089225,0.0007049371328239,0.0006757710753698,0.0006878364014625,0.0007147799673609,0.0006980813139365,0.0006878952588833,0.0007279731403915,0.0006963493498497,0.0007037637261815,0.00070621263816
SRR9224399,0.0007707441406398,0.0007490570520817,0.0007543998950864,0.0007376353519334,0.0007204630272506,0.0007218794658082,0.0007030964881841,0.0007408375555981,0.000738535147937,0.0007225799036724,0.0007472720562752,0.0007592259467895,0.000751391170192,0.0007629567837602,0.0007399851495454,0.0007631601343207,0.0006483087243333,0.000646358055912,0.0005835496610338,0.0007197359461233,0.0007761130707561,0.0007426045016644,0.0007435200768165,0.0007756158337459,0.0007290195921424,0.0007409573103231,0.0006040261714152,0.0006606857749394,0.0007495152307618,0.000664091357223,0.0007067051892915,0.0007472766651878,0.0006841700540757,0.000678164229027,0.0006723052181409,0.0007024982287034,0.0006846203952872,0.0006552457345713,0.0006718663337952,0.0007087860652984,0.0006636305695001,0.0006516300833017,0.0006522512297727,0.000704108795936,0.0006418693218472,0.0006864394051526,0.0006562574060347,0.0006718582418817,0.0006853888702297,0.0006789579897158,0.0006729709234074,0.0007144992056611,0.0006792243919698,0.0006911658223022,0.000686587621128
SRR9224400,0.0008095559552399,0.0007894435680781,0.0007884063261805,0.0007801563307678,0.0007526369013938,0.0007554375788554,0.0007393303747416,0.0007693964683988,0.0007754409752217,0.0007566293052,0.0007835274252345,0.000798728051483,0.0007843287638932,0.0008015594366679,0.0007692790154994,0.0007983921702366,0.0006786955995945,0.00067884862403,0.0006148339580601,0.0007492848441265,0.0008124812564734,0.0007775591281352,0.0007857401262889,0.0008194634062822,0.000770223670237,0.0007827905824548,0.0006406173629424,0.0007047396981046,0.0007975217493513,0.0007106183488072,0.0007572791045688,0.0008002130438426,0.0007356753309601,0.0007226381579559,0.0007175131242976,0.0007439385610393,0.0007250681308887,0.0006997770061607,0.0007156018853109,0.0007528952811331,0.0007068327064248,0.0006967267261838,0.0006983367890002,0.0007551092123987,0.0006933468380015,0.000735662064201,0.0007049822142125,0.0007173995611855,0.0007407454321154,0.0007267008201771,0.0007169209443796,0.0007559450847061,0.0007236136396666,0.0007338230833961,0.0007364748170766
SRR9224397,0.00080096109471,0.0007811698094348,0.0007791772011911,0.0007709314516516,0.0007404033714796,0.0007496530119946,0.0007296193409108,0.0007677695292113,0.0007571306949299,0.0007487590554897,0.0007768010942504,0.0007891265044596,0.0007799337903377,0.0007935817335186,0.0007584415690935,0.0007926192812054,0.0006685232013235,0.000668424511811,0.0006052624544115,0.0007414982217477,0.0008044837334277,0.000771517364458,0.0007776903865682,0.0008150088565673,0.0007606890222247,0.0007719616879524,0.0006319494883442,0.0006997419266774,0.0007912369063551,0.0007042561745164,0.0007493879905309,0.0007925704196754,0.0007265312277563,0.0007175024844994,0.0007100569020209,0.0007354664368226,0.0007203585997197,0.0006929170946098,0.0007098822042833,0.0007471003843377,0.0007004409039786,0.0006910033933943,0.000693529912452,0.0007490184506289,0.0006861578164715,0.000728460374706,0.000697147367088,0.0007109099874198,0.000736645844435,0.0007195109861845,0.0007089654438083,0.0007493032171405,0.0007191463178037,0.0007278495342471,0.0007297053809492
SRR9224398,0.0007869927193409,0.0007679470744539,0.000770203034259,0.0007577722882461,0.0007329219251129,0.0007410074198787,0.0007216129404244,0.0007571934660296,0.0007569649978277,0.0007319265443633,0.0007643827900382,0.000776074178974,0.0007692719942572,0.0007784228801417,0.0007535776629253,0.000780236140289,0.0006628975760765,0.000663392304893,0.000597613940913,0.0007310463758342,0.0007944510185889,0.0007593505666244,0.0007650442290596,0.0007973947458198,0.0007485684492083,0.0007612708306646,0.0006198684086062,0.0006810900893182,0.0007717941716222,0.0006857939383987,0.0007293150552949,0.000770779460498,0.0007091046326325,0.0006991465433684,0.0006930877424062,0.000720086745728,0.0007039071534909,0.0006764362815017,0.0006927001452971,0.0007298073001718,0.0006842689952685,0.0006713910787588,0.0006751945327328,0.0007284133564071,0.0006663970440731,0.0007100711677017,0.0006784337427802,0.0006928193788599,0.0007116480393399,0.0007012274287185,0.0006951455688674,0.0007362724061673,0.0007009356425988,0.0007127217911067,0.0007106201831364
