,SRR9224065,SRR9224066,SRR9224067,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224019c,SRR9224021,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224294,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224111,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
SRR9224021,0.0005733652645266718,0.0005867135754867885,0.0006053187056529633,0.0005338091772913911,0.0004952728963777242,0.000489852191974224,0.0005841838748060332,0.0005492000136359738,0.0008752694633280538,0.0004877267596677845,0.0004799697488406552,0.0005202403825125829,0.0005076979536329356,0.0004786035155416686,0.0005247486325417319,0.0004837853695973712,0.000530874445883493,0.0005074821739490614,0.0005518967995802805,0.000509244178849147,0.0005628351150472782,0.0004947738646809055,0.0005500958451611482,0.0005213205955441854,0.0004834081676992909,0.0005246383420404296,0.0005040696488955459,0.0005043041880505011,0.0005223933788122422,0.0005348503938600888,0.0004843117482778039,0.0004884854819983008,0.0004848513765433381,0.0005085979454803412,0.00051007058683893,0.00046171515544349956,0.0005224899216349421,0.0005669805228083381,0.0005517232072691883,0.0005770247304728984,0.0005018121397925993,0.0004980730569236303,0.0005480382082455996,0.0005294580192508609,0.0005078672258723788
SRR9224023,0.000573161694874539,0.0005767037144719546,0.0005968870448879361,0.0005298148826911096,0.000492574104816636,0.0004898742234358042,0.0005809697271458993,0.000544586686674691,0.0008730855760565887,0.0004883365354152062,0.0005194235214428218,0.0004812018353107441,0.0005093324866310688,0.0004781802566452601,0.0005217342072410257,0.0004832009801911333,0.0005265631751431031,0.0005087630534559022,0.0005427247293134189,0.0005015592435466948,0.0005605822471950998,0.0004937116366504729,0.0005497876243544346,0.0005202744082327917,0.0004825719716410935,0.000521937043554105,0.0005057529919770676,0.0004998349216211362,0.0005181606303739854,0.0005320260876784438,0.0004815969336452674,0.00048672217266980617,0.00048041233302566086,0.0005041867229649978,0.0005071249195152858,0.00045889689378327274,0.0005221270054264108,0.0005622463840660632,0.0005470535671994417,0.0005742166667245257,0.0004996548197635766,0.0004994923950825252,0.0005496336601079302,0.000524445949570711,0.0005059442188108625
SRR9224026,0.0005771182279310351,0.0005927410918366929,0.0005964261687773916,0.0005381394077301286,0.0005026023936722014,0.0005021103965094001,0.0005889668923437739,0.000550014864259056,0.0008885189506478903,0.0005072278329082804,0.0005267408533964766,0.0005291906149049241,0.0004953719543241619,0.0004948809849377058,0.0005255088493054338,0.0005034764130488677,0.0005306764735479957,0.0005142638772300212,0.000549428135281291,0.0005068033860121486,0.0005654960255992088,0.0005010322922054032,0.0005470376654140789,0.0005238671326838938,0.0004947085121720102,0.0005285640871161299,0.0005203298920988645,0.0005124328645488545,0.0005207437004161568,0.0005390242379115528,0.000502627840264636,0.0004969602313882705,0.0005026042062532009,0.000518598593251921,0.0005138935227914372,0.0004830097696644296,0.000530289144024403,0.0005687096152793416,0.0005530776830917227,0.0005894997597241597,0.00050598580201404,0.0005071075856704614,0.0005453817860176112,0.0005343521341434961,0.0005199106300866993
SRR9224025,0.000561347738475968,0.0005746461022324468,0.0005809480619254907,0.0005214099977436381,0.0004885343359361899,0.0004958959281080884,0.0005637797024102358,0.0005309236086620118,0.000873911601252312,0.0005244229580047472,0.0005125891301092138,0.0005128716679520108,0.0005115881511242484,0.000507925758205464,0.0005134162809110647,0.0005178072869371626,0.0005135657239270739,0.0005026119517040465,0.0005314504655607853,0.0004929537312549636,0.0005429504341826833,0.0004873312859616055,0.0005318681103721843,0.0005112294844152814,0.00048201634681095115,0.0005145315990811862,0.0005161282106251046,0.0004983357833350016,0.0005084988973428014,0.0005144022164742459,0.0005078242992972813,0.000490351126082425,0.0005204874491522488,0.0005016262206902146,0.0004954739093915925,0.0004962241477341292,0.0005115339146883331,0.0005496295662082408,0.0005382060982391876,0.0005617719291187387,0.000489452737769049,0.0004937905258223691,0.000522565875676838,0.0005127520358262649,0.0005092688055712159
SRR9224018,0.0005659632707558694,0.0005936405242375895,0.0005868948505897909,0.0005262071658641156,0.0004903104076201285,0.00048543879383117705,0.0005844641477621309,0.0005397907691111015,0.0008661792884630565,0.0004857937552928984,0.0005216710029308695,0.0005196791477703952,0.0005034222889918504,0.0004767216129910657,0.00048378581493271796,0.00048201657058344647,0.0005152055610987042,0.0005061033246485907,0.0005401275045962645,0.0005042279199249611,0.0005543817162730835,0.0004882256130944685,0.000542307702501704,0.0005151732926476603,0.0004839178925716301,0.0005194167345200691,0.0005001577325616883,0.0004962778713072118,0.0005138930703282378,0.0005235073259444713,0.00047889273978922437,0.0004827847503592856,0.000480628521958054,0.0004992411551143131,0.0004998205186800166,0.00045679113093668317,0.0005141913534835182,0.0005547165493938028,0.0005396686515580734,0.0005689543549637258,0.0004950375342698866,0.0004896313872508401,0.000537687520735352,0.0005192816666852372,0.0005071867629123168
SRR9224403c,0.0005757936698458056,0.0005962812447380156,0.0005861646019289243,0.0005254925329766479,0.0004935277227043761,0.0005003465641063106,0.0005779818946844908,0.0005389023868580168,0.00087588377212552,0.0005447960504778924,0.0005205034635567475,0.0005203483087368873,0.0005230234007431323,0.000520358809184395,0.000521019960243919,0.0005502312605912685,0.0005274992753546866,0.0005091377435522632,0.0005350805789764616,0.0004980817137063435,0.0005515249493028241,0.000496348582175513,0.0005411673231580017,0.000511590312038359,0.0004889213367492898,0.0005201076524558474,0.0005267523232352299,0.0005044719366875234,0.000513194944495796,0.0005237041380684408,0.0005157998573684788,0.0004950734410793736,0.0005330753912415869,0.0005081043295887716,0.0005036731751430219,0.0005099364821806953,0.0005172211258859979,0.000558649974005947,0.0005471164775284817,0.0005660874424109943,0.0004946023527002432,0.0004995797691224892,0.0005316828364963528,0.0005183148178370409,0.0005168604344594891
SRR9224404,0.0005594598155266356,0.0005825794904108018,0.0005793726601152094,0.0005243247609453322,0.0004855469894441209,0.00048121914022422873,0.0005752144625435768,0.0005367938772952646,0.0008504733627090324,0.00048388686016131966,0.0005169267865009826,0.0005134666393552391,0.0004988463086252203,0.0004681704978498676,0.0005051922693154999,0.0004795691086873991,0.0004552293072927486,0.000495788709825077,0.0005342352272614832,0.0004922430201264206,0.0005524765022180127,0.0004805400996227813,0.0005364775680589057,0.0005019261580872937,0.00047436901951156807,0.0005128487910620339,0.0004989141816258607,0.00048724040656166005,0.0005157316074031253,0.0005235251152038196,0.0004756774424292695,0.0004772127776552785,0.0004764962763296673,0.0004946088755078962,0.0004970727844930135,0.00044978936775131917,0.0005224911812243959,0.0005530730100633529,0.0005392617518412225,0.000559235262837528,0.0004884091825424928,0.00048537600189602976,0.0005414321121509313,0.0005204801316912523,0.0004992263121878338
SRR9224172,0.0005548461963631759,0.0005600532273086394,0.0005863309895724579,0.0005192623679625996,0.00048278253109661017,0.00048291631373221204,0.0005695716594241113,0.0005325961157792129,0.0008655372228176813,0.0004805217904098526,0.0005119448254136146,0.0005144210990979831,0.0005003578857808397,0.00047356442816803883,0.0005139789187093522,0.0004775056004098597,0.0005138709245652291,0.0004580928822382421,0.0005333363612446972,0.0004951448035350532,0.0005475310997889565,0.00048400174180526616,0.0005357976637677467,0.0005132217609375371,0.00047679589150310096,0.000512678115866487,0.0004981404938633952,0.0004913937567161791,0.0005097571668061724,0.0005155290477822559,0.00047823432265905276,0.0004811744695477382,0.0004770268287855248,0.0004991111964259234,0.0004936464644966146,0.0004563428193756004,0.0005114633997836727,0.0005610364351535775,0.0005392148005133632,0.0005659335582442497,0.0004897923896839778,0.0004907217668446224,0.0005294509699098228,0.0005146846978823651,0.0005016140790544701
SRR9224135,0.0005800720532231238,0.0005802039167772656,0.000615378453290463,0.0005335074705701685,0.0004908564554951001,0.0004940434009381819,0.0005857652959082957,0.0005481980028401967,0.0008694585664552751,0.00048704636904935324,0.0005306158395889892,0.000522820066345519,0.0005101888041042699,0.0004790101119928579,0.0005219417228611835,0.000480372447289938,0.0005273285589965085,0.0005081127380552056,0.0004662017540181793,0.0005025058425773063,0.0005673304412837616,0.0004993525696182277,0.0005548462837300485,0.0005182100256614215,0.0004887425731114544,0.0005249987573907195,0.0005085415985972148,0.0005025967944821118,0.0005325584036843186,0.0005355946943339752,0.00048362373368763596,0.00048596049796498887,0.0004856825231564305,0.0005115828265577287,0.0005054967166312778,0.00046067599725557994,0.0005158200679762027,0.0005680808646625775,0.0005377700148158785,0.0005687098070284867,0.0005081846468071862,0.0004989801497032154,0.0005593538192132334,0.0005352709907334017,0.0005121104758230322
SRR9224294,0.0005456888048824118,0.0005430724322454954,0.000569294375130948,0.0005146044473418423,0.0004715984122120032,0.00046583341071670026,0.0005719706781564318,0.0005218139278074553,0.0008525255796359682,0.000463761428823047,0.0005022090198916116,0.0004957649625806516,0.0004818600385632836,0.00045406016901663066,0.0005001611439923304,0.0004572691990796583,0.0004985928111567609,0.00048370815833256083,0.0005155519322190304,0.0004342158814601502,0.0005327755056808211,0.00047150602403000564,0.0005232453028681603,0.0004957230265386571,0.0004606111317002998,0.0004954854633344902,0.00048081242720889673,0.0004779329623693478,0.000494914849661273,0.0005063437920550561,0.00046021187056162255,0.00046362315248309893,0.00045798198722859807,0.0004820965876704823,0.00048066532323132855,0.0004370433158411816,0.0004902579178078349,0.0005365034711493179,0.0005214944462300918,0.0005499813791072036,0.00047849659270051635,0.0004719270037791511,0.0005113778303608803,0.000505881338090406,0.0004851217578782881
