,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224019c,SRR9224024,SRR9224025,SRR9224017,SRR9224403c,SRR9224404,SRR9224135,SRR9224462,SRR9224401,SRR9224311,SRR9224293,SRR9224292,SRR9224298,SRR9224297,SRR9224299,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224473,SRR9224470,SRR9224471
SRR9224017,0.0018795422772243996,0.0017449062505473707,0.0016902237377163576,0.0016338907116532028,0.0014748381521232895,0.0014762091054841807,0.0015279081447197049,0.0014963326603698035,0.0014541405713348126,0.0014552695662843492,0.00135409485472784,0.0014939947835608174,0.0015051552451167845,0.0015494409123904894,0.0015884473750245854,0.0015854299800694396,0.0014720161755706587,0.0016013250233389426,0.0016805132448391325,0.0017959552409349418,0.0017223015219604695,0.001590271000615871,0.0015335705126835776,0.0015329489753980214,0.0015706649223599515,0.001581533534463912,0.0015299947900377778,0.0015563579869698313,0.0015114645441562297,0.0015727606347175878,0.0018686430787803248,0.0017118604633442553,0.0015552794139437132,0.001618301820614047,0.001688693596127966,0.001735702109928265,0.0017558909684620224,0.0015251415528517549,0.0016049402540338996,0.0015593629209115663,0.0015512816624629947,0.0014659146014002486,0.0014203079894568051,0.001476949592278706
SRR9224403c,0.0018775049220233697,0.0017608584551303296,0.0017217110396829246,0.0016654786470575594,0.0014897265724876877,0.001508585851103495,0.0015574602884042084,0.0015248982359643685,0.0014949947207497016,0.001500123718910879,0.00148642327485758,0.0014173984428836053,0.0015412109026934696,0.0015642132938023402,0.0016191683428440993,0.0016108595198118785,0.0014924962583602133,0.001626941354673509,0.001684230563472407,0.0018038195107523093,0.0017682646805699143,0.0016058728894522113,0.0015475871440025128,0.0015838591322449352,0.001595342693085404,0.0016126045932647979,0.0015808056416308869,0.0015682181703505097,0.001559962053290098,0.0015909433821282033,0.0018657588977770488,0.0017366551118584836,0.0015794353710298842,0.0016273789935170053,0.0017227089058219167,0.0017641802316481655,0.0017728395880609574,0.0015447937274736404,0.0016130822872881746,0.0015830393897255624,0.0015855745381663673,0.0015050786780046019,0.0014536115777054343,0.0015151555734521844
SRR9224404,0.0019008921514834965,0.0017655621598049022,0.0017216963174910298,0.0016802093653079503,0.001497487810114135,0.0015020193854730173,0.0015664048411855073,0.0015170966422821035,0.0014932567795073238,0.001504880113272874,0.001488832894973731,0.0015332988648322648,0.001395541652707206,0.001561811103961061,0.0016161284203015391,0.0016177909712227912,0.0015036584208608912,0.0016211973773866898,0.001707022269245758,0.001818355662958169,0.001777206551729277,0.0016246309019880966,0.001545956827375569,0.0015646856829418692,0.0015930081358080611,0.0016135216004490485,0.0015718726747024042,0.0015934570586657291,0.0015406289322183729,0.0015978234079742752,0.0018655207761943595,0.0017362856291006932,0.0015963316317540634,0.001635418759096664,0.0017370653967227283,0.0017665276615146806,0.0017851663887447232,0.0015561643659627135,0.0016191360384020998,0.0015828715339219939,0.0016199736135723715,0.001501519555461098,0.0014435914689998864,0.0015204261791129416
SRR9224135,0.0019515991682493607,0.0018097736633901668,0.0017657773465263032,0.001708773490043137,0.001560890235480994,0.0015590493998701273,0.0016327270907265509,0.0015800510645444584,0.001514228486994642,0.001551153505526559,0.0015503548546294138,0.0015732215108040736,0.0015790497272883456,0.0015151063150740047,0.0016751924556818003,0.0016715615028715402,0.0015567700398582858,0.0016786417937903113,0.0017436132090913933,0.0018460415821196913,0.001824123974929182,0.0016667427679679125,0.0016118817471829886,0.0015899759278499416,0.001646527743665274,0.0016655498063956292,0.0016193579121524364,0.0016036845966543182,0.001577777285508923,0.0016603560712110778,0.0019381905494678178,0.0017745334161806754,0.0016432393782788374,0.0017042053011702718,0.0017644215497552333,0.0018047682347236418,0.0018456846650749253,0.0015962626280699851,0.0016724385515038895,0.0016520777073195144,0.001636614435342159,0.0015606461056482124,0.001501221931103456,0.0015581325443420457
SRR9224462,0.001977651922862278,0.0018383305913709615,0.0018112307818642774,0.0017655306831051499,0.0015952050922018613,0.001596818220678684,0.0016546307716047146,0.0016265542884697575,0.001587996251889454,0.00157999690224114,0.0015881436143823312,0.0016265632116611547,0.0016335527381304137,0.0016742284478146183,0.001568187044603569,0.0017011957882502164,0.001590607097108999,0.0017209171271843904,0.0017935932338540555,0.0018951854652396695,0.0018539389178064268,0.0017138832315855175,0.0016445622403000037,0.0016386880418004948,0.0016942443156942315,0.0017174560261210923,0.001666963044613256,0.0016714905363401703,0.001614396963833638,0.0016869413851489706,0.0019531504992759013,0.0018358551084539851,0.0016871913492868896,0.0017333661064056535,0.0018129409509420765,0.0018391338243430922,0.0018750451536109452,0.0016461475562647226,0.0017172616222994688,0.0016808888415023291,0.0016913593555352737,0.0016070983239773642,0.0015614015905113,0.0015909997006618333
SRR9224401,0.002093227883269883,0.001926813083342607,0.00186309212141103,0.0018004232941216953,0.001726832274902456,0.0016668222636783854,0.001718294828628641,0.0016830280187457422,0.0016188148888656695,0.001640798626238463,0.0016445383989065188,0.001678810371690204,0.0016962442420222837,0.0017348530560332,0.0017663255088251426,0.0017240663797889147,0.0016588936276052443,0.0017825724989101474,0.001841296028682719,0.0019446441902705358,0.0019011210332538393,0.0017729224693056509,0.0017502861842601117,0.0016893882650565772,0.0017299104163445076,0.0017335327090888947,0.0017163714297864876,0.0017237038520765803,0.001666674005253719,0.001825348382183782,0.0021246794522271823,0.0018855234949544774,0.0017326023097146413,0.001869258485203084,0.0018640273491057863,0.0019026776691134562,0.0019857815346552344,0.0017106522053976704,0.0017533252304769776,0.001797109586549216,0.0017303007778211184,0.0016449828129619184,0.0016000960089803317,0.0016551634941093913
SRR9224311,0.0018695036617404704,0.0017319910845274408,0.0016958423483780206,0.0016421431585289825,0.0014690455231147464,0.0014703803569104954,0.0015363674235249667,0.0014920558057318668,0.0014778898114669965,0.001463182603080037,0.0014631193922061351,0.0014902889576192298,0.0015101777843371477,0.0015461275202231525,0.0015813550236959556,0.0015896184951385412,0.001363806441852357,0.0015927949735574237,0.001686903611448689,0.00179706779318497,0.0017589724695228725,0.0015918461548434975,0.001520100303496737,0.0015244078169487992,0.0015717843186337965,0.00158838875659322,0.0015693159266804402,0.0015492482452692002,0.0015176225235214514,0.001563198301568138,0.0018561273098751238,0.0017109528432420215,0.001562899664396417,0.001621116511871153,0.0016963032681708249,0.0017447161737273727,0.0017505458169302524,0.0015273693594107507,0.001600111239606091,0.0015610063108221395,0.0015764375620240705,0.0014774455120717277,0.0014206553201865642,0.001486475168777511
SRR9224293,0.0019309553270438042,0.0018210340617241898,0.0017674103878450324,0.0017192768656870813,0.001534200560439696,0.001548376453199853,0.0016174012850966178,0.0015859121817352732,0.001556851664208265,0.0015541981772817612,0.0015491117744814893,0.0015816124916518282,0.0015854769442986368,0.001625019170109316,0.0016657636243630075,0.0016655065222093827,0.0015509938222999908,0.0014952051571763666,0.0017253078790674873,0.0018703522702655409,0.0018253343679129899,0.0016609329901633029,0.001602831852941391,0.0016861911123388534,0.0016800444332757238,0.0016875752032743723,0.0016552878916041667,0.0016422178699252218,0.0015950634418171255,0.0016236517778078407,0.0018834582741403558,0.0017956775111797236,0.0016512517047150386,0.0016681304639825482,0.0017615302104806677,0.0018075466373449662,0.001814003966434525,0.001595381506329061,0.0016981674584342662,0.0016174993226684001,0.0016683445959229453,0.00155721463886122,0.0015081831658410086,0.0015739176799588826
SRR9224292,0.001953608409513579,0.0018570273729412723,0.0018306548801124178,0.0017891118589250968,0.001596274626301943,0.0016192200894232028,0.0016863913818761943,0.0016387924972201067,0.001634525510892111,0.0016313054377746013,0.001613247401350002,0.0016265451483829555,0.0016593278810290175,0.00167555243040923,0.0017260516440086224,0.0017083714225215535,0.0016318427163966255,0.001714584323296461,0.0016351137894331177,0.0019119077059220895,0.0018892399136480058,0.0017137567261114321,0.0016550347821607146,0.0017063806679192956,0.0017370323663586675,0.0017655275269715094,0.0017033188456602177,0.0017333161295354418,0.0016637444491106248,0.0016844835911461735,0.0019134304021972339,0.0018474328102685896,0.0017152011242296406,0.001730557404224397,0.0018370017313602386,0.001856845952312822,0.0018427272119288544,0.0016583585397174003,0.0017472728423621677,0.0016762054039621682,0.0017603644210254011,0.0016394182874556085,0.0015821303786788237,0.0016770490792278462
SRR9224298,0.0020501458378416114,0.0019538670263264443,0.00195782615440095,0.0018934646749440803,0.0017127304459001436,0.0017442687390415432,0.0018005146947083074,0.0017625513705645005,0.0017679867316454565,0.0017583511153527222,0.0017493274608205375,0.001767174445411984,0.0017909745090304646,0.00179907450809562,0.001847659015253941,0.001829424568625527,0.0017620390632489915,0.0018837621866650345,0.0019369771342142503,0.0018215827256536047,0.001993467661665559,0.0018539846799073847,0.0017826355482940851,0.0017907250946845505,0.0018569399648719126,0.0018690936362578568,0.0018169080732586423,0.001792397271049262,0.001824087692236362,0.001809827879275196,0.0020263995682128213,0.0019639798262669197,0.0018373972350454342,0.0018468887870939827,0.0019452507059816175,0.0019718242697363366,0.001968402160499919,0.0018059178921899877,0.001848725261737239,0.0017926840520148743,0.0018357595424624473,0.0017775962785641637,0.001734072372649288,0.001811359348357571
