,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224296,SRR9224295,SRR9224300,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224168,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224471
SRR9224311,0.00048352688251016794,0.0005052027885075291,0.000508664104744801,0.0004984841727005866,0.000509440060724375,0.0005670120879507953,0.0005657853750709738,0.0005141702098499979,0.0005675660850413727,0.0005253261927110064,0.0005308772057864762,0.0005303454489553379,0.0005041829600923474,0.0005172066097729013,0.00057208721334174,0.0005199675452112015,0.0005566859833327613,0.0005681793429631503,0.0005828463087691867,0.0005221956550602795,0.0005647043787155621,0.0005443403818312488,0.0005364684137454269,0.0005118007978143192,0.0005790924888074697,0.0005383936206751044,0.0005239508145152613,0.0005638585811692389,0.0005466734106656904,0.0005318478293015676,0.0005114005277697897,0.0005279701790982149,0.0005241388298219513,0.0005473864290782549,0.0005777947330547155,0.0005812726084245431,0.0005746156816203984
SRR9224294,0.0004899090930225793,0.0004389898923651363,0.0004865776184692594,0.00047452395629364613,0.0004906330915984302,0.0005401618923656587,0.0005462655778114665,0.0004885161464195803,0.0005509697141800481,0.0005028056992228867,0.0005086571279390542,0.0005093299628251428,0.0004793008969497105,0.0004947843338215618,0.0005475788425669893,0.0004948591253045315,0.0005336625003528993,0.000539075392165483,0.0005710387162880618,0.0005010575993633646,0.0005422337673361697,0.0005217622846669539,0.0005091342522099817,0.0004885823152199475,0.0005550912462579068,0.0005174821590536166,0.0005009434588638982,0.0005394672668066537,0.0005201439114528079,0.0005089794236729943,0.0004904897353698676,0.0005030972780318458,0.0005018677997581397,0.0005285238357338501,0.0005597137603799723,0.0005592076489739975,0.0005509685469341274
SRR9224293,0.000498109074020787,0.0004914975359853629,0.0004580726960998054,0.0004867492521323487,0.0005014559844084769,0.0005527557411708129,0.0005538218141143333,0.0004995370076714785,0.0005516150114289952,0.0005141281239480124,0.0005154409855384882,0.0005128165716173647,0.00048749421288593007,0.0005065621601531134,0.000558452700424638,0.0005059183076982283,0.0005426557256310808,0.0005523643744321161,0.0005765311088924217,0.0005116909745445722,0.000550433852352105,0.000531754412919467,0.0005196894652581474,0.000496899467735071,0.0005664877820728421,0.0005274696793928189,0.0005125989465663295,0.0005564735504832105,0.0005341647403260629,0.0005183074322619694,0.000501915746110324,0.0005146887235057288,0.0005139684798198581,0.0005356967860738298,0.0005687268812967026,0.0005634869499078466,0.0005606024403087852
SRR9224292,0.0005092472932039208,0.000499786118203858,0.0005074735263197129,0.00048827784059425025,0.0005047050940095515,0.0005553527139487358,0.0005629671191329539,0.0005061200154286685,0.0005684727478301797,0.0005179151686053499,0.000523553453072556,0.0005296617690051015,0.0005044407783535058,0.0005120353530608251,0.000571819101142332,0.000513942152632316,0.0005449303380315644,0.0005646336566831294,0.0005874614728838067,0.0005213182406051739,0.0005593253208586675,0.0005402041410980235,0.0005406445402834362,0.0005063544453651163,0.0005756219336683945,0.0005290170625568707,0.0005183511557653925,0.0005583515422835541,0.0005397244706674737,0.0005303848695183271,0.0005091776044213937,0.0005215489574426764,0.0005219429404677288,0.0005391928716381885,0.0005832414098038452,0.0005799887201093645,0.000568586305125547
SRR9224291,0.0004930978638993098,0.0004900029101577534,0.0004954503322978636,0.00047849136167252423,0.00044968961028812133,0.0005550913264253637,0.0005536224209836593,0.0004984782287024203,0.0005591041308870293,0.0005040824116305635,0.0005112048228588388,0.0005143265929091083,0.0004832918892467305,0.000505045702048634,0.000563053893154933,0.0004999554217674954,0.0005399668438966293,0.0005506035403609907,0.0005764479899822111,0.0005029665169819405,0.000550889786426216,0.0005341584093121864,0.0005142476110612867,0.0004915591511043646,0.00056426022843597,0.0005236361380912378,0.0005092562859599539,0.0005396116858407195,0.000533548816978988,0.0005146531642669715,0.0004944448242143054,0.000510455017256739,0.0005068838423949309,0.0005387059198347698,0.0005615253313418005,0.0005624910202612438,0.0005575888179920492
SRR9224298,0.0005264867251125043,0.0005159211437376037,0.000522476660495888,0.0005058386526965597,0.0005313808303092564,0.0004806422174543324,0.0005890391016078117,0.000526622800043314,0.0006101434360972431,0.0005373459008123861,0.0005416725646418803,0.0005497584568321762,0.0005116864619435257,0.0005311178734802207,0.0006133799148166199,0.000530477316370641,0.000583800961807868,0.0005783598184590966,0.0006250210849000993,0.0005356286708858151,0.0005890444846384531,0.0005577428179687323,0.0005412282152032123,0.0005210036325332298,0.0006130367899883172,0.0005539563021648597,0.0005398528552537457,0.0005802656013076033,0.0005717949471442502,0.0005401531543645395,0.000524089800334993,0.0005531765051762211,0.0005278662267623507,0.0005790412167234121,0.0006242886705781596,0.0006061854411036382,0.0005924093153577686
SRR9224296,0.0005254055046680521,0.0005212141023879989,0.0005233166754857132,0.0005129698838374772,0.0005297641431878712,0.0005895099686829004,0.00048081498747123546,0.000531036910614238,0.0005986881943941911,0.0005373996371290615,0.0005430641003084937,0.0005509633597407366,0.0005128323562203186,0.0005315086190699166,0.0006001492403934002,0.0005256428136658484,0.0005875962379057862,0.0005918227767145968,0.0006058954485958914,0.000526156003571531,0.0005929571338031015,0.0005569106480513863,0.0005368212802808872,0.0005275321011574271,0.0006103080426304794,0.0005545013176579802,0.0005407768487993118,0.0005760133464491464,0.0005668264036484564,0.0005460785404394946,0.0005319960630191585,0.0005395638745824046,0.0005384037688681505,0.0005733999768433297,0.0006171374217910731,0.0006036086982925497,0.0005932459670339584
SRR9224295,0.0004937545531145872,0.0004839925145702374,0.0004898040569738083,0.0004762612177936475,0.0004946964927236685,0.0005465903469265333,0.0005513358821435036,0.0004455303147859797,0.0005461004590024413,0.0005068584465102293,0.0005120533971617448,0.0005187704216795835,0.00047897433478897986,0.0005014254003556345,0.0005624166146774597,0.0004969258248808541,0.0005402273056660438,0.0005492793150749389,0.0005797859939937881,0.000501923582580074,0.0005481156917929573,0.0005201619787917757,0.0005120126670733706,0.0004911827851979308,0.0005633946845403196,0.0005229904684835877,0.0005049739624907093,0.0005406656913262765,0.0005348139594939469,0.000517114622380456,0.0004935106349170537,0.0005086624828382361,0.0005049503445157434,0.0005312363452911871,0.0005622932256318049,0.0005624614025172771,0.0005573307118342744
SRR9224300,0.0005284692030781703,0.0005280692371780765,0.0005229019380200113,0.0005195792638536093,0.0005366279814177384,0.0006125233181693187,0.0006014827843957977,0.0005277191889345406,0.0004948615684342353,0.0005479714190979502,0.0005580844438644772,0.0005508667694905145,0.0005154799769235724,0.0005378036414030485,0.0006028063782195566,0.000537771294128746,0.0005925590394034883,0.0005905348309875072,0.0006147288851502692,0.0005439679845877652,0.0005878811837451921,0.0005599506705375177,0.0005420667557442558,0.0005314671340154855,0.0006237990940343758,0.0005649065928104021,0.0005441197400223603,0.0005798265800992508,0.0005759654466187738,0.000553503759814297,0.0005313169102563264,0.000557518146841396,0.0005360382765457739,0.0005763725795673168,0.0006286161658888448,0.0006112314581426957,0.000607047228704615
SRR9224163,0.0005033178380656854,0.0004965288410913204,0.000502622517294365,0.0004861584612105143,0.0004990970136339452,0.0005548388790064436,0.0005558209671024149,0.0005053202929331364,0.0005648503543364035,0.00046256051324124046,0.0005246755990636553,0.0005253399793376887,0.0004897448632995061,0.0005079003158822422,0.0005671506008388099,0.0005125197628768589,0.0005514151959818052,0.0005559461376109201,0.0005836101371051071,0.0005144162607594127,0.0005501150025770252,0.0005332252990506823,0.0005208518482072162,0.0005026538864093545,0.0005655156106287744,0.0005299436932893944,0.0005177708661827873,0.0005571096927860386,0.0005354711720579302,0.0005288561904793699,0.0005018733658931783,0.0005213669437675517,0.0005161887375736994,0.0005431166743968187,0.0005767116944706765,0.0005682798506418477,0.0005606755778375231
