,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224072,SRR9224073,SRR9224074,SRR9224019c,SRR9224023,SRR9224403c,SRR9224401,SRR9224292,SRR9224298,SRR9224297,SRR9224300,SRR9224299,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224118,SRR9224119,SRR9224249,SRR9224256,SRR9224258,SRR9224257
SRR9224066,0.00125527919349041,0.0012125635199756136,0.0013117860107138277,0.0016278793246248806,0.0035552133097424884,0.0022916103224162776,0.0021102090041356858,0.002969983807529667,0.0025280861227628343,0.0015466172746502632,0.003113370411283571,0.0029243684998037493,0.0014804753546246929,0.0021288820941454184,0.0020729431136878303,0.0016744978847050103,0.0012834866746129071,0.00232128528693428,0.0020036986962513703,0.0017254479739620225,0.002012580218324287,0.0020938043656912237,0.0033390249377189393,0.0017554221634408045,0.002959399693635865,0.001763301291942698,0.001558782469107763,0.001747275864715005,0.0016381549989087994,0.0017442294862150506,0.005361407194832199,0.0019074992448085027,0.0017373037587461117,0.002067845650292337,0.0017448063861932553,0.0015792699594751514,0.0022608126235552865
SRR9224068,0.0012440477103314923,0.0011356310707490087,0.0012352479784283955,0.0015359215285756648,0.00357579713399282,0.0022303997380046063,0.0020187658839713996,0.002912636599585572,0.002539435177059059,0.0014963029533988366,0.0030866080481959843,0.0028216244859218453,0.0013607425959924603,0.0020308570778638335,0.0019843453698927655,0.0015915279615242351,0.001178403964653179,0.002269612880788094,0.0019214384521521696,0.0016309361028446021,0.0018979562187751901,0.0020498215452114483,0.0032959371797138363,0.0016666718401340238,0.002910393043182736,0.0016746951946237556,0.001448983215146271,0.0016207925797192013,0.0015632723195123843,0.001663879349770851,0.005307138293645607,0.0018236554777640564,0.0016230714234280197,0.0020003781528042624,0.0016597323512507268,0.0014881078376260271,0.0021316181029635848
SRR9224069,0.0012848653131533538,0.0011831867127037282,0.001210525251418195,0.0016659965144482736,0.003553049406176054,0.0023257114865530806,0.0020914987722106316,0.003004627654348113,0.002567379436913209,0.0015249644457703093,0.0030558864468995537,0.0029318515202537555,0.001498493839021094,0.002168037324833497,0.0020951638976445057,0.0016885192446598606,0.001289811139410924,0.0023196438044250276,0.0020028781551187386,0.0017304563634438941,0.002020675078400884,0.0021607461409594362,0.00338254365211236,0.0017263983450948328,0.0030052594049507445,0.0017818592700230035,0.001538629028878902,0.0017372482136507876,0.0016136572577873036,0.0017231220206531902,0.005281994433556024,0.0018793208305008505,0.0017157095944601297,0.0020955428664015045,0.0017320496427805625,0.001557104462658617,0.002295592045989598
SRR9224070,0.0015574157784734699,0.001445240964859112,0.0016179222569921562,0.0014519629477811513,0.003720027058070091,0.00262879541675504,0.0023820995250250013,0.0033295747924275334,0.0029174814446467218,0.0017569759446523579,0.003266535749405056,0.0032705411189096283,0.0018179070385561373,0.0026432600888610363,0.0024787375516548684,0.0020139400258707323,0.0015778922683682803,0.002688585529927445,0.002324415510909848,0.0019946400661069166,0.002279837226744964,0.0024891520538255236,0.0037206963538565607,0.0019590942633382134,0.0032797528929443954,0.0020680731956600547,0.0018162623299122955,0.0021100394039716996,0.0019008408120812252,0.002053551644767149,0.005424060692486137,0.0021027745115787815,0.00203342607037204,0.0025149762631099227,0.002026491604697911,0.0019015886508301613,0.002817676326096092
SRR9224072,0.0034294740586655117,0.0033403098924816074,0.0035224268243126636,0.003824916513924277,0.004344989540452274,0.004227575556698152,0.004120330028468164,0.004983845622605224,0.004559918097888061,0.0036061324086417578,0.004704793727994633,0.004781022651133685,0.0037328059480341777,0.00436972238016033,0.004250379620719666,0.003884533444893531,0.0034696233397692442,0.004304510329735474,0.004100702837744151,0.003802654947425265,0.004104120162599389,0.004173611482283447,0.0051443046846414405,0.00381355943580529,0.004814388785184179,0.0038741238666839665,0.003684915738707964,0.003954067044818995,0.0037777355620771296,0.003877023948194586,0.006541594591705839,0.003872292263947863,0.003841037465773033,0.0042266415736106075,0.003845553715059731,0.003696270176356521,0.004466078080426502
SRR9224073,0.002190574350150194,0.002071854950419755,0.002277947488754415,0.002653029974029956,0.004182967131519453,0.002652457640707603,0.00301947199976311,0.003864851880649855,0.003554005072549412,0.0024559959228137446,0.003739620718004928,0.0037763829650403085,0.0024500172696904385,0.0031119494573385565,0.0030906552403259925,0.0026568998481738514,0.0021726638202805553,0.0033765174015436684,0.0030084698334710068,0.0025487056943367756,0.0029435065594126297,0.002880264984938079,0.004154906504081073,0.002718318837241585,0.003714588583202217,0.002636476332270068,0.002475526266337144,0.0026650176752661724,0.002675431243071282,0.0027822426606633572,0.005974133751647939,0.0027352522939547764,0.002596494492658397,0.0031653893206604077,0.0027009556646234575,0.0023790868116588754,0.00329170121576174
SRR9224074,0.0020143047887304292,0.0018769359343126222,0.0020442912082569748,0.0024043427399102497,0.004066850761373442,0.0030137611109946217,0.002343196752502654,0.003634727067166814,0.0033407342358288497,0.002194434601928171,0.0036101766069592425,0.003550361681600005,0.002223569106780456,0.002930420954710617,0.00279918885968644,0.002432222293516743,0.0019842262525748547,0.0029599256433681036,0.0026927451086471653,0.0024007547848642913,0.0026818952683837737,0.002897497525872754,0.003996111141937388,0.0023785886806177293,0.0036506006004990298,0.002458650353521924,0.0022150924876976658,0.002437674180358892,0.0022934318009005888,0.002400520172799857,0.005557205077953533,0.0025321145399257714,0.0023846493698101595,0.0028356906484796013,0.002367927840205277,0.002239379499605777,0.0029553481205606548
SRR9224019c,0.002819745112313879,0.0027107820617617473,0.0029136883949359396,0.003332793774405133,0.004830530917202708,0.0038181746738001144,0.003590776240246056,0.003281691687163253,0.004193606204224184,0.003009604626683617,0.004336834820452935,0.004539157128311297,0.0031557119048026914,0.0040247030853177365,0.003955124763844056,0.003325049666675053,0.0028965647623104464,0.004237674026565947,0.003638479585763177,0.003182457481453906,0.003565301335194558,0.0036161074313535253,0.004905498618993844,0.0033114773293907223,0.0043636529389445115,0.003283114263659702,0.0031073370714596485,0.003536477200658556,0.003344332138445916,0.003509564652919607,0.006476203836677119,0.0033228602266107345,0.0033516909889450323,0.004044401873483152,0.0034372742743187697,0.0032480647630875065,0.004331848905482372
SRR9224023,0.00240703894030796,0.0023775282774405352,0.002491918559040542,0.0029151442523091863,0.004401940837892011,0.003513426300799715,0.003302610885908326,0.00418464423021915,0.002466681700532063,0.0025626085879779004,0.004016209703675662,0.004132490498242685,0.0027731107098580617,0.003579675815995996,0.003560895417814467,0.0029143313171185736,0.002538479085894377,0.0036917200285466814,0.0031876059247308436,0.0028788140498823347,0.003223292567217649,0.003339998627827678,0.004552645989314136,0.002876298032289236,0.004104501294916903,0.0029684070634759556,0.002791572827615424,0.0031717490728599192,0.0028491664953140556,0.003057631146103374,0.006251163212550101,0.002966582592504705,0.003009478536640438,0.0035501873931457835,0.0030220420392151276,0.0029202063435741095,0.003966032049170759
SRR9224403c,0.0015443480691131504,0.0014543211813171657,0.0015602167273569782,0.0018523512747521543,0.0037157509224892867,0.0025601028491731384,0.0022948397382205185,0.003179292916757716,0.0027111351740817576,0.0016600022051963038,0.0032757955414520444,0.0031290155235568526,0.0017382563690251376,0.0023748147801522816,0.0022942224726506246,0.001914629498186575,0.0015442491694119412,0.002413453761086104,0.002196423907490444,0.0019610533229437624,0.0022060228738344538,0.002391532579914477,0.0035162606059208966,0.001934803767670155,0.0031937842018706516,0.0020093420294868204,0.001782283079469472,0.0020082061109263777,0.0018275350050060528,0.001913130735884877,0.005366825003434372,0.002114041946273292,0.001983530405171982,0.002289934502789222,0.0019393397328284114,0.0018613842067117315,0.0025115742156331475
