,SRR9224065,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224021,SRR9224024,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224291,SRR9224298,SRR9224297,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224470
SRR9224065,0.0005176135701732315,0.000545123579250534,0.0005570583976115067,0.0005718472968063357,0.0005435686195531587,0.0005033560822319879,0.0005909719510201355,0.0007478228913131979,0.0006500096716211528,0.0006283640673639416,0.0006856600571513875,0.0006425759913234816,0.0007238888685745359,0.0005799186405892874,0.0006583490604942727,0.0007629271314899116,0.0006141918049587346,0.0005404378075635907,0.0005104204434832607,0.0005183186390261403,0.0006012842793072414,0.0007538173642273666,0.0005552972096081209,0.0007073094733254679,0.0005423401623069951,0.0004926665887958898,0.0005338824547984019,0.0005579298036086525,0.0006946618614079743,0.000737775454277917,0.0005526251237556892,0.0005586954061486178,0.0005594591196456065,0.0005735655734559931,0.0006370328517781997,0.0005228415121737475,0.0005521858394518737,0.0005542024391819532,0.0005396935165454886,0.0007183551521450974,0.0005625507312847807,0.0004938193578606369,0.0006370719651219909,0.0006323612126294778,0.0006137609412953488,0.0008472675773342243,0.0005498974307985906,0.0005535039230622463,0.0007027525228510019,0.0005852427810507319,0.0005063740333171161,0.0006813133414821982,0.0006156386849362996,0.0006585277764950729,0.0005879965469973208,0.0005597536748778447,0.0006470750284958364,0.0005886744857114171,0.0005309241690627662,0.001389607229059683,0.0006862062755797256,0.0007800376382683095,0.0007845810235592976
SRR9224066,0.0005955895420919702,0.0006700867093294078,0.0006735415923006294,0.0006482453564425685,0.0005997811143288607,0.0005744127250369252,0.0007514437518042503,0.0008103406329132908,0.0007109242258896457,0.0006905493025206387,0.0007957204395019452,0.000652027442344974,0.0007507139249632367,0.0007142935025397872,0.0006964320242202844,0.0008066158665833084,0.0006979465409400142,0.0005495272451328479,0.0006643268876011436,0.0005549243704169971,0.0006207435073410625,0.0007966242802150628,0.0006590077737965822,0.0007948137705383628,0.0005807069297426154,0.0005371795881915013,0.0005724808433377167,0.0006086322281910069,0.0007552466779914743,0.0008075255619511112,0.0005801950824491577,0.0006208506376746531,0.000623532243901177,0.0005988028739971951,0.0006792683426973401,0.0006380405028605328,0.000618695490121524,0.0006132653699683456,0.0005863905989909785,0.0007750494315565524,0.0006090496350002638,0.0005754077627205892,0.0006839807483082865,0.0006913872108756056,0.0006587201330386917,0.000946942363278886,0.0006730781600326065,0.0006655223362063981,0.000812836048103412,0.0006250089880127532,0.0006284178824328478,0.000725168973659192,0.0006368210655010164,0.0007279781829821726,0.0006902593122801392,0.0006839310701333661,0.000675909828476666,0.0006726130923293147,0.0006163553851975957,0.0015359183844832565,0.0007548624815715245,0.000818205783717062,0.000842231376420327
SRR9224068,0.0006075462149025516,0.0006733931183214536,0.0006630579554268857,0.0006484692535419465,0.000604005560719455,0.0005809631104172857,0.0007535410429216028,0.0008168389599340194,0.0007049217859478149,0.0006984888131923784,0.0007925249954813768,0.000673087351958774,0.0007611699290878723,0.0007172156874180363,0.0007064974972009493,0.0008183049808856081,0.0007173721949190276,0.0005632360536031097,0.0006572508822721551,0.0005644341234645768,0.0006303625140594169,0.0007997628068685517,0.0006644325742031953,0.0007866632648998415,0.0005906327739808355,0.000547460597805582,0.0005826753845540846,0.0006143077733320196,0.0007493312338862769,0.0008090418563820064,0.0005899383395178646,0.0006260056472603743,0.0006304388686732721,0.0006078164930597905,0.0006800106717288236,0.0006381886565165889,0.0006157131252638946,0.0006057742835462162,0.0005827318230767892,0.0007882550371309134,0.0006167296386312153,0.0005751513667164384,0.0006909046786709156,0.0006927780473299069,0.0006621322901336316,0.0009443716002049825,0.0006741450865257244,0.0006652845533759497,0.0008111438144648871,0.0006275711505551173,0.0006214690121857286,0.0007269574449609128,0.0006458471012662206,0.000726572433112474,0.0006918210662944644,0.0006815251611520505,0.0006810861290037103,0.0006812216130858074,0.0006269273155131184,0.0015273241187327225,0.0007544255248066602,0.0008179103538646179,0.0008525140615488775
SRR9224069,0.0006021355779777089,0.0006218067183903157,0.0006228568287200567,0.0005999580830936767,0.000584102483236042,0.0005472163878003698,0.0006882894495150303,0.0007994297207835297,0.0006909622419057577,0.0006732339964596163,0.0007604286126224654,0.000657844214489704,0.0007506065515354526,0.0006639230862130297,0.000690579058667058,0.0008001816529331145,0.0006800527601328973,0.0005511172047709137,0.0005901754367956561,0.0005462783319459778,0.0006241103204011413,0.0007983311633090208,0.0006224597941887065,0.0007656521044866327,0.0005756120285362253,0.0005282966293451183,0.000566721730999912,0.0005983138398220174,0.0007355885694747233,0.0007967546705257536,0.0005763834878567368,0.0006070535173834301,0.0006110157240984987,0.0005954900449381376,0.0006682589434758097,0.000595278764093396,0.0005974533577335682,0.0005883590040027349,0.0005741804253793858,0.0007633105709596379,0.0006017793062964141,0.0005415711365265023,0.0006759208466552397,0.0006773072301405908,0.0006489671934961149,0.0009159412034688461,0.000623049072434014,0.00062259900751276,0.0007789015934159989,0.0006182067302082436,0.000572436892109374,0.0007160607722767723,0.000632004581460219,0.0007126932095899173,0.0006536560036965311,0.0006349541218269769,0.000672553426492921,0.0006446779840595503,0.0005932507972654984,0.0014730291618822832,0.0007380262891042632,0.0008229441765192377,0.0008353872170945355
SRR9224070,0.0005692738639703825,0.0005715607493022737,0.000576740742999051,0.0005800399813645045,0.0005321579804735484,0.0005120335189195889,0.0006331273346501715,0.0007521825124472253,0.0006621587563983796,0.0006425554439349996,0.0007215528493485242,0.0006228795200566399,0.000713605777661392,0.0006133040322762416,0.000659527294862045,0.0007605091652908999,0.0006434994820562635,0.0005206643377910512,0.0005421095478499345,0.0005175097313747015,0.0005902201051916859,0.0007465192025241827,0.0005876230028133823,0.0007291218249070066,0.0005464389613018944,0.0004971716446336007,0.0005363048163980851,0.0005606830293011004,0.0007011859184542142,0.0007625814572026435,0.0005469875723335522,0.0005709436879581534,0.0005735617423890318,0.0005653948331155503,0.0006312722136125398,0.0005478547437911121,0.000553941673834333,0.0005548703885685422,0.0005402606887861484,0.0007285469878726308,0.0005689590867390802,0.0005075188142301405,0.0006401987111055424,0.0006427163333817138,0.0006172934554391454,0.0008721190930730722,0.0005830838779020614,0.0005808679646799162,0.0007327314654604174,0.0005850750023145494,0.0005338443531612298,0.0006763919759044454,0.0005975918503637983,0.0006723019266485633,0.0006137075157654788,0.0005899656927473039,0.0006408802779891514,0.0006068641269780523,0.0005532718964214851,0.0014273479660218574,0.0007018914969671943,0.0007781420158856355,0.0007977074843375616
SRR9224071,0.0005412240003109859,0.0005619246423086219,0.0005693752948347346,0.0005585245483343285,0.0005263361348345771,0.0005027975102637192,0.0006204859495894981,0.0007136733206658119,0.0006375000538049386,0.0006146749942245315,0.0006995360078425966,0.0005999396749979018,0.0006899435858011352,0.0005989882882096277,0.0006365052115786409,0.0007264037143896603,0.0006039077688301615,0.0004956543407675049,0.0005384897205700682,0.0004902384547226288,0.0005648352039809813,0.0007268989538628472,0.0005685083607810112,0.0007068492811570921,0.0005149316697957494,0.0004730802603991174,0.0005147172704746314,0.0005404983964323696,0.0006708801347652237,0.0007183488309689355,0.0005190486948433968,0.0005427164616639087,0.0005458986551599227,0.0005417503449531942,0.0006061309177113609,0.0005345856241401442,0.0005360117054882105,0.0005265511903985235,0.0005104212407972489,0.0006896895385021534,0.0005324726083197111,0.0004901470987921509,0.0006036173716346823,0.0006083239219502818,0.0005805593847598455,0.0008401111768536622,0.0005711548851364113,0.0005687498447705797,0.0007086268219195996,0.0005592409494774148,0.0005261212157291945,0.0006429148265146746,0.0005643484701201138,0.0006426510346522683,0.0005885999155606785,0.00057561036333306,0.0006167471535215449,0.000581844237764721,0.0005323325064803282,0.0014224008130283722,0.0006727864588948393,0.0007320049728152616,0.000756217024557994
SRR9224072,0.0006484582853509738,0.0007578565797979238,0.0007593817586687812,0.0007220986790979551,0.0006692812349518604,0.00063972832373834,0.0008056684281975155,0.000877387651194419,0.0007578180102282386,0.000732734881205557,0.0008357817153947984,0.000706198675720144,0.0008008815896564298,0.0007663987608447574,0.0007403831964064498,0.0008476523415284312,0.0007484821227573723,0.0006027639160068125,0.0007435422732502184,0.0006094428617481438,0.0006738719696378697,0.0008540720887777816,0.0007106897375917508,0.0008418322353030933,0.0006456467933203864,0.0005917599633193362,0.000620139302273459,0.0006659244446984605,0.0008073344732516478,0.0008633715542803767,0.000643579825963969,0.0006804387150722822,0.000680343043465815,0.0006458584098050991,0.0007480103756973171,0.000702749099279166,0.0006744546084271015,0.0006881334830720089,0.0006554026899319526,0.0008371220839789907,0.0006567468139010589,0.0006455854692042245,0.0007432854468755508,0.0007601668108378662,0.0007331353862635347,0.0010118308575017393,0.0007343585933501464,0.0007249050353042375,0.0008470363746138351,0.0006769962594766273,0.0007218584125477676,0.0008002245159493666,0.0007063841395941006,0.0007935645365024046,0.0007441300202009513,0.0007520058365293644,0.0007187123796662117,0.0007160261280209473,0.0006815563641217755,0.0015541809896078992,0.0007989172117195684,0.0008531103085488168,0.0008899007869190459
SRR9224073,0.0007424745150997245,0.000741281968768965,0.0007459345366516434,0.0007583066684380707,0.0007176667219913749,0.0006622362947247166,0.0007993619341417985,0.0007583067155055685,0.0008296813850408724,0.0007996659106421914,0.0008820649278693445,0.0007644953799972081,0.0008668889954469736,0.0007928159884972975,0.0008201985660883518,0.0009191664372140481,0.0007955145668213346,0.000679306294120531,0.0007103953266121233,0.0006699633475189135,0.0007623052783432751,0.0009360805600658945,0.0007518768697043569,0.000886337147174885,0.0006987604025816428,0.0006448342025978284,0.0006880636670935227,0.0007196431437495349,0.0008885838149783135,0.0009515414853152758,0.0007044236985404285,0.0007328044744515472,0.0007440318709694758,0.0007245298183262123,0.0008039277799512058,0.0007170056766091663,0.0007238714862302487,0.0007363672854828564,0.0007297230380538439,0.0008738340731261787,0.0007238957666727062,0.0006704324122316905,0.0007951161100176816,0.0008083762825474984,0.0007882226904462238,0.0010613739114485581,0.0007564562546248262,0.0007474425793522311,0.000905932109272319,0.0007401773933448932,0.0006960759017097701,0.0008526047831359142,0.0007689564543235814,0.0008462269224847602,0.0007893033979128516,0.0007639158948669139,0.0007961404800393176,0.0007646226565095898,0.0007169869984732627,0.0015713187714484005,0.0008789872196480749,0.0009652492582589297,0.0009569097950585222
SRR9224074,0.0006686181915933115,0.0006686273891524519,0.0006635358416884715,0.0006759804757751887,0.0006522708063459606,0.000610739960471779,0.0007088883328271335,0.0008578754003683768,0.00068013890319551,0.0007187585798720867,0.0007782758211214305,0.0007356049847490955,0.0008166551539561097,0.0006995765157306863,0.0007436277562791671,0.0008576106531574172,0.0007421469174117768,0.0006319277462018325,0.0006241711146637011,0.0006147914971261186,0.0006910936925533483,0.0008685638918079977,0.0006626456665233521,0.0007907527523093683,0.0006407695244057852,0.0005916623314998193,0.0006241831055823499,0.000643808064047484,0.0007885673724709964,0.0008566039728571082,0.000649307783032802,0.0006665548827093856,0.0006748561549524224,0.0006565067648578316,0.0007263412493230434,0.0006420072727221989,0.0006500774461734745,0.0006623982498533443,0.0006505608956362629,0.0008391346639811373,0.0006651440573596699,0.0006076005958982596,0.0007406220645750494,0.000743179573889162,0.0007085504829616161,0.000976109280555735,0.0006634055881689283,0.0006614295679385511,0.0007933691537642522,0.0006845607507048174,0.0006229137603165966,0.0007825830559464357,0.0007103211237119773,0.0007729096647893866,0.0007002568480522178,0.0006715009923141024,0.000726559840652834,0.0006826624930502866,0.0006444338904980152,0.0013934873290469278,0.0007874861892002803,0.0008807695751219978,0.0008911899374017561
SRR9224020,0.0006515370342840572,0.0006537054861959825,0.000661669741096142,0.0006634094517173192,0.0006373087095107256,0.0005935418431726325,0.0006886262511641871,0.0008321058637572597,0.0007242069983998844,0.0006650013635717625,0.0007692831198629486,0.0007106448632020826,0.0007958309445602914,0.0006775177355422945,0.0007270629993185995,0.0008273404299809629,0.0007153458249194575,0.000609626452122601,0.0006170497693566807,0.0005982099799292834,0.0006719396118634422,0.0008269778018430038,0.000651464393576929,0.0007823133139721148,0.0006234497049102292,0.0005705157201112693,0.0006116032468472199,0.0006307823106926303,0.000767357087366289,0.000828142472564103,0.0006307298761985405,0.0006441353828043504,0.0006563085363564024,0.0006369781887828477,0.000712263382504726,0.0006291919049667599,0.0006341082901838074,0.0006456683008597679,0.0006295837591691027,0.0007996980946547967,0.0006415362539934767,0.0005868899854703957,0.0007163358872834623,0.0007169580665507104,0.0006987061105932988,0.0009548627605920597,0.0006508988463573613,0.0006520536931586342,0.000780256008776725,0.0006622497461404982,0.0006245468300513444,0.0007608699003940226,0.0006988529046969575,0.0007527171286158099,0.0006784126613167775,0.0006652762154728327,0.0007088605994664129,0.0006693606333077161,0.0006282710618003538,0.0014143634642181206,0.0007662658709510535,0.0008503162410460069,0.0008706448755241763
