,SRR9224065,SRR9224066,SRR9224067,SRR9224069,SRR9224070,SRR9224071,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224021,SRR9224024,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
SRR9224065,0.001919176020591903,0.001702771211240639,0.0020994868270159004,0.0021960263560044904,0.002190424317990974,0.0020940596572880193,0.0020347673876817884,0.002007861046805622,0.0019124274498203066,0.002027073677532061,0.002026114988045871,0.0019955009965427614,0.0021738586799779406,0.0019439185683782225,0.0021288111401301787,0.002234272316527013,0.002068019641182579,0.00192364998201205,0.0021529694579045665,0.0021062400003469517,0.002212693305378974,0.0021600200675796137,0.0021535111841465685,0.0020584119169896847,0.0022252551322433883,0.0021266186969534115,0.0020124004858955657,0.0020349602142872977,0.0022521060829868928,0.0019858017026493633,0.002172464679774135,0.002028017659406267,0.0021338064283852112,0.0022813074003896396,0.002479461008054911,0.002115347224960389,0.0019428798722058384,0.001948605816941962,0.0019914300245711153,0.0020112429973916696,0.0018548090209103332,0.0019682584689424036,0.001898785588124617,0.0018308680912775533,0.002097873142090546,0.0018186152198692695,0.0019249466279332118,0.0017391442286366484,0.0018231057767007803,0.0018169467336993383,0.001859285770526452,0.0019774963126071594,0.0019741564451877633,0.0019236183525082335,0.002122575116457551,0.002099792296767875,0.0019879895428178518,0.0018535339458153977,0.0016644872797295786,0.0017186780855185883,0.002026136399942297,0.0019618304821166547,0.0018431368249789515,0.001745711350362148,0.0016656816185188243,0.0016574422297618353,0.0017388481789418688
SRR9224066,0.0016229513770624562,0.0014496098544386543,0.0017886048073731833,0.001938104136926011,0.0020972211315685926,0.0016002794062508193,0.0018752623719057763,0.0016371592332221755,0.0012835303504622748,0.0013175139415268278,0.001609829131654566,0.001616471177778197,0.0018623986828290508,0.0016287204948788015,0.0016616434546567551,0.00202257909924007,0.0017688399684286011,0.0017306226872243014,0.001979451585918244,0.0019094175246837644,0.0022165708673019674,0.0020508536506864054,0.0021820242099092175,0.0018549429676663755,0.0022786316141839686,0.002072433710052906,0.0018236398168040048,0.0017174931027120238,0.002244834056100721,0.0016669608407041655,0.0022380104036942372,0.0017916475611181786,0.0021000663609301953,0.00246211032738234,0.00250250256909089,0.00205550062159318,0.0015170742064717056,0.001690155713069648,0.0016994149923303357,0.0018762331479195375,0.0013821849359868337,0.0015220787447410024,0.0014971785464889013,0.0014662857680145106,0.0018154435066440335,0.0013250737182762048,0.0014647113194089416,0.0013076028667558014,0.0013792028909874914,0.0012430707836903825,0.0012002525421580094,0.0015786739024319732,0.0017762540756257501,0.0015755678551289075,0.0018319385433737052,0.00202501214837379,0.0017287181916813017,0.0011863730936140227,0.0012103562759220522,0.0013026437368852462,0.0017186198739758535,0.0016627561472600065,0.0014593846646882938,0.0012201733024160015,0.0011984150115763531,0.0012147511280244118,0.0010992439301296454
SRR9224067,0.002145556781343211,0.001891683497475726,0.001669554044316543,0.0019087293603584,0.0018436117861273687,0.0019635847356141187,0.0017233814612391378,0.0018041715477702372,0.002100063117699044,0.0021459522101442354,0.0019440906381683843,0.001950172199740807,0.001993584288627457,0.00171662761392699,0.0020609035846555807,0.0019472941778452685,0.0018068333745902135,0.0016132803024082312,0.0018552718747059415,0.001820658261486023,0.0017894301141828212,0.001827814263170015,0.0017424997699845702,0.002114278334464158,0.001795094437733529,0.0017602701981631623,0.0016925668686692272,0.0019000131357154776,0.0018431208589160192,0.002029087409572866,0.0017273211378781822,0.0017757268168862067,0.0017218967797435671,0.0017930657922336395,0.002168805990144789,0.0017396787355488349,0.0017748149499258509,0.001692746773096106,0.0017599846511292827,0.001686223049974045,0.0019656024925102985,0.00195849881529393,0.0017598129126973926,0.0019720942400811184,0.002088913638491253,0.0019881290957230726,0.001811261094731508,0.0019592759684233033,0.0019935345196324446,0.0020293532682431597,0.002053329424025777,0.001990873833547787,0.0020709172157859375,0.002021371492885963,0.0019465357220900782,0.0017453873340802267,0.0017844399476169553,0.0020562721651413906,0.0019226821950982923,0.00192320959730073,0.0020074821823547646,0.0017223239890369732,0.00199134308051136,0.002040993710393491,0.001961486663372718,0.0019379348445448148,0.002079896723158329
SRR9224069,0.0022298097706278793,0.002040338769555878,0.0018972667999685496,0.001740017646355297,0.0018729988570282414,0.002012962008664293,0.0017574971353968472,0.001854198748424206,0.0022216622651187717,0.002253662827313386,0.0020236385181734463,0.002032131605671729,0.0020709876637170317,0.001757246916316723,0.002136152056955812,0.001999309994487469,0.0018628147977039398,0.0016431011703115742,0.0019175729469787116,0.0018733688542161263,0.0018289898005576367,0.0018785896001212794,0.0017744967607931604,0.0022480053838723137,0.0018477244199677477,0.0017941786555546791,0.0017402758494448475,0.0019784728669101654,0.0018938581493145945,0.0021374056301092124,0.0017610560689751479,0.001830403163179533,0.001763036753390613,0.0018150948733131167,0.002255897423767077,0.0017802114235024793,0.0018324517473673754,0.0017386777247696268,0.001820308194836666,0.001730861750260902,0.002085925499591018,0.002059431006409484,0.0018450551657114424,0.002121769542986468,0.0022052682054256897,0.0021405159051569437,0.0018881268373661035,0.00211039577384092,0.002138227602988744,0.0021671515044028758,0.00216309815824601,0.0020962749245733263,0.002187796561514067,0.002143572454374979,0.002036022283328892,0.00178231137583108,0.0018526405539099097,0.002168181470830398,0.002082730683151207,0.0020579889243537387,0.0021125054512079237,0.0017687023635978329,0.0021285676638916153,0.0022029735823139987,0.0021053107622438414,0.0020936467754307775,0.002230948002434365
SRR9224070,0.002266626909494448,0.002223040887216346,0.0018712226623766944,0.001911112806302977,0.0016895666804902527,0.002030672488485461,0.0016998533584398968,0.0018568567686320296,0.00238331933717411,0.0023719561779886374,0.0020799056778820603,0.002090760078499487,0.0020854446106129787,0.001736256870198844,0.002191710119277357,0.001965701288956415,0.0018271216261117424,0.0015911919155898908,0.001871287084941468,0.0018433825284490024,0.0017308761018698584,0.0018255159807887235,0.0016743837239393566,0.00236946854730929,0.0017466685939559583,0.0017177096424978314,0.001682086713010409,0.0019992675960185577,0.0018232876025241818,0.0022349912512633673,0.0016632598377862948,0.0018099051357945621,0.001680979374841356,0.0016904145922400828,0.0022165322630852023,0.0017065921615955404,0.0018526322512981517,0.0017132269887763978,0.0018229762607869196,0.0016789775537283662,0.002214406777925498,0.0021609207245667224,0.0018726192932679924,0.0022698565470249416,0.0022744823328182794,0.0023191353163598554,0.001944407177126885,0.002293146285795783,0.002297538100499314,0.0023537158759792142,0.0023335502078566596,0.002168170611006264,0.002323816492741185,0.002261057324715258,0.002045454783614272,0.0017172629499356273,0.0018575031511745433,0.0023467080492546497,0.002290015724117975,0.002233977158987064,0.0021906566577926567,0.001740759491370476,0.002284944823149332,0.0024008296753347557,0.002323700174986933,0.002318602962128444,0.002468560467652117
SRR9224071,0.002128721058001365,0.0016943113646861634,0.001949832765813051,0.0020125132220790865,0.0019888300854145682,0.0017385922143737507,0.0018574011051782457,0.001886601965761136,0.001958597289922368,0.0020294107660201693,0.001946839539778672,0.0019540220205804533,0.002055028929705324,0.0018075685872762407,0.0020688662205288234,0.002069482741513276,0.0019179553111260943,0.0017567306807148438,0.0019663763659673247,0.0019229603353421896,0.0019663309316279784,0.0019749811211728454,0.001932630079056184,0.002018182333547472,0.0019821136504422506,0.0019299092507945941,0.001826099506118755,0.001954670468298805,0.002015167498517467,0.0019437983463372534,0.0019333524753613871,0.0018798266714093132,0.0019010159974298742,0.002023923148880822,0.0023018550956718157,0.001895554968100208,0.0018230154529712641,0.0018035539442627516,0.001849504977111434,0.00182636084041259,0.0018413609578251879,0.001918938351026042,0.001817652794494403,0.0018177649280352124,0.0020454284523418968,0.001811713383108936,0.0018348371115525682,0.0017501946674780874,0.0018296569381305704,0.0018410155002364693,0.001892010885254813,0.001936523043930524,0.001929851608264411,0.0018994743754721798,0.001966502016721835,0.0018994032969553139,0.0018706500066055795,0.0018863485180832735,0.0016954177311181273,0.001750502910987125,0.0019553903544468855,0.0018242891979293066,0.0018417382841193796,0.0018099263657405157,0.001721824278565684,0.001694129522097428,0.0018369207847970847
SRR9224073,0.0021032022430373452,0.0019905154832839814,0.0017452988439649348,0.001789559917187208,0.0016960039316845218,0.0018933691570525238,0.0014620134691506806,0.0016876898162143962,0.002147974054752646,0.002140766670097262,0.0018884787518034084,0.001895072135867333,0.0018971214529158267,0.0015806968183853369,0.0019999504980542085,0.0018245222747603801,0.0016771334732086636,0.0014521231127772906,0.0017197064285963154,0.001677647089093618,0.0016178571498639007,0.0016762564313453545,0.0015474820154094313,0.0021263262347737902,0.0016140118166956903,0.0015800409793870003,0.0015327228235387485,0.0018103485793179667,0.0016660814913104615,0.002011960241136408,0.0015274695708896325,0.0016450646925172058,0.0015438185633360614,0.0015684780613904653,0.002056169536879737,0.001560655995313711,0.001662088915004296,0.0015500917481461674,0.001645322923476972,0.00153607218232456,0.001974306730282832,0.0019379518234261836,0.0016834131647150265,0.00202269735453246,0.0020697807586938883,0.0020606830750351177,0.001736145472777305,0.002039383385313954,0.002048077208722144,0.002094352966469741,0.002085976033115534,0.001952013373648747,0.0020909816099290795,0.002033465239615759,0.00186272081673844,0.0015701100457515577,0.0016801225944470968,0.0020888567540130864,0.002024122270810748,0.0019690809389309332,0.001979140255960869,0.0015847523575708618,0.0020442543673394177,0.0021300117195597384,0.0020561629911263887,0.0020477677243774164,0.0021815073713694036
SRR9224074,0.002036069294779437,0.0017293053784463296,0.0017898662768192418,0.0018507121531657217,0.001816283316209108,0.0018829154043644495,0.0016543323773381986,0.0015363676225408956,0.0019160366022943694,0.001973931578322835,0.0018051312171084464,0.0018250385290063931,0.0018856695378393887,0.0016242397958282314,0.0019389990179274359,0.001893352745065747,0.0017267615604248505,0.0015387686970988516,0.0017818749350616474,0.0017333929353686476,0.0017508824617459672,0.0017607522326136237,0.0016918431165421986,0.0019812778804294464,0.0017482639166384523,0.0016967566026633441,0.0016153819566787758,0.0017717077483214061,0.0017809845771985821,0.0018652722778292532,0.0016809308152427565,0.0016834041681516806,0.0016671088428008487,0.0017619096869532851,0.0021087007180539555,0.0016728824960219356,0.0016444245852561682,0.0016019949837230438,0.0016548681539564375,0.0016102154417568465,0.0018046401890460257,0.0018200385926671443,0.0016407451691233944,0.0018031993816315151,0.001955891207711717,0.00180458567337355,0.0016896327575094982,0.0017727529919561457,0.0018221744265391803,0.0018402084435294819,0.0018655239792718756,0.0018264150493868259,0.001909909659160918,0.0018525820202294158,0.0018379596108721722,0.0016768414134455962,0.0016870091411245415,0.0018352033105846766,0.0017372016689633843,0.001730537114354154,0.001863001399571996,0.0016257236915002136,0.0018264084601595967,0.00183605643696745,0.0017690160684216243,0.0017342837852941859,0.0018585029306166006
SRR9224020,0.0019099462242952794,0.0013507134526189993,0.002056665046277399,0.0021921397810605366,0.0023144305759984856,0.0019220309163436558,0.002085192677902303,0.0018877533005135963,0.001487969813949163,0.0015914837043780156,0.0018191262725281536,0.0017979119974311432,0.0020478936277912633,0.001880847194305688,0.0018972614322981915,0.0022654792304903585,0.00202113843335924,0.0019417892609896895,0.002153080372983899,0.0020752047733769833,0.0023890899528092287,0.0022287589115575586,0.002363332903296694,0.0017807588427895575,0.002408951027326929,0.0022588089631537835,0.00204978351446522,0.0019013691808823117,0.0023996053015238696,0.0017361788281587015,0.0023966554302774835,0.0020120327908468437,0.0022866558895581453,0.0025809752306550963,0.0025599426186374273,0.002234410729186976,0.0017786461846187906,0.0019345268040799246,0.0019052385474289206,0.0020695116740139406,0.001541039970157515,0.001708806769648701,0.0017163213369571018,0.0014821491862114797,0.0018805078934260263,0.0014134029737974587,0.0017100358367135378,0.0013649471172468416,0.0014687220090879743,0.0014152428626687211,0.0014240981587140958,0.001724467491270112,0.0016630657698285343,0.0016385609556611995,0.00201249681385451,0.0021980424142777916,0.001917345556003058,0.0013928154697948605,0.0012420789877769498,0.00134105302880047,0.0017917297532274725,0.0018886458175213748,0.0015261204706225634,0.0013338167935886844,0.0012715482252650316,0.001236849817877492,0.001252932507930927
SRR9224019c,0.002029280955865923,0.0013909406021056587,0.0021049615251219986,0.0022253689223373577,0.0023017167326978873,0.001997281015264576,0.002079133479414078,0.0019493780490628047,0.0015996337906299684,0.0016231635577946516,0.0018811243870813885,0.0018667959114263618,0.002091011309528533,0.0019125900394636795,0.001987832466696326,0.0022594514342050725,0.002047482094793619,0.001940473766533373,0.002171299607505619,0.0020927008091898604,0.0023480645829582485,0.002194960501806469,0.002295665284171789,0.0018124998702212269,0.0023517060210135597,0.002215478886881676,0.002031411862572236,0.0019265295101399643,0.0023285846754867107,0.001755553754130509,0.0023128917569884676,0.0020003507766846243,0.002232852565907953,0.0024787453375967644,0.0024881429379307574,0.0022014723148678,0.0018242389554748554,0.0019213756618353954,0.0019295042685029118,0.002033599544652465,0.0016104701153309316,0.0017880864652671951,0.0017574459064615558,0.001538569865012347,0.0019125985244910567,0.0014778731389284855,0.0017450083495293227,0.0013962199318407627,0.001512870605346912,0.0014828663631919455,0.0015318425357598187,0.0017634307628099806,0.001693629178538497,0.001663486725464244,0.002006220781351884,0.0021771677468516554,0.001945156430569989,0.0014822510286687269,0.0013071564936261008,0.0014035629791898905,0.001836280383118595,0.0019098761948649558,0.0015484826431289781,0.00139734888575095,0.0013265140431587656,0.0012872087779818174,0.001339141460638846
