,SRR9224066,SRR9224067,SRR9224068,SRR9224069,SRR9224071,SRR9224073,SRR9224074,SRR9224019c,SRR9224021,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224135,SRR9224462,SRR9224311,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224168,SRR9224113,SRR9224114,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224249,SRR9224256,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224471
SRR9224026,0.0005087975502264373,0.0005256524272239061,0.0005121638812583076,0.0004929884015071195,0.0005100817623478959,0.00046731191537685053,0.000518550828922606,0.0004923507963610298,0.0005151402876873252,0.000508288347820265,0.0004462874511536038,0.0004908607763225064,0.0004961482816954689,0.0004775483529163165,0.00045757655477764793,0.0004632682697772584,0.0004873424975548494,0.0004857833572923612,0.0004951377698706495,0.000504279265468759,0.0004991929378986107,0.00051730090078662,0.0004754960830434141,0.000492220078977846,0.0004853541112389682,0.0005051570854884239,0.000474489146631193,0.0005182425939483981,0.0005191177919977704,0.0005131775048480299,0.00047189703615245775,0.0004665244102145144,0.00046889914014425145,0.0005142390143066821,0.0004828816324365405,0.0004718365988381825,0.0005048804060855342,0.00048771757674630624,0.0005032692559244831,0.0004968049155980086,0.0005021211709004643,0.0004734535740879661,0.000468078702749799,0.0004891343647297072,0.0005613045828774625,0.0005018712240220873,0.0005115067654761535,0.00047702906625532004,0.0004655789161019546,0.000479274000824808,0.0005035772344019666,0.00047799711128604356,0.0004835513394667433,0.000526524768428996
SRR9224025,0.0005102166733115559,0.0005156651211755294,0.0005092252394946821,0.0004891079333230062,0.0005121136388145556,0.00047262699468470003,0.0005184154306769666,0.000491959987809209,0.0005108999762872207,0.0005141987920159755,0.0004865492985132276,0.0004422565749881505,0.0004897387770365033,0.00047040367903819827,0.00045340383426476356,0.0004617021504916689,0.0004908478794351805,0.0004869956724932978,0.0004932084538618342,0.0005084154146691424,0.0004935853305197775,0.0005221650648553484,0.0004750919384425629,0.00049407309835112,0.000488263687866154,0.0004948310184149932,0.0004647319423779171,0.000515766452073665,0.0005233386166113488,0.0005080653484917216,0.0004694929975765913,0.00046175278852284127,0.00046844819096507486,0.0005066662249589482,0.00048306099260321447,0.00046180132426372765,0.0004898546425283181,0.0004924625694076559,0.0004951172060140128,0.0004997394442913315,0.0004977747179276977,0.00046548269925248613,0.00046318623803534125,0.0004822203826040751,0.0005452065823915866,0.0004986473494686044,0.000511192732047686,0.00046954992397309485,0.00046538450479682473,0.0004726805095003567,0.00048718218389078466,0.00048077695038572827,0.000485376158711819,0.0005187720446943187
SRR9224018,0.0005111616435654637,0.0005210673839505236,0.0005122786354147535,0.0004956204918041894,0.0005054135489878412,0.000475146384429794,0.0005198601468718731,0.0004853064306658705,0.0005008471592099313,0.0005126486226769894,0.00048791442703204226,0.0004864056934377742,0.00044278220458758295,0.0004770586952733803,0.00045855059245625745,0.00046731107236029607,0.0004957774845942915,0.0004873320306640047,0.0004922736870829416,0.0005033396603290542,0.0005069125810604953,0.000522314855303049,0.0004671848576384629,0.000491651585330231,0.00048448654389408153,0.0004952840627086148,0.00047310606072492546,0.000509184355739351,0.0005154505057068749,0.0005012305100438207,0.0004701664605253925,0.000467584940752064,0.0004697635715388603,0.0005090990800153344,0.00048466714605953414,0.0004631670313442469,0.0004998712140939308,0.0004956500915933515,0.0004996704011890104,0.0004959497712908284,0.0004982695123882879,0.00047309316101519847,0.00046437518746895355,0.00048380887285566347,0.0005541237575533622,0.0004997945210486115,0.0005092134524895528,0.00047818166376597973,0.00046609875987798716,0.0004761556784019981,0.0004898670964280118,0.0004790400972170408,0.0004783594079838307,0.0005179551317060966
SRR9224017,0.0005155461680097919,0.0005027499474057396,0.0005015627978621482,0.00048303179439049287,0.0005005094863071615,0.0004641876954686739,0.0005099607028929389,0.0004890548677992176,0.0004967759040072712,0.0005037068550237823,0.00048120044525254397,0.000477664706082427,0.0004880059674914037,0.00043428106735027267,0.00045310563013804594,0.00045934376360857223,0.0004791671271435506,0.00047958572859516297,0.0004821925438957684,0.0005075998929852216,0.0004858212740337332,0.0005100940999152455,0.0004627005580865218,0.0004814987477055206,0.00047490138411819386,0.0004907077344070891,0.0004665201755113475,0.0005018814783539922,0.0005116272545926365,0.0005007254159627109,0.00046831100571162216,0.00046170226339541543,0.00046060489549529867,0.0005002056060481462,0.0004705766519176162,0.00045832550200452106,0.0004908203007350371,0.000481110666281877,0.0004940509224611265,0.0004887177642131882,0.0004962741316610249,0.00046265109861362363,0.00046060126664159936,0.0004800619572620469,0.0005532601148770965,0.0004900667538757621,0.0004976691174107966,0.0004720804247121951,0.00046022851680943365,0.00047020000752886874,0.00048516962242766565,0.0004733442191119747,0.00047552991126654045,0.000518404224552222
SRR9224403c,0.0004975103754283142,0.00049779427281382,0.0004971359330782772,0.0004892331286908147,0.0004916086377911602,0.00046154019935083253,0.0005056290986023436,0.0004832994123699324,0.000499822174485157,0.0005006821207286143,0.00047888073296746623,0.0004791243557213344,0.00048740617670872926,0.000471076923776981,0.0004467755002068282,0.00045680091413245066,0.0004832214216783352,0.0004750613611800126,0.0004866182087421896,0.0004862766190922553,0.00048024745297752213,0.0005036430138124083,0.0004645145446488184,0.00047736409617067367,0.0004733144015417125,0.0004897605105307898,0.00046507830434814874,0.0004987774155306694,0.0005077986809847391,0.0004972106246332631,0.00046354445731241334,0.0004697436927200939,0.00046555160762585455,0.0004961728743156685,0.0004670217017763766,0.00045970059041772454,0.00048776800735255446,0.0004787626088658849,0.0004916844420547557,0.0004860490637824321,0.0004980854718754841,0.0004612258720262331,0.0004625971878159678,0.00047691502306977576,0.0005445756313392081,0.0004979527593635,0.0004993150586133528,0.00047235540309009563,0.0004607208936098411,0.0004755503355848019,0.00047696716619359395,0.0004746677308809303,0.00047305924842520484,0.0005099246260353624
SRR9224404,0.000504232545500217,0.0004999622715776615,0.0004947111610261781,0.00047948652728632885,0.0004937189396601816,0.00046149089057934194,0.000506743517059926,0.0004813794913036046,0.0004919225035289447,0.0005022013996982663,0.00047443035192041736,0.00047737713073304946,0.00048581686670767565,0.0004672801154661151,0.0004469261861344785,0.0004250559885833169,0.0004797793701806531,0.0004724874884105115,0.00048627412712145597,0.0004882599776114201,0.0004840125982975282,0.0005054960300292929,0.0004655169184433291,0.0004782400332273831,0.00046762860545931034,0.0004920200397432187,0.0004627729011558364,0.0005037178150821061,0.0005134381666905293,0.0004983369455444113,0.0004574685542797796,0.00045449145780325365,0.0004577597068270686,0.0005004735452844096,0.00047256474773623385,0.00045618603875629264,0.0004894614632114926,0.00047879311494291075,0.0004888114682657292,0.0004827597703054271,0.0004941388611291563,0.0004577295173659933,0.000454421141387501,0.00047491329129010205,0.0005429052641298323,0.000489647864093647,0.000496291684901889,0.0004682879115374435,0.00045467974031635633,0.0004641108709369935,0.00048216059573674003,0.00046780919973166146,0.0004669632503071637,0.0005036663874043697
SRR9224135,0.0005085830534635141,0.0005034782148012596,0.0004952488210902803,0.00048350563624922677,0.0004978892613000023,0.0004658000485388146,0.0005054324207080183,0.0004919800074166171,0.0005038853287340671,0.0005156269351085226,0.0004756719814621597,0.00048355016730640367,0.0004920009959530975,0.0004644364979715704,0.00045090807368391224,0.0004572927622906406,0.0004289684453312123,0.00048163868935719654,0.000490664645668691,0.0005015542536432607,0.0005067867779458095,0.0005213205189403986,0.0004668467229074253,0.00048035911905452847,0.0004755361155698753,0.0004948275633384759,0.0004643324796516983,0.0005006118178515061,0.0005264332142122142,0.000502319608022175,0.00046629037041802477,0.0004567890446335665,0.0004623828431408103,0.0004994139581655189,0.0004794148396376283,0.00046249969386921605,0.00047749634728877613,0.0004824081885719162,0.0004822603790310971,0.00049389070942004,0.0004992615586097185,0.0004596755583873401,0.0004605057058403286,0.0004771005144598617,0.0005572290628917104,0.0005053567940454853,0.0004995308579101073,0.0004744929802829269,0.0004534161271771671,0.0004657934886719353,0.0004889188897381655,0.00047783603786421825,0.00048114443790176343,0.0005150768403519914
SRR9224462,0.0005228988092832321,0.00051812335400331,0.0005051628106513357,0.00048819611371890244,0.0004997663906933862,0.0004663409250743698,0.0005170554958286247,0.000493351184149132,0.0005127269072570465,0.0005150351379381965,0.0004814756661286658,0.0004872708414619691,0.0004906476286362016,0.00047209549331830587,0.0004498382458323196,0.000457271857930036,0.0004890854794436015,0.000437754946954671,0.0005003368376370154,0.0005101191104978716,0.0004879555288781298,0.0005208733514620861,0.00046933897271976777,0.00048728004559883854,0.000490762863808944,0.0005008190477528859,0.0004684055128260875,0.0005062962709661124,0.0005207477168204304,0.000501941460454509,0.0004692391829765786,0.0004581166086915721,0.0004701358029972584,0.0005133780186926436,0.0004825139010767075,0.00045978485202688587,0.0004980206615692046,0.00048133462958766465,0.0004901248735255774,0.0005015734496969887,0.0004995420965205794,0.0004717433418791159,0.0004634742523731847,0.0004852448892484268,0.0005635612334878534,0.0005094601825441156,0.0005113201150415375,0.0004792642932492843,0.00046110079966734454,0.0004703961054733364,0.0004925738635866962,0.0004814914264226136,0.0004873581714118409,0.000524191520718654
SRR9224311,0.0005244465431780514,0.000526399953431259,0.0005034371889435789,0.0004902331227708013,0.0005033074719624353,0.0004722918196275991,0.0005210032083046858,0.0005069450774728307,0.0005147556295570508,0.00052337082957976,0.00048799261970806543,0.0004908289203862267,0.0004928849448133173,0.0004723497076023094,0.0004580586147401387,0.00046796576620920436,0.0004951999476228697,0.0004971971425341946,0.00044937422396869125,0.0005174597957245388,0.0005032373504223949,0.0005347510292117385,0.00047934147446140624,0.00048818157483383073,0.0004918108477459249,0.0005092369358386371,0.00047740394422910576,0.0005143423697444457,0.000525145586716394,0.0005175083513023602,0.00047068645541819545,0.0004644016236958167,0.00047701800530605557,0.0005208549081444451,0.0004856893784381721,0.0004631149620057297,0.0004969289575915905,0.0004888220625803829,0.0004959903320030418,0.0004955112357376836,0.0005030937871350424,0.00047218791531198164,0.00046879839196578246,0.00048393235985578326,0.0005624938540156066,0.0005150677181263898,0.0005147463170998888,0.00048669492630957004,0.00046284790151152326,0.0004786157227279574,0.0005088525370953726,0.00048582508862292194,0.0004913726842011591,0.0005282457871892408
SRR9224292,0.0005266027565189784,0.000536707127217169,0.0005077589270846913,0.0004867428107413247,0.0005155052595209646,0.00048111320228874107,0.0005194751975266416,0.0005023022669711725,0.0005262397501878865,0.0005213171885852049,0.00048278410896534997,0.000491840994461565,0.0004905590556159801,0.0004834582010137458,0.0004459884518059107,0.00045689514294427764,0.0004915109200395218,0.0004926264511565392,0.0005028305818765721,0.0004306441036354109,0.0004937555135408515,0.0005289517910949314,0.000479881953151271,0.0004907711977473489,0.0004897670613947379,0.0004984157776617993,0.0004789351011365157,0.0005150497431925754,0.0005274315957418621,0.0005271362106517285,0.0004711716467661873,0.00046478636380030696,0.0004693075663650408,0.0005112526055355596,0.0004904832687303699,0.00046197389535599623,0.0004949535059971006,0.00048545641048765797,0.0004989295802101186,0.0004928233034507095,0.0005012566027068181,0.00046926919779194837,0.0004673865135240278,0.00047223509568228994,0.0005834846304291964,0.0005170727691084514,0.0005146913751353004,0.0004819690487047259,0.00046173192728978576,0.000470782511857143,0.0004964684929606075,0.0004833166501738077,0.0004921033742590867,0.0005312200167711324
