,SRR9224065,SRR9224066,SRR9224067,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224021,SRR9224024,SRR9224023,SRR9224026,SRR9224025,SRR9224018,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224168,SRR9224169,SRR9224113,SRR9224114,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
SRR9224065,0.0004653431234928857,0.0004772790978950519,0.0004743989243994057,0.0005198451643858761,0.0004888667073717112,0.0004681486463763886,0.00046974490394963484,0.00047693428070608656,0.0004684376025561815,0.0004691698678380851,0.00046212962859001764,0.0004674180337857228,0.000473593881337447,0.00046906121567019183,0.0004905659399255048,0.00048083654925772616,0.00047144860254220224,0.0004689311508647913,0.00047137358065374186,0.0004615805553738599,0.00046626054300251873,0.0004719430268161691,0.00046880573982243783,0.00046871174198999453,0.00047046965306245974,0.0005075972717474727,0.0004700952175927419,0.00046362723374088205,0.00047682170145033726,0.00047019527856835655,0.0004727650732585969,0.0004914095096640593,0.0004899030595108274,0.000470742851596731,0.0004775103536397107,0.0004856737101778032,0.0005151007098612234,0.00047330844195364374,0.0004776616799195839,0.00047997008573435134,0.00047356283645219724,0.00047330324088010146,0.0005036329466965573,0.0004674879661583783,0.00047989596075792557,0.0004808838028191395,0.0005254918242528643,0.0004762613822145817,0.00047467076540319206,0.0004807960121998318,0.00048043961309284124,0.00048602945263078194,0.000475180396740305,0.0005078795254897592,0.00047501607166823887,0.0005409803937705236,0.0004895894369450646,0.00047760850618359246,0.0004693033231939055,0.0004724538811266508,0.000484177030862885,0.000481850891069295,0.0004679950018287915,0.00046662230509188994,0.00048408834499011523,0.0004680751406786651,0.000478299173062109,0.00048167881099516786,0.00047787219325793977,0.0005005474191429682
SRR9224066,0.00046453206133591267,0.0004350152893379191,0.0004583991305732351,0.000509641887764962,0.0004647989050194831,0.00044560154265217944,0.0004447858566511911,0.00046748205624670214,0.00044658450670598347,0.0004450270202281078,0.0004431251535205187,0.0004466176385292253,0.00045546288885589596,0.00044799546664494303,0.00047669908330896224,0.0004567160646415753,0.0004492226821040065,0.00044608276755609,0.000455891736808859,0.0004365362682078026,0.00044982101382490925,0.0004605579463146519,0.00044978243397687123,0.0004436737175177702,0.00045304550511184245,0.0004971559819327741,0.00045072575125398986,0.0004496984903063339,0.00045916087945649565,0.0004523745341263804,0.0004536592681878712,0.00048255352195828366,0.0004839147268197921,0.00045604686850545944,0.0004644532956006298,0.00047325523703709536,0.0005040253789451578,0.0004552373317942228,0.00046246454182602876,0.00046274391289009316,0.0004533025757885517,0.0004540260664083997,0.0004928168233581816,0.00045525854719976597,0.0004658847359608889,0.00047008151355369383,0.0005103105082943795,0.0004651631853415362,0.00046187182105271815,0.00046885416897160054,0.00045750856955072605,0.0004700400336234455,0.0004565623824040207,0.00048526257752232025,0.0004581419381415402,0.0005305991141022558,0.0004809138934548635,0.0004560434302781449,0.0004447548845526008,0.00045685270582952693,0.00046281825715297593,0.0004688195766051391,0.000451620576637143,0.00045049227357836025,0.00045953232334146083,0.00044807703342198053,0.00046457935634800456,0.00047040056125700495,0.00046519253752563854,0.00048424021500025814
SRR9224067,0.0004699667978602522,0.0004665942521220031,0.00044177816154888986,0.0005069978893081384,0.00047487108265387374,0.0004541078035627397,0.00045202306989505775,0.0004673406956472466,0.0004538250237834923,0.000454370416247597,0.0004499968444059347,0.0004531063217246413,0.00046042220984472226,0.00045633846525060175,0.0004808019449870035,0.0004660143773820838,0.00045838834359272795,0.0004551186329483343,0.0004591593190393846,0.0004453179098537596,0.0004536760789701757,0.00046115052782771607,0.00045446919784201923,0.00045444807550121643,0.00045851671732382785,0.0005010517415469487,0.00045743665686846395,0.000452068262888622,0.00046589268143112884,0.00045907247319097386,0.00045848321661401636,0.000479108476371939,0.0004812890929260366,0.0004597101816793367,0.0004661461406614933,0.00047419507622542426,0.0005067603063447745,0.00046169219917311744,0.00046688936236852745,0.0004664180398786832,0.00046103390696797524,0.00046222556179554197,0.000494185457503439,0.00045756498633451405,0.00046916618536953377,0.00047149999519021475,0.0005094457853378701,0.00046333555437361065,0.00046259602380921324,0.0004704463886221575,0.00046682399904302116,0.0004736266635944139,0.0004622496669361511,0.0004924623694222212,0.0004632562578815149,0.0005291880937263378,0.0004791459344081104,0.00046461545038161973,0.00045353279564381107,0.0004617883505028436,0.0004703120933641423,0.00047035131449079255,0.0004562088624777214,0.00045524875300238067,0.0004691024066157683,0.0004551929711694347,0.0004689923127496193,0.0004710281481216603,0.00046569537308165223,0.0004881717082655891
SRR9224068,0.0004816397124079393,0.000483742777220579,0.0004738559451949441,0.0004686983698423083,0.00048226112908767696,0.00045985654192818676,0.0004604294116058245,0.00048706901651164955,0.00046189927964175354,0.0004607710027330538,0.00045590824488452833,0.00046649882562067125,0.00047476169763069483,0.0004605361311749705,0.0004938681386203836,0.00047151553601461614,0.000465970225806651,0.00046178431248347906,0.00047026766533688207,0.00045093952932454023,0.0004658872961111557,0.00048585351099662523,0.0004654581649023454,0.000458784935629073,0.0004712047698583752,0.000517363049678081,0.0004651734463892331,0.0004689834734707726,0.000473676585633434,0.00046967831144032374,0.00047087991038858966,0.0005069252509751896,0.0005062020802703941,0.0004744813315273402,0.0004825701700116195,0.0004957816957373242,0.0005383226251918263,0.0004708529856761619,0.00047632637082941655,0.0004781664532765069,0.00046849003081680056,0.00047295872222916075,0.0005210078716805399,0.00047396753178061845,0.00048623410969837787,0.000493297503332213,0.0005383168057250144,0.00048784249540416956,0.0004820040101874894,0.0004891457257975841,0.00047345833490190813,0.000492176037615923,0.0004724479245593923,0.0005009675572736808,0.0004767427244371546,0.0005572505367141916,0.0005026006502830256,0.0004722065721997359,0.0004592258283912196,0.0004758305252899979,0.00047931352447767395,0.0004912429596842075,0.0004653169100672719,0.00046878169473956024,0.00047466417779286276,0.00046331715400543144,0.00048217196207328995,0.0004859499384097219,0.00048530858952170467,0.0005006510944651184
SRR9224069,0.0005013792743234858,0.0004893369094193311,0.0004915450868429724,0.0005320442456461366,0.0005085582094951,0.0004949471988327876,0.0004961266502361839,0.0004896683854663998,0.000488946830213308,0.0004945916414209476,0.0004828783930634552,0.00048560444547589743,0.0004905092950114661,0.0004892064819505602,0.0005058553913551001,0.0005075825223793236,0.0004957547433462432,0.0004900881790788039,0.00048733153873757606,0.0004943612413820688,0.0004844803179843651,0.0004853735101594862,0.0004864291918143996,0.0004924561827142621,0.0004891878415156037,0.0005213753605547514,0.0004904841905317513,0.0004817783208924989,0.0004959760497505573,0.0004917155542010633,0.0004884509851754343,0.0005064479623936092,0.0005070484585361759,0.00048823053366089464,0.0004932853865947631,0.0005001806755990713,0.00052920140841918,0.0004915484407528712,0.0004967522276978698,0.0004969118368582808,0.0004961949054478428,0.0004913912078701204,0.0005204618628405147,0.00048373740647781347,0.0004966995099358393,0.0004941945659661159,0.0005359534775273972,0.0004900511550337747,0.0004900215674777112,0.0004968330929657019,0.0005029989864013573,0.0005009843499044919,0.000493481038021505,0.0005341505470637166,0.00048801237093462244,0.0005533353327612187,0.000502138725965408,0.0004961762104529092,0.0004943965750360502,0.0004903791523598055,0.0005062780936684581,0.0004980851900804455,0.00048682782973254266,0.0004847404606223561,0.0005142432749718988,0.0004857223456299877,0.0004933690669169671,0.0004973279310456557,0.0004926383275081892,0.0005177487640737092
SRR9224070,0.00047816092799436857,0.00046726104765297934,0.00046814385868050617,0.00050547334802162,0.0004928692328131855,0.00046464294741822794,0.00047366173755312844,0.00046512304223741356,0.0004676387608344032,0.00047221046842673494,0.0004599831541619099,0.0004644502698141353,0.00046862586030105004,0.0004679245690527091,0.00048290567850902235,0.00048644671541652086,0.0004704758631177512,0.00046935828791747606,0.0004655040405175806,0.0004701298360506493,0.00046054243788820593,0.0004613285516597475,0.0004653183711645092,0.00047078959544020446,0.000466099356972598,0.0004979946547956434,0.0004696907448519559,0.00045645496527827855,0.0004720385271485667,0.00046848557641314826,0.0004665117101033195,0.0004811889091511185,0.0004813961054514795,0.000462293211152024,0.0004696000095132631,0.0004746765296722914,0.0005025090778981253,0.00046988849008572256,0.0004706031983593428,0.0004746443090738392,0.0004728343893534192,0.00047076507375636695,0.000494590359550557,0.0004601446055722908,0.00047336998008169426,0.0004698878686924628,0.0005122829720504276,0.0004647032851137801,0.0004652230110819417,0.000472906032165401,0.00047971211234854966,0.0004785511760332835,0.00046955639705880927,0.0005115449977196702,0.00046533001762019964,0.0005235492106504429,0.0004775609529205945,0.0004783471545094459,0.0004748485929652799,0.00046979701575158416,0.0004874739543788012,0.0004727266101936802,0.00046214600156354923,0.0004617210858636963,0.0004923133018525902,0.00046236753125110305,0.00046804738208415904,0.00047217239441798013,0.0004691235927270154,0.0004966631298625742
SRR9224071,0.0004833925511223246,0.0004697220725654988,0.00046922389592296684,0.0005089982183699968,0.0004977933056984334,0.00047710747531751055,0.0004767318903303518,0.0004677949404271838,0.0004715688109551592,0.0004779753926956497,0.0004634135380620298,0.00046637081778464135,0.000469751076466101,0.00047220327562295385,0.0004859669411460085,0.0004919640362614163,0.00047655829208496236,0.00047426625858690085,0.00046820503308553645,0.0004799252562044365,0.00046598933398332845,0.0004640857488649857,0.000468239530482816,0.00047889474807475205,0.00046886269141813684,0.0005002358577219856,0.00047491128084238847,0.0004593059398908795,0.00047871890561102366,0.00047425879459938447,0.00047248900307491205,0.00048150025135746386,0.00048246376182919254,0.0004671565747394919,0.0004723334713907596,0.0004766784650279537,0.0005064366090420806,0.00047276605863307724,0.00047701600381321073,0.0004771807680298942,0.0004784178818938696,0.00047529181439435775,0.0004984429942249972,0.00046326187622717304,0.00047763530875093456,0.00047391504609756315,0.0005139764141218289,0.00046724301823845865,0.0004678085225252304,0.0004761533850847342,0.0004843501440427931,0.0004797636038168639,0.0004736326024147007,0.0005209122731145482,0.00046880511854757766,0.0005281610595206802,0.00048115512484735797,0.0004831941882085256,0.0004828798924332588,0.0004733872973338843,0.0004937805241867056,0.00047585082337174925,0.00046893995410399305,0.00046599592471320686,0.0005020139355619304,0.0004668660376548765,0.0004709739082453752,0.0004740449893299124,0.00046977674045864355,0.0005006689704536456
SRR9224072,0.0004563557516475579,0.0004590180123943069,0.0004511949743751338,0.0005042038432171595,0.0004576853439419407,0.0004362857318936741,0.0004359463166263321,0.00042411782170879026,0.0004376650104402601,0.00043735518123906033,0.00043453048953162853,0.0004409946603330915,0.00044945163631224824,0.0004385973083419105,0.00047123439238513394,0.00044816454977306244,0.0004420509510719945,0.0004390414546992939,0.00044718975712922343,0.00042839787893788754,0.0004414104773694408,0.0004578359536388682,0.00044288968538180087,0.000436015096934002,0.0004461406287400874,0.000495682853415666,0.0004418479964612305,0.0004427232753157336,0.00045077547550537704,0.00044463892218120897,0.0004477414087849926,0.0004778846746961448,0.0004817574542712973,0.000448055321002864,0.0004607058611756547,0.00046817209775323654,0.0005043980113997899,0.0004493969635706234,0.00045248007947413724,0.0004549630035863729,0.0004454534755324344,0.00044727717652630474,0.0004929679605249093,0.0004495436087104873,0.0004583654792738096,0.00046396704557223275,0.0005096623056731736,0.00045927258463237326,0.00045514582336080603,0.0004631122023961765,0.0004483106975006599,0.0004644566505836342,0.00044889290492395716,0.00047778062780988006,0.0004507016280193932,0.0005336784243104111,0.0004748017961072107,0.000448576896891223,0.00043591377471330063,0.0004520886594021335,0.00045435451036297743,0.00046301470923355023,0.0004433538034930811,0.00044264268831627614,0.0004518154193203294,0.0004416491988914293,0.00045885960967594205,0.00046391303463139426,0.00045795434830886287,0.00047751881920251145
SRR9224073,0.00047426409344519165,0.00046424441003299117,0.0004637663919332451,0.0005039302987928578,0.00048240362906473683,0.0004631550286647379,0.00046383184945201627,0.0004626847824752992,0.00044873717413865813,0.00046401433566362575,0.00045364530455924796,0.0004586154367412576,0.00046145058085290535,0.00046034862352520403,0.00047930686145666537,0.00047677829332254325,0.00046211598981023375,0.0004613484041522579,0.00045958705474909785,0.00045797999681948125,0.00045587132971211026,0.0004593719120603641,0.000460450379897826,0.0004620586499031086,0.00046296185494517397,0.000496220064065817,0.0004633442910353914,0.0004520344233238961,0.0004656225378959097,0.0004624297689590813,0.00046024767378170106,0.00047678865318126766,0.0004760589771243188,0.00045913443388837346,0.0004649198414688738,0.00047268081603225756,0.0005021798367951505,0.00046504131837361466,0.0004678028788014226,0.00046739870017945126,0.00046517539556626666,0.0004634048884860631,0.0004911817451108462,0.00045745697783984915,0.0004676316524828447,0.0004676561922834239,0.0005087767796378097,0.0004605283236334655,0.0004618644892460596,0.00047057526677473575,0.00047355967954187267,0.0004739064570516972,0.0004641378822008517,0.0005010941940903019,0.0004607605361254898,0.0005240894879144282,0.0004750815557975741,0.0004677846102427093,0.00046195104964909565,0.00046405466758202236,0.00047622920507381123,0.0004681889022680283,0.00045653067194039213,0.0004577688660183539,0.0004789552566221827,0.0004581340563571493,0.00046413341081144826,0.00046973492959746983,0.00046512564011486085,0.0004898277931290805
SRR9224074,0.0004796380527552966,0.00046702903041264565,0.00046885169351575454,0.0005067107235921941,0.0004929588139352872,0.00047256575586118857,0.00047469342396913605,0.00046667282890334045,0.0004687008246639407,0.0004666854794541515,0.00046080560637375216,0.00046414269256581537,0.00046716441466854744,0.0004685164727770214,0.00048389152304736764,0.00048579358771443353,0.0004719389261356044,0.0004708131060943762,0.00046644061734394895,0.00047007666905211643,0.0004618181664842397,0.0004617106819494444,0.00046568684120967986,0.0004727716821443833,0.0004675509405220951,0.0004977934047137718,0.0004713734676879908,0.00045731770429238174,0.00047550385086251646,0.00047040020550692414,0.0004677638851427052,0.0004804428487623804,0.0004824350320693421,0.00046328028605723795,0.00047025505394935935,0.000474841154962614,0.0005033670614654246,0.0004703013824471927,0.00047323523734452296,0.000473804073786846,0.0004738299543386998,0.0004702332125503975,0.0004956299527219581,0.0004609082122266814,0.00047375167874915894,0.00047259595355817884,0.0005102194293910274,0.00046492028376911467,0.0004678347276485654,0.0004746707656887134,0.00048140228566240196,0.0004776544046989516,0.000470929371677075,0.0005113678663583866,0.000466635594158604,0.0005258910276522003,0.0004801434171219007,0.00047607298441709576,0.00047194682322513953,0.0004696197385233976,0.0004856850040063299,0.00047177292591202166,0.00046438613936994956,0.00046338012906528136,0.0004922711762511486,0.000463359058622562,0.0004701947653186045,0.0004707956627273813,0.0004682922629862454,0.0004931462736092995
