,SRR9224066,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224020,SRR9224019c,SRR9224023,SRR9224017,SRR9224403c,SRR9224404,SRR9224172,SRR9224135,SRR9224462,SRR9224408,SRR9224401,SRR9224311,SRR9224294,SRR9224293,SRR9224292,SRR9224291,SRR9224298,SRR9224297,SRR9224296,SRR9224295,SRR9224300,SRR9224299,SRR9224163,SRR9224165,SRR9224166,SRR9224159,SRR9224169,SRR9224487,SRR9224116,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224118,SRR9224119,SRR9224251,SRR9224250,SRR9224249,SRR9224256,SRR9224255,SRR9224288,SRR9224253,SRR9224258,SRR9224257,SRR9224472,SRR9224473,SRR9224470,SRR9224471
SRR9224023,0.00113511043113545,0.0012628191438661884,0.0009575185645314409,0.0009597877291644135,0.0009877726667533212,0.0009324545083032124,0.001172764548993298,0.000978389005484219,0.0010709999163647944,0.000996615038211221,0.001024159962038776,0.0012773628728111313,0.0009595035331084352,0.000979453419465716,0.0009379524024954076,0.0011162468323839192,0.0009520760122455737,0.0009364300346473207,0.001031349052591332,0.0010313008087345034,0.0009084650642850426,0.0009149393475341107,0.0009123537246044077,0.000997621385403797,0.0010166914225894182,0.0009479241482884565,0.0009871691071580851,0.0009572769810710282,0.0009145634626624349,0.001162978596721774,0.000935196751331595,0.001434815992136552,0.0009925196507457824,0.001005133055194747,0.0010402182973806154,0.0011022904473932654,0.0010120430578561112,0.0009528103901436175,0.0009919367475062766,0.00099848773142655,0.0009421654327720133,0.0009953587161701536,0.000966496772356142,0.0009279487674460812,0.0009069972489630514,0.0009275676975157133,0.0009728167920670322,0.0009763529575441903,0.0010040871476721053,0.0009522379072941334,0.0009589057888429154,0.0009641654770038149,0.0011161355586882693,0.0009977261911483246,0.001018744750012994,0.0010795529444807264
SRR9224017,0.0012576031960488288,0.0014303129135790926,0.0010720365099753232,0.0010658101008619398,0.0010825004401899191,0.0010523935137510341,0.0013466074075122528,0.0010666826258674152,0.0011284768436433403,0.0011615353989817103,0.0012537926647168687,0.0010657227472101777,0.0011122621272955675,0.0010832519928152906,0.0010025475000699675,0.0012062778689063904,0.0010484117565408523,0.0010576600474581953,0.0012010946894300124,0.0011297645954446785,0.00098285775126235,0.0009772755804334649,0.0010143539414820446,0.001106505983791936,0.0011269889990407215,0.0010735965999061278,0.0011092701880400153,0.0010658333866721858,0.0010155690970776894,0.0013067052027235643,0.0010059854253319205,0.0015839043678046916,0.00111304856917118,0.0011224731036010584,0.001115095121087474,0.00119444068832393,0.0011246377642410968,0.0010760718665222765,0.001087084259418534,0.001130145531696056,0.0010703514050447688,0.0011292363255396938,0.001085832667888874,0.0009715953770155613,0.0009783471341219992,0.0010442984118855178,0.001084848358805788,0.0010352772344554878,0.0011066402897332785,0.0010644435967635025,0.001136382717898714,0.0010888297923055397,0.0012272431473251328,0.0011028527602435004,0.001094108864355127,0.0012219968799114674
SRR9224403c,0.0010927308957918746,0.0012341012156972858,0.0009867775049982811,0.0008896686188525576,0.0009165250094591398,0.0009552724024948699,0.0010609289968080047,0.0009034291293157801,0.0009588168462551627,0.0009754268851370164,0.0010341310513151403,0.0012087937979314346,0.0010668611204482804,0.000956348672713923,0.000810706961416838,0.0010096312013817496,0.0008910523142715179,0.0009229856313144545,0.001149962111668497,0.0009931953093195048,0.000811236626428567,0.0008278573957349365,0.0008717700298736882,0.0009638983453624677,0.0009615189703784401,0.0008834612971625319,0.0008974955520279027,0.0008736541528535986,0.0008438112422753431,0.0011393425020808626,0.0008276657145044192,0.0013919232848002476,0.0010035707083116254,0.0009611355222934829,0.0010102938153522757,0.0011469520635562687,0.0010118984921401292,0.0010309741480641873,0.0009706865179296127,0.001082392812717866,0.0008945391516590836,0.0010417578344340274,0.0010053219069104463,0.0008149371534475691,0.000835697474832791,0.0009147326823249111,0.0009817343113422995,0.0008419074557789267,0.0009263442587149367,0.0009409247408011381,0.0010673416023292207,0.0009291549725474791,0.0010264914867034961,0.0009100979915624909,0.0009319773737172829,0.001028236537415437
SRR9224404,0.001050861680384592,0.0011965602939630296,0.0008914082196116011,0.0008466784743169827,0.0008841795745018982,0.0008693668058887394,0.0010259932806820104,0.0008590400592363453,0.0009095724927640006,0.000939507626872662,0.0010225937689186146,0.001146206466852975,0.0009226473840124684,0.0008913774646715177,0.0007986823280054426,0.0009731402189519152,0.000842084079391625,0.0008620866580666692,0.0010130033472758539,0.0009454337016797837,0.0007838393204720872,0.0007973808683173642,0.0008271263578419494,0.0009038464967125243,0.00092474860678751,0.0008486097797065799,0.0008828279175703685,0.000847439329494357,0.0008193987734133084,0.0011036794024918313,0.0008135930264873731,0.0013163367916997396,0.0009335170838219596,0.0009140753040526153,0.0009500939709183525,0.001049525510443899,0.0009319518215177752,0.0009066256496123651,0.000905889277484901,0.0009523723674121085,0.0008610625919611149,0.0009493821996772689,0.0009038620100579523,0.0007915686746837585,0.0007931713751407368,0.0008523945553160195,0.0009004988727129983,0.0008247540878235341,0.0008929518271787585,0.0008762663790504696,0.0009355138827932332,0.000870427084114125,0.000985542753477242,0.0008780636146468075,0.0009022474681794977,0.0009860674175269733
SRR9224172,0.000967284821653256,0.0010962343249486008,0.0007378161652533754,0.0007385995648592768,0.0007709793992864067,0.0007077063038282611,0.0009614065693183347,0.0007435691528602459,0.0008380508419366177,0.0008082022690017772,0.0009308985627996244,0.0010148942031372112,0.0007477920517900843,0.0007586952664722619,0.0006773918762641433,0.0008905369877116064,0.0007275767736110234,0.000720835917227414,0.0008512836729107149,0.0008184665440733297,0.000695770535166216,0.0007068524780611937,0.0007125305617913794,0.0007864730019112564,0.0008081279242674268,0.0007388095229623269,0.0007922223003728716,0.0007401110977074388,0.0007154858958567352,0.0009857509554404092,0.0007292851125791199,0.0011440338125403393,0.0008025338339969229,0.0008073048069825424,0.0008373441915776629,0.0009017576409710864,0.0007905455412868354,0.0007356618636453719,0.0007831587605267446,0.0007829499429616722,0.0007511433954518525,0.0007947472277991739,0.0007371356675220772,0.000713613833118879,0.0006742382927032246,0.0007076016156293425,0.0007531731829553817,0.0007658327328795158,0.0007783698377651464,0.0007348223159903214,0.0007518480200433376,0.0007479371510315591,0.0008828638525713733,0.0007847373093473998,0.0008010108696776576,0.0008615929243390527
SRR9224135,0.0011082835459643595,0.0012787012524889116,0.0008940494059177983,0.0008886254748644236,0.0009198295801796905,0.0008607651608084551,0.0011278994243828157,0.0009011184362716587,0.0009760731171388692,0.0009774510008339773,0.0010853752970680006,0.0011921674234635683,0.0009182783815646135,0.0009078115005729922,0.0008713569873686957,0.0008581196865184914,0.0008770132145395764,0.000867254466172799,0.0009965248219429735,0.0009567792196009582,0.0008386700293579529,0.0008414881584663015,0.0008472956129427263,0.0009338693491490104,0.0009762556800581637,0.0009016133536971713,0.0009304499876834091,0.0008961601153079728,0.0008501719521786499,0.0011216343340111805,0.0008728209666458359,0.0013678991322956414,0.0009475186506696336,0.0009471985662082182,0.0009445533661694048,0.0010142001610783026,0.0009321945786956724,0.0008793627394485084,0.0009167488584789802,0.0009223378916084287,0.0009028677878597936,0.0009375044520427055,0.0008878519370059293,0.0008490956192969962,0.0008243494617432638,0.0008633294527817653,0.000908739066524234,0.0009113044218110792,0.0009447738836836069,0.0008927343879562272,0.0009108330402466926,0.0008999156187572635,0.0010568003922922346,0.0009556735108013007,0.0009357998577880945,0.0010296145790038309
SRR9224462,0.0010239954898563174,0.0011581290941779154,0.0008223706466358498,0.0007950598493382711,0.0008224063521402214,0.0007881699386017975,0.0009932890417815045,0.0008052381836370849,0.0008571821217775568,0.0008825860202483659,0.0009763100042096443,0.0010926034853834558,0.0008473416856622374,0.0008280338300585534,0.0007515266946217037,0.0009248861136027986,0.0007506499726105286,0.0007829651824287138,0.0009306540511603372,0.000864774102398016,0.0007233410807876333,0.0007334787647125648,0.0007592317957365285,0.0008376714752470243,0.0008580751436728588,0.000791524449021238,0.0008232039944395961,0.0007879128619688516,0.0007546488349238027,0.0010417802639277503,0.0007531696578981308,0.0012417577311732606,0.0008528046662499439,0.0008470981707037913,0.0008592373297585681,0.0009392937560709743,0.0008456371791001493,0.0007989147708283422,0.0008231463960041809,0.0008402824991887122,0.0007971202419146104,0.0008551760933258392,0.0008131185476745142,0.0007283256831323817,0.000720304006866226,0.0007785890793964016,0.0008151329343446367,0.0007742236173784232,0.0008338837946724179,0.0007895168763580209,0.0008331398349534571,0.0008037378132117836,0.0009398005730849231,0.000827150359723613,0.0008296687691333232,0.000920359972958192
SRR9224408,0.001043561872772059,0.0011764843233039832,0.0008637111904947139,0.0008150355623087193,0.0008482886135434696,0.0008295645020179117,0.0010069970610825647,0.0008298648137020214,0.0008780131942740558,0.0009070413596669669,0.000978032451585147,0.0011182554832921084,0.0008920579740682025,0.0008628416127029434,0.0007590526218543156,0.0009290153457256488,0.0007977375027677595,0.0008153600737281606,0.0009777131092311114,0.0009104412727402198,0.0007359370891193308,0.0007533161508681469,0.0007758542359904659,0.0008619464360089481,0.000871377157459151,0.0008047341812377409,0.0008243065372199307,0.0008017923966612386,0.0007712971789707424,0.0010545275958315763,0.0007573656064632446,0.001258172360132571,0.0008793789393710863,0.0008751671958946025,0.0008920462613007401,0.00099211526765511,0.0008804269666640778,0.0008503066832026006,0.000856814064666475,0.0008950965250627148,0.0008153291204754524,0.0008975307216785338,0.0008580201117401049,0.0007504108898256259,0.0007393044304761209,0.0008039550359190685,0.0008528661385242017,0.0007798480713582416,0.0008509797004041542,0.0008256735572748698,0.0008773132281467342,0.0008323803529100722,0.0009448513904615249,0.0008396000208055677,0.0008392166768147844,0.0009411306218142963
SRR9224401,0.0011788635834436795,0.0013196992085748494,0.001088201789485604,0.000999380580217456,0.0010183013721042564,0.0010533621704392256,0.0011400512844562526,0.0010031811255645472,0.0010771209235540832,0.001071145198362438,0.0011155806248938915,0.0013088297210222452,0.0011563621280208174,0.0010529907643092432,0.0009239277589960384,0.0010978109782866273,0.0009806901889359361,0.0010159230874236538,0.00121861608153157,0.0010798720443180045,0.000912880616297125,0.000934704899969992,0.0009469886107228909,0.0010400343999666269,0.0010333393608711779,0.0009668884286249008,0.000980800551864592,0.0009638857153825906,0.0009386447104809615,0.0012015733915500364,0.0009240912896507616,0.00146262030335156,0.001077125064498218,0.0010352604244557866,0.0010863521859756124,0.0012213636847668472,0.0010816092960923914,0.0011253606741791786,0.0010521030783963992,0.001163660910788803,0.0009690673618794792,0.0011114708572057645,0.0010858111796338854,0.0009155554888315391,0.0009437344159756026,0.00100229513458846,0.0010721218175841147,0.0009603043545063012,0.0010101420165246726,0.001024819154062365,0.001135319378733471,0.0010131109642361814,0.001097754141325511,0.000993870445612102,0.001015653878962281,0.0010975848734525282
SRR9224311,0.0010813749997656847,0.0012197490840002159,0.000912264378574139,0.0008800159393965121,0.0009023199570529038,0.0008861816147676088,0.0010694528176220467,0.0008950979627197026,0.0009320291467157866,0.0009666245844986908,0.001043627470070869,0.0011662425726536752,0.0009336069822169786,0.0009182819879434787,0.0008341726147737603,0.0009974563786912679,0.0008542236561252744,0.0008836738767948798,0.0010111429184864519,0.0008863370114698188,0.0008088368345945994,0.0008190942682889623,0.0008410745861839855,0.0009130427217493017,0.0009326768643354979,0.0008694347348546945,0.0008914300438342341,0.0008774040752907192,0.0008417036261840183,0.0011101068774356055,0.0008323048901453024,0.0013096324217542307,0.0009259149201337006,0.0009183076451139929,0.0009313381314070146,0.0010176770982847085,0.0009370374554683799,0.0008981938512327408,0.000905942487383387,0.0009411415800619081,0.0008773927589703333,0.0009501309635382802,0.0009109351582153047,0.0008223823246811784,0.0008215768681421792,0.0008760945269760335,0.0009128640866133179,0.0008596591670370951,0.000913299106229393,0.0008841867570654742,0.0009306924143338454,0.0008927782396649541,0.0010127076690255627,0.0008988138536464409,0.0009146793784304289,0.000986546128209773
