,SRR9224363c,SRR9224525,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224344,SRR9224171c,SRR9224542,SRR9224229c,SRR9224223,SRR9224086,SRR9224083,SRR9224254c,SRR9224289,SRR9224284,SRR9224534,SRR9224246,SRR9224504,SRR9224510,SRR9224332,SRR9224343,SRR9224446,SRR9224497,SRR9224496,SRR9224099c,SRR9224202
SRR9224086,0.0006902840392293936,0.000694701894753561,0.0007344795260923445,0.0006470108940996344,0.0006989472678001294,0.000702175417080778,0.0006347151793442957,0.0006196355558224876,0.0006043365923095149,0.0006808796849814997,0.0005865415685246332,0.000716573635039615,0.0006771532040759092,0.0006763733546913275,0.0006350864847498417,0.0006143067120679607,0.0005960243192571904,0.0006897722416907122,0.0006226787864524562,0.0006505860583433314,0.0006071788766817103,0.0007153467557417318,0.000620489138744315,0.0006360726319783399,0.0006215130779392879,0.0006683619760020587
SRR9224083,0.0007071990358569253,0.0006836583850041682,0.0007308005732862454,0.0006512097938410553,0.000694467247292317,0.0007160009140358728,0.0006344100713826042,0.0006355035639976509,0.0006021506439421915,0.00067822486248472,0.0007143568497460885,0.0005967339268229784,0.0006820306454195687,0.0006661127696600498,0.0006352676847005492,0.0006130113175463683,0.0006083403607762935,0.0006719083499659513,0.0006081509678404159,0.0006585507892461017,0.0006041728637032881,0.0007049971783472779,0.0006348861109939216,0.0006372727226862867,0.0006194470771010271,0.0006705618745434101
SRR9224254c,0.0006902018174171081,0.000676342430840895,0.0007112184109380518,0.0006257677654277126,0.0006874220243521924,0.0006860478710968382,0.0006193604525051303,0.0006117262227843866,0.0005857900980036618,0.0006624058716325866,0.0006823139837509455,0.0006893065301689019,0.0005671125262471101,0.000665759220881972,0.0006044195560665408,0.00060473187958723,0.0005870608156932336,0.0006691037632723149,0.0005984586241806935,0.0006338637011059408,0.0005945714855120022,0.0006931290188519998,0.0006055040593936976,0.0006032805502852797,0.000608095598685553,0.0006469911427541993
SRR9224289,0.0006823529687732641,0.0006740520849532764,0.0007119978815054121,0.0006206177587636986,0.0006802510636960112,0.0006773785435151938,0.0006141269037538379,0.0006104663571414115,0.0005828161226212788,0.0006781887757774138,0.0006830810149051696,0.00067467761926479,0.0006673464583763687,0.0005667075160139571,0.0006070681864163715,0.0005919998570238373,0.0005711562306511637,0.000667308072762008,0.0005913763948524233,0.0006351543321342865,0.0005891404550613593,0.0006855748752165715,0.0005994805345943245,0.0006132619646763629,0.0006040052992450186,0.0006423823433545112
SRR9224284,0.0006287036161731859,0.0006256078622273317,0.0006556661925871307,0.0005731980281369357,0.0006391911911248066,0.0006289864251490046,0.000565271998583624,0.0005637081618634945,0.0005305229646599501,0.0006121213909167432,0.0006372220578027113,0.0006389898968164057,0.0006013120261073266,0.0006034854967850668,0.00047679615543019067,0.0005396964496151488,0.0005312076166162317,0.0006200990910033783,0.000541128757519173,0.0005781573703124063,0.0005404495848085122,0.0006421894384468058,0.000543819415038312,0.0005706844592218414,0.000558349150358919,0.0005990403497688856
SRR9224534,0.000630927149766472,0.0006094079182653062,0.000637829980274868,0.0005583105150823557,0.0006106657827258295,0.0006178394654737804,0.0005474425127496435,0.0005396617013685566,0.0005193283259892198,0.0005877850637281693,0.0006165209781873723,0.0006178408933890259,0.0006036377084021813,0.00058960994111406,0.0005396416912674639,0.000451516588622923,0.0005065265667766503,0.0005991042205847536,0.0005340324628961236,0.0005643138340942969,0.0005119533666109524,0.0006194251302985557,0.0005341780834850979,0.0005443129789209144,0.0005376029980999305,0.0005688108545227165
SRR9224246,0.0006041486112060826,0.0006100538148864047,0.0006345987059477077,0.0005547879596082972,0.0006073218980889213,0.0006080405388879452,0.0005413401753492571,0.0005413782721614158,0.0005121599011160207,0.0005849633714911051,0.000605930219722461,0.0006199372853581837,0.0005926985579992717,0.00057607942011371,0.0005395725837298027,0.0005130004837728894,0.0004462226890232757,0.0005792546379977384,0.0005161388391981819,0.000554188608302716,0.0005097450180652489,0.0006003687469320021,0.0005204998128765308,0.0005371293667777293,0.0005323259878914662,0.0005698293937819417
SRR9224504,0.0006689539028876714,0.0006614238658943297,0.000721341965424191,0.0006100550373108911,0.0006600736706752148,0.0006653565219709027,0.0006023610245427215,0.0006112389651788293,0.0005759643272691881,0.0006467076631386031,0.0006838652021432539,0.000668824984724634,0.0006589842804853184,0.0006556429241170351,0.0006131729013994429,0.0005917165761441282,0.0005650233625297179,0.0005388926676435215,0.0005841400881036099,0.0006263277544907641,0.0005599551234038886,0.0006758445551804715,0.0005819763435612675,0.0005918127276170447,0.000605100960284804,0.0006240073315403684
SRR9224510,0.0006291195483746386,0.0006175207949769113,0.0006508050073252307,0.0005620749371184305,0.0006261598336899318,0.0006197500891314989,0.0005502844796156743,0.0005413379364078234,0.0005161596386230782,0.0005951714096022969,0.0006265592729036448,0.0006130979827571579,0.0005975723490363797,0.000589439591520105,0.000542167433804758,0.0005342826971849486,0.0005098339510381953,0.000592684503206373,0.0004477329398185705,0.0005696025818791891,0.0005108110074604997,0.0006147302004667559,0.0005313138112814831,0.0005443272919015453,0.0005394684917929424,0.0005759899952825511
SRR9224332,0.000646279695379327,0.0006293514126046788,0.000672485563059301,0.000590975696532133,0.0006287642620303591,0.0006374070989691895,0.0005732383305921135,0.0005749317577184532,0.0005472370878443441,0.0006106109293289794,0.0006457856254657925,0.0006560816860036939,0.0006240385573136937,0.0006253474171422325,0.000572572067357236,0.0005580767034181486,0.0005407969377902907,0.0006264709110969189,0.0005623624990520487,0.0004917430725355035,0.0005380013520337237,0.0006688373826255651,0.0005605331225440898,0.0005868755204127646,0.0005698774894151472,0.0006031745227431782
SRR9224343,0.0006053789145778234,0.0006011324951229984,0.0006423946380743002,0.0005508861142640614,0.0006018118697518839,0.0006038464464379049,0.0005414672888106925,0.0005424681340052101,0.0005143734572549721,0.0005863856391032146,0.0006146696570505258,0.0006133764047499672,0.0005976479509793401,0.0005914803092472229,0.0005463577105055683,0.0005162894965036633,0.000507521822632374,0.0005713321713091528,0.0005148891817246855,0.0005482923436990052,0.0004458712302655814,0.0006093417890447382,0.0005237068903651145,0.0005352745933245597,0.0005388764169781115,0.0005783627734596043
SRR9224446,0.0007100667878560703,0.000681858584154214,0.0007300828487639329,0.0006406447839356541,0.0006944793348113098,0.000702995597088646,0.0006228147909809569,0.000623601711120069,0.0005908305516336375,0.0006749044330754217,0.0007077555169307351,0.0006998645324027176,0.0006802426515979108,0.0006718509545012086,0.0006338733088647417,0.0006104207749856384,0.0005841351750623824,0.0006739340549628209,0.0006046892163031616,0.000667503559301437,0.0005955380731276853,0.0005764228051913691,0.000625860322914016,0.0006259930362422184,0.0006262345920328794,0.0006623592408685074
SRR9224497,0.0006225424732319393,0.0006198218049759156,0.0006515902488193244,0.0005634993393035997,0.000619086942079705,0.0006189976868950015,0.0005498618940673643,0.0005499181541835628,0.0005140752185864387,0.0006096467316465074,0.0006186239956237561,0.0006340149561382147,0.0005986779130925581,0.0005911965643737179,0.0005400744554863994,0.0005283256937455839,0.0005090270384826936,0.0005841253504312129,0.0005255160290285327,0.0005615595190620995,0.0005143573487455673,0.0006290414748226884,0.00044356806977629193,0.0005366062960044828,0.0005401348528758294,0.0005816377420182672
SRR9224496,0.0006300633542875586,0.0006198411350320696,0.0006369179300418276,0.0005714867252573965,0.0006306232306856833,0.0006238773862178085,0.0005544221082842937,0.0005547654393417408,0.0005222646232663454,0.0005956178558939545,0.000629502199020348,0.0006337635188287987,0.00059319463610045,0.0006014824533221161,0.0005638806092021689,0.0005377271505441227,0.000523590216389949,0.0005903945342594332,0.0005360153873458385,0.0005863868372070546,0.0005232551226497443,0.0006259770832143098,0.0005349229301147187,0.00045303221860023115,0.0005426080256782516,0.0005695966879240741
SRR9224099c,0.000633139047814105,0.0006127559368924165,0.0006521855074318574,0.0005694566794726086,0.0006171355772645619,0.0006200331312763343,0.0005609717607509358,0.0005534765555002762,0.0005296778874698326,0.0006092813281343469,0.0006212413125951976,0.0006220396157674996,0.0006039500969662804,0.0005982538579541907,0.000556733637354509,0.0005347047818337811,0.0005231504357474907,0.000609989603691835,0.0005366661937880635,0.0005746031479715867,0.0005320563488584738,0.0006332854191564828,0.0005430571071293291,0.000547153202569464,0.0004690338548468454,0.000577941732302712
SRR9224202,0.000670844572503071,0.0006534292906123296,0.0006927727512777613,0.000599540116477154,0.0006572119974735948,0.0006436747096645229,0.0005900702376676461,0.000588122959299404,0.0005606332234895342,0.0006349878526398624,0.0006654009626478339,0.0006689794706144385,0.0006396420674200815,0.0006345837913568553,0.000595200986607024,0.0005631035716070507,0.0005577984220099173,0.0006270612295251836,0.0005693577025357448,0.0006061694873008511,0.0005684223558531625,0.0006665323518152688,0.0005813267373327629,0.0005727064874649276,0.0005748160942729257,0.0005211448757115578
