,SRR9224363c,SRR9224122,SRR9224171c,SRR9224083,SRR9224427,SRR9224430,SRR9224285c,SRR9224120,SRR9224534,SRR9224098,SRR9224097,SRR9224370,SRR9224371,SRR9224361,SRR9224504,SRR9224351,SRR9224061,SRR9224053,SRR9224054,SRR9224213,SRR9224210,SRR9224209,SRR9224447,SRR9224099c,SRR9224205
SRR9224097,0.0006712975886065084,0.000676772086937542,0.0007415441188821666,0.0008180583006049948,0.0007282556591009504,0.0007038512665353147,0.0006200228364220503,0.0006716553898667839,0.000660538140773778,0.000691457360149128,0.0005274663985267127,0.0006305043409996383,0.0007049022049190274,0.000614235854276591,0.0006767753042251644,0.000603101371845944,0.0005865773306111842,0.0006809229574499154,0.0007469676406743984,0.0006419943564405986,0.0006860673090203383,0.0006448773774127875,0.0006601023286691047,0.0005921094848720977,0.000661729914987624
SRR9224370,0.0006767698659289293,0.0006920757222248771,0.0007347210760711304,0.0008127700583662112,0.0007394765033193039,0.0007076764695410807,0.0006373068169074423,0.0006735140386343697,0.0006826802344937493,0.0006661624199504472,0.000631548529852498,0.00054329127068104,0.0007131629338633762,0.0006461694281789013,0.0006888955491493958,0.0006173241289179952,0.0006092629764125395,0.0006830773011586187,0.0007596115868759218,0.0006582735995154212,0.0006955917899909645,0.0006467569658252951,0.000659914113266075,0.0005961616032363304,0.0006716789111679721
SRR9224371,0.000754175568540196,0.0007767601632972566,0.0008288442429631486,0.0009614973834713796,0.0007965367338326606,0.0007601163347785797,0.0007007534531876382,0.0007430806466857605,0.0007550988650782102,0.0007679909128764228,0.0006976302764228042,0.0007056777682824845,0.0006183181838913469,0.0007397609136466239,0.0007617861254023298,0.0007145414888961475,0.0006694942773013609,0.0007957084475290565,0.0008902388588637164,0.0006965972130670768,0.0007952592636571179,0.0007431878844959737,0.0007529076794901347,0.0006754586696780661,0.0007663170255280893
SRR9224361,0.0006947917805414928,0.000697910683298297,0.000756496920171944,0.0008427687980196104,0.0007422318331599526,0.0007075437300866584,0.0006179270182573335,0.0006658960840962058,0.0006779575642200263,0.000687984621347457,0.000608419318098697,0.0006382923480938567,0.0007392644898108681,0.0005202861998769572,0.0006964321335926128,0.0006100012428716962,0.0005936058753990997,0.0006774801189230593,0.0007577353203370391,0.0006342334667909859,0.0006974766013421403,0.0006498170252108744,0.0006744107780549558,0.0005955593038722042,0.000684226965344955
SRR9224504,0.0007319941156014839,0.0007467005732206349,0.0007939888128979685,0.0008723271881347141,0.0007816971108801233,0.0007629357386880105,0.0006902849511943945,0.0007350497392460218,0.0007396248481165359,0.0007328134017710026,0.0006770958706414367,0.0006888011243117176,0.0007719053125975102,0.0007051580821447104,0.0006128094649969824,0.0006673520154308373,0.0006632726802935881,0.0007297006438139481,0.0008201978756442362,0.0006765430292918818,0.0007486968503544786,0.0007141672784283868,0.0007322829432917876,0.0006501449643651525,0.0007279296788687834
SRR9224351,0.000677456622593511,0.000687037468292185,0.0007395717509087874,0.0007985728565054592,0.0007386033478341193,0.0006864822447216263,0.0006322295699475896,0.000660866296009644,0.0006616362742248617,0.0006661844689964335,0.0006125554995532088,0.0006265999449390118,0.0007313525661319897,0.000624902107413252,0.0006758562651134784,0.0005213242479931491,0.0005973106094623814,0.0006470815978832725,0.0007189152322833342,0.0005994783779400002,0.0006795604137485366,0.0006547014468325958,0.0006479227498450314,0.0005979588525725595,0.0006773338427009094
SRR9224061,0.0006626408609568434,0.0006811053797668327,0.0007303854197806674,0.0008035687448649052,0.0007223865522343251,0.0006831919642093241,0.0006148328656197335,0.0006567545750618445,0.0006549873886084827,0.0006661333668466194,0.0005952766278737817,0.000618472783073636,0.0006869476277903203,0.0006082092892809608,0.0006723423196271412,0.0005969271890978363,0.0005192019362321284,0.0006677270877186385,0.0007341144738433517,0.0006225613734195941,0.0006732316761357673,0.0006349575376268531,0.0006438998904357988,0.000582928999606697,0.0006644557681420223
SRR9224053,0.0007400327676982338,0.0007415659067948579,0.0008009549110731237,0.0008660330511752229,0.0008107809366356023,0.0007560140386961466,0.0006927831320771377,0.0007098294576522436,0.0007254955650553559,0.0007350094829521385,0.0006747438888799625,0.0006762516888523713,0.00079557579904366,0.0006784231238673678,0.0007221414983301302,0.0006318374302499684,0.0006530515096703657,0.0005758083071346059,0.0007686369658573268,0.0006559674026930994,0.0007305531565526518,0.0007098287761829211,0.0007026711840714,0.0006456323777566312,0.0007289332910879465
SRR9224054,0.0008037774436440298,0.0008025195471610212,0.0008478410217690179,0.0009478210099543533,0.0008820724225430133,0.0008141396942798765,0.0007579885789070002,0.0007802626422990844,0.0008088686402388364,0.0008166067346706721,0.0007393205946648232,0.0007515935338044364,0.0008901586928196497,0.000757989420807773,0.0008103848753561938,0.0007018332793272945,0.0007163087195868333,0.000767981279437684,0.0006522401642223025,0.0007172884684282405,0.0008170469989122796,0.0007885124640277336,0.0007943867438281377,0.0007050242105043143,0.0008165049216538203
SRR9224213,0.0006750944786710028,0.0006875728704702976,0.0007515227635836991,0.0007836977241744281,0.0007420667488153727,0.0007107329479420145,0.0006478063728940446,0.0006611078462927178,0.0006703879328885519,0.0006611816730980356,0.000635041323197707,0.0006497225115306052,0.0006952735004076375,0.0006328377106713768,0.0006684522362751364,0.000583158124066726,0.00060649829483315,0.0006527151270423132,0.0007168352049195104,0.0005262938061433632,0.0006739352093799331,0.0006445799263554277,0.0006385183725281342,0.0005904812304380868,0.000665625324418505
SRR9224210,0.000742645571663009,0.0007513624800218603,0.0007784654310490548,0.000897578799980737,0.0007927419978627979,0.0007529214858445934,0.0006876196115728684,0.0007276702298207782,0.000735013148549425,0.0007313626318510311,0.0006803180421158627,0.0006882997094349536,0.0007956609927278167,0.0006993768401046559,0.0007408147955143021,0.0006648362472643095,0.0006572902303685154,0.0007309407693396063,0.0008170012781790549,0.0006754231741883852,0.0005802615654172302,0.0007333095471718028,0.0007160596523223461,0.0006313896794614929,0.0007343233922944824
SRR9224209,0.0006867996608837496,0.0006992978110540683,0.0007602893717165215,0.0008599664535525316,0.0007564494805116498,0.0007094116933842462,0.0006569265737821526,0.0006955443118626148,0.0007070708613668045,0.0007037749573144329,0.0006390222478033278,0.0006392031856503448,0.0007431398090159675,0.0006509755939391633,0.00070576755107998,0.0006388853630626439,0.0006189487855974434,0.0007091312224245199,0.0007858818464371878,0.0006463571939940789,0.0007312521535239613,0.0005396343341726197,0.0007019578000754049,0.000605416303116929,0.0006835558274427177
SRR9224447,0.0007142170278773295,0.0007137328784643889,0.000766646051867719,0.0008487715724891367,0.000790612003219085,0.0007230248075512886,0.0006614578617189445,0.0006990350229891794,0.0007204615906593147,0.0007076123936333785,0.0006525925670253992,0.0006521827471723671,0.0007511579523672722,0.0006731737282423542,0.000722990827478576,0.0006317659988039763,0.0006270838122410694,0.0007002944456157949,0.0007911781661168538,0.0006399195576827242,0.0007141507309353203,0.0007011926941616378,0.0005450868635462133,0.0006266369761506927,0.0007133463175101089
SRR9224099c,0.0006647906877077718,0.0006707066714303809,0.0007159590918873462,0.0007951608891563189,0.0007118117042894356,0.0006810099498612542,0.0006244053700501569,0.0006661041146163396,0.0006530259638902913,0.0006583535239682438,0.0006121123656937154,0.0006160150811088674,0.0007068095400032635,0.0006214267539751275,0.0006725091175387394,0.000608613015072552,0.0005935065441395016,0.0006728721765383364,0.0007366126558974799,0.0006168800433185093,0.0006600661266128048,0.0006328435753984248,0.0006557596634539736,0.0005389822207170025,0.0006536260343006229
SRR9224205,0.0007281057615396342,0.0007093086673324758,0.0007568702733614866,0.0008693406726344164,0.0007741766648979404,0.0007434257956995972,0.000662732097013895,0.0007159260400748678,0.0007166428016766511,0.0007091626012157879,0.0006557685186714658,0.000665415214610089,0.0007682533369578011,0.0006867905652864377,0.0007211530368953202,0.0006627476905500085,0.0006481990439107344,0.0007308407191431073,0.0008185689701509706,0.0006680548848191684,0.0007350179494413134,0.0006847011613457659,0.0007155001748679437,0.0006251339226283439,0.0005730401216156784
