,SRR9224359c,SRR9224363c,SRR9224523c,SRR9224529c,SRR9224527c,SRR9224328,SRR9224122,SRR9224344,SRR9224171c,SRR9224316,SRR9224541,SRR9224223,SRR9224083,SRR9224287,SRR9224146,SRR9224289,SRR9224474,SRR9224121,SRR9224535,SRR9224098,SRR9224506,SRR9224332,SRR9224340,SRR9224351,SRR9224350,SRR9224355,SRR9224513c,SRR9224518,SRR9224520,SRR9224210,SRR9224209,SRR9224208,SRR9224217,SRR9224272,SRR9224265,SRR9224266,SRR9224445,SRR9224444,SRR9224446,SRR9224441,SRR9224218,SRR9224436,SRR9224497,SRR9224499,SRR9224500,SRR9224495,SRR9224496,SRR9224099c,SRR9224105,SRR9224104,SRR9224319,SRR9224198
SRR9224541,0.002382557903602631,0.0020412394182098693,0.0022843659559544783,0.001958787744807236,0.002227695672289931,0.0023433916779774066,0.002824258797862947,0.0025512479150183683,0.0022310454555964083,0.0027219058444370014,0.0018156123500025494,0.0021523189258811502,0.0017380033993209668,0.0023978323587701537,0.0022224481003891698,0.0023183010870863542,0.001849794211287202,0.0023037517246093193,0.002430927762600772,0.002015136712248925,0.0018062729721625979,0.001787004484410595,0.002085229134327308,0.001819679057103659,0.0021674031016937537,0.0019948409059309963,0.0020329832181978816,0.0020492682846883757,0.0018548972561570972,0.0019986116736546247,0.0021272202341337783,0.0022324828910988493,0.0023358204091091573,0.0017775576259437711,0.0019759558054344164,0.0020259340148790967,0.002197280251993473,0.0022995115914536787,0.00213581840190056,0.002650680003042858,0.0018476445754410926,0.002004831052148089,0.00228404609184229,0.0018213492785133468,0.0020107066273156986,0.0017771265943037318,0.0018764363999578557,0.002085339630324023,0.001897945367969547,0.0024360242572780463,0.002123049770247394,0.002015346258478901
SRR9224223,0.0025375300290216727,0.002176332903495452,0.002396047180159354,0.0021422188730418185,0.002380307077147717,0.0025010335462619703,0.0029822389356956593,0.002743927955129831,0.0024521313373028113,0.0029501989073802025,0.0021971831186578038,0.0020234552392158676,0.0018774345164329607,0.002508819299562127,0.0023507584248790756,0.002468295180718653,0.0020188279410694567,0.0025603682065873895,0.002537902846019427,0.0021354692420739135,0.0019583523406195677,0.001967098492641337,0.0022203859043178923,0.0020131519846480128,0.0023525338508997734,0.0020860543347085854,0.002163290758495334,0.002195472114588471,0.002011315847200069,0.0021515274976464326,0.002342621902126303,0.002419818321651615,0.002490765835693707,0.0019399816158957412,0.00212046696783448,0.0022037952219492772,0.002334041085867924,0.0024099210144602973,0.002318984861474234,0.00280110618830606,0.002012220958348946,0.002190093854656019,0.0024225342708708566,0.001973351927393434,0.0021528153200249434,0.0019500768907431173,0.002049470627059154,0.002292303816910098,0.0020419611733235757,0.002546681785042736,0.002249078202747225,0.0021843842029159915
SRR9224083,0.00214774059346229,0.0017622625068370648,0.0020469713631296035,0.001686753835763135,0.001960137012540205,0.0020902915469673683,0.0025267615778450108,0.0022665041615783617,0.0019822420836798083,0.0025067189598625885,0.001787148455436323,0.001892526327065824,0.0013653000878689396,0.0020979060349529954,0.0019633187006589136,0.0020109617442923226,0.0016075054240996894,0.0020682874081439737,0.0020950894314432783,0.0017510377093472391,0.0015314376620544903,0.0015092901139063261,0.0017878094898826275,0.0015655145770857313,0.0019397324131811846,0.001701597587770299,0.0017475686931553087,0.0017502515243059795,0.0015944969483773458,0.0016696707340248206,0.001903633356391503,0.001969993594706228,0.002067611197059161,0.0015065054073821152,0.001661782525796546,0.0017272960311697108,0.0018986379529649033,0.00195911946873117,0.0018594764620310502,0.0023978383038958085,0.001576716197129269,0.0017209921326306638,0.0019921439130043297,0.0015227901944638554,0.0016942564597697608,0.001490483508628671,0.001586253773622881,0.0018696287298493658,0.001626657579536656,0.0021166477363326855,0.0018226025703211865,0.0017229858084799494
SRR9224287,0.0026602465273097976,0.002340471568276062,0.0025696382176956384,0.002292449308801968,0.002521529738190979,0.002637484885468975,0.0031129870698541934,0.00283233729686866,0.0025392688371773647,0.003025622273923025,0.002373991241067048,0.0024330666431122425,0.0020215108994792205,0.002203321458148833,0.0025163798778224606,0.002637619487746493,0.0021795010228423495,0.0027484251937069286,0.002673543936888941,0.0023009239332974526,0.0021022450274650302,0.0020938868571269914,0.0023512175692077288,0.0021380618647676318,0.0025166249504197684,0.0022649862223879324,0.0023240557234578867,0.0023311349677489633,0.002169242691744492,0.002269874941862008,0.002489326103047905,0.00256023951117883,0.002662389908732516,0.0020915232201896314,0.0022801361582304425,0.002387947355293744,0.0025474327432293492,0.002644088536777609,0.002468540989851976,0.003056590142360365,0.0021670107203311433,0.0023295952273845646,0.0025995037572283876,0.002130389989401531,0.0023237517853548387,0.0021242240181744334,0.002199975006171848,0.002422762477377051,0.002201072091697157,0.0027370922383621347,0.002443153866302828,0.002340416471299279
SRR9224146,0.0025945008859024673,0.002224819905803784,0.0024949745903260338,0.0021800080909976805,0.0024103696852639704,0.002546630013836438,0.002901955897960112,0.0027437741548288846,0.0024813582335659365,0.0029826787007215224,0.0022543868580290134,0.00233845263469244,0.0019382991671536376,0.002578456914143549,0.0021047864710458234,0.0024971560444352206,0.002053688159476659,0.0026196770956498916,0.0025471677348884256,0.002198915481883524,0.001989667550036824,0.0020486632533937856,0.0022501396986595586,0.0020961390332552877,0.0023973976241017845,0.0021701253696655067,0.0022110651070278878,0.0022404052857534543,0.002073365387551343,0.0021629123865948376,0.0023968234902014174,0.0024513729298506416,0.002528243531814009,0.0020025966236843864,0.002155559682852823,0.0022235643652734603,0.0023819086301511525,0.002477488779207426,0.0023837783142881042,0.002908996273749845,0.0020670490433498914,0.002202908865335165,0.0024500417206229966,0.0020211821341813334,0.0021834212317405443,0.002004415402999851,0.0020642526107126943,0.0023698153856733244,0.00213227147334859,0.0026267026558053925,0.0023044270340696923,0.0022044471682419954
SRR9224289,0.00260510180119307,0.0023074763556030966,0.002585087589369335,0.0021734071264161584,0.002452674289786622,0.002577797770738171,0.0030186639483909517,0.0027963338046706693,0.0024484115457371163,0.0029266427811470664,0.002313387619916979,0.0024124127098111296,0.001953643520220387,0.002654847606018141,0.002451045724738951,0.002064686319272107,0.0021026753126398945,0.0026264513609622524,0.0026548204860510466,0.0022586875377339816,0.0020486790186935552,0.0020467669015363176,0.002325790343315862,0.0021129044151884536,0.0025119773483945514,0.002247962703627477,0.0022393239730567577,0.002289571522971605,0.00210433634082464,0.0022210513599402798,0.0024359602726550917,0.0024933976987732177,0.0026286897071475745,0.0019981347268035843,0.0022139680144869197,0.0023236210071424456,0.0024678821347658285,0.0025566954767412943,0.0024423572128665365,0.0030081163873330423,0.002115158562239441,0.0022671573123514517,0.0025630308676367034,0.0020785067507024025,0.0022254251101978947,0.0020430689833011717,0.002138419901890711,0.0023746524889012403,0.002182388924225408,0.002730641591633925,0.0024024837031297814,0.0022514541883880542
SRR9224474,0.0021532711260849966,0.001833781413344749,0.0020814558283458883,0.0017524873646456367,0.0020166862147696146,0.0021427280671873477,0.00259258556411058,0.002242610091880012,0.002012610634856005,0.0024297850085923263,0.0018382023171309306,0.0019675032829978,0.0015528571398441737,0.0021896432758596726,0.0020141340633849088,0.002091576044860643,0.0014835964307639024,0.002069865517486405,0.0021460020353709563,0.0018363335294871066,0.0016224755404180154,0.0015712864749923897,0.0018842488012714576,0.0016220333568708653,0.001968041541096193,0.0017711910183320237,0.0018233606455235695,0.001816795637558684,0.0016614591402739128,0.0017877850991409071,0.001937865102094819,0.0020448425495703626,0.0021091372600697948,0.0015931716608617935,0.001793901105163544,0.0018349289943523554,0.0020104907772801094,0.0020462948412470184,0.0018819411450388005,0.002399878167114175,0.0016530962289271174,0.0017842153679063554,0.002086381327840512,0.0016093184420573198,0.001796354097841066,0.0015844906313669251,0.0016434994029413193,0.0018971358687184963,0.0016973902373106117,0.002167429989372057,0.0018956421988252981,0.0017972667082939557
SRR9224121,0.0026507800599405705,0.0023610224414433644,0.0026109399386961387,0.002257930744414721,0.002528100146773948,0.0026663421288402344,0.0031445054938653216,0.0027950696600470516,0.002474155787698386,0.002965074077339543,0.0022879900303493616,0.0024957724423892015,0.002001177176470006,0.0027546888466701966,0.0025637657210733607,0.0026115360029879634,0.0020684602877340894,0.0020690263092341646,0.0026547462203010915,0.002275033473282416,0.002051898188581387,0.0020961893676142954,0.002355283292807942,0.002176060376090137,0.0025202156122315234,0.0022290114074434483,0.002281571665449448,0.0023099777445025928,0.0021500168087226525,0.002236882154837912,0.002429664070911033,0.0025161456025108086,0.0026950583589354887,0.002023626202855153,0.0022142669383088506,0.0022935268544311887,0.0024892998277751184,0.0025966422599385712,0.0025041576236283047,0.0029940073030952996,0.0021209497051965292,0.0022870097342574955,0.002663523347111483,0.0021079637951167567,0.002309057374196375,0.0020425374096808184,0.002170785923077834,0.0024231324264205527,0.002223236865856119,0.0026791694273675046,0.002373101778448737,0.002225634555181275
SRR9224535,0.002630983061250071,0.002375821257137279,0.0025211519637344634,0.002270102125779039,0.002499403178815203,0.0026325304700178655,0.003131212701022664,0.002839064262601804,0.002541048599724838,0.0030395092230059767,0.002385551191370352,0.0024423314184418062,0.001999544780205571,0.0026484340105135,0.002465814716806562,0.0026159694225957398,0.0021196228830438263,0.002624404118461084,0.0021440986489278885,0.002261722160813128,0.002067712003617111,0.0020862115261133323,0.002350045378985274,0.0021001799284416853,0.0024652390905826036,0.002259673805318902,0.00227290745800488,0.0023036001086058364,0.002135080928128258,0.0022760104449595603,0.00240860640699803,0.002460521037144363,0.0026235861917978404,0.0020432639441470965,0.002252483661044687,0.0022893674651462957,0.0024532803780235564,0.002539198209389662,0.002401585482881769,0.0029118148505933037,0.002116060133375182,0.002264567138362734,0.0026514629970057465,0.002097293733816855,0.0022937324675302803,0.002074375816426913,0.0021692257423847868,0.002435862924822844,0.002185561691822619,0.0026595160504729863,0.002393656482634322,0.0022492042617557723
SRR9224098,0.002320179534932839,0.0019897724411599518,0.002231562738719098,0.0019328492439229057,0.0021728037967444517,0.002291973730390812,0.002761832267430844,0.0024399133622083967,0.0021930300215865276,0.002665210182312273,0.0020101651336707957,0.0020889732694081868,0.0016995448494453258,0.0023179490106532605,0.002161177317941329,0.002257355886584424,0.001843079290063666,0.00228214792829281,0.0023004346978941644,0.001727337073532869,0.0017963296132297336,0.0017565447841637971,0.0020007986461832135,0.0017875589063512294,0.0021370023467594387,0.0019279724489237877,0.0019727619539718576,0.0019821639116057365,0.0018267108432354102,0.0019192829204532312,0.002083182678771013,0.0021733402566019872,0.002281269719144639,0.0017411988468542137,0.0019155548860037383,0.001999714661675829,0.002119464550863645,0.0021923020140522196,0.0020412777699076318,0.0025426245950580673,0.0018160274427403476,0.0019592281644215895,0.0022264533150233917,0.0017609763067654213,0.0019395371291284508,0.0017394924761639846,0.0018389048985505922,0.002071430504850252,0.001846599245127227,0.0023868515303368514,0.0020355280235894438,0.001985153122480703
